"site_id","g_columns_in_hh_data","badm_heatflux_group_found","badm_note"
"GH-Ank","G_F_MDS",FALSE,"no GRP_HEATFLUX/GRP_SOILHEATFLUX group in BADM for this site -- plate depth and storage-above-plate treatment are NOT documented in the Shuttle metadata; would need site PI documentation or the AmeriFlux/ICOS site page to confirm"
"BJ-Db1","G_F_MDS",FALSE,"no GRP_HEATFLUX/GRP_SOILHEATFLUX group in BADM for this site -- plate depth and storage-above-plate treatment are NOT documented in the Shuttle metadata; would need site PI documentation or the AmeriFlux/ICOS site page to confirm"
"BJ-Bfg","G_F_MDS",FALSE,"no GRP_HEATFLUX/GRP_SOILHEATFLUX group in BADM for this site -- plate depth and storage-above-plate treatment are NOT documented in the Shuttle metadata; would need site PI documentation or the AmeriFlux/ICOS site page to confirm"
"BJ-Nhu","G_F_MDS",FALSE,"no GRP_HEATFLUX/GRP_SOILHEATFLUX group in BADM for this site -- plate depth and storage-above-plate treatment are NOT documented in the Shuttle metadata; would need site PI documentation or the AmeriFlux/ICOS site page to confirm"
"SN-Nkr","G_F_MDS",FALSE,"no GRP_HEATFLUX/GRP_SOILHEATFLUX group in BADM for this site -- plate depth and storage-above-plate treatment are NOT documented in the Shuttle metadata; would need site PI documentation or the AmeriFlux/ICOS site page to confirm"
"SN-Dhr","G_F_MDS",FALSE,"no GRP_HEATFLUX/GRP_SOILHEATFLUX group in BADM for this site -- plate depth and storage-above-plate treatment are NOT documented in the Shuttle metadata; would need site PI documentation or the AmeriFlux/ICOS site page to confirm"
