directory,file,bytes,sha256
data/extracted/ICOS_IT-MBo_FLUXNET_2003-2024_v1.3_r1,ICOS_IT-MBo_FLUXNET_BIFVARINFO_MM_2003-2024_v1.3_r1.csv,314894,c327bf5de95042047368e206fdff52203c0314fcbb4b8bc12101e891d3362494
data/extracted/ICOS_IT-MBo_FLUXNET_2003-2024_v1.3_r1,ICOS_IT-MBo_FLUXNET_ERA5_MM_1981-2024_v1.3_r1.csv,41912,6add0ca3c92a5aa4c92299a9bfb4468b65615e6b44e92d9ef32a142caf54b97d
data/extracted/ICOS_IT-MBo_FLUXNET_2003-2024_v1.3_r1,ICOS_IT-MBo_FLUXNET_FLUXMET_MM_2003-2024_v1.3_r1.csv,712507,6d2a4318a40d54902ce7e80bbfe6d3c707ea9c033e4619f2c23bb9ffcf7533d2
