site_id,location_lat,location_long,trendy_nee_median_value,trendy_nee_median_method,trendy_nee_median_bin,trendy_nee_median_bin_label
CN-Ha2,37.6086,101.3269,16.70560073852539,exact,2,5.0–20.5 gC m-2 yr-1
CN-HaM,37.37,101.18,20.972848892211914,exact,3,20.5–31.7 gC m-2 yr-1
CN-Qia,26.7414,115.0581,58.242652893066406,exact,6,54.3–70.2 gC m-2 yr-1
CN-Sw2,41.7902,111.8971,26.848228454589844,exact,3,20.5–31.7 gC m-2 yr-1
CZ-BK1,49.5021,18.5369,47.54872131347656,exact,5,41.8–54.3 gC m-2 yr-1
CZ-BK2,49.4944,18.5429,65.25325775146484,exact,6,54.3–70.2 gC m-2 yr-1
CZ-wet,49.0247,14.7704,59.287166595458984,exact,6,54.3–70.2 gC m-2 yr-1
DE-Akm,53.8662,13.6834,58.70156478881836,exact,6,54.3–70.2 gC m-2 yr-1
DE-Geb,51.0997,10.9146,59.7928466796875,exact,6,54.3–70.2 gC m-2 yr-1
DE-Gri,50.95,13.5126,48.800445556640625,exact,5,41.8–54.3 gC m-2 yr-1
DE-Hai,51.0792,10.4522,62.16096496582031,exact,6,54.3–70.2 gC m-2 yr-1
DE-Kli,50.8931,13.5224,48.800445556640625,exact,5,41.8–54.3 gC m-2 yr-1
DE-Lkb,49.0996,13.3047,52.669918060302734,exact,5,41.8–54.3 gC m-2 yr-1
DE-Lnf,51.3282,10.3678,62.16096496582031,exact,6,54.3–70.2 gC m-2 yr-1
DE-Obe,50.7867,13.7213,48.800445556640625,exact,5,41.8–54.3 gC m-2 yr-1
DE-RuR,50.6219,6.3041,49.80929183959961,exact,5,41.8–54.3 gC m-2 yr-1
DE-RuS,50.8659,6.4471,49.80929183959961,exact,5,41.8–54.3 gC m-2 yr-1
DE-Seh,50.8706,6.4497,49.80929183959961,exact,5,41.8–54.3 gC m-2 yr-1
DE-SfN,47.8064,11.3275,43.055877685546875,exact,5,41.8–54.3 gC m-2 yr-1
DE-Spw,51.8922,14.0337,54.11660385131836,exact,5,41.8–54.3 gC m-2 yr-1
DE-Tha,50.9626,13.5651,48.800445556640625,exact,5,41.8–54.3 gC m-2 yr-1
DE-Zrk,53.8759,12.889,64.98432922363281,exact,6,54.3–70.2 gC m-2 yr-1
DK-Eng,55.6905,12.1918,44.86714172363281,exact,5,41.8–54.3 gC m-2 yr-1
DK-Fou,56.4842,9.5872,52.633846282958984,exact,5,41.8–54.3 gC m-2 yr-1
DK-Sor,55.4859,11.6446,47.66714859008789,exact,5,41.8–54.3 gC m-2 yr-1
ES-Amo,36.8336,-2.2523,19.923980712890625,exact,2,5.0–20.5 gC m-2 yr-1
ES-LgS,37.0979,-2.9658,38.98956298828125,exact,4,31.7–41.8 gC m-2 yr-1
ES-LJu,36.9266,-2.7521,23.964752197265625,exact,3,20.5–31.7 gC m-2 yr-1
ES-Ln2,36.9695,-3.4758,34.81678009033203,exact,4,31.7–41.8 gC m-2 yr-1
FI-Hyy,61.8474,24.2948,44.574954986572266,exact,5,41.8–54.3 gC m-2 yr-1
FI-Jok,60.8986,23.5134,50.84433364868164,exact,5,41.8–54.3 gC m-2 yr-1
FI-Let,60.6418,23.9595,50.84433364868164,exact,5,41.8–54.3 gC m-2 yr-1
FI-Lom,67.9972,24.2092,34.69854736328125,exact,4,31.7–41.8 gC m-2 yr-1
FI-Sod,67.3624,26.6386,33.52534484863281,exact,4,31.7–41.8 gC m-2 yr-1
FR-Fon,48.4764,2.7801,54.74135208129883,exact,6,54.3–70.2 gC m-2 yr-1
FR-Gri,48.8442,1.9519,52.27886199951172,exact,5,41.8–54.3 gC m-2 yr-1
FR-LBr,44.7171,-0.7693,60.20866394042969,exact,6,54.3–70.2 gC m-2 yr-1
FR-Pue,43.7413,3.5957,53.22159194946289,exact,5,41.8–54.3 gC m-2 yr-1
GF-Guy,5.2788,-52.9249,63.6606559753418,exact,6,54.3–70.2 gC m-2 yr-1
GH-Ank,5.2685,-2.6942,76.37628936767578,exact,7,>70.2 gC m-2 yr-1
GL-NuF,64.1308,-51.3861,20.610780715942383,exact,3,20.5–31.7 gC m-2 yr-1
GL-ZaF,74.4814,-20.5545,0.16680960357189178,exact,1,0–5 gC m-2 yr-1
GL-ZaH,74.4733,-20.5503,0.16680960357189178,exact,1,0–5 gC m-2 yr-1
IT-BCi,40.5237,14.9574,47.55440139770508,exact,5,41.8–54.3 gC m-2 yr-1
IT-CA1,42.3804,12.0266,46.11323547363281,exact,5,41.8–54.3 gC m-2 yr-1
IT-CA2,42.3772,12.026,46.11323547363281,exact,5,41.8–54.3 gC m-2 yr-1
IT-CA3,42.38,12.0222,46.11323547363281,exact,5,41.8–54.3 gC m-2 yr-1
IT-Col,41.8494,13.5881,61.01592254638672,exact,6,54.3–70.2 gC m-2 yr-1
IT-Cp2,41.7043,12.3573,29.470170974731445,exact,3,20.5–31.7 gC m-2 yr-1
IT-Cpz,41.7052,12.3761,29.470170974731445,exact,3,20.5–31.7 gC m-2 yr-1
IT-Isp,45.8126,8.6336,51.789161682128906,exact,5,41.8–54.3 gC m-2 yr-1
IT-La2,45.9542,11.2853,67.190673828125,exact,6,54.3–70.2 gC m-2 yr-1
IT-Lav,45.9562,11.2813,67.190673828125,exact,6,54.3–70.2 gC m-2 yr-1
IT-MBo,46.0147,11.0458,65.46407318115234,exact,6,54.3–70.2 gC m-2 yr-1
IT-Noe,40.6062,8.1517,27.630332946777344,exact,3,20.5–31.7 gC m-2 yr-1
IT-PT1,45.2009,9.061,63.19791793823242,exact,6,54.3–70.2 gC m-2 yr-1
IT-Ren,46.5869,11.4337,63.27781677246094,exact,6,54.3–70.2 gC m-2 yr-1
IT-Ro1,42.4081,11.93,41.641876220703125,exact,4,31.7–41.8 gC m-2 yr-1
IT-Ro2,42.3903,11.9209,41.641876220703125,exact,4,31.7–41.8 gC m-2 yr-1
IT-SR2,43.732,10.2909,41.5406379699707,exact,4,31.7–41.8 gC m-2 yr-1
IT-SRo,43.7279,10.2844,41.5406379699707,exact,4,31.7–41.8 gC m-2 yr-1
IT-Tor,45.8444,7.5781,57.62307357788086,exact,6,54.3–70.2 gC m-2 yr-1
JP-MBF,44.3869,142.3186,46.45514678955078,exact,5,41.8–54.3 gC m-2 yr-1
JP-SMF,35.2617,137.0788,69.69227600097656,exact,6,54.3–70.2 gC m-2 yr-1
MY-PSO,2.973,102.3062,88.7229995727539,exact,7,>70.2 gC m-2 yr-1
NL-Hor,52.2403,5.0713,37.65253829956055,exact,4,31.7–41.8 gC m-2 yr-1
NL-Loo,52.1666,5.7436,49.95448684692383,exact,5,41.8–54.3 gC m-2 yr-1
PA-SPn,9.3181,-79.6346,50.86760330200195,exact,5,41.8–54.3 gC m-2 yr-1
PA-SPs,9.3138,-79.6314,50.86760330200195,exact,5,41.8–54.3 gC m-2 yr-1
RU-Che,68.613,161.3414,12.055904388427734,exact,2,5.0–20.5 gC m-2 yr-1
RU-Cok,70.8291,147.4943,18.197891235351562,exact,2,5.0–20.5 gC m-2 yr-1
RU-Fyo,56.4615,32.9221,59.79362106323242,exact,6,54.3–70.2 gC m-2 yr-1
RU-Ha1,54.7252,90.0022,27.028852462768555,exact,3,20.5–31.7 gC m-2 yr-1
RU-Sam,72.3738,126.4958,15.540325164794922,exact,2,5.0–20.5 gC m-2 yr-1
RU-SkP,62.255,129.168,32.204734802246094,exact,4,31.7–41.8 gC m-2 yr-1
RU-Tks,71.5943,128.8878,17.051029205322266,exact,2,5.0–20.5 gC m-2 yr-1
RU-Vrk,67.0547,62.9405,32.188690185546875,exact,4,31.7–41.8 gC m-2 yr-1
SD-Dem,13.2829,30.4783,22.006938934326172,exact,3,20.5–31.7 gC m-2 yr-1
SE-St1,68.3541,19.0503,30.920011520385742,exact,3,20.5–31.7 gC m-2 yr-1
SJ-Adv,78.186,15.923,0.6152318716049194,exact,1,0–5 gC m-2 yr-1
SJ-Blv,78.9216,11.8311,0.43090295791625977,exact,1,0–5 gC m-2 yr-1
SN-Dhr,15.4028,-15.4322,31.520397186279297,exact,3,20.5–31.7 gC m-2 yr-1
US-AR1,36.4267,-99.42,45.322269439697266,exact,5,41.8–54.3 gC m-2 yr-1
US-AR2,36.6358,-99.5975,46.737571716308594,exact,5,41.8–54.3 gC m-2 yr-1
US-ARb,35.5497,-98.0402,43.3262825012207,exact,5,41.8–54.3 gC m-2 yr-1
US-ARc,35.5465,-98.04,43.3262825012207,exact,5,41.8–54.3 gC m-2 yr-1
US-ARM,36.6058,-97.4888,50.620296478271484,exact,5,41.8–54.3 gC m-2 yr-1
US-Atq,70.4696,-157.4089,11.701662063598633,exact,2,5.0–20.5 gC m-2 yr-1
US-Blo,38.8953,-120.6328,40.76582336425781,exact,4,31.7–41.8 gC m-2 yr-1
US-Cop,38.09,-109.39,33.458717346191406,exact,4,31.7–41.8 gC m-2 yr-1
US-CRT,41.6285,-83.3471,38.56884002685547,exact,4,31.7–41.8 gC m-2 yr-1
US-GBT,41.3658,-106.2397,30.56537628173828,exact,3,20.5–31.7 gC m-2 yr-1
US-GLE,41.3665,-106.2399,30.56537628173828,exact,3,20.5–31.7 gC m-2 yr-1
US-Goo,34.2547,-89.8735,67.18597412109375,exact,6,54.3–70.2 gC m-2 yr-1
US-Ha1,42.5378,-72.1715,57.04385757446289,exact,6,54.3–70.2 gC m-2 yr-1
US-IB2,41.8406,-88.241,48.89326477050781,exact,5,41.8–54.3 gC m-2 yr-1
US-Ivo,68.4865,-155.7503,6.100828170776367,exact,2,5.0–20.5 gC m-2 yr-1
US-KS1,28.4583,-80.6709,51.665809631347656,exact,5,41.8–54.3 gC m-2 yr-1
US-KS2,28.6086,-80.6715,67.67423248291016,exact,6,54.3–70.2 gC m-2 yr-1
US-Lin,36.3566,-119.0922,27.39079475402832,exact,3,20.5–31.7 gC m-2 yr-1
US-Los,46.0827,-89.9792,53.117305755615234,exact,5,41.8–54.3 gC m-2 yr-1
US-LWW,34.9604,-97.9789,52.74156188964844,exact,5,41.8–54.3 gC m-2 yr-1
US-Me1,44.5794,-121.5,40.97549819946289,exact,4,31.7–41.8 gC m-2 yr-1
US-Me2,44.4526,-121.5589,40.241119384765625,exact,4,31.7–41.8 gC m-2 yr-1
US-Me3,44.3154,-121.6078,40.241119384765625,exact,4,31.7–41.8 gC m-2 yr-1
US-Me4,44.4992,-121.6224,40.241119384765625,exact,4,31.7–41.8 gC m-2 yr-1
US-Me5,44.4372,-121.5668,40.241119384765625,exact,4,31.7–41.8 gC m-2 yr-1
US-Me6,44.3233,-121.6078,40.241119384765625,exact,4,31.7–41.8 gC m-2 yr-1
US-MMS,39.3232,-86.4131,60.12395095825195,exact,6,54.3–70.2 gC m-2 yr-1
US-Myb,38.0499,-121.765,28.40679931640625,exact,3,20.5–31.7 gC m-2 yr-1
US-Ne1,41.1651,-96.4766,41.159488677978516,exact,4,31.7–41.8 gC m-2 yr-1
US-Ne2,41.1649,-96.4701,41.159488677978516,exact,4,31.7–41.8 gC m-2 yr-1
US-Ne3,41.1797,-96.4397,41.159488677978516,exact,4,31.7–41.8 gC m-2 yr-1
US-NR1,40.0329,-105.5464,33.657047271728516,exact,4,31.7–41.8 gC m-2 yr-1
US-Oho,41.5545,-83.8438,58.87558364868164,exact,6,54.3–70.2 gC m-2 yr-1
US-ORv,40.0201,-83.0183,43.76709747314453,exact,5,41.8–54.3 gC m-2 yr-1
US-PFa,45.9459,-90.2723,54.42844009399414,exact,6,54.3–70.2 gC m-2 yr-1
US-Prr,65.1237,-147.4876,31.615341186523438,exact,3,20.5–31.7 gC m-2 yr-1
US-SRC,31.9083,-110.8395,24.90163230895996,exact,3,20.5–31.7 gC m-2 yr-1
US-SRG,31.7894,-110.8277,24.90163230895996,exact,3,20.5–31.7 gC m-2 yr-1
US-SRM,31.8214,-110.8661,24.90163230895996,exact,3,20.5–31.7 gC m-2 yr-1
US-Sta,41.3966,-106.8024,36.54007339477539,exact,4,31.7–41.8 gC m-2 yr-1
US-Syv,46.242,-89.3477,57.82821273803711,exact,6,54.3–70.2 gC m-2 yr-1
US-Ton,38.4309,-120.966,37.63893127441406,exact,4,31.7–41.8 gC m-2 yr-1
US-Tw1,38.1074,-121.6469,28.40679931640625,exact,3,20.5–31.7 gC m-2 yr-1
US-Tw2,38.0969,-121.6365,28.40679931640625,exact,3,20.5–31.7 gC m-2 yr-1
US-Tw3,38.1152,-121.6469,28.40679931640625,exact,3,20.5–31.7 gC m-2 yr-1
US-Tw4,38.1027,-121.6413,28.40679931640625,exact,3,20.5–31.7 gC m-2 yr-1
US-Twt,38.1087,-121.6531,28.40679931640625,exact,3,20.5–31.7 gC m-2 yr-1
US-UMB,45.5598,-84.7138,29.353097915649414,exact,3,20.5–31.7 gC m-2 yr-1
US-UMd,45.5625,-84.6975,29.353097915649414,exact,3,20.5–31.7 gC m-2 yr-1
US-Var,38.4133,-120.9508,37.63893127441406,exact,4,31.7–41.8 gC m-2 yr-1
US-WCr,45.8059,-90.0799,54.42844009399414,exact,6,54.3–70.2 gC m-2 yr-1
US-Whs,31.7438,-110.0522,26.135007858276367,exact,3,20.5–31.7 gC m-2 yr-1
US-Wi0,46.6188,-91.0814,44.10929489135742,exact,5,41.8–54.3 gC m-2 yr-1
US-Wi1,46.7305,-91.2329,44.10929489135742,exact,5,41.8–54.3 gC m-2 yr-1
US-Wi2,46.6869,-91.1528,44.10929489135742,exact,5,41.8–54.3 gC m-2 yr-1
US-Wi3,46.6347,-91.0987,44.10929489135742,exact,5,41.8–54.3 gC m-2 yr-1
US-Wi4,46.7393,-91.1663,44.10929489135742,exact,5,41.8–54.3 gC m-2 yr-1
US-Wi5,46.6531,-91.0858,44.10929489135742,exact,5,41.8–54.3 gC m-2 yr-1
US-Wi6,46.6249,-91.2982,44.10929489135742,exact,5,41.8–54.3 gC m-2 yr-1
US-Wi7,46.6491,-91.0693,44.10929489135742,exact,5,41.8–54.3 gC m-2 yr-1
US-Wi8,46.7223,-91.2524,44.10929489135742,exact,5,41.8–54.3 gC m-2 yr-1
US-Wi9,46.7385,-91.0746,44.10929489135742,exact,5,41.8–54.3 gC m-2 yr-1
US-Wkg,31.7365,-109.9419,20.214353561401367,exact,2,5.0–20.5 gC m-2 yr-1
US-WPT,41.4646,-82.9962,50.492515563964844,exact,5,41.8–54.3 gC m-2 yr-1
ZA-Kru,-25.0197,31.4969,70.59184265136719,exact,7,>70.2 gC m-2 yr-1
ZM-Mon,-15.4391,23.2525,48.997474670410156,exact,5,41.8–54.3 gC m-2 yr-1
