bin,bin_label,min_value,max_value,global_land_area_km2,global_land_fraction
1,0–5.0 gC m-2 yr-1,0,5,38819183.24487489,0.23456395623523316
2,5.0–11.7 gC m-2 yr-1,5,11.7,7410174.506348908,0.04477579648284194
3,11.7–17.7 gC m-2 yr-1,11.7,17.7,7411597.108401682,0.044784392520618985
4,17.7–22.2 gC m-2 yr-1,17.7,22.2,7314768.740790467,0.04419930950021091
5,22.2–26.1 gC m-2 yr-1,22.2,26.1,7294248.405681323,0.04407531588200131
6,26.1–29.7 gC m-2 yr-1,26.1,29.7,7355592.917221576,0.04444598857826674
7,29.7–33.1 gC m-2 yr-1,29.7,33.1,7192530.895926684,0.04346069034091411
8,33.1–36.6 gC m-2 yr-1,33.1,36.6,7463505.537632708,0.045098047922526335
9,36.6–40.3 gC m-2 yr-1,36.6,40.3,7251924.859357643,0.043819576898392006
10,40.3–44.3 gC m-2 yr-1,40.3,44.3,7373111.622991543,0.04455184492531049
11,44.3–48.6 gC m-2 yr-1,44.3,48.6,7337445.156647594,0.044336331183102325
12,48.6–53.0 gC m-2 yr-1,48.6,53,7319835.322008571,0.04422992419211745
13,53.0–57.7 gC m-2 yr-1,53,57.7,7239365.699355447,0.043743688484189074
14,57.7–63.1 gC m-2 yr-1,57.7,63.1,7285287.656077767,0.04402117077378034
15,63.1–69.8 gC m-2 yr-1,63.1,69.8,7368791.483332364,0.04452574058809264
16,69.8–78.7 gC m-2 yr-1,69.8,78.7,7279688.6933133425,0.04398733917952569
17,78.7–93.5 gC m-2 yr-1,78.7,93.5,7292541.994338956,0.0440650049335997
18,>93.5 gC m-2 yr-1,93.5,NA,7322054.824067387,0.04424333547850398
