site_id,n_years_used,mat_degc,map_mm,kg_class,kg_second,kg_main,koppen_class,koppen_twoletter,koppen_main,koppen_method,koppen_class_code,koppen_class_name,koppen_main_name,badm_kg_class,beck2023_kg_class,agree_badm,agree_beck2023
FR-Lus,30,11.906283333333333,771.5567,Cfb,Cf,C,Cfb,Cf,C,era5_local,15,"Temperate, no dry season, warm summer",Temperate,Cfb,Cfb,TRUE,TRUE
FR-Mau,30,12.879455555555555,572.2459333333334,Cfb,Cf,C,Cfb,Cf,C,era5_local,15,"Temperate, no dry season, warm summer",Temperate,NA,Cfa,NA,FALSE
FR-Mej,30,11.675894444444443,720.1868,Cfb,Cf,C,Cfb,Cf,C,era5_local,15,"Temperate, no dry season, warm summer",Temperate,Cfb,Cfb,TRUE,TRUE
FR-Nzn,30,11.417919444444445,912.8695999999999,Cfb,Cf,C,Cfb,Cf,C,era5_local,15,"Temperate, no dry season, warm summer",Temperate,Cfb,Cfb,TRUE,TRUE
FR-Pue,30,13.901080555555556,930.8250333333334,Csa,Cs,C,Csa,Cs,C,era5_local,8,"Temperate, dry summer, hot summer",Temperate,Csa,Csa,TRUE,TRUE
FR-Tou,30,13.949605555555555,616.5935333333334,Cfa,Cf,C,Cfa,Cf,C,era5_local,14,"Temperate, no dry season, hot summer",Temperate,Cfb,Cfa,FALSE,TRUE
GF-Guy,30,25.770775,2487.7836333333335,Af,Af,A,Af,Af,A,era5_local,1,"Tropical, rainforest",Tropical,Af,Am,TRUE,FALSE
GH-Ank,30,25.028458333333333,1861.9027,Af,Af,A,Af,Af,A,era5_local,1,"Tropical, rainforest",Tropical,NA,Am,NA,FALSE
GL-Dsk,30,-3.2195166666666664,2107.9039,ET,ET,E,ET,ET,E,era5_local,29,"Polar, tundra",Polar,ET,ET,TRUE,TRUE
GL-NuF,30,-0.9088305555555559,861.8118999999999,ET,ET,E,ET,ET,E,era5_local,29,"Polar, tundra",Polar,ET,ET,TRUE,TRUE
GL-ZaF,30,-9.415441666666666,780.7409666666666,ET,ET,E,ET,ET,E,era5_local,29,"Polar, tundra",Polar,ET,ET,TRUE,TRUE
GL-ZaH,30,-9.4158333333333335,677.7331666666666,ET,ET,E,ET,ET,E,era5_local,29,"Polar, tundra",Polar,ET,ET,TRUE,TRUE
ID-JOP,30,26.40626111111111,2024.7450666666666,Af,Af,A,Af,Af,A,era5_local,1,"Tropical, rainforest",Tropical,Af,Af,TRUE,TRUE
ID-PaB,30,26.297138888888888,2539.1999333333333,Af,Af,A,Af,Af,A,era5_local,1,"Tropical, rainforest",Tropical,Am,Af,FALSE,TRUE
ID-PaD,30,26.115222222222222,2484.8323333333333,Af,Af,A,Af,Af,A,era5_local,1,"Tropical, rainforest",Tropical,NA,Af,NA,TRUE
ID-Pag,30,25.99124722222222,2590.343366666667,Af,Af,A,Af,Af,A,era5_local,1,"Tropical, rainforest",Tropical,Am,Af,FALSE,TRUE
IE-CaC,30,9.814355555555554,507.08189999999996,Cfb,Cf,C,Cfb,Cf,C,era5_local,15,"Temperate, no dry season, warm summer",Temperate,Cfb,Cfb,TRUE,TRUE
IE-CaN,30,9.814355555555554,507.08189999999996,Cfb,Cf,C,Cfb,Cf,C,era5_local,15,"Temperate, no dry season, warm summer",Temperate,Cfb,Cfb,TRUE,TRUE
IE-Cra,30,9.58736388888889,3474.4631333333327,Cfb,Cf,C,Cfb,Cf,C,era5_local,15,"Temperate, no dry season, warm summer",Temperate,Cfb,Cfb,TRUE,TRUE
IE-Gwr,30,11.100744444444445,3274.0240000000003,Cfb,Cf,C,Cfb,Cf,C,era5_local,15,"Temperate, no dry season, warm summer",Temperate,NA,Cfb,NA,TRUE
IL-RmH,30,20.379869444444445,560.337,Csa,Cs,C,Csa,Cs,C,era5_local,8,"Temperate, dry summer, hot summer",Temperate,Csa,Csa,TRUE,TRUE
