site_id,igbp,network,n_record_years,ge_10yr,ge_20yr
US-ARM,CRO,AmeriFlux;Phenocam,23,TRUE,TRUE
US-ASH,DBF,AmeriFlux,0,FALSE,FALSE
US-ASM,DBF,AmeriFlux,0,FALSE,FALSE
US-Aud,GRA,AmeriFlux,20,TRUE,TRUE
US-Bar,DBF,AmeriFlux;Phenocam,20,TRUE,TRUE
US-Bi1,CRO,AmeriFlux;Phenocam,8,FALSE,FALSE
US-Bi2,CRO,AmeriFlux;Phenocam,8,FALSE,FALSE
US-BRG,GRA,AmeriFlux,4,FALSE,FALSE
US-BZB,WET,AmeriFlux,14,TRUE,FALSE
US-BZF,WET,AmeriFlux,14,TRUE,FALSE
US-BZo,WET,AmeriFlux,8,FALSE,FALSE
US-CAK,GRA,AmeriFlux,1,FALSE,FALSE
US-CdM,WSA,AmeriFlux,6,FALSE,FALSE
US-Ced,CSH,AmeriFlux,9,FALSE,FALSE
US-CF1,CRO,AmeriFlux;LTAR;Phenocam,5,FALSE,FALSE
US-CF2,CRO,AmeriFlux;LTAR;Phenocam,4,FALSE,FALSE
US-CF3,CRO,AmeriFlux;LTAR;Phenocam,4,FALSE,FALSE
US-CF4,CRO,AmeriFlux;LTAR;Phenocam,5,FALSE,FALSE
US-CGG,GRA,AmeriFlux,5,FALSE,FALSE
US-ChR,DBF,AmeriFlux;Phenocam,14,TRUE,FALSE
US-CLF,CVM,AmeriFlux,2,FALSE,FALSE
US-Cms,WET,AmeriFlux,4,FALSE,FALSE
US-CMW,DBF,AmeriFlux,21,TRUE,TRUE
US-Cop,GRA,AmeriFlux,5,FALSE,FALSE
US-CRK,ENF,AmeriFlux,4,FALSE,FALSE
US-CRT,CRO,AmeriFlux;Phenocam,3,FALSE,FALSE
US-CS1,CRO,AmeriFlux,1,FALSE,FALSE
US-CS2,ENF,AmeriFlux,3,FALSE,FALSE
US-CS3,CRO,AmeriFlux,1,FALSE,FALSE
US-CS4,CRO,AmeriFlux,1,FALSE,FALSE
US-CS5,CRO,AmeriFlux,1,FALSE,FALSE
US-CS6,CRO,AmeriFlux,0,FALSE,FALSE
US-CS8,CRO,AmeriFlux,0,FALSE,FALSE
US-Cst,ENF,AmeriFlux,5,FALSE,FALSE
US-Cwt,DBF,AmeriFlux;Phenocam,13,TRUE,FALSE
US-DFC,CRO,AmeriFlux,6,FALSE,FALSE
