unep_class,ai_min,ai_max,global_land_area_km2,global_land_fraction
Hyper-Arid,0,0.05,13222751.024439909,0.09811961548710724
Arid,0.05,0.2,19775880.839620046,0.1467472101921818
Semi-Arid,0.2,0.5,22175851.007299073,0.1645562235811463
Dry Sub-Humid,0.5,0.65,11901094.199014127,0.08831224187196489
Humid,0.65,Inf,67685968.4044698,0.5022647088675998
