bin,bin_label,min_value,max_value,global_land_area_km2,global_land_fraction
1,0–5.0 gC m-2 yr-1,0,5,38819183.24487489,0.23456395623523316
2,5.0–8.8 gC m-2 yr-1,5,8.8,4334006.352578837,0.026188126370323413
3,8.8–12.9 gC m-2 yr-1,8.8,12.9,4350202.482297026,0.026285991084231294
4,12.9–16.4 gC m-2 yr-1,12.9,16.4,4320228.071262086,0.026104871445679786
5,16.4–19.3 gC m-2 yr-1,16.4,19.3,4243739.378017474,0.025642690405405375
6,19.3–21.9 gC m-2 yr-1,19.3,21.9,4371890.360577857,0.026417039553226884
7,21.9–24.2 gC m-2 yr-1,21.9,24.2,4229823.824106057,0.02555860601449801
8,24.2–26.4 gC m-2 yr-1,24.2,26.4,4250711.411321821,0.025684818744493687
9,26.4–28.5 gC m-2 yr-1,26.4,28.5,4302453.29482897,0.025997467797976848
10,28.5–30.7 gC m-2 yr-1,28.5,30.7,4355620.177266515,0.026318727372310897
11,30.7–32.7 gC m-2 yr-1,30.7,32.7,4365860.856055782,0.02638060642103256
12,32.7–34.7 gC m-2 yr-1,32.7,34.7,4302458.187569186,0.02599749736223879
13,34.7–36.7 gC m-2 yr-1,34.7,36.7,4235974.192196772,0.025595769461821485
14,36.7–38.8 gC m-2 yr-1,36.7,38.8,4221331.374229584,0.025507290595814698
15,38.8–41.1 gC m-2 yr-1,38.8,41.1,4344833.151566353,0.02625354703587053
16,41.1–43.4 gC m-2 yr-1,41.1,43.4,4288284.809619535,0.025911855075946576
17,43.4–45.8 gC m-2 yr-1,43.4,45.8,4183597.3412894476,0.025279283633501355
18,45.8–48.4 gC m-2 yr-1,45.8,48.4,4360666.296834937,0.02634921842520448
19,48.4–50.9 gC m-2 yr-1,48.4,50.9,4240016.645929715,0.02562019588868666
20,50.9–53.6 gC m-2 yr-1,50.9,53.6,4363855.338390879,0.026368488130062557
21,53.6–56.4 gC m-2 yr-1,53.6,56.4,4326862.933199823,0.02614496243511078
22,56.4–59.3 gC m-2 yr-1,56.4,59.3,4322665.331230515,0.02611959852885828
23,59.3–62.5 gC m-2 yr-1,59.3,62.5,4183218.964306,0.025276997299921746
24,62.5–66.1 gC m-2 yr-1,62.5,66.1,4254566.581004179,0.02570811351210762
25,66.1–70.3 gC m-2 yr-1,66.1,70.3,4384147.573490912,0.026491103459599343
26,70.3–75.3 gC m-2 yr-1,70.3,75.3,4255671.611132051,0.02571479062936992
27,75.3–81.3 gC m-2 yr-1,75.3,81.3,4245926.628638503,0.025655906813275425
28,81.3–90.1 gC m-2 yr-1,81.3,90.1,4290140.944213169,0.025923070723397
29,90.1–104.8 gC m-2 yr-1,90.1,104.8,4294177.144039657,0.02594745936118685
30,>104.8 gC m-2 yr-1,104.8,NA,4289534.166301843,0.02591940428285035
