site_id,site_name,location_lat,location_long,igbp,dataset,coords_source
CN-Anh,China – Anhui Huaining,33,117,DBF,LaThuile,measured
CN-Bed,China – Beijing Daxing,39.530601501464844,116.25199890136719,EBF,LaThuile,measured
CN-Cha,China – Changbaishan,42.40250015258789,128.0959930419922,MF,LaThuile,measured
CN-Do1,China – Dongtan 1,31.516700744628906,121.96099853515625,WET,LaThuile,measured
CN-Do2,China – Dongtan 2,31.584699630737305,121.90299987792969,WET,LaThuile,measured
CN-Do3,China – Dongtan 3,31.51689910888672,121.97200012207031,WET,LaThuile,measured
CN-Du1,China – Duolun_cropland,42.04560089111328,116.6709976196289,CRO,LaThuile,measured
CN-Du2,China – Duolun_grassland,42.04669952392578,116.28399658203125,GRA,LaThuile,measured
CN-HaM,China – Haibei Alpine Tibet site,37.369998931884766,101.18000030517578,GRA,LaThuile,measured
CN-Hny,China – Hunan Yueyang,29.309999465942383,112.51000213623047,DBF,LaThuile,measured
CN-Ku1,China – Kubuqi_populus forest,40.538299560546875,108.69400024414062,EBF,LaThuile,measured
CN-Ku2,China – Kubuqi_shrubland,40.38079833984375,108.54900360107422,OSH,LaThuile,measured
CN-Xfs,China – Xilinhot Inner Mongolia fenced typical steppe,44.1341667175293,116.32861328125,TBD,LaThuile,measured
CN-Xi1,China – Xilinhot fenced steppe (X06),43.545833587646484,116.67778015136719,GRA,LaThuile,measured
CN-Xi2,China – Xilinhot grassland site (X03),43.55440139770508,116.6709976196289,GRA,LaThuile,measured
CZ-BK1,Czech Republic – Bily Kriz- Beskidy Mountains,49.502601623535156,18.538400650024414,ENF,LaThuile,measured
CZ-BK2,Czech Republic – Bily Kriz- grassland,49.49530029296875,18.544700622558594,GRA,LaThuile,measured
CZ-wet,Czech Republic – CZECHWET,49.025001525878906,14.772000312805176,WET,LaThuile,measured
DE-Bay,Germany – Bayreuth-Waldstein/WeidenBrunnen,50.14189910888672,11.866900444030762,ENF,LaThuile,measured
DE-Geb,Germany – Gebesee,51.100101470947266,10.914299964904785,CRO,LaThuile,measured
DE-Gri,Germany – Grillenburg- grass station,50.949501037597656,13.512499809265137,GRA,LaThuile,measured
DE-Hai,Germany – Hainich,51.07929992675781,10.45199966430664,DBF,LaThuile,measured
DE-Har,Germany – Hartheim,47.93439865112305,7.60099983215332,ENF,LaThuile,measured
DE-Kli,Germany – Klingenberg – cropland,50.89289855957031,13.522500038146973,CRO,LaThuile,measured
DE-Meh,Germany – Mehrstedt 1,51.275299072265625,10.655500411987305,GRA,LaThuile,measured
DE-Tha,Germany – Anchor Station Tharandt – old spruce,50.963600158691406,13.566900253295898,ENF,LaThuile,measured
DE-Wet,Germany – Wetzstein,50.45349884033203,11.457500457763672,ENF,LaThuile,measured
DK-Fou,Denmark – Foulum,56.48419952392578,9.587220191955566,CRO,LaThuile,measured
DK-Lva,Denmark – Lille Valby (Rimi),55.68330001831055,12.08329963684082,GRA,LaThuile,measured
DK-Ris,Denmark – Risbyholm,55.53030014038086,12.097200393676758,CRO,LaThuile,measured
DK-Sor,Denmark – Soroe- LilleBogeskov,55.486900329589844,11.64579963684082,DBF,LaThuile,measured
ES-ES1,Spain – El Saler,39.34600067138672,-0.31880998611450195,ENF,LaThuile,measured
ES-ES2,Spain – El Saler-Sueca,39.2755012512207,-0.3152199983596802,CRO,LaThuile,measured
ES-LJu,Spain – Llano de los Juanes,36.928199768066406,-2.750469923019409,OSH,LaThuile,measured
ES-LMa,Spain – Las Majadas del Tietar,39.94150161743164,-5.773359775543213,SAV,LaThuile,measured
ES-VDA,Spain – Vall d’Alinya,42.152198791503906,1.4485000371932983,GRA,LaThuile,measured
FI-Hyy,Finland – Hyytiala,61.8474006652832,24.2947998046875,ENF,LaThuile,measured
FI-Kaa,Finland – Kaamanen wetland,69.14070129394531,27.295000076293945,WET,LaThuile,measured
FI-Sii,Finland – Siikaneva fen,61.83300018310547,24.19300079345703,GRA,LaThuile,measured
FI-Sod,Finland – Sodankyla,67.36190032958984,26.637800216674805,ENF,LaThuile,measured
FR-Aur,France – Aurade,43.549400329589844,1.1077799797058105,CRO,LaThuile,measured
FR-Fon,France – Fontainebleau,48.47629928588867,2.7801499366760254,DBF,LaThuile,measured
FR-Gri,France – Grignon (after 6/5/2005),48.84400177001953,1.952430009841919,CRO,LaThuile,measured
FR-Hes,France – Hesse Forest- Sarrebourg,48.674198150634766,7.064620018005371,DBF,LaThuile,measured
FR-Lam,France – Lamasquere,43.49330139160156,1.237220048904419,CRO,LaThuile,measured
FR-LBr,France – Le Bray (after 6/28/1998),44.717098236083984,-0.7692999839782715,ENF,LaThuile,measured
FR-Lq1,France – Laqueuille,45.644100189208984,2.737030029296875,GRA,LaThuile,measured
