bin,bin_label,min_value,max_value,global_land_area_km2,global_land_fraction
1,0–5.0 Mg/ha,0,5,77160568.36155841,0.523751488487376
2,5.0–8.0 Mg/ha,5,8,5352482.614494234,0.036331649649185366
3,8.0–10.0 Mg/ha,8,10,2966566.1604009867,0.020136495559827623
4,10.0–14.0 Mg/ha,10,14,4953718.990295365,0.033624916842991716
5,14.0–18.0 Mg/ha,14,18,3902694.507062763,0.026490759471958156
6,18.0–23.0 Mg/ha,18,23,3995569.1582715064,0.027121175212098808
7,23.0–29.0 Mg/ha,23,29,3921082.8414141387,0.0266155760420255
8,29.0–37.0 Mg/ha,29,37,4246513.503049627,0.028824538431109388
9,37.0–46.0 Mg/ha,37,46,3918055.984292358,0.026595030302710276
10,46.0–57.0 Mg/ha,46,57,3968576.875582576,0.026937956651943117
11,57.0–71.0 Mg/ha,57,71,4203352.582429975,0.02853157018451609
12,71.0–87.0 Mg/ha,71,87,3993058.725176424,0.027104134862368148
13,87.0–107.0 Mg/ha,87,107,4106606.8804403543,0.02787487847659103
14,107.0–132.0 Mg/ha,107,132,4157567.5779430866,0.02822079014803367
15,132.0–164.0 Mg/ha,132,164,4141979.491002232,0.028114981132997815
16,164.0–220.0 Mg/ha,164,220,4081546.1310763657,0.027704770802934528
17,220.0–288.0 Mg/ha,220,288,4156702.1512240767,0.028214915793530033
18,>288.0 Mg/ha,288,NA,4096219.6602371335,0.02780437197102473
