site_id,location_lat,location_long,cci_native_class,cci_native_class_name,cci_high_level_class,cci_high_level_class_name,landcover_method,lulc_native,lulc_native_name,lulc_level2,lulc_level2_name,lulc_highlevel,lulc_highlevel_name
CA-KLP,51.5902,-81.7684,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),2,Forest,exact,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),10,Mosaic tree-shrub/herb,2,Forest
CA-LP1,55.1119,-122.8414,71,"Tree cover, needleleaved, evergreen, closed (>40%)",2,Forest,exact,71,"Tree cover, needleleaved, evergreen, closed (>40%)",7,NL evergreen forest,2,Forest
CA-LU1,59.5951,-117.2862,120,Shrubland,3,Shrubland,exact,120,Shrubland,12,Shrubland,3,Shrubland
CA-LU2,59.4405,-117.2422,120,Shrubland,3,Shrubland,exact,120,Shrubland,12,Shrubland,3,Shrubland
CA-MA1,50.1645,-97.8762,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
CA-MA2,50.171,-97.8762,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",6,BL deciduous forest,2,Forest
CA-MA3,50.1774,-97.8686,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
CA-Man,55.8796,-98.4808,71,"Tree cover, needleleaved, evergreen, closed (>40%)",2,Forest,exact,71,"Tree cover, needleleaved, evergreen, closed (>40%)",7,NL evergreen forest,2,Forest
CA-Mer,45.4094,-75.5186,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),2,Forest,exact,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),10,Mosaic tree-shrub/herb,2,Forest
CA-Mtk,72.6695,-77.9981,140,Lichens and mosses,10,Other,exact,140,Lichens and mosses,14,Lichens and mosses,10,Other
CA-Na1,46.4722,-67.1,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
CA-Ojp,53.9163,-104.692,71,"Tree cover, needleleaved, evergreen, closed (>40%)",2,Forest,exact,71,"Tree cover, needleleaved, evergreen, closed (>40%)",7,NL evergreen forest,2,Forest
CA-PB1,54.9417,-83.4579,150,"Sparse vegetation (tree, shrub, herbaceous cover) (<15%)",3,Shrubland,exact,150,"Sparse vegetation (tree, shrub, herbaceous cover) (<15%)",15,Sparse vegetation,3,Shrubland
CA-PB2,54.9389,-83.4736,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),2,Forest,exact,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),10,Mosaic tree-shrub/herb,2,Forest
CA-Qc2,49.7598,-74.5711,90,"Tree cover, mixed leaf type (broadleaved and needleleaved)",2,Forest,exact,90,"Tree cover, mixed leaf type (broadleaved and needleleaved)",9,Mixed forest,2,Forest
CA-Qfo,49.6925,-74.3421,71,"Tree cover, needleleaved, evergreen, closed (>40%)",2,Forest,exact,71,"Tree cover, needleleaved, evergreen, closed (>40%)",7,NL evergreen forest,2,Forest
CA-RBM,49.1313,-123.1964,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),2,Forest,exact,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),10,Mosaic tree-shrub/herb,2,Forest
CA-SCB,61.3089,-121.2984,120,Shrubland,3,Shrubland,exact,120,Shrubland,12,Shrubland,3,Shrubland
CA-SCC,61.3079,-121.2992,120,Shrubland,3,Shrubland,exact,120,Shrubland,12,Shrubland,3,Shrubland
CA-SF1,54.485,-105.8176,71,"Tree cover, needleleaved, evergreen, closed (>40%)",2,Forest,exact,71,"Tree cover, needleleaved, evergreen, closed (>40%)",7,NL evergreen forest,2,Forest
