site_id,location_lat,location_long,cci_native_class,cci_native_class_name,cci_high_level_class,cci_high_level_class_name,landcover_method
US-TKs,68.6337,-149.5769,150,"Sparse vegetation (tree, shrub, herbaceous cover) (<15%)",3,Shrubland,exact
US-TLR,35.9168,-76.1463,160,"Tree cover, flooded, fresh or brakish water",5,Wetland,exact
US-Ton,38.4309,-120.966,120,Shrubland,3,Shrubland,exact
US-Tw1,38.1074,-121.6469,11,Herbaceous cover,1,Cropland,exact
US-Tw2,38.0969,-121.6365,11,Herbaceous cover,1,Cropland,exact
US-Tw3,38.1152,-121.6469,11,Herbaceous cover,1,Cropland,exact
US-Tw4,38.1027,-121.6413,11,Herbaceous cover,1,Cropland,exact
US-Tw5,38.1072,-121.6426,11,Herbaceous cover,1,Cropland,exact
US-Twt,38.1087,-121.6531,11,Herbaceous cover,1,Cropland,exact
US-Uaf,64.8663,-147.8555,71,"Tree cover, needleleaved, evergreen, closed (>40%)",2,Forest,exact
US-UC1,40.7536,-78.0056,11,Herbaceous cover,1,Cropland,exact
US-UC2,40.7559,-77.9998,11,Herbaceous cover,1,Cropland,exact
US-UiA,40.0646,-88.1961,11,Herbaceous cover,1,Cropland,exact
US-UiB,40.0628,-88.1984,11,Herbaceous cover,1,Cropland,exact
US-UiC,40.0628,-88.1961,11,Herbaceous cover,1,Cropland,exact
US-UiD,40.0646,-88.1985,11,Herbaceous cover,1,Cropland,exact
US-UiE,40.0629,-88.2033,11,Herbaceous cover,1,Cropland,exact
US-UiF,40.0665,-88.2015,11,Herbaceous cover,1,Cropland,exact
US-UiG,40.0629,-88.2009,11,Herbaceous cover,1,Cropland,exact
US-UMd,45.5625,-84.6975,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
US-UTB,40.7848,-113.8299,200,Bare areas,7,Bare,exact
US-UTD,38.1038,-109.5952,40,"Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%) ",10,Other,exact
US-UTE,37.7353,-111.5708,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-UTJ,37.2818,-109.5348,11,Herbaceous cover,1,Cropland,exact
US-UTL,40.1877,-109.6579,30,"Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",1,Cropland,exact
US-UTM,38.5879,-109.5775,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-UTP,41.0604,-112.1013,210,Water bodies,9,Water,exact
US-UTV,40.1266,-109.9546,120,Shrubland,3,Shrubland,exact
US-UTW,39.4453,-110.7288,120,Shrubland,3,Shrubland,exact
US-Var,38.4133,-120.9508,130,Grassland,4,Grassland,exact
US-Vcm,35.8885,-106.5322,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",5,Wetland,exact
US-Vcp,35.8641,-106.5965,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-VT1,40.4064,-87.5214,11,Herbaceous cover,1,Cropland,exact
US-VT2,40.4018,-87.5213,11,Herbaceous cover,1,Cropland,exact
US-WCr,45.8058,-90.0795,40,"Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%) ",10,Other,exact
US-Whs,31.7438,-110.0522,120,Shrubland,3,Shrubland,exact
US-Wjs,34.4258,-105.8617,130,Grassland,4,Grassland,exact
US-Wkg,31.7365,-109.9419,120,Shrubland,3,Shrubland,exact
US-WPT,41.4646,-82.9962,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",5,Wetland,exact
US-WT1,34.3674,-101.8154,11,Herbaceous cover,1,Cropland,exact
US-xAB,45.7624,-122.3303,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-xAE,35.4106,-99.0588,130,Grassland,4,Grassland,exact
US-xBA,71.2824,-156.6194,140,Lichens and mosses,10,Other,exact
US-xBL,39.0603,-78.0716,130,Grassland,4,Grassland,exact
US-xBN,65.154,-147.5026,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-xBR,44.0639,-71.2873,90,"Tree cover, mixed leaf type (broadleaved and needleleaved)",2,Forest,exact
US-xCL,33.4012,-97.57,130,Grassland,4,Grassland,exact
US-xCP,40.8155,-104.7456,130,Grassland,4,Grassland,exact
US-xDC,47.1617,-99.1066,130,Grassland,4,Grassland,exact
US-xDJ,63.881100000000004,-145.7514,71,"Tree cover, needleleaved, evergreen, closed (>40%)",2,Forest,exact
US-xDL,32.5417,-87.8039,160,"Tree cover, flooded, fresh or brakish water",5,Wetland,exact
US-xDS,28.125,-81.4362,120,Shrubland,3,Shrubland,exact
US-xGR,35.689,-83.5019,90,"Tree cover, mixed leaf type (broadleaved and needleleaved)",2,Forest,exact
US-xHE,63.8757,-149.2133,130,Grassland,4,Grassland,exact
US-xJE,31.1948,-84.4686,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-xJR,32.5907,-106.8425,120,Shrubland,3,Shrubland,exact
US-xKZ,39.1008,-96.5631,130,Grassland,4,Grassland,exact
US-xLE,31.8539,-88.1612,160,"Tree cover, flooded, fresh or brakish water",5,Wetland,exact
US-xMB,38.2483,-109.3883,120,Shrubland,3,Shrubland,exact
US-xML,37.3783,-80.5248,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
US-xNG,46.7697,-100.9154,130,Grassland,4,Grassland,exact
US-xNQ,40.1776,-112.4524,120,Shrubland,3,Shrubland,exact
US-xNW,40.0543,-105.5824,10,"Cropland, rainfed",1,Cropland,exact
US-xPU,19.5531,-155.3173,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-xRM,40.2759,-105.5459,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-xRN,35.9641,-84.2826,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
US-xSB,29.6893,-81.9934,120,Shrubland,3,Shrubland,exact
US-xSC,38.8929,-78.1395,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
US-xSE,38.8901,-76.56,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
US-xSJ,37.1088,-119.7323,10,"Cropland, rainfed",1,Cropland,exact
US-xSL,40.4619,-103.0293,11,Herbaceous cover,1,Cropland,exact
US-xSP,37.0334,-119.26220000000001,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-xSR,31.9107,-110.8355,120,Shrubland,3,Shrubland,exact
US-xST,45.5089,-89.5864,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
US-xTE,37.0058,-119.006,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-xTL,68.6611,-149.3705,150,"Sparse vegetation (tree, shrub, herbaceous cover) (<15%)",3,Shrubland,exact
US-xTR,45.4937,-89.5857,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
US-xUK,39.0404,-95.1921,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
US-xUN,46.2339,-89.5373,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
US-xWD,47.1282,-99.2414,130,Grassland,4,Grassland,exact
US-xWR,45.8205,-121.9519,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-xYE,44.9535,-110.5391,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-YK1,61.2723,-163.2228,150,"Sparse vegetation (tree, shrub, herbaceous cover) (<15%)",3,Shrubland,exact
US-YK2,61.2548,-163.259,130,Grassland,4,Grassland,exact
US-ZF2,40.7939,-87.5355,11,Herbaceous cover,1,Cropland,exact
ZA-Uby,-27.3952,32.5889,130,Grassland,4,Grassland,exact
ZA-Spk,-28.70408,29.52614,120,Shrubland,3,Shrubland,exact
ZA-Jks,-33.99029,18.95543,12,Tree or shrub cover,1,Cropland,exact
ZA-BfS,-28.8906,24.86112,120,Shrubland,3,Shrubland,exact
ZA-BfK,-28.856483,24.83985,120,Shrubland,3,Shrubland,exact
KR-WdE,34.35956,126.67779,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
KR-UAO,36.41682,128.79904,11,Herbaceous cover,1,Cropland,exact
KR-TwC,37.30493,127.31743,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
KR-TwB,37.30406,127.31395,61,"Tree cover, broadleaved, deciduous, closed (>40%)",2,Forest,exact
KR-SmM,37.93894,126.95471,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
KR-ScC,37.22141,129.29863,11,Herbaceous cover,1,Cropland,exact
KR-PcD,37.48184,128.51604,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
KR-Nj2,35.0269,126.8219,11,Herbaceous cover,1,Cropland,exact
KR-Nj1,35.02753,126.82093,11,Herbaceous cover,1,Cropland,exact
KR-Kw2,37.74869,127.14888,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
KR-Kw1,37.74843,127.16261,61,"Tree cover, broadleaved, deciduous, closed (>40%)",2,Forest,exact
KR-JjM,33.31798,126.56772,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
KR-Hnm,34.5538,126.56992,11,Herbaceous cover,1,Cropland,exact
KR-HcM,37.61938,127.84571,61,"Tree cover, broadleaved, deciduous, closed (>40%)",2,Forest,exact
KR-HPK,34.47722,126.48105,10,"Cropland, rainfed",1,Cropland,exact
KR-GmS,35.75089,126.81378,11,Herbaceous cover,1,Cropland,exact
KR-GmR,35.74862,126.86432,11,Herbaceous cover,1,Cropland,exact
KR-GmP,35.74502,126.85222,11,Herbaceous cover,1,Cropland,exact
KR-CmF,37.1599,127.65365,11,Herbaceous cover,1,Cropland,exact
KR-CRK,38.2013,127.2497,11,Herbaceous cover,1,Cropland,exact
KR-AdC,36.50565,126.35909,11,Herbaceous cover,1,Cropland,exact
TH-Mae,18.42264,99.72025,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
TH-Kog,18.81267,98.90225,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact
RU-Tur,64.208885,100.463554,80,"Tree cover, needleleaved, deciduous, closed to open (>15%)",2,Forest,exact
RU-SkP,62.25471,129.61855,80,"Tree cover, needleleaved, deciduous, closed to open (>15%)",2,Forest,exact
RU-Sk2,62.241356,129.65047,80,"Tree cover, needleleaved, deciduous, closed to open (>15%)",2,Forest,exact
RU-NeF,62.315617,129.49997,80,"Tree cover, needleleaved, deciduous, closed to open (>15%)",2,Forest,exact
RU-NeC,62.314842,129.50008,80,"Tree cover, needleleaved, deciduous, closed to open (>15%)",2,Forest,exact
RU-NeB,62.325935,129.48734,80,"Tree cover, needleleaved, deciduous, closed to open (>15%)",2,Forest,exact
RU-Ege,60.015514,133.824,80,"Tree cover, needleleaved, deciduous, closed to open (>15%)",2,Forest,exact
MY-LHP,4.201007,114.03908,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact
MN-Udg,48.25649,106.85116,80,"Tree cover, needleleaved, deciduous, closed to open (>15%)",2,Forest,exact
MN-Nkh,47.693592,107.48934,150,"Sparse vegetation (tree, shrub, herbaceous cover) (<15%)",3,Shrubland,exact
MN-Kbu,47.21397,108.737335,150,"Sparse vegetation (tree, shrub, herbaceous cover) (<15%)",3,Shrubland,exact
MN-Hst,47.59293,105.85497,150,"Sparse vegetation (tree, shrub, herbaceous cover) (<15%)",3,Shrubland,exact
KH-Kmp,12.744579,105.47857,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact
JP-Ynf,26.751,128.21266,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact
JP-Yms,34.79028,135.84094,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
JP-Toc,42.70973,141.5659,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
JP-Tmk,42.739307,141.51483,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),2,Forest,exact
JP-Tmd,42.735912,141.52315,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
JP-Tkb,36.173378,140.17664,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
JP-Tgf,36.11353,140.09488,10,"Cropland, rainfed",1,Cropland,exact
JP-Tef,45.05581,142.10712,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
JP-Tak,36.146168,137.42311,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
JP-Ta2,36.140038,137.37071,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
JP-Srk,40.565483,140.12779,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
JP-Spp,42.986843,141.38533,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
JP-Shn,35.865753,137.93256,40,"Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%) ",10,Other,exact
JP-Sb2,45.10339,141.6808,10,"Cropland, rainfed",1,Cropland,exact
JP-Sb1,45.104702,141.68797,10,"Cropland, rainfed",1,Cropland,exact
JP-SMF,35.261528,137.07875,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
JP-Om2,34.542454,135.50822,190,Urban areas,6,Settlement,exact
JP-Nuf,35.152416,136.9719,20,"Cropland, irrigated or post-flooding",1,Cropland,exact
JP-NsM,36.91604,139.936,10,"Cropland, rainfed",1,Cropland,exact
JP-NsC,36.915054,139.93684,10,"Cropland, rainfed",1,Cropland,exact
JP-Nkm,35.808064,137.83388,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
JP-Mse,36.05393,140.02693,20,"Cropland, irrigated or post-flooding",1,Cropland,exact
JP-MMF,44.321884,142.26152,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
JP-MBF,44.38406,142.31862,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
JP-Kzw,36.406788,138.57257,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),2,Forest,exact
JP-Khw,33.13658,130.70834,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
JP-KaP,36.08313,140.24033,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
JP-Hc3,34.539673,133.91173,11,Herbaceous cover,1,Cropland,exact
JP-Hc2,34.537518,133.92755,20,"Cropland, irrigated or post-flooding",1,Cropland,exact
JP-Fmt,35.638744,139.37975,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
JP-Fjy,35.45454,138.76225,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
JP-Fhk,35.443554,138.7647,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
JP-BBY,43.322998,141.81065,10,"Cropland, rainfed",1,Cropland,exact
JP-Api,40.001358,140.93658,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
ID-Pag,-2.3239167,113.90439,160,"Tree cover, flooded, fresh or brakish water",5,Wetland,exact
ID-PaD,-2.3460708,114.03641,160,"Tree cover, flooded, fresh or brakish water",5,Wetland,exact
ID-PaB,-2.340796,114.0379,150,"Sparse vegetation (tree, shrub, herbaceous cover) (<15%)",3,Shrubland,exact
CN-Lsh,45.27984,127.57821,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
CN-HaM,37.607433,101.332,130,Grassland,4,Grassland,exact
UK-AMo,55.792545,-3.2436917,130,Grassland,4,Grassland,exact
SE-Svb,64.25611,19.7745,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
SE-Sto,68.35594,19.045208,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",5,Wetland,exact
SE-Nor,60.0865,17.479504,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
SE-Htm,56.09763,13.41897,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
SE-Deg,64.18203,19.55654,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",5,Wetland,exact
NO-Hur,60.37163,11.07949,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
NL-Loo,52.166447,5.74355,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
IT-TrF,45.82376,7.56089,130,Grassland,4,Grassland,exact
IT-Tor,45.84444,7.578055,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),2,Forest,exact
IT-Ren,46.58686,11.43369,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
IT-Noe,40.606174,8.151694,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
IT-Niv,45.49091,7.13943,130,Grassland,4,Grassland,exact
IT-MBo,46.01468,11.045831,30,"Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",1,Cropland,exact
IT-Lsn,45.740482,12.750297,10,"Cropland, rainfed",1,Cropland,exact
IT-Cp2,41.704266,12.357293,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
IT-BFt,45.197754,10.741966,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
IT-BCi,40.52375,14.957444,20,"Cropland, irrigated or post-flooding",1,Cropland,exact
IE-Cra,53.32308,-7.64177,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",5,Wetland,exact
GL-ZaH,74.4733,-20.550869,140,Lichens and mosses,10,Other,exact
GL-ZaF,74.48152,-20.555773,150,"Sparse vegetation (tree, shrub, herbaceous cover) (<15%)",3,Shrubland,exact
GL-NuF,64.130936,-51.386066,130,Grassland,4,Grassland,exact
GL-Dsk,69.25349,-53.51413,130,Grassland,4,Grassland,exact
GF-Guy,5.2787,-52.9248,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact
FR-Tou,43.572857,1.37474,11,Herbaceous cover,1,Cropland,exact
FR-Pue,43.7413,3.5957,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
FR-Mej,48.1184,-1.79635,11,Herbaceous cover,1,Cropland,exact
FR-Lus,46.414246,0.1206518,11,Herbaceous cover,1,Cropland,exact
FR-Lqu,45.6444,2.7349,130,Grassland,4,Grassland,exact
FR-Lam,43.496437,1.237878,11,Herbaceous cover,1,Cropland,exact
FR-LGt,47.322918,2.284102,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),2,Forest,exact
FR-Hes,48.6741,7.06465,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
FR-Gri,48.84422,1.95191,11,Herbaceous cover,1,Cropland,exact
FR-Fon,48.476357,2.780096,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
FR-FBn,43.24079,5.67865,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
FR-EM2,49.87211,3.02065,11,Herbaceous cover,1,Cropland,exact
FR-CLt,45.0414,6.41053,130,Grassland,4,Grassland,exact
FR-Bil,44.493652,-0.956092,11,Herbaceous cover,1,Cropland,exact
FR-Aur,43.54965,1.106103,11,Herbaceous cover,1,Cropland,exact
FI-Var,67.7549,29.61,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
FI-Sod,67.36239,26.63859,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
FI-Sii,61.83265,24.19285,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",5,Wetland,exact
FI-Let,60.64183,23.95952,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
FI-Ken,67.98721,24.24301,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
FI-Hyy,61.847410000000004,24.29477,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
FI-Ant,63.16347,27.234991,10,"Cropland, rainfed",1,Cropland,exact
ES-LMa,39.94033,-5.77465,11,Herbaceous cover,1,Cropland,exact
DK-Vng,56.037476,9.160709,11,Herbaceous cover,1,Cropland,exact
DK-Sor,55.48587,11.644645,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
DK-Skj,55.91273,8.40481,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",5,Wetland,exact
DK-RCW,55.680683,12.101398,11,Herbaceous cover,1,Cropland,exact
DK-Gds,56.0737,9.3341,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
DE-Tha,50.962597,13.565333,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
DE-RuW,50.50493,6.3309627,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
DE-RuS,50.865906,6.4471445,11,Herbaceous cover,1,Cropland,exact
DE-RuR,50.621914,6.304126,130,Grassland,4,Grassland,exact
DE-Msr,47.80918,11.456168,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
DE-Kli,50.893044,13.5223,11,Herbaceous cover,1,Cropland,exact
DE-Hzd,50.96381,13.48978,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
DE-HoH,52.08656,11.22235,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
DE-Har,47.93391,7.59814,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
DE-Hai,51.079212,10.452168,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
DE-Gwg,47.570835,11.032604,130,Grassland,4,Grassland,exact
DE-GsB,52.029648,11.10478,130,Grassland,4,Grassland,exact
DE-Gri,50.950005,13.512533,130,Grassland,4,Grassland,exact
DE-Geb,51.09973,10.91463,11,Herbaceous cover,1,Cropland,exact
DE-Fen,47.832905,11.060701,130,Grassland,4,Grassland,exact
DE-Brs,52.29663,10.44871,11,Herbaceous cover,1,Cropland,exact
DE-Amv,52.1757,6.95537,10,"Cropland, rainfed",1,Cropland,exact
CZ-wet,49.02465,14.77035,30,"Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",1,Cropland,exact
CZ-Lnz,48.68155,16.946331,90,"Tree cover, mixed leaf type (broadleaved and needleleaved)",2,Forest,exact
CZ-BK1,49.502075,18.536882,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
CH-Dav,46.81533,9.85591,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
CD-Ygb,0.814444,24.502472,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact
BE-Vie,50.304962,5.998099,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
BE-Maa,50.97987,5.631851,110,Mosaic herbaceous cover (>50%) / tree and shrub (<50%),4,Grassland,exact
BE-Lon,50.55162,4.746234,11,Herbaceous cover,1,Cropland,exact
BE-Dor,50.311874,4.968113,130,Grassland,4,Grassland,exact
BE-Bra,51.30761,4.51984,90,"Tree cover, mixed leaf type (broadleaved and needleleaved)",2,Forest,exact
VU-Coc,-15.444423,167.19131,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact
ML-Kem,15.2875,-1.543056,10,"Cropland, rainfed",1,Cropland,exact
KE-Mkt,-3.425859,38.140663,130,Grassland,4,Grassland,exact
KE-Kpt,-1.6141866,37.13311,10,"Cropland, rainfed",1,Cropland,exact
KE-Chk,-3.6663,38.350185,120,Shrubland,3,Shrubland,exact
KE-Aq2,-1.566199,37.100166,120,Shrubland,3,Shrubland,exact
KE-Aq1,-1.57781,37.067047,130,Grassland,4,Grassland,exact
IT-SR2,43.73202,10.29091,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
ID-JOP,-1.69306,103.39139,30,"Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",1,Cropland,exact
CR-AqC,9.938369,-83.7289,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact
CN-SnB,31.6905,121.6563,10,"Cropland, rainfed",1,Cropland,exact
CN-Sb2,42.39117,117.37017,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
CN-Sb1,42.40907,117.31461,110,Mosaic herbaceous cover (>50%) / tree and shrub (<50%),4,Grassland,exact
BW-Nxr,-19.548056,23.179167,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",5,Wetland,exact
BW-Gum,-18.964722,22.37111,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",5,Wetland,exact
BJ-Nhu,9.74,1.6,11,Herbaceous cover,1,Cropland,exact
BJ-Db1,6.607338,2.543043,10,"Cropland, rainfed",1,Cropland,exact
BJ-Bfg,9.791,1.718,62,"Tree cover, broadleaved, deciduous, open (15-40%)",2,Forest,exact
ZM-Mon,-15.4391,23.2525,20,"Cropland, irrigated or post-flooding",1,Cropland,exact
UK-HpF,52.24809,-0.0498267,11,Herbaceous cover,1,Cropland,exact
UK-HgF,52.552177,0.515057,130,Grassland,4,Grassland,exact
UK-Gwr,54.85464,-5.988278,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",5,Wetland,exact
UK-Gnn,54.96185,-6.760763,110,Mosaic herbaceous cover (>50%) / tree and shrub (<50%),4,Grassland,exact
UK-GaB,55.10994,-6.529928,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",5,Wetland,exact
UK-Cvn,52.43339,0.162177,11,Herbaceous cover,1,Cropland,exact
UK-CCr,52.2542,-3.93357,110,Mosaic herbaceous cover (>50%) / tree and shrub (<50%),4,Grassland,exact
UK-BnB,54.82326,-6.66984,110,Mosaic herbaceous cover (>50%) / tree and shrub (<50%),4,Grassland,exact
UK-Ags,53.3097,-4.30044,130,Grassland,4,Grassland,exact
SN-Nkr,14.49581,-16.45357,10,"Cropland, rainfed",1,Cropland,exact
SN-Dhr,15.40256,-15.43214,30,"Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",1,Cropland,exact
SJ-Adv,78.186,15.923,150,"Sparse vegetation (tree, shrub, herbaceous cover) (<15%)",3,Shrubland,exact
SE-Trb,64.180916,19.837284,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),2,Forest,exact
SE-St1,68.35415,19.050333,210,Water bodies,9,Water,exact
SE-Srj,64.17498,19.56381,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",5,Wetland,exact
SE-Ros,64.16522,19.79074,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
SE-Hmr,64.15955,19.551497,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",5,Wetland,exact
SE-HfM,64.15955,19.551497,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",5,Wetland,exact
SD-Dem,13.2829,30.4783,130,Grassland,4,Grassland,exact
RU-Ha1,54.72517,90.00215,150,"Sparse vegetation (tree, shrub, herbaceous cover) (<15%)",3,Shrubland,exact
RU-Fyo,56.46153,32.922085,90,"Tree cover, mixed leaf type (broadleaved and needleleaved)",2,Forest,exact
RU-Fy4,56.4727,33.0413,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",5,Wetland,exact
RU-Fy3,56.4435,33.0478,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
