site_id,location_lat,location_long,cci_native_class,cci_native_class_name,cci_high_level_class,cci_high_level_class_name,landcover_method
CA-TPD,42.6353,-80.5577,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
CA-TVC,68.7462,-133.5017,150,"Sparse vegetation (tree, shrub, herbaceous cover) (<15%)",3,Shrubland,exact
CL-ACF,-40.1726,-73.4439,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact
CL-SDF,-41.883,-73.676,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact
CL-SDP,-41.879,-73.666,40,"Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%) ",10,Other,exact
CR-Fsc,10.4189,-85.4732,10,"Cropland, rainfed",1,Cropland,exact
MX-Aog,26.9968,-108.7892,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
MX-PMm,20.8462,-86.8992,170,"Tree cover, flooded, saline water",5,Wetland,exact
MX-Tes,27.8446,-109.2977,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
PE-QFR,-3.8344,-73.319,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact
PR-xGU,17.9696,-66.8687,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),2,Forest,exact
PR-xLA,18.0212,-67.0769,10,"Cropland, rainfed",1,Cropland,exact
US-A03,70.4953,-149.8823,140,Lichens and mosses,10,Other,exact
US-A10,71.3242,-156.6149,140,Lichens and mosses,10,Other,exact
US-A32,36.8193,-97.8198,11,Herbaceous cover,1,Cropland,exact
US-A37,36.3106,-97.928,11,Herbaceous cover,1,Cropland,exact
US-A39,36.3776,-96.069,130,Grassland,4,Grassland,exact
US-A74,36.8085,-97.5489,11,Herbaceous cover,1,Cropland,exact
US-ABa,27.1301,-81.2011,130,Grassland,4,Grassland,exact
US-ABb,27.1346,-81.2031,130,Grassland,4,Grassland,exact
US-ABc,27.1633,-81.1873,130,Grassland,4,Grassland,exact
US-ABd,27.1699,-81.2152,130,Grassland,4,Grassland,exact
US-ABe,27.1656,-81.2161,130,Grassland,4,Grassland,exact
US-ADR,36.7653,-116.6933,120,Shrubland,3,Shrubland,exact
US-Akn,33.3825,-81.5653,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
