site_id,site_name,location_lat,location_long,igbp,dataset,coords_source
CZ-BK2,Bily Kriz grassland,49.4944,18.5429,GRA,FLUXNET2015,measured
CZ-wet,Trebon (CZECHWET),49.0247,14.7704,WET,FLUXNET2015,measured
DE-Akm,Anklam,53.8662,13.6834,WET,FLUXNET2015,measured
DE-Geb,Gebesee,51.0997,10.9146,CRO,FLUXNET2015,measured
DE-Gri,Grillenburg,50.95,13.5126,GRA,FLUXNET2015,measured
DE-Hai,Hainich,51.0792,10.4522,DBF,FLUXNET2015,measured
DE-Kli,Klingenberg,50.8931,13.5224,CRO,FLUXNET2015,measured
DE-Lkb,Lackenberg,49.0996,13.3047,ENF,FLUXNET2015,measured
DE-Lnf,Leinefelde,51.3282,10.3678,DBF,FLUXNET2015,measured
DE-Obe,Oberbärenburg,50.7867,13.7213,ENF,FLUXNET2015,measured
DE-RuR,Rollesbroich,50.6219,6.3041,GRA,FLUXNET2015,measured
DE-RuS,Selhausen Juelich,50.8659,6.4471,CRO,FLUXNET2015,measured
DE-Seh,Selhausen,50.8706,6.4497,CRO,FLUXNET2015,measured
DE-SfN,Schechenfilz Nord,47.8064,11.3275,WET,FLUXNET2015,measured
DE-Spw,Spreewald,51.8922,14.0337,WET,FLUXNET2015,measured
DE-Tha,Tharandt,50.9626,13.5651,ENF,FLUXNET2015,measured
DE-Zrk,Zarnekow,53.8759,12.889,WET,FLUXNET2015,measured
DK-Eng,Enghave,55.6905,12.1918,GRA,FLUXNET2015,measured
DK-Fou,Foulum,56.4842,9.5872,CRO,FLUXNET2015,measured
DK-Sor,Soroe,55.4859,11.6446,DBF,FLUXNET2015,measured
ES-Amo,Amoladeras,36.8336,-2.2523,OSH,FLUXNET2015,measured
ES-LgS,Laguna Seca,37.0979,-2.9658,OSH,FLUXNET2015,measured
ES-LJu,Llano de los Juanes,36.9266,-2.7521,OSH,FLUXNET2015,measured
ES-Ln2,Lanjaron-Salvage logging,36.9695,-3.4758,OSH,FLUXNET2015,measured
FI-Hyy,Hyytiala,61.8474,24.2948,ENF,FLUXNET2015,measured
FI-Jok,Jokioinen,60.8986,23.5134,CRO,FLUXNET2015,measured
