site_id,location_lat,location_long,koppen_class_code,koppen_class,koppen_class_name,koppen_main,koppen_main_name,koppen_method
CL-SDF,-41.883,-73.676,15,Cfb,"Temperate, no dry season, warm summer",C,Temperate,exact
CL-SDP,-41.879,-73.666,15,Cfb,"Temperate, no dry season, warm summer",C,Temperate,exact
CR-Fsc,10.4189,-85.4732,3,Aw,"Tropical, savannah",A,Tropical,exact
MX-Aog,26.9968,-108.7892,6,BSh,"Arid, steppe, hot",B,Arid,exact
MX-PMm,20.8462,-86.8992,3,Aw,"Tropical, savannah",A,Tropical,exact
MX-Tes,27.8446,-109.2977,6,BSh,"Arid, steppe, hot",B,Arid,exact
PE-QFR,-3.8344,-73.319,1,Af,"Tropical, rainforest",A,Tropical,exact
PR-xGU,17.9696,-66.8687,3,Aw,"Tropical, savannah",A,Tropical,exact
PR-xLA,18.0212,-67.0769,3,Aw,"Tropical, savannah",A,Tropical,exact
US-A03,70.4953,-149.8823,29,ET,"Polar, tundra",E,Polar,exact
US-A10,71.3242,-156.6149,29,ET,"Polar, tundra",E,Polar,exact
US-A32,36.8193,-97.8198,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-A37,36.3106,-97.928,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-A39,36.3776,-96.069,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-A74,36.8085,-97.5489,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-ABa,27.1301,-81.2011,3,Aw,"Tropical, savannah",A,Tropical,exact
US-ABb,27.1346,-81.2031,3,Aw,"Tropical, savannah",A,Tropical,exact
US-ABc,27.1633,-81.1873,3,Aw,"Tropical, savannah",A,Tropical,exact
US-ABd,27.1699,-81.2152,3,Aw,"Tropical, savannah",A,Tropical,exact
US-ABe,27.1656,-81.2161,2,Am,"Tropical, monsoon",A,Tropical,exact
US-ADR,36.7653,-116.6933,4,BWh,"Arid, desert, hot",B,Arid,exact
US-Akn,33.3825,-81.5653,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-ALQ,46.0308,-89.6067,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
US-AR1,36.4267,-99.42,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-AR2,36.6358,-99.5975,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-ARb,35.5497,-98.0402,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-ARc,35.5465,-98.04,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-ARM,36.6058,-97.4888,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-ASH,36.1697,-120.201,4,BWh,"Arid, desert, hot",B,Arid,exact
US-ASM,36.1777,-120.2026,4,BWh,"Arid, desert, hot",B,Arid,exact
US-Aud,31.5907,-110.5104,6,BSh,"Arid, steppe, hot",B,Arid,exact
US-Bar,44.0646,-71.2881,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
US-Bi1,38.0992,-121.4993,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
US-Bi2,38.1091,-121.5351,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
US-BRG,39.2167,-86.5406,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-BZB,64.6955,-148.3208,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
US-BZF,64.7013,-148.3121,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
US-BZo,64.6936,-148.33,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
US-CAK,64.8618,-163.7002,27,Dfc,"Cold, no dry season, cold summer",D,Cold,exact
US-CdM,37.5241,-109.7471,7,BSk,"Arid, steppe, cold",B,Arid,exact
US-Ced,39.8379,-74.3791,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-CF1,46.7815,-117.0821,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
US-CF2,46.784,-117.0908,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
US-CF3,46.7551,-117.1261,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
US-CF4,46.7518,-117.1285,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
US-CGG,37.938,-121.9761,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
US-ChR,35.9311,-84.3324,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-CLF,40.6366,-77.9424,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-Cms,71.3202,-156.6223,29,ET,"Polar, tundra",E,Polar,exact
US-CMW,31.6637,-110.1777,6,BSh,"Arid, steppe, hot",B,Arid,exact
US-Cop,38.09,-109.39,7,BSk,"Arid, steppe, cold",B,Arid,exact
US-CRK,31.4629,-95.3415,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-CRT,41.6285,-83.3471,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
US-CS1,44.1031,-89.5379,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
US-CS2,44.1467,-89.5002,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
US-CS3,44.1394,-89.5727,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
US-CS4,44.1597,-89.5475,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
US-CS5,44.1095,-89.5377,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
US-CS6,44.4297,-89.544,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
US-CS8,44.4338,-89.5364,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
US-Cst,33.0442,-91.9204,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-Cwt,35.0592,-83.4275,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-DFC,43.3448,-89.7117,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
US-DFK,43.3453,-89.7154,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
US-Dix,39.9712,-74.4346,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-Dk1,35.9712,-79.0934,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-Dk2,35.9736,-79.1004,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-Dk3,35.9782,-79.0942,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-Dmg,38.0015,-121.6691,7,BSk,"Arid, steppe, cold",B,Arid,exact
US-DPW,28.0521,-81.4361,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-DS1,38.1335,-121.539,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
US-DS2,38.1375,-121.514,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
US-DS3,38.1235,-121.549,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
US-EA4,29.6633,-98.3816,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-EA5,29.3584,-99.9576,6,BSh,"Arid, steppe, hot",B,Arid,exact
US-EA6,29.6561,-99.9588,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-EDN,37.6156,-122.114,9,Csb,"Temperate, dry summer, warm summer",C,Temperate,exact
US-EKH,36.8094,-121.7523,9,Csb,"Temperate, dry summer, warm summer",C,Temperate,exact
US-EKN,36.8357,-121.7328,9,Csb,"Temperate, dry summer, warm summer",C,Temperate,exact
US-EKP,36.8558,-121.7488,9,Csb,"Temperate, dry summer, warm summer",C,Temperate,exact
US-Elm,25.5519,-80.7826,2,Am,"Tropical, monsoon",A,Tropical,exact
US-EML,63.8784,-149.2536,27,Dfc,"Cold, no dry season, cold summer",D,Cold,exact
