site_id,site_name,lat,lon,elev,igbp,mat,map,dataset
CN-Dan,Dangxiong,30.4978,91.0664,NA,GRA,-1.54,246.88,FLUXNET2015
CN-Din,Dinghushan,23.1733,112.5361,NA,EBF,19.64,1618.1,FLUXNET2015
CN-Du2,Duolun_grassland (D01),42.0467,116.2836,NA,GRA,2.01,318.96,FLUXNET2015
CN-Du3,Duolun Degraded Meadow,42.0551,116.2809,NA,GRA,NA,NA,FLUXNET2015
CN-Ha2,Haibei Shrubland,37.6086,101.3269,NA,WET,NA,NA,FLUXNET2015
CN-HaM,Haibei Alpine Tibet site,37.37,101.18,NA,GRA,NA,NA,FLUXNET2015
CN-Qia,Qianyanzhou,26.7414,115.0581,NA,ENF,18.95,1466.75,FLUXNET2015
CN-Sw2,Siziwang Grazed (SZWG),41.7902,111.8971,NA,GRA,NA,NA,FLUXNET2015
CZ-BK1,Bily Kriz forest,49.5021,18.5369,875,ENF,6.7,1316,FLUXNET2015
CZ-BK2,Bily Kriz grassland,49.4944,18.5429,855,GRA,6.7,1316,FLUXNET2015
CZ-wet,Trebon (CZECHWET),49.0247,14.7704,426,WET,7.7,604,FLUXNET2015
DE-Akm,Anklam,53.8662,13.6834,-1,WET,8.7,558,FLUXNET2015
DE-Geb,Gebesee,51.0997,10.9146,161.5,CRO,8.5,470,FLUXNET2015
DE-Gri,Grillenburg,50.95,13.5126,385,GRA,7.8,901,FLUXNET2015
DE-Hai,Hainich,51.0792,10.4522,430,DBF,8.3,720,FLUXNET2015
DE-Kli,Klingenberg,50.8931,13.5224,478,CRO,7.6,842,FLUXNET2015
DE-Lkb,Lackenberg,49.0996,13.3047,1308,ENF,4,1599,FLUXNET2015
DE-Lnf,Leinefelde,51.3282,10.3678,451,DBF,6.96,894.6,FLUXNET2015
DE-Obe,Oberbärenburg,50.7867,13.7213,734,ENF,5.5,996,FLUXNET2015
DE-RuR,Rollesbroich,50.6219,6.3041,514.7,GRA,7.7,1033,FLUXNET2015
DE-RuS,Selhausen Juelich,50.8659,6.4471,102.755,CRO,10,700,FLUXNET2015
DE-Seh,Selhausen,50.8706,6.4497,103,CRO,9.9,693,FLUXNET2015
DE-SfN,Schechenfilz Nord,47.8064,11.3275,590,WET,8.6,1127,FLUXNET2015
DE-Spw,Spreewald,51.8922,14.0337,61,WET,8.7,558,FLUXNET2015
DE-Tha,Tharandt,50.9626,13.5651,385,ENF,8.2,843,FLUXNET2015
DE-Zrk,Zarnekow,53.8759,12.889,0,WET,8.7,584,FLUXNET2015
DK-Eng,Enghave,55.6905,12.1918,10,GRA,8,613,FLUXNET2015
DK-Fou,Foulum,56.4842,9.5872,51,CRO,8,NA,FLUXNET2015
DK-Sor,Soroe,55.4859,11.6446,40,DBF,8.2,660,FLUXNET2015
ES-Amo,Amoladeras,36.8336,-2.2523,58,OSH,NA,0,FLUXNET2015
ES-LJu,Llano de los Juanes,36.9266,-2.7521,1600,OSH,16,400,FLUXNET2015
ES-LgS,Laguna Seca,37.0979,-2.9658,2267,OSH,NA,NA,FLUXNET2015
ES-Ln2,Lanjaron-Salvage logging,36.9695,-3.4758,2249,OSH,NA,NA,FLUXNET2015
FI-Hyy,Hyytiala,61.8474,24.2948,181,ENF,3.8,709,FLUXNET2015
FI-Jok,Jokioinen,60.8986,23.5134,109,CRO,4.6,627,FLUXNET2015
FI-Let,Lettosuo,60.6418,23.9595,111,ENF,4.6,627,FLUXNET2015
