bin,bin_label,min_value,max_value,global_land_area_km2,global_land_fraction
1,0–5 mm yr-1,0,5,15326106.580406183,0.09383427342684754
2,5.0–143.4 mm yr-1,5,143.4,24655569.902275473,0.1509540257708135
3,143.4–263.9 mm yr-1,143.4,263.9,24667069.893399734,0.15102443460595366
4,263.9–394.0 mm yr-1,263.9,394,24674427.371791214,0.15106948085664337
5,394.0–634.7 mm yr-1,394,634.7,24671032.686216436,0.1510486968530381
6,634.7–968.6 mm yr-1,634.7,968.6,24667352.206339937,0.15102616307035419
7,>968.6 mm yr-1,968.6,NA,24670090.027945235,0.1510429254163393
