site_id,location_lat,location_long,trendy_et_median_value,trendy_et_median_method,trendy_et_median_bin,trendy_et_median_bin_label,trendy_et_median_bin_30,trendy_et_median_bin_12,trendy_et_median_bin_18,trendy_et_median_bin_20
CA-TP2,42.7744,-80.4588,521.9127197265625,exact,5,394.0–634.7 mm yr-1,19,8,12,13
CA-TP3,42.7068,-80.3483,521.9127197265625,exact,5,394.0–634.7 mm yr-1,19,8,12,13
CA-TP4,42.7102,-80.3574,521.9127197265625,exact,5,394.0–634.7 mm yr-1,19,8,12,13
CA-TPA,42.6947,-80.3487,521.9127197265625,exact,5,394.0–634.7 mm yr-1,19,8,12,13
CA-TPD,42.6353,-80.5577,552.3470458984375,exact,5,394.0–634.7 mm yr-1,20,8,12,13
CA-TVC,68.7462,-133.5017,156.59466552734375,exact,3,143.4–263.9 mm yr-1,7,4,5,5
CL-ACF,-40.1726,-73.4439,671.5965576171875,exact,6,634.7–968.6 mm yr-1,21,9,13,14
CL-SDF,-41.883,-73.676,630.2615966796875,exact,5,394.0–634.7 mm yr-1,21,9,13,14
CL-SDP,-41.879,-73.666,630.2615966796875,exact,5,394.0–634.7 mm yr-1,21,9,13,14
CR-Fsc,10.4189,-85.4732,1137.9222412109375,exact,7,>968.6 mm yr-1,30,12,18,20
MX-Aog,26.9968,-108.7892,507.5567932128906,exact,5,394.0–634.7 mm yr-1,19,8,12,13
MX-PMm,20.8462,-86.8992,1092.316650390625,exact,7,>968.6 mm yr-1,30,12,18,20
MX-Tes,27.8446,-109.2977,527.9259033203125,exact,5,394.0–634.7 mm yr-1,19,8,12,13
PE-QFR,-3.8344,-73.319,1262.9129638671875,exact,7,>968.6 mm yr-1,30,12,18,20
PR-xGU,17.9696,-66.8687,1008.443603515625,exact,7,>968.6 mm yr-1,30,12,18,20
PR-xLA,18.0212,-67.0769,984.8255615234376,exact,7,>968.6 mm yr-1,26,11,16,17
US-A03,70.4953,-149.8823,122.4742202758789,exact,2,5.0–143.4 mm yr-1,6,3,4,4
US-A10,71.3242,-156.6149,79.7755126953125,exact,2,5.0–143.4 mm yr-1,4,3,3,3
US-A32,36.8193,-97.8198,692.09002685546875,exact,6,634.7–968.6 mm yr-1,22,9,13,15
US-A37,36.3106,-97.928,702.7076416015625,exact,6,634.7–968.6 mm yr-1,22,9,13,15
US-A39,36.3776,-96.069,724.5789794921875,exact,6,634.7–968.6 mm yr-1,22,9,14,15
US-A74,36.8085,-97.5489,692.09002685546875,exact,6,634.7–968.6 mm yr-1,22,9,13,15
US-ABa,27.1301,-81.2011,987.5606689453124,exact,7,>968.6 mm yr-1,26,11,16,17
US-ABb,27.1346,-81.2031,987.5606689453124,exact,7,>968.6 mm yr-1,26,11,16,17
US-ABc,27.1633,-81.1873,987.5606689453124,exact,7,>968.6 mm yr-1,26,11,16,17
US-ABd,27.1699,-81.2152,987.5606689453124,exact,7,>968.6 mm yr-1,26,11,16,17
US-ABe,27.1656,-81.2161,987.5606689453124,exact,7,>968.6 mm yr-1,26,11,16,17
US-ADR,36.7653,-116.6933,93.8951416015625,exact,2,5.0–143.4 mm yr-1,5,3,3,4
US-Akn,33.3825,-81.5653,838.2723999023436,exact,6,634.7–968.6 mm yr-1,24,10,15,16
US-ALQ,46.0308,-89.6067,489.5101013183594,exact,5,394.0–634.7 mm yr-1,18,8,11,13
US-AR1,36.4267,-99.42,579.11083984375,exact,5,394.0–634.7 mm yr-1,20,9,12,14
US-AR2,36.6358,-99.5975,559.46588134765625,exact,5,394.0–634.7 mm yr-1,20,8,12,13
US-ARb,35.5497,-98.0402,661.3397216796875,exact,6,634.7–968.6 mm yr-1,21,9,13,14
US-ARc,35.5465,-98.04,661.3397216796875,exact,6,634.7–968.6 mm yr-1,21,9,13,14
US-ARM,36.6058,-97.4888,719.3955078125,exact,6,634.7–968.6 mm yr-1,22,9,14,15
US-ASH,36.1697,-120.201,255.7493896484375,exact,3,143.4–263.9 mm yr-1,11,5,7,8
US-ASM,36.1777,-120.2026,255.7493896484375,exact,3,143.4–263.9 mm yr-1,11,5,7,8
US-Aud,31.5907,-110.5104,363.3477478027344,exact,4,263.9–394.0 mm yr-1,15,7,9,10
US-Bar,44.0646,-71.2881,480.1797790527344,exact,5,394.0–634.7 mm yr-1,18,8,11,12
US-Bi1,38.0992,-121.4993,368.7318115234375,exact,4,263.9–394.0 mm yr-1,15,7,10,10
US-Bi2,38.1091,-121.5351,388.1703186035156,exact,4,263.9–394.0 mm yr-1,16,7,10,11
US-BRG,39.2167,-86.5406,669.37823486328125,exact,6,634.7–968.6 mm yr-1,21,9,13,14
US-BZB,64.6955,-148.3208,238.8722381591797,exact,3,143.4–263.9 mm yr-1,10,5,7,7
US-BZF,64.7013,-148.3121,238.8722381591797,exact,3,143.4–263.9 mm yr-1,10,5,7,7
US-BZo,64.6936,-148.33,238.8722381591797,exact,3,143.4–263.9 mm yr-1,10,5,7,7
US-CAK,64.8618,-163.7002,207.1805725097656,exact,3,143.4–263.9 mm yr-1,9,4,6,6
US-CdM,37.5241,-109.7471,296.7003173828125,exact,4,263.9–394.0 mm yr-1,12,6,8,9
US-Ced,39.8379,-74.3791,647.7071533203125,exact,6,634.7–968.6 mm yr-1,21,9,13,14
US-CF1,46.7815,-117.0821,357.47283935546875,exact,4,263.9–394.0 mm yr-1,15,7,9,10
US-CF2,46.784,-117.0908,357.47283935546875,exact,4,263.9–394.0 mm yr-1,15,7,9,10
US-CF3,46.7551,-117.1261,357.47283935546875,exact,4,263.9–394.0 mm yr-1,15,7,9,10
US-CF4,46.7518,-117.1285,357.47283935546875,exact,4,263.9–394.0 mm yr-1,15,7,9,10
US-CGG,37.938,-121.9761,350.66912841796875,exact,4,263.9–394.0 mm yr-1,15,6,9,10
US-ChR,35.9311,-84.3324,758.343017578125,exact,6,634.7–968.6 mm yr-1,23,10,14,15
US-CLF,40.6366,-77.9424,609.2137451171875,exact,5,394.0–634.7 mm yr-1,20,9,13,14
US-Cms,71.3202,-156.6223,79.7755126953125,exact,2,5.0–143.4 mm yr-1,4,3,3,3
US-CMW,31.6637,-110.1777,327.7666015625,exact,4,263.9–394.0 mm yr-1,14,6,9,9
US-Cop,38.09,-109.39,320.2561340332031,exact,4,263.9–394.0 mm yr-1,13,6,8,9
US-CRK,31.4629,-95.3415,832.28656005859375,exact,6,634.7–968.6 mm yr-1,24,10,15,16
US-CRT,41.6285,-83.3471,554.0106201171875,exact,5,394.0–634.7 mm yr-1,20,8,12,13
US-CS1,44.1031,-89.5379,544.78759765625,exact,5,394.0–634.7 mm yr-1,19,8,12,13
US-CS2,44.1467,-89.5002,544.78759765625,exact,5,394.0–634.7 mm yr-1,19,8,12,13
US-CS3,44.1394,-89.5727,544.78759765625,exact,5,394.0–634.7 mm yr-1,19,8,12,13
US-CS4,44.1597,-89.5475,544.78759765625,exact,5,394.0–634.7 mm yr-1,19,8,12,13
US-CS5,44.1095,-89.5377,544.78759765625,exact,5,394.0–634.7 mm yr-1,19,8,12,13
US-CS6,44.4297,-89.544,544.78759765625,exact,5,394.0–634.7 mm yr-1,19,8,12,13
US-CS8,44.4338,-89.5364,544.78759765625,exact,5,394.0–634.7 mm yr-1,19,8,12,13
US-Cst,33.0442,-91.9204,881.02593994140625,exact,6,634.7–968.6 mm yr-1,24,10,15,17
US-Cwt,35.0592,-83.4275,757.42169189453125,exact,6,634.7–968.6 mm yr-1,23,10,14,15
US-DFC,43.3448,-89.7117,600.51507568359375,exact,5,394.0–634.7 mm yr-1,20,9,13,14
US-DFK,43.3453,-89.7154,600.51507568359375,exact,5,394.0–634.7 mm yr-1,20,9,13,14
US-Dix,39.9712,-74.4346,647.7071533203125,exact,6,634.7–968.6 mm yr-1,21,9,13,14
US-Dk1,35.9712,-79.0934,793.1142578125,exact,6,634.7–968.6 mm yr-1,23,10,14,16
US-Dk2,35.9736,-79.1004,793.1142578125,exact,6,634.7–968.6 mm yr-1,23,10,14,16
US-Dk3,35.9782,-79.0942,793.1142578125,exact,6,634.7–968.6 mm yr-1,23,10,14,16
US-Dmg,38.0015,-121.6691,388.1703186035156,exact,4,263.9–394.0 mm yr-1,16,7,10,11
US-DPW,28.0521,-81.4361,946.7945556640624,exact,6,634.7–968.6 mm yr-1,25,11,16,17
US-DS1,38.1335,-121.539,388.1703186035156,exact,4,263.9–394.0 mm yr-1,16,7,10,11
US-DS2,38.1375,-121.514,388.1703186035156,exact,4,263.9–394.0 mm yr-1,16,7,10,11
US-DS3,38.1235,-121.549,388.1703186035156,exact,4,263.9–394.0 mm yr-1,16,7,10,11
US-EA4,29.6633,-98.3816,681.562255859375,exact,6,634.7–968.6 mm yr-1,21,9,13,15
US-EA5,29.3584,-99.9576,475.18023681640625,exact,5,394.0–634.7 mm yr-1,18,8,11,12
US-EA6,29.6561,-99.9588,512.75341796875,exact,5,394.0–634.7 mm yr-1,19,8,12,13
US-EDN,37.6156,-122.114,321.350341796875,exact,4,263.9–394.0 mm yr-1,13,6,9,9
US-EKH,36.8094,-121.7523,396.4926452636719,exact,5,394.0–634.7 mm yr-1,16,7,10,11
US-EKN,36.8357,-121.7328,396.4926452636719,exact,5,394.0–634.7 mm yr-1,16,7,10,11
US-EKP,36.8558,-121.7488,396.4926452636719,exact,5,394.0–634.7 mm yr-1,16,7,10,11
US-Elm,25.5519,-80.7826,1022.3404541015624,exact,7,>968.6 mm yr-1,30,12,18,20
US-EML,63.8784,-149.2536,207.4659881591797,exact,3,143.4–263.9 mm yr-1,9,4,6,6
US-Esm,25.4379,-80.5946,1086.97802734375,exact,7,>968.6 mm yr-1,30,12,18,20
US-EvM,25.3539,-80.381,1068.2672119140625,exact,7,>968.6 mm yr-1,30,12,18,20
US-Fcr,65.3968,-148.9348,224.67872619628903,exact,3,143.4–263.9 mm yr-1,10,5,6,7
US-Fmf,35.1426,-111.7273,381.8478698730469,exact,4,263.9–394.0 mm yr-1,16,7,10,11
US-Fo1,70.085,-148.5671,107.34848022460938,exact,2,5.0–143.4 mm yr-1,5,3,4,4
US-Fo2,70.0229,-148.6598,107.34848022460938,exact,2,5.0–143.4 mm yr-1,5,3,4,4
US-Fuf,35.089,-111.762,381.8478698730469,exact,4,263.9–394.0 mm yr-1,16,7,10,11
US-Fwf,35.4454,-111.7718,381.8478698730469,exact,4,263.9–394.0 mm yr-1,16,7,10,11
US-GLE,41.3665,-106.2399,305.6682434082031,exact,4,263.9–394.0 mm yr-1,13,6,8,9
US-Ha1,42.5378,-72.1715,548.44464111328125,exact,5,394.0–634.7 mm yr-1,20,8,12,13
US-HB1,33.3455,-79.1957,802.1455078125,exact,6,634.7–968.6 mm yr-1,23,10,14,16
US-HB2,33.3242,-79.244,802.1455078125,exact,6,634.7–968.6 mm yr-1,23,10,14,16
US-HB3,33.3482,-79.2322,802.1455078125,exact,6,634.7–968.6 mm yr-1,23,10,14,16
US-HB4,33.2015,-79.2975,802.1455078125,exact,6,634.7–968.6 mm yr-1,23,10,14,16
US-HBK,43.9397,-71.7181,522.53143310546875,exact,5,394.0–634.7 mm yr-1,19,8,12,13
US-Hn2,46.6889,-119.4641,178.30233764648438,exact,3,143.4–263.9 mm yr-1,8,4,5,6
US-Hn3,46.6878,-119.4614,178.30233764648438,exact,3,143.4–263.9 mm yr-1,8,4,5,6
US-Ho2,45.209,-68.747,517.37811279296875,exact,5,394.0–634.7 mm yr-1,19,8,12,13
US-Ho3,45.2072,-68.7265,517.37811279296875,exact,5,394.0–634.7 mm yr-1,19,8,12,13
US-HRA,34.5852,-91.7517,838.91064453125,exact,6,634.7–968.6 mm yr-1,24,10,15,16
US-HRC,34.5888,-91.7517,838.91064453125,exact,6,634.7–968.6 mm yr-1,24,10,15,16
US-Hsm,38.2368,-122.0212,397.72418212890625,exact,5,394.0–634.7 mm yr-1,16,7,10,11
US-HVs,69.1672,-148.8569,130.0198516845703,exact,2,5.0–143.4 mm yr-1,6,3,4,4
US-HWB,40.8608,-77.8488,609.2137451171875,exact,5,394.0–634.7 mm yr-1,20,9,13,14
US-IAB,42.0001,-93.7016,622.350341796875,exact,5,394.0–634.7 mm yr-1,21,9,13,14
US-IAC,41.9984,-93.7016,588.06866455078125,exact,5,394.0–634.7 mm yr-1,20,9,12,14
US-IAM,41.9994,-93.7042,588.06866455078125,exact,5,394.0–634.7 mm yr-1,20,9,12,14
US-ICh,68.6068,-149.2958,132.50074768066406,exact,2,5.0–143.4 mm yr-1,6,3,4,4
US-ICs,68.6058,-149.311,132.50074768066406,exact,2,5.0–143.4 mm yr-1,6,3,4,4
US-ICt,68.6063,-149.3041,132.50074768066406,exact,2,5.0–143.4 mm yr-1,6,3,4,4
US-Jo1,32.582,-106.635,259.2829284667969,exact,3,143.4–263.9 mm yr-1,11,5,7,8
US-Jo2,32.5849,-106.6032,259.2829284667969,exact,3,143.4–263.9 mm yr-1,11,5,7,8
US-KFS,39.0561,-95.1907,694.3011474609375,exact,6,634.7–968.6 mm yr-1,22,9,13,15
US-Kon,39.0824,-96.5603,640.5924072265625,exact,6,634.7–968.6 mm yr-1,21,9,13,14
US-KPL,60.5382,-150.5061,272.77703857421875,exact,4,263.9–394.0 mm yr-1,11,5,7,8
US-KS1,28.4583,-80.6709,900.40399169921875,exact,6,634.7–968.6 mm yr-1,25,10,15,17
US-KS2,28.6086,-80.6715,961.21820068359375,exact,6,634.7–968.6 mm yr-1,26,11,16,17
US-KS3,28.7084,-80.7427,961.21820068359375,exact,6,634.7–968.6 mm yr-1,26,11,16,17
US-LA2,29.8587,-90.2869,921.3145751953124,exact,6,634.7–968.6 mm yr-1,25,10,15,17
US-LA3,29.4936,-89.9153,940.895263671875,exact,6,634.7–968.6 mm yr-1,25,11,15,17
US-Lin,36.3566,-119.0922,249.8097991943359,exact,3,143.4–263.9 mm yr-1,11,5,7,7
US-Los,46.0827,-89.9786,489.5101013183594,exact,5,394.0–634.7 mm yr-1,18,8,11,13
US-LS1,31.5615,-110.1403,327.7666015625,exact,4,263.9–394.0 mm yr-1,14,6,9,9
US-MBP,47.5051,-93.4893,466.4736022949219,exact,5,394.0–634.7 mm yr-1,18,8,11,12
US-Me1,44.5794,-121.5,417.16650390625,exact,5,394.0–634.7 mm yr-1,17,7,10,11
US-Me3,44.3154,-121.6078,423.4471435546875,exact,5,394.0–634.7 mm yr-1,17,7,11,12
