site_id,location_lat,location_long,trendy_et_median_value,trendy_et_median_method,trendy_et_median_bin,trendy_et_median_bin_label,trendy_et_median_bin_30,trendy_et_median_bin_12,trendy_et_median_bin_18,trendy_et_median_bin_20
US-RGW,33.6216,-91.4306,833.06903076171875,exact,6,634.7–968.6 mm yr-1,24,10,15,16
US-Rls,43.1439,-116.7356,276.09149169921875,exact,4,263.9–394.0 mm yr-1,12,5,7,8
US-Rms,43.0645,-116.7486,276.09149169921875,exact,4,263.9–394.0 mm yr-1,12,5,7,8
US-Ro1,44.7143,-93.0898,482.013671875,exact,5,394.0–634.7 mm yr-1,18,8,11,13
US-Ro2,44.7288,-93.0888,482.013671875,exact,5,394.0–634.7 mm yr-1,18,8,11,13
US-Ro3,44.7217,-93.0893,482.013671875,exact,5,394.0–634.7 mm yr-1,18,8,11,13
US-Ro4,44.6781,-93.0723,482.013671875,exact,5,394.0–634.7 mm yr-1,18,8,11,13
US-Ro5,44.691,-93.0576,482.013671875,exact,5,394.0–634.7 mm yr-1,18,8,11,13
US-Ro6,44.6946,-93.0578,482.013671875,exact,5,394.0–634.7 mm yr-1,18,8,11,13
US-Rpf,65.1198,-147.429,215.7005157470703,exact,3,143.4–263.9 mm yr-1,9,4,6,7
US-RRC,37.3344,-77.2065,738.4185791015625,exact,6,634.7–968.6 mm yr-1,22,9,14,15
US-Rwe,43.0653,-116.7591,276.09149169921875,exact,4,263.9–394.0 mm yr-1,12,5,7,8
US-Rwf,43.1207,-116.7231,276.09149169921875,exact,4,263.9–394.0 mm yr-1,12,5,7,8
US-Rws,43.1675,-116.7132,276.09149169921875,exact,4,263.9–394.0 mm yr-1,12,5,7,8
US-Sag,69.5131,-148.5676,117.9465103149414,exact,2,5.0–143.4 mm yr-1,5,3,4,4
US-SD1,41.2048,-86.0296,652.48046875,exact,6,634.7–968.6 mm yr-1,21,9,13,14
US-SD2,41.1785,-85.9977,659.38848876953125,exact,6,634.7–968.6 mm yr-1,21,9,13,14
US-Seg,34.3603,-106.7003,249.7068328857422,exact,3,143.4–263.9 mm yr-1,11,5,7,7
US-Ses,34.335,-106.7448,249.7068328857422,exact,3,143.4–263.9 mm yr-1,11,5,7,7
US-SHC,39.4315,-120.2398,400.0029296875,exact,5,394.0–634.7 mm yr-1,16,7,10,11
US-Slt,39.9138,-74.596,638.281005859375,exact,6,634.7–968.6 mm yr-1,21,9,13,14
US-Sne,38.0369,-121.7547,388.1703186035156,exact,4,263.9–394.0 mm yr-1,16,7,10,11
US-Snf,38.0402,-121.7272,388.1703186035156,exact,4,263.9–394.0 mm yr-1,16,7,10,11
US-SP1,29.7381,-82.2188,929.49005126953125,exact,6,634.7–968.6 mm yr-1,25,10,15,17
US-SRC,31.9083,-110.8395,363.3477478027344,exact,4,263.9–394.0 mm yr-1,15,7,9,10
US-SRG,31.7894,-110.8277,363.3477478027344,exact,4,263.9–394.0 mm yr-1,15,7,9,10
US-SRM,31.8214,-110.8661,363.3477478027344,exact,4,263.9–394.0 mm yr-1,15,7,9,10
US-Srr,38.2006,-122.0264,397.72418212890625,exact,5,394.0–634.7 mm yr-1,16,7,10,11
US-SRS,31.8173,-110.8508,363.3477478027344,exact,4,263.9–394.0 mm yr-1,15,7,9,10
US-SSH,40.6658,-77.9041,609.2137451171875,exact,5,394.0–634.7 mm yr-1,20,9,13,14
US-Sta,41.3966,-106.8024,304.05535888671875,exact,4,263.9–394.0 mm yr-1,13,6,8,9
US-StJ,39.0882,-75.4372,636.47015380859375,exact,6,634.7–968.6 mm yr-1,21,9,13,14
US-Syv,46.2421,-89.3459,485.4760437011719,exact,5,394.0–634.7 mm yr-1,18,8,11,13
US-TaS,25.1908,-80.6391,1086.97802734375,exact,7,>968.6 mm yr-1,30,12,18,20
US-TKs,68.6337,-149.5769,152.37313842773438,exact,3,143.4–263.9 mm yr-1,7,3,5,5
US-TLR,35.9168,-76.1463,791.1592407226564,exact,6,634.7–968.6 mm yr-1,23,10,14,16
US-Ton,38.4309,-120.966,417.7388000488281,exact,5,394.0–634.7 mm yr-1,17,7,10,11
US-Tw1,38.1074,-121.6469,388.1703186035156,exact,4,263.9–394.0 mm yr-1,16,7,10,11
US-Tw2,38.0969,-121.6365,388.1703186035156,exact,4,263.9–394.0 mm yr-1,16,7,10,11
US-Tw3,38.1152,-121.6469,388.1703186035156,exact,4,263.9–394.0 mm yr-1,16,7,10,11
US-Tw4,38.1027,-121.6413,388.1703186035156,exact,4,263.9–394.0 mm yr-1,16,7,10,11
US-Tw5,38.1072,-121.6426,388.1703186035156,exact,4,263.9–394.0 mm yr-1,16,7,10,11
US-Twt,38.1087,-121.6531,388.1703186035156,exact,4,263.9–394.0 mm yr-1,16,7,10,11
US-Uaf,64.8663,-147.8555,239.53225708007812,exact,3,143.4–263.9 mm yr-1,10,5,7,7
US-UC1,40.7536,-78.0056,605.18353271484375,exact,5,394.0–634.7 mm yr-1,20,9,13,14
US-UC2,40.7559,-77.9998,609.2137451171875,exact,5,394.0–634.7 mm yr-1,20,9,13,14
US-UiA,40.0646,-88.1961,690.77618408203125,exact,6,634.7–968.6 mm yr-1,22,9,13,15
US-UiB,40.0628,-88.1984,690.77618408203125,exact,6,634.7–968.6 mm yr-1,22,9,13,15
US-UiC,40.0628,-88.1961,690.77618408203125,exact,6,634.7–968.6 mm yr-1,22,9,13,15
US-UiD,40.0646,-88.1985,690.77618408203125,exact,6,634.7–968.6 mm yr-1,22,9,13,15
US-UiE,40.0629,-88.2033,690.77618408203125,exact,6,634.7–968.6 mm yr-1,22,9,13,15
US-UiF,40.0665,-88.2015,690.77618408203125,exact,6,634.7–968.6 mm yr-1,22,9,13,15
US-UiG,40.0629,-88.2009,690.77618408203125,exact,6,634.7–968.6 mm yr-1,22,9,13,15
US-UMd,45.5625,-84.6975,469.7247924804687,exact,5,394.0–634.7 mm yr-1,18,8,11,12
US-UTB,40.7848,-113.8299,140.49136352539062,exact,2,5.0–143.4 mm yr-1,6,3,4,5
US-UTD,38.1038,-109.5952,241.1700439453125,exact,3,143.4–263.9 mm yr-1,10,5,7,7
US-UTE,37.7353,-111.5708,262.1649475097656,exact,3,143.4–263.9 mm yr-1,11,5,7,8
US-UTJ,37.2818,-109.5348,211.4911193847656,exact,3,143.4–263.9 mm yr-1,9,4,6,6
US-UTL,40.1877,-109.6579,190.76414489746097,exact,3,143.4–263.9 mm yr-1,8,4,5,6
US-UTM,38.5879,-109.5775,218.27816772460935,exact,3,143.4–263.9 mm yr-1,9,4,6,7
US-UTP,41.0604,-112.1013,341.258544921875,exact,4,263.9–394.0 mm yr-1,14,6,9,10
US-UTV,40.1266,-109.9546,190.76414489746097,exact,3,143.4–263.9 mm yr-1,8,4,5,6
US-UTW,39.4453,-110.7288,225.4231719970703,exact,3,143.4–263.9 mm yr-1,10,5,6,7
US-Var,38.4133,-120.9508,417.7388000488281,exact,5,394.0–634.7 mm yr-1,17,7,10,11
US-Vcm,35.8885,-106.5322,390.8061828613281,exact,4,263.9–394.0 mm yr-1,16,7,10,11
US-Vcp,35.8641,-106.5965,390.8061828613281,exact,4,263.9–394.0 mm yr-1,16,7,10,11
US-VT1,40.4064,-87.5214,694.582275390625,exact,6,634.7–968.6 mm yr-1,22,9,13,15
US-VT2,40.4018,-87.5213,694.582275390625,exact,6,634.7–968.6 mm yr-1,22,9,13,15
US-WCr,45.8058,-90.0795,509.120361328125,exact,5,394.0–634.7 mm yr-1,19,8,12,13
US-Whs,31.7438,-110.0522,327.7666015625,exact,4,263.9–394.0 mm yr-1,14,6,9,9
US-Wjs,34.4258,-105.8617,332.2318115234375,exact,4,263.9–394.0 mm yr-1,14,6,9,10
US-Wkg,31.7365,-109.9419,307.04742431640625,exact,4,263.9–394.0 mm yr-1,13,6,8,9
US-WPT,41.4646,-82.9962,609.33782958984375,exact,5,394.0–634.7 mm yr-1,20,9,13,14
US-WT1,34.3674,-101.8154,472.8365478515625,exact,5,394.0–634.7 mm yr-1,18,8,11,12
US-xAB,45.7624,-122.3303,529.02276611328125,exact,5,394.0–634.7 mm yr-1,19,8,12,13
US-xAE,35.4106,-99.0588,625.182373046875,exact,5,394.0–634.7 mm yr-1,21,9,13,14
US-xBA,71.2824,-156.6194,79.7755126953125,exact,2,5.0–143.4 mm yr-1,4,3,3,3
US-xBL,39.0603,-78.0716,655.35467529296875,exact,6,634.7–968.6 mm yr-1,21,9,13,14
US-xBN,65.154,-147.5026,223.5985870361328,exact,3,143.4–263.9 mm yr-1,9,5,6,7
US-xBR,44.0639,-71.2873,480.1797790527344,exact,5,394.0–634.7 mm yr-1,18,8,11,12
US-xCL,33.4012,-97.57,711.2342529296875,exact,6,634.7–968.6 mm yr-1,22,9,13,15
US-xCP,40.8155,-104.7456,383.6994934082031,exact,4,263.9–394.0 mm yr-1,16,7,10,11
US-xDC,47.1617,-99.1066,420.4280090332031,exact,5,394.0–634.7 mm yr-1,17,7,10,12
US-xDJ,63.881100000000004,-145.7514,217.99693298339844,exact,3,143.4–263.9 mm yr-1,9,4,6,7
US-xDL,32.5417,-87.8039,854.5196533203125,exact,6,634.7–968.6 mm yr-1,24,10,15,16
US-xDS,28.125,-81.4362,946.7945556640624,exact,6,634.7–968.6 mm yr-1,25,11,16,17
US-xGR,35.689,-83.5019,782.29083251953125,exact,6,634.7–968.6 mm yr-1,23,10,14,16
US-xHE,63.8757,-149.2133,207.4659881591797,exact,3,143.4–263.9 mm yr-1,9,4,6,6
US-xJE,31.1948,-84.4686,904.17755126953125,exact,6,634.7–968.6 mm yr-1,25,10,15,17
US-xJR,32.5907,-106.8425,259.2829284667969,exact,3,143.4–263.9 mm yr-1,11,5,7,8
US-xKZ,39.1008,-96.5631,640.5924072265625,exact,6,634.7–968.6 mm yr-1,21,9,13,14
US-xLE,31.8539,-88.1612,951.17120361328125,exact,6,634.7–968.6 mm yr-1,25,11,16,17
US-xMB,38.2483,-109.3883,320.2561340332031,exact,4,263.9–394.0 mm yr-1,13,6,8,9
US-xML,37.3783,-80.5248,714.16510009765625,exact,6,634.7–968.6 mm yr-1,22,9,14,15
US-xNG,46.7697,-100.9154,382.8362731933594,exact,4,263.9–394.0 mm yr-1,16,7,10,11
US-xNQ,40.1776,-112.4524,364.9841003417969,exact,4,263.9–394.0 mm yr-1,15,7,9,10
US-xNW,40.0543,-105.5824,339.7502136230469,exact,4,263.9–394.0 mm yr-1,14,6,9,10
US-xPU,19.5531,-155.3173,1147.2535400390625,exact,7,>968.6 mm yr-1,30,12,18,20
US-xRM,40.2759,-105.5459,339.7502136230469,exact,4,263.9–394.0 mm yr-1,14,6,9,10
US-xRN,35.9641,-84.2826,758.343017578125,exact,6,634.7–968.6 mm yr-1,23,10,14,15
US-xSB,29.6893,-81.9934,954.4866943359376,exact,6,634.7–968.6 mm yr-1,25,11,16,17
US-xSC,38.8929,-78.1395,668.08013916015625,exact,6,634.7–968.6 mm yr-1,21,9,13,14
US-xSE,38.8901,-76.56,648.66705322265625,exact,6,634.7–968.6 mm yr-1,21,9,13,14
US-xSJ,37.1088,-119.7323,383.7726440429687,exact,4,263.9–394.0 mm yr-1,16,7,10,11
US-xSL,40.4619,-103.0293,389.3233642578125,exact,4,263.9–394.0 mm yr-1,16,7,10,11
US-xSP,37.0334,-119.26220000000001,358.7480163574219,exact,4,263.9–394.0 mm yr-1,15,7,9,10
US-xSR,31.9107,-110.8355,363.3477478027344,exact,4,263.9–394.0 mm yr-1,15,7,9,10
US-xST,45.5089,-89.5864,495.2511596679687,exact,5,394.0–634.7 mm yr-1,19,8,12,13
US-xTE,37.0058,-119.006,358.7480163574219,exact,4,263.9–394.0 mm yr-1,15,7,9,10
US-xTL,68.6611,-149.3705,132.50074768066406,exact,2,5.0–143.4 mm yr-1,6,3,4,4
US-xTR,45.4937,-89.5857,539.5924072265625,exact,5,394.0–634.7 mm yr-1,19,8,12,13
US-xUK,39.0404,-95.1921,694.3011474609375,exact,6,634.7–968.6 mm yr-1,22,9,13,15
US-xUN,46.2339,-89.5373,489.5101013183594,exact,5,394.0–634.7 mm yr-1,18,8,11,13
US-xWD,47.1282,-99.2414,420.4280090332031,exact,5,394.0–634.7 mm yr-1,17,7,10,12
US-xWR,45.8205,-121.9519,477.50738525390625,exact,5,394.0–634.7 mm yr-1,18,8,11,12
US-xYE,44.9535,-110.5391,364.95599365234375,exact,4,263.9–394.0 mm yr-1,15,7,9,10
US-YK1,61.2723,-163.2228,251.0545196533203,exact,3,143.4–263.9 mm yr-1,11,5,7,7
US-YK2,61.2548,-163.259,251.0545196533203,exact,3,143.4–263.9 mm yr-1,11,5,7,7
US-ZF2,40.7939,-87.5355,674.98577880859375,exact,6,634.7–968.6 mm yr-1,21,9,13,15
ZA-Uby,-27.3952,32.5889,726.78765869140625,exact,6,634.7–968.6 mm yr-1,22,9,14,15
ZA-Spk,-28.70408,29.52614,675.8956298828125,exact,6,634.7–968.6 mm yr-1,21,9,13,15
ZA-Jks,-33.99029,18.95543,478.9760437011719,exact,5,394.0–634.7 mm yr-1,18,8,11,12
ZA-BfS,-28.8906,24.86112,394.8325500488281,exact,5,394.0–634.7 mm yr-1,16,7,10,11
ZA-BfK,-28.856483,24.83985,394.8325500488281,exact,5,394.0–634.7 mm yr-1,16,7,10,11
KR-WdE,34.35956,126.67779,719.98309326171875,exact,6,634.7–968.6 mm yr-1,22,9,14,15
KR-UAO,36.41682,128.79904,681.0443115234375,exact,6,634.7–968.6 mm yr-1,21,9,13,15
KR-TwC,37.30493,127.31743,636.5023193359375,exact,6,634.7–968.6 mm yr-1,21,9,13,14
KR-TwB,37.30406,127.31395,636.5023193359375,exact,6,634.7–968.6 mm yr-1,21,9,13,14
KR-SmM,37.93894,126.95471,631.48150634765625,exact,5,394.0–634.7 mm yr-1,21,9,13,14
KR-ScC,37.22141,129.29863,624.96356201171875,exact,5,394.0–634.7 mm yr-1,21,9,13,14
KR-PcD,37.48184,128.51604,659.03057861328125,exact,6,634.7–968.6 mm yr-1,21,9,13,14
KR-Nj2,35.0269,126.8219,750.03875732421875,exact,6,634.7–968.6 mm yr-1,23,9,14,15
KR-Nj1,35.02753,126.82093,750.03875732421875,exact,6,634.7–968.6 mm yr-1,23,9,14,15
KR-Kw2,37.74869,127.14888,634.80120849609375,exact,6,634.7–968.6 mm yr-1,21,9,13,14
KR-Kw1,37.74843,127.16261,634.80120849609375,exact,6,634.7–968.6 mm yr-1,21,9,13,14
KR-JjM,33.31798,126.56772,754.529296875,exact,6,634.7–968.6 mm yr-1,23,9,14,15
KR-Hnm,34.5538,126.56992,762.99853515625,exact,6,634.7–968.6 mm yr-1,23,10,14,15
KR-HcM,37.61938,127.84571,649.75177001953125,exact,6,634.7–968.6 mm yr-1,21,9,13,14
KR-HPK,34.47722,126.48105,708.4224853515625,exact,6,634.7–968.6 mm yr-1,22,9,13,15
KR-GmS,35.75089,126.81378,742.55450439453125,exact,6,634.7–968.6 mm yr-1,22,9,14,15
KR-GmR,35.74862,126.86432,742.55450439453125,exact,6,634.7–968.6 mm yr-1,22,9,14,15
KR-GmP,35.74502,126.85222,742.55450439453125,exact,6,634.7–968.6 mm yr-1,22,9,14,15
KR-CmF,37.1599,127.65365,635.5013427734375,exact,6,634.7–968.6 mm yr-1,21,9,13,14
KR-CRK,38.2013,127.2497,619.86175537109375,exact,5,394.0–634.7 mm yr-1,21,9,13,14
KR-AdC,36.50565,126.35909,661.6622314453125,exact,6,634.7–968.6 mm yr-1,21,9,13,14
TH-Mae,18.42264,99.72025,925.5718994140624,exact,6,634.7–968.6 mm yr-1,25,10,15,17
TH-Kog,18.81267,98.90225,974.27520751953125,exact,7,>968.6 mm yr-1,26,11,16,17
RU-Tur,64.208885,100.463554,195.53842163085935,exact,3,143.4–263.9 mm yr-1,8,4,6,6
RU-SkP,62.25471,129.61855,208.35118103027344,exact,3,143.4–263.9 mm yr-1,9,4,6,6
RU-Sk2,62.241356,129.65047,208.35118103027344,exact,3,143.4–263.9 mm yr-1,9,4,6,6
RU-NeF,62.315617,129.49997,217.5732879638672,exact,3,143.4–263.9 mm yr-1,9,4,6,7
RU-NeC,62.314842,129.50008,208.35118103027344,exact,3,143.4–263.9 mm yr-1,9,4,6,6
RU-NeB,62.325935,129.48734,217.5732879638672,exact,3,143.4–263.9 mm yr-1,9,4,6,7
RU-Ege,60.015514,133.824,239.0928192138672,exact,3,143.4–263.9 mm yr-1,10,5,7,7
MY-LHP,4.201007,114.03908,1434.0928955078125,exact,7,>968.6 mm yr-1,30,12,18,20
MN-Udg,48.25649,106.85116,313.9574279785156,exact,4,263.9–394.0 mm yr-1,13,6,8,9
MN-Nkh,47.693592,107.48934,309.70111083984375,exact,4,263.9–394.0 mm yr-1,13,6,8,9
MN-Kbu,47.21397,108.737335,281.5339660644531,exact,4,263.9–394.0 mm yr-1,12,5,8,8
MN-Hst,47.59293,105.85497,289.2492980957031,exact,4,263.9–394.0 mm yr-1,12,6,8,8
KH-Kmp,12.744579,105.47857,1090.110107421875,exact,7,>968.6 mm yr-1,30,12,18,20
JP-Ynf,26.751,128.21266,849.5781860351564,exact,6,634.7–968.6 mm yr-1,24,10,15,16
JP-Yms,34.79028,135.84094,718.2017822265625,exact,6,634.7–968.6 mm yr-1,22,9,14,15
JP-Toc,42.70973,141.5659,518.25640869140625,exact,5,394.0–634.7 mm yr-1,19,8,12,13
JP-Tmk,42.739307,141.51483,518.25640869140625,exact,5,394.0–634.7 mm yr-1,19,8,12,13
JP-Tmd,42.735912,141.52315,518.25640869140625,exact,5,394.0–634.7 mm yr-1,19,8,12,13
JP-Tkb,36.173378,140.17664,694.83892822265625,exact,6,634.7–968.6 mm yr-1,22,9,13,15
JP-Tgf,36.11353,140.09488,694.83892822265625,exact,6,634.7–968.6 mm yr-1,22,9,13,15
JP-Tef,45.05581,142.10712,393.8785705566406,exact,4,263.9–394.0 mm yr-1,16,7,10,11
JP-Tak,36.146168,137.42311,673.09295654296875,exact,6,634.7–968.6 mm yr-1,21,9,13,15
JP-Ta2,36.140038,137.37071,673.09295654296875,exact,6,634.7–968.6 mm yr-1,21,9,13,15
JP-Srk,40.565483,140.12779,630.55035400390625,exact,5,394.0–634.7 mm yr-1,21,9,13,14
JP-Spp,42.986843,141.38533,480.1280517578125,exact,5,394.0–634.7 mm yr-1,18,8,11,12
JP-Shn,35.865753,137.93256,705.64398193359375,exact,6,634.7–968.6 mm yr-1,22,9,13,15
JP-Sb2,45.10339,141.6808,446.4626159667969,exact,5,394.0–634.7 mm yr-1,18,8,11,12
JP-Sb1,45.104702,141.68797,446.4626159667969,exact,5,394.0–634.7 mm yr-1,18,8,11,12
JP-SMF,35.261528,137.07875,784.81414794921875,exact,6,634.7–968.6 mm yr-1,23,10,14,16
JP-Om2,34.542454,135.50822,718.2017822265625,exact,6,634.7–968.6 mm yr-1,22,9,14,15
JP-Nuf,35.152416,136.9719,733.1181030273436,exact,6,634.7–968.6 mm yr-1,22,9,14,15
JP-NsM,36.91604,139.936,699.3720703125,exact,6,634.7–968.6 mm yr-1,22,9,13,15
JP-NsC,36.915054,139.93684,699.3720703125,exact,6,634.7–968.6 mm yr-1,22,9,13,15
JP-Nkm,35.808064,137.83388,705.64398193359375,exact,6,634.7–968.6 mm yr-1,22,9,13,15
JP-Mse,36.05393,140.02693,694.83892822265625,exact,6,634.7–968.6 mm yr-1,22,9,13,15
JP-MMF,44.321884,142.26152,454.0787353515625,exact,5,394.0–634.7 mm yr-1,18,8,11,12
JP-MBF,44.38406,142.31862,454.0787353515625,exact,5,394.0–634.7 mm yr-1,18,8,11,12
JP-Kzw,36.406788,138.57257,704.542724609375,exact,6,634.7–968.6 mm yr-1,22,9,13,15
JP-Khw,33.13658,130.70834,834.63824462890625,exact,6,634.7–968.6 mm yr-1,24,10,15,16
JP-KaP,36.08313,140.24033,694.83892822265625,exact,6,634.7–968.6 mm yr-1,22,9,13,15
JP-Hc3,34.539673,133.91173,791.04827880859375,exact,6,634.7–968.6 mm yr-1,23,10,14,16
JP-Hc2,34.537518,133.92755,791.04827880859375,exact,6,634.7–968.6 mm yr-1,23,10,14,16
JP-Fmt,35.638744,139.37975,763.53741455078125,exact,6,634.7–968.6 mm yr-1,23,10,14,15
JP-Fjy,35.45454,138.76225,798.216064453125,exact,6,634.7–968.6 mm yr-1,23,10,14,16
JP-Fhk,35.443554,138.7647,798.216064453125,exact,6,634.7–968.6 mm yr-1,23,10,14,16
JP-BBY,43.322998,141.81065,517.8968505859375,exact,5,394.0–634.7 mm yr-1,19,8,12,13
JP-Api,40.001358,140.93658,630.44207763671875,exact,5,394.0–634.7 mm yr-1,21,9,13,14
ID-Pag,-2.3239167,113.90439,1390.824462890625,exact,7,>968.6 mm yr-1,30,12,18,20
ID-PaD,-2.3460708,114.03641,1370.5328369140625,exact,7,>968.6 mm yr-1,30,12,18,20
ID-PaB,-2.340796,114.0379,1370.5328369140625,exact,7,>968.6 mm yr-1,30,12,18,20
CN-Lsh,45.27984,127.57821,490.9331970214844,exact,5,394.0–634.7 mm yr-1,18,8,11,13
CN-HaM,37.607433,101.332,329.3330993652344,exact,4,263.9–394.0 mm yr-1,14,6,9,10
UK-AMo,55.792545,-3.2436917,355.31463623046875,exact,4,263.9–394.0 mm yr-1,15,7,9,10
SE-Svb,64.25611,19.7745,282.06982421875,exact,4,263.9–394.0 mm yr-1,12,5,8,8
SE-Sto,68.35594,19.045208,178.38104248046875,exact,3,143.4–263.9 mm yr-1,8,4,5,6
SE-Nor,60.0865,17.479504,333.17401123046875,exact,4,263.9–394.0 mm yr-1,14,6,9,10
SE-Htm,56.09763,13.41897,459.05328369140625,exact,5,394.0–634.7 mm yr-1,18,8,11,12
SE-Deg,64.18203,19.55654,282.06982421875,exact,4,263.9–394.0 mm yr-1,12,5,8,8
NO-Hur,60.37163,11.07949,378.6341247558594,exact,4,263.9–394.0 mm yr-1,15,7,10,11
NL-Loo,52.166447,5.74355,415.8315124511719,exact,5,394.0–634.7 mm yr-1,17,7,10,11
IT-TrF,45.82376,7.56089,477.9774475097656,exact,5,394.0–634.7 mm yr-1,18,8,11,12
IT-Tor,45.84444,7.578055,477.9774475097656,exact,5,394.0–634.7 mm yr-1,18,8,11,12
IT-Ren,46.58686,11.43369,513.18865966796875,exact,5,394.0–634.7 mm yr-1,19,8,12,13
IT-Noe,40.606174,8.151694,452.94146728515625,exact,5,394.0–634.7 mm yr-1,18,8,11,12
IT-Niv,45.49091,7.13943,493.3429870605469,exact,5,394.0–634.7 mm yr-1,19,8,11,13
IT-MBo,46.01468,11.045831,556.2291259765625,exact,5,394.0–634.7 mm yr-1,20,8,12,13
IT-Lsn,45.740482,12.750297,637.47314453125,exact,6,634.7–968.6 mm yr-1,21,9,13,14
IT-Cp2,41.704266,12.357293,459.5895385742187,exact,5,394.0–634.7 mm yr-1,18,8,11,12
IT-BFt,45.197754,10.741966,589.46160888671875,exact,5,394.0–634.7 mm yr-1,20,9,12,14
IT-BCi,40.52375,14.957444,497.2337646484375,exact,5,394.0–634.7 mm yr-1,19,8,12,13
IE-Cra,53.32308,-7.64177,435.5339660644531,exact,5,394.0–634.7 mm yr-1,17,7,11,12
GL-ZaH,74.4733,-20.550869,10.301523208618164,exact,2,5.0–143.4 mm yr-1,2,2,2,2
GL-ZaF,74.48152,-20.555773,10.301523208618164,exact,2,5.0–143.4 mm yr-1,2,2,2,2
GL-NuF,64.130936,-51.386066,134.46607971191406,exact,2,5.0–143.4 mm yr-1,6,3,4,4
GL-Dsk,69.25349,-53.51413,93.02728271484376,exact,2,5.0–143.4 mm yr-1,5,3,3,4
GF-Guy,5.2787,-52.9248,1394.0189208984375,exact,7,>968.6 mm yr-1,30,12,18,20
FR-Tou,43.572857,1.37474,555.36285400390625,exact,5,394.0–634.7 mm yr-1,20,8,12,13
FR-Pue,43.7413,3.5957,545.8695068359375,exact,5,394.0–634.7 mm yr-1,20,8,12,13
FR-Mej,48.1184,-1.79635,494.3447570800781,exact,5,394.0–634.7 mm yr-1,19,8,12,13
FR-Lus,46.414246,0.1206518,543.27838134765625,exact,5,394.0–634.7 mm yr-1,19,8,12,13
FR-Lqu,45.6444,2.7349,561.31829833984375,exact,5,394.0–634.7 mm yr-1,20,8,12,13
FR-Lam,43.496437,1.237878,609.148193359375,exact,5,394.0–634.7 mm yr-1,20,9,13,14
FR-LGt,47.322918,2.284102,494.3428039550781,exact,5,394.0–634.7 mm yr-1,19,8,12,13
FR-Hes,48.6741,7.06465,500.23486328125,exact,5,394.0–634.7 mm yr-1,19,8,12,13
FR-Gri,48.84422,1.95191,452.6058349609375,exact,5,394.0–634.7 mm yr-1,18,8,11,12
FR-Fon,48.476357,2.780096,489.0007019042969,exact,5,394.0–634.7 mm yr-1,18,8,11,13
FR-FBn,43.24079,5.67865,474.1663818359375,exact,5,394.0–634.7 mm yr-1,18,8,11,12
FR-EM2,49.87211,3.02065,476.78863525390625,exact,5,394.0–634.7 mm yr-1,18,8,11,12
FR-CLt,45.0414,6.41053,537.47601318359375,exact,5,394.0–634.7 mm yr-1,19,8,12,13
FR-Bil,44.493652,-0.956092,637.3214111328125,exact,6,634.7–968.6 mm yr-1,21,9,13,14
FR-Aur,43.54965,1.106103,555.36285400390625,exact,5,394.0–634.7 mm yr-1,20,8,12,13
FI-Var,67.7549,29.61,217.40773010253903,exact,3,143.4–263.9 mm yr-1,9,4,6,7
FI-Sod,67.36239,26.63859,257.22845458984375,exact,3,143.4–263.9 mm yr-1,11,5,7,8
FI-Sii,61.83265,24.19285,298.6543273925781,exact,4,263.9–394.0 mm yr-1,13,6,8,9
FI-Let,60.64183,23.95952,326.41558837890625,exact,4,263.9–394.0 mm yr-1,14,6,9,9
FI-Ken,67.98721,24.24301,237.54763793945312,exact,3,143.4–263.9 mm yr-1,10,5,7,7
FI-Hyy,61.847410000000004,24.29477,298.6543273925781,exact,4,263.9–394.0 mm yr-1,13,6,8,9
FI-Ant,63.16347,27.234991,300.1099853515625,exact,4,263.9–394.0 mm yr-1,13,6,8,9
ES-LMa,39.94033,-5.77465,360.2332458496094,exact,4,263.9–394.0 mm yr-1,15,7,9,10
DK-Vng,56.037476,9.160709,386.9825439453125,exact,4,263.9–394.0 mm yr-1,16,7,10,11
DK-Sor,55.48587,11.644645,372.0376892089844,exact,4,263.9–394.0 mm yr-1,15,7,10,11
DK-Skj,55.91273,8.40481,381.8221435546875,exact,4,263.9–394.0 mm yr-1,16,7,10,11
DK-RCW,55.680683,12.101398,389.3805541992187,exact,4,263.9–394.0 mm yr-1,16,7,10,11
DK-Gds,56.0737,9.3341,386.9825439453125,exact,4,263.9–394.0 mm yr-1,16,7,10,11
DE-Tha,50.962597,13.565333,450.4152526855469,exact,5,394.0–634.7 mm yr-1,18,8,11,12
DE-RuW,50.50493,6.3309627,445.409912109375,exact,5,394.0–634.7 mm yr-1,17,8,11,12
DE-RuS,50.865906,6.4471445,445.409912109375,exact,5,394.0–634.7 mm yr-1,17,8,11,12
DE-RuR,50.621914,6.304126,445.409912109375,exact,5,394.0–634.7 mm yr-1,17,8,11,12
DE-Msr,47.80918,11.456168,546.5693359375,exact,5,394.0–634.7 mm yr-1,20,8,12,13
DE-Kli,50.893044,13.5223,450.4152526855469,exact,5,394.0–634.7 mm yr-1,18,8,11,12
DE-Hzd,50.96381,13.48978,445.2551879882813,exact,5,394.0–634.7 mm yr-1,17,8,11,12
DE-HoH,52.08656,11.22235,429.09515380859375,exact,5,394.0–634.7 mm yr-1,17,7,11,12
DE-Har,47.93391,7.59814,523.31854248046875,exact,5,394.0–634.7 mm yr-1,19,8,12,13
DE-Hai,51.079212,10.452168,465.752197265625,exact,5,394.0–634.7 mm yr-1,18,8,11,12
