site_id,location_lat,location_long,biomass_value_mg_ha,biomass_bin,biomass_bin_label,biomass_method,biomass_bin_30,biomass_bin_12,biomass_bin_18,biomass_bin_20
CR-Fsc,10.4189,-85.4732,29,4,27.0–51.0 Mg/ha,exact,12,5,8,8
MX-Aog,26.9968,-108.7892,56,5,51.0–94.0 Mg/ha,exact,17,7,10,11
MX-PMm,20.8462,-86.8992,29,4,27.0–51.0 Mg/ha,exact,12,5,8,8
MX-Tes,27.8446,-109.2977,18,3,13.0–27.0 Mg/ha,exact,9,4,6,6
PE-QFR,-3.8344,-73.319,113,6,94.0–171.0 Mg/ha,exact,22,9,14,15
PR-xGU,17.9696,-66.8687,41,4,27.0–51.0 Mg/ha,exact,14,6,9,10
PR-xLA,18.0212,-67.0769,4,1,0–5 Mg/ha,exact,1,1,1,1
US-A03,70.4953,-149.8823,1,1,0–5 Mg/ha,exact,1,1,1,1
US-A10,71.3242,-156.6149,3,1,0–5 Mg/ha,exact,1,1,1,1
US-A32,36.8193,-97.8198,0,1,0–5 Mg/ha,exact,1,1,1,1
US-A37,36.3106,-97.928,0,1,0–5 Mg/ha,exact,1,1,1,1
US-A39,36.3776,-96.069,26,3,13.0–27.0 Mg/ha,exact,11,5,7,8
US-A74,36.8085,-97.5489,0,1,0–5 Mg/ha,exact,1,1,1,1
US-ABa,27.1301,-81.2011,1,1,0–5 Mg/ha,exact,1,1,1,1
US-ABb,27.1346,-81.2031,1,1,0–5 Mg/ha,exact,1,1,1,1
US-ABc,27.1633,-81.1873,8,2,5–13.0 Mg/ha,exact,4,2,3,3
US-ABd,27.1699,-81.2152,0,1,0–5 Mg/ha,exact,1,1,1,1
US-ABe,27.1656,-81.2161,0,1,0–5 Mg/ha,exact,1,1,1,1
US-ADR,36.7653,-116.6933,0,1,0–5 Mg/ha,exact,1,1,1,1
US-Akn,33.3825,-81.5653,55,5,51.0–94.0 Mg/ha,exact,17,7,10,11
US-ALQ,46.0308,-89.6067,113,6,94.0–171.0 Mg/ha,exact,22,9,14,15
US-AR1,36.4267,-99.42,2,1,0–5 Mg/ha,exact,1,1,1,1
US-AR2,36.6358,-99.5975,0,1,0–5 Mg/ha,exact,1,1,1,1
US-ARb,35.5497,-98.0402,0,1,0–5 Mg/ha,exact,1,1,1,1
US-ARc,35.5465,-98.04,0,1,0–5 Mg/ha,exact,1,1,1,1
US-ARM,36.6058,-97.4888,0,1,0–5 Mg/ha,exact,1,1,1,1
US-ASH,36.1697,-120.201,4,1,0–5 Mg/ha,exact,1,1,1,1
US-ASM,36.1777,-120.2026,6,2,5–13.0 Mg/ha,exact,2,2,2,2
US-Aud,31.5907,-110.5104,0,1,0–5 Mg/ha,exact,1,1,1,1
US-Bar,44.0646,-71.2881,146,6,94.0–171.0 Mg/ha,exact,25,10,15,17
US-Bi1,38.0992,-121.4993,1,1,0–5 Mg/ha,exact,1,1,1,1
US-Bi2,38.1091,-121.5351,0,1,0–5 Mg/ha,exact,1,1,1,1
US-BRG,39.2167,-86.5406,51,5,51.0–94.0 Mg/ha,exact,16,7,10,11
US-BZB,64.6955,-148.3208,114,6,94.0–171.0 Mg/ha,exact,22,9,14,15
US-BZF,64.7013,-148.3121,157,6,94.0–171.0 Mg/ha,exact,25,10,15,17
US-BZo,64.6936,-148.33,144,6,94.0–171.0 Mg/ha,exact,24,10,15,16
US-CAK,64.8618,-163.7002,10,2,5–13.0 Mg/ha,exact,5,3,4,4
US-CdM,37.5241,-109.7471,4,1,0–5 Mg/ha,exact,1,1,1,1
US-Ced,39.8379,-74.3791,30,4,27.0–51.0 Mg/ha,exact,12,6,8,8
US-CF1,46.7815,-117.0821,0,1,0–5 Mg/ha,exact,1,1,1,1
US-CF2,46.784,-117.0908,0,1,0–5 Mg/ha,exact,1,1,1,1
US-CF3,46.7551,-117.1261,0,1,0–5 Mg/ha,exact,1,1,1,1
US-CF4,46.7518,-117.1285,0,1,0–5 Mg/ha,exact,1,1,1,1
US-CGG,37.938,-121.9761,4,1,0–5 Mg/ha,exact,1,1,1,1
US-ChR,35.9311,-84.3324,164,6,94.0–171.0 Mg/ha,exact,25,11,16,17
US-CLF,40.6366,-77.9424,57,5,51.0–94.0 Mg/ha,exact,17,7,11,12
US-Cms,71.3202,-156.6223,2,1,0–5 Mg/ha,exact,1,1,1,1
US-CMW,31.6637,-110.1777,12,2,5–13.0 Mg/ha,exact,6,3,4,4
US-Cop,38.09,-109.39,2,1,0–5 Mg/ha,exact,1,1,1,1
US-CRK,31.4629,-95.3415,86,5,51.0–94.0 Mg/ha,exact,20,9,12,14
US-CRT,41.6285,-83.3471,2,1,0–5 Mg/ha,exact,1,1,1,1
US-CS1,44.1031,-89.5379,34,4,27.0–51.0 Mg/ha,exact,13,6,8,9
US-CS2,44.1467,-89.5002,47,4,27.0–51.0 Mg/ha,exact,15,7,10,11
US-CS3,44.1394,-89.5727,14,3,13.0–27.0 Mg/ha,exact,7,4,5,5
US-CS4,44.1597,-89.5475,20,3,13.0–27.0 Mg/ha,exact,9,4,6,7
US-CS5,44.1095,-89.5377,34,4,27.0–51.0 Mg/ha,exact,13,6,8,9
US-CS6,44.4297,-89.544,15,3,13.0–27.0 Mg/ha,exact,7,4,5,5
US-CS8,44.4338,-89.5364,23,3,13.0–27.0 Mg/ha,exact,10,5,7,7
US-Cst,33.0442,-91.9204,101,6,94.0–171.0 Mg/ha,exact,21,9,13,15
US-Cwt,35.0592,-83.4275,202,7,>171.0 Mg/ha,exact,27,11,16,18
US-DFC,43.3448,-89.7117,22,3,13.0–27.0 Mg/ha,exact,10,5,6,7
US-DFK,43.3453,-89.7154,22,3,13.0–27.0 Mg/ha,exact,10,5,6,7
US-Dix,39.9712,-74.4346,27,4,27.0–51.0 Mg/ha,exact,11,5,7,8
US-Dk1,35.9712,-79.0934,155,6,94.0–171.0 Mg/ha,exact,25,10,15,17
US-Dk2,35.9736,-79.1004,177,7,>171.0 Mg/ha,exact,26,11,16,18
US-Dk3,35.9782,-79.0942,155,6,94.0–171.0 Mg/ha,exact,25,10,15,17
US-Dmg,38.0015,-121.6691,3,1,0–5 Mg/ha,exact,1,1,1,1
US-DPW,28.0521,-81.4361,25,3,13.0–27.0 Mg/ha,exact,11,5,7,8
US-DS1,38.1335,-121.539,0,1,0–5 Mg/ha,exact,1,1,1,1
US-DS2,38.1375,-121.514,0,1,0–5 Mg/ha,exact,1,1,1,1
US-DS3,38.1235,-121.549,0,1,0–5 Mg/ha,exact,1,1,1,1
US-EA4,29.6633,-98.3816,34,4,27.0–51.0 Mg/ha,exact,13,6,8,9
US-EA5,29.3584,-99.9576,17,3,13.0–27.0 Mg/ha,exact,8,4,5,6
US-EA6,29.6561,-99.9588,5,2,5–13.0 Mg/ha,exact,2,2,2,2
US-EDN,37.6156,-122.114,8,2,5–13.0 Mg/ha,exact,4,2,3,3
US-EKH,36.8094,-121.7523,3,1,0–5 Mg/ha,exact,1,1,1,1
US-EKN,36.8357,-121.7328,9,2,5–13.0 Mg/ha,exact,4,3,3,3
US-EKP,36.8558,-121.7488,12,2,5–13.0 Mg/ha,exact,6,3,4,4
US-Elm,25.5519,-80.7826,9,2,5–13.0 Mg/ha,exact,4,3,3,3
US-EML,63.8784,-149.2536,11,2,5–13.0 Mg/ha,exact,5,3,4,4
US-Esm,25.4379,-80.5946,15,3,13.0–27.0 Mg/ha,exact,7,4,5,5
US-EvM,25.3539,-80.381,18,3,13.0–27.0 Mg/ha,exact,9,4,6,6
US-Fcr,65.3968,-148.9348,32,4,27.0–51.0 Mg/ha,exact,13,6,8,9
US-Fmf,35.1426,-111.7273,20,3,13.0–27.0 Mg/ha,exact,9,4,6,7
US-Fo1,70.085,-148.5671,7,2,5–13.0 Mg/ha,exact,3,2,2,3
US-Fo2,70.0229,-148.6598,9,2,5–13.0 Mg/ha,exact,4,3,3,3
