site_id,location_lat,location_long,biomass_value_mg_ha,biomass_bin,biomass_bin_label,biomass_method,biomass_bin_30,biomass_bin_12,biomass_bin_18,biomass_bin_20
US-StJ,39.0882,-75.4372,19,3,13.0–27.0 Mg/ha,exact,9,4,6,6
US-Syv,46.2421,-89.3459,99,6,94.0–171.0 Mg/ha,exact,21,9,13,14
US-TaS,25.1908,-80.6391,20,3,13.0–27.0 Mg/ha,exact,9,4,6,7
US-TKs,68.6337,-149.5769,0,1,0–5 Mg/ha,exact,1,1,1,1
US-TLR,35.9168,-76.1463,141,6,94.0–171.0 Mg/ha,exact,24,10,15,16
US-Ton,38.4309,-120.966,8,2,5–13.0 Mg/ha,exact,4,2,3,3
US-Tw1,38.1074,-121.6469,3,1,0–5 Mg/ha,exact,1,1,1,1
US-Tw2,38.0969,-121.6365,4,1,0–5 Mg/ha,exact,1,1,1,1
US-Tw3,38.1152,-121.6469,1,1,0–5 Mg/ha,exact,1,1,1,1
US-Tw4,38.1027,-121.6413,3,1,0–5 Mg/ha,exact,1,1,1,1
US-Tw5,38.1072,-121.6426,3,1,0–5 Mg/ha,exact,1,1,1,1
US-Twt,38.1087,-121.6531,3,1,0–5 Mg/ha,exact,1,1,1,1
US-Uaf,64.8663,-147.8555,97,6,94.0–171.0 Mg/ha,exact,21,9,13,14
US-UC1,40.7536,-78.0056,99,6,94.0–171.0 Mg/ha,exact,21,9,13,14
US-UC2,40.7559,-77.9998,69,5,51.0–94.0 Mg/ha,exact,18,8,11,13
US-UiA,40.0646,-88.1961,2,1,0–5 Mg/ha,exact,1,1,1,1
US-UiB,40.0628,-88.1984,2,1,0–5 Mg/ha,exact,1,1,1,1
US-UiC,40.0628,-88.1961,2,1,0–5 Mg/ha,exact,1,1,1,1
US-UiD,40.0646,-88.1985,2,1,0–5 Mg/ha,exact,1,1,1,1
US-UiE,40.0629,-88.2033,5,2,5–13.0 Mg/ha,exact,2,2,2,2
US-UiF,40.0665,-88.2015,5,2,5–13.0 Mg/ha,exact,2,2,2,2
US-UiG,40.0629,-88.2009,5,2,5–13.0 Mg/ha,exact,2,2,2,2
US-UMd,45.5625,-84.6975,73,5,51.0–94.0 Mg/ha,exact,19,8,12,13
US-UTB,40.7848,-113.8299,0,1,0–5 Mg/ha,exact,1,1,1,1
US-UTD,38.1038,-109.5952,1,1,0–5 Mg/ha,exact,1,1,1,1
US-UTE,37.7353,-111.5708,0,1,0–5 Mg/ha,exact,1,1,1,1
US-UTJ,37.2818,-109.5348,0,1,0–5 Mg/ha,exact,1,1,1,1
US-UTL,40.1877,-109.6579,0,1,0–5 Mg/ha,exact,1,1,1,1
US-UTM,38.5879,-109.5775,4,1,0–5 Mg/ha,exact,1,1,1,1
US-UTP,41.0604,-112.1013,1,1,0–5 Mg/ha,exact,1,1,1,1
US-UTV,40.1266,-109.9546,0,1,0–5 Mg/ha,exact,1,1,1,1
US-UTW,39.4453,-110.7288,0,1,0–5 Mg/ha,exact,1,1,1,1
US-Var,38.4133,-120.9508,6,2,5–13.0 Mg/ha,exact,2,2,2,2
US-Vcm,35.8885,-106.5322,4,1,0–5 Mg/ha,exact,1,1,1,1
US-Vcp,35.8641,-106.5965,30,4,27.0–51.0 Mg/ha,exact,12,6,8,8
US-VT1,40.4064,-87.5214,0,1,0–5 Mg/ha,exact,1,1,1,1
US-VT2,40.4018,-87.5213,0,1,0–5 Mg/ha,exact,1,1,1,1
US-WCr,45.8058,-90.0795,112,6,94.0–171.0 Mg/ha,exact,22,9,14,15
US-Whs,31.7438,-110.0522,5,2,5–13.0 Mg/ha,exact,2,2,2,2
US-Wjs,34.4258,-105.8617,0,1,0–5 Mg/ha,exact,1,1,1,1
US-Wkg,31.7365,-109.9419,0,1,0–5 Mg/ha,exact,1,1,1,1
US-WPT,41.4646,-82.9962,10,2,5–13.0 Mg/ha,exact,5,3,4,4
US-WT1,34.3674,-101.8154,0,1,0–5 Mg/ha,exact,1,1,1,1
US-xAB,45.7624,-122.3303,212,7,>171.0 Mg/ha,exact,27,11,16,18
US-xAE,35.4106,-99.0588,0,1,0–5 Mg/ha,exact,1,1,1,1
US-xBA,71.2824,-156.6194,8,2,5–13.0 Mg/ha,exact,4,2,3,3
US-xBL,39.0603,-78.0716,16,3,13.0–27.0 Mg/ha,exact,8,4,5,6
US-xBN,65.154,-147.5026,85,5,51.0–94.0 Mg/ha,exact,20,9,12,14
US-xBR,44.0639,-71.2873,146,6,94.0–171.0 Mg/ha,exact,25,10,15,17
US-xCL,33.4012,-97.57,10,2,5–13.0 Mg/ha,exact,5,3,4,4
US-xCP,40.8155,-104.7456,0,1,0–5 Mg/ha,exact,1,1,1,1
US-xDC,47.1617,-99.1066,1,1,0–5 Mg/ha,exact,1,1,1,1
US-xDJ,63.881100000000004,-145.7514,27,4,27.0–51.0 Mg/ha,exact,11,5,7,8
US-xDL,32.5417,-87.8039,155,6,94.0–171.0 Mg/ha,exact,25,10,15,17
US-xDS,28.125,-81.4362,21,3,13.0–27.0 Mg/ha,exact,10,5,6,7
US-xGR,35.689,-83.5019,102,6,94.0–171.0 Mg/ha,exact,22,9,13,15
US-xHE,63.8757,-149.2133,0,1,0–5 Mg/ha,exact,1,1,1,1
US-xJE,31.1948,-84.4686,42,4,27.0–51.0 Mg/ha,exact,15,6,9,10
US-xJR,32.5907,-106.8425,0,1,0–5 Mg/ha,exact,1,1,1,1
US-xKZ,39.1008,-96.5631,3,1,0–5 Mg/ha,exact,1,1,1,1
US-xLE,31.8539,-88.1612,133,6,94.0–171.0 Mg/ha,exact,24,10,15,16
US-xMB,38.2483,-109.3883,0,1,0–5 Mg/ha,exact,1,1,1,1
US-xML,37.3783,-80.5248,212,7,>171.0 Mg/ha,exact,27,11,16,18
US-xNG,46.7697,-100.9154,2,1,0–5 Mg/ha,exact,1,1,1,1
US-xNQ,40.1776,-112.4524,0,1,0–5 Mg/ha,exact,1,1,1,1
US-xNW,40.0543,-105.5824,19,3,13.0–27.0 Mg/ha,exact,9,4,6,6
US-xPU,19.5531,-155.3173,16,3,13.0–27.0 Mg/ha,exact,8,4,5,6
US-xRM,40.2759,-105.5459,56,5,51.0–94.0 Mg/ha,exact,17,7,10,11
US-xRN,35.9641,-84.2826,127,6,94.0–171.0 Mg/ha,exact,23,10,14,16
US-xSB,29.6893,-81.9934,12,2,5–13.0 Mg/ha,exact,6,3,4,4
US-xSC,38.8929,-78.1395,185,7,>171.0 Mg/ha,exact,26,11,16,18
US-xSE,38.8901,-76.56,150,6,94.0–171.0 Mg/ha,exact,25,10,15,17
US-xSJ,37.1088,-119.7323,6,2,5–13.0 Mg/ha,exact,2,2,2,2
US-xSL,40.4619,-103.0293,0,1,0–5 Mg/ha,exact,1,1,1,1
US-xSP,37.0334,-119.26220000000001,59,5,51.0–94.0 Mg/ha,exact,17,7,11,12
US-xSR,31.9107,-110.8355,0,1,0–5 Mg/ha,exact,1,1,1,1
US-xST,45.5089,-89.5864,112,6,94.0–171.0 Mg/ha,exact,22,9,14,15
US-xTE,37.0058,-119.006,92,5,51.0–94.0 Mg/ha,exact,21,9,13,14
US-xTL,68.6611,-149.3705,0,1,0–5 Mg/ha,exact,1,1,1,1
US-xTR,45.4937,-89.5857,114,6,94.0–171.0 Mg/ha,exact,22,9,14,15
US-xUK,39.0404,-95.1921,53,5,51.0–94.0 Mg/ha,exact,16,7,10,11
US-xUN,46.2339,-89.5373,146,6,94.0–171.0 Mg/ha,exact,25,10,15,17
US-xWD,47.1282,-99.2414,0,1,0–5 Mg/ha,exact,1,1,1,1
US-xWR,45.8205,-121.9519,264,7,>171.0 Mg/ha,exact,28,12,17,19
US-xYE,44.9535,-110.5391,4,1,0–5 Mg/ha,exact,1,1,1,1
US-YK1,61.2723,-163.2228,5,2,5–13.0 Mg/ha,exact,2,2,2,2
US-YK2,61.2548,-163.259,0,1,0–5 Mg/ha,exact,1,1,1,1
US-ZF2,40.7939,-87.5355,8,2,5–13.0 Mg/ha,exact,4,2,3,3
ZA-Uby,-27.3952,32.5889,13,3,13.0–27.0 Mg/ha,exact,7,3,4,5
ZA-Spk,-28.70408,29.52614,6,2,5–13.0 Mg/ha,exact,2,2,2,2
ZA-Jks,-33.99029,18.95543,4,1,0–5 Mg/ha,exact,1,1,1,1
ZA-BfS,-28.8906,24.86112,0,1,0–5 Mg/ha,exact,1,1,1,1
ZA-BfK,-28.856483,24.83985,0,1,0–5 Mg/ha,exact,1,1,1,1
KR-WdE,34.35956,126.67779,29,4,27.0–51.0 Mg/ha,exact,12,5,8,8
KR-UAO,36.41682,128.79904,75,5,51.0–94.0 Mg/ha,exact,19,8,12,13
KR-TwC,37.30493,127.31743,121,6,94.0–171.0 Mg/ha,exact,23,10,14,16
KR-TwB,37.30406,127.31395,121,6,94.0–171.0 Mg/ha,exact,23,10,14,16
KR-SmM,37.93894,126.95471,61,5,51.0–94.0 Mg/ha,exact,17,8,11,12
KR-ScC,37.22141,129.29863,132,6,94.0–171.0 Mg/ha,exact,24,10,15,16
KR-PcD,37.48184,128.51604,165,6,94.0–171.0 Mg/ha,exact,25,11,16,17
KR-Nj2,35.0269,126.8219,7,2,5–13.0 Mg/ha,exact,3,2,2,3
KR-Nj1,35.02753,126.82093,7,2,5–13.0 Mg/ha,exact,3,2,2,3
KR-Kw2,37.74869,127.14888,112,6,94.0–171.0 Mg/ha,exact,22,9,14,15
KR-Kw1,37.74843,127.16261,115,6,94.0–171.0 Mg/ha,exact,23,9,14,15
KR-JjM,33.31798,126.56772,61,5,51.0–94.0 Mg/ha,exact,17,8,11,12
KR-Hnm,34.5538,126.56992,20,3,13.0–27.0 Mg/ha,exact,9,4,6,7
KR-HcM,37.61938,127.84571,165,6,94.0–171.0 Mg/ha,exact,25,11,16,17
KR-HPK,34.47722,126.48105,11,2,5–13.0 Mg/ha,exact,5,3,4,4
KR-GmS,35.75089,126.81378,2,1,0–5 Mg/ha,exact,1,1,1,1
KR-GmR,35.74862,126.86432,2,1,0–5 Mg/ha,exact,1,1,1,1
KR-GmP,35.74502,126.85222,4,1,0–5 Mg/ha,exact,1,1,1,1
KR-CmF,37.1599,127.65365,21,3,13.0–27.0 Mg/ha,exact,10,5,6,7
KR-CRK,38.2013,127.2497,0,1,0–5 Mg/ha,exact,1,1,1,1
KR-AdC,36.50565,126.35909,26,3,13.0–27.0 Mg/ha,exact,11,5,7,8
TH-Mae,18.42264,99.72025,97,6,94.0–171.0 Mg/ha,exact,21,9,13,14
TH-Kog,18.81267,98.90225,212,7,>171.0 Mg/ha,exact,27,11,16,18
RU-Tur,64.208885,100.463554,2,1,0–5 Mg/ha,exact,1,1,1,1
RU-SkP,62.25471,129.61855,61,5,51.0–94.0 Mg/ha,exact,17,8,11,12
RU-Sk2,62.241356,129.65047,63,5,51.0–94.0 Mg/ha,exact,18,8,11,12
RU-NeF,62.315617,129.49997,18,3,13.0–27.0 Mg/ha,exact,9,4,6,6
RU-NeC,62.314842,129.50008,17,3,13.0–27.0 Mg/ha,exact,8,4,5,6
RU-NeB,62.325935,129.48734,13,3,13.0–27.0 Mg/ha,exact,7,3,4,5
RU-Ege,60.015514,133.824,85,5,51.0–94.0 Mg/ha,exact,20,9,12,14
MY-LHP,4.201007,114.03908,208,7,>171.0 Mg/ha,exact,27,11,16,18
MN-Udg,48.25649,106.85116,26,3,13.0–27.0 Mg/ha,exact,11,5,7,8
MN-Nkh,47.693592,107.48934,0,1,0–5 Mg/ha,exact,1,1,1,1
MN-Kbu,47.21397,108.737335,0,1,0–5 Mg/ha,exact,1,1,1,1
MN-Hst,47.59293,105.85497,0,1,0–5 Mg/ha,exact,1,1,1,1
KH-Kmp,12.744579,105.47857,161,6,94.0–171.0 Mg/ha,exact,25,11,15,17
JP-Ynf,26.751,128.21266,43,4,27.0–51.0 Mg/ha,exact,15,7,9,10
JP-Yms,34.79028,135.84094,177,7,>171.0 Mg/ha,exact,26,11,16,18
JP-Toc,42.70973,141.5659,88,5,51.0–94.0 Mg/ha,exact,20,9,13,14
JP-Tmk,42.739307,141.51483,48,4,27.0–51.0 Mg/ha,exact,16,7,10,11
JP-Tmd,42.735912,141.52315,49,4,27.0–51.0 Mg/ha,exact,16,7,10,11
JP-Tkb,36.173378,140.17664,88,5,51.0–94.0 Mg/ha,exact,20,9,13,14
JP-Tgf,36.11353,140.09488,22,3,13.0–27.0 Mg/ha,exact,10,5,6,7
JP-Tef,45.05581,142.10712,91,5,51.0–94.0 Mg/ha,exact,21,9,13,14
JP-Tak,36.146168,137.42311,174,7,>171.0 Mg/ha,exact,26,11,16,17
JP-Ta2,36.140038,137.37071,120,6,94.0–171.0 Mg/ha,exact,23,10,14,16
JP-Srk,40.565483,140.12779,242,7,>171.0 Mg/ha,exact,28,11,17,19
JP-Spp,42.986843,141.38533,70,5,51.0–94.0 Mg/ha,exact,19,8,11,13
JP-Shn,35.865753,137.93256,24,3,13.0–27.0 Mg/ha,exact,11,5,7,7
JP-Sb2,45.10339,141.6808,0,1,0–5 Mg/ha,exact,1,1,1,1
JP-Sb1,45.104702,141.68797,0,1,0–5 Mg/ha,exact,1,1,1,1
JP-SMF,35.261528,137.07875,82,5,51.0–94.0 Mg/ha,exact,20,8,12,13
JP-Om2,34.542454,135.50822,1,1,0–5 Mg/ha,exact,1,1,1,1
JP-Nuf,35.152416,136.9719,16,3,13.0–27.0 Mg/ha,exact,8,4,5,6
JP-NsM,36.91604,139.936,60,5,51.0–94.0 Mg/ha,exact,17,7,11,12
JP-NsC,36.915054,139.93684,60,5,51.0–94.0 Mg/ha,exact,17,7,11,12
JP-Nkm,35.808064,137.83388,126,6,94.0–171.0 Mg/ha,exact,23,10,14,16
JP-Mse,36.05393,140.02693,14,3,13.0–27.0 Mg/ha,exact,7,4,5,5
JP-MMF,44.321884,142.26152,76,5,51.0–94.0 Mg/ha,exact,19,8,12,13
JP-MBF,44.38406,142.31862,85,5,51.0–94.0 Mg/ha,exact,20,9,12,14
JP-Kzw,36.406788,138.57257,122,6,94.0–171.0 Mg/ha,exact,23,10,14,16
JP-Khw,33.13658,130.70834,118,6,94.0–171.0 Mg/ha,exact,23,10,14,15
JP-KaP,36.08313,140.24033,24,3,13.0–27.0 Mg/ha,exact,11,5,7,7
JP-Hc3,34.539673,133.91173,10,2,5–13.0 Mg/ha,exact,5,3,4,4
JP-Hc2,34.537518,133.92755,14,3,13.0–27.0 Mg/ha,exact,7,4,5,5
JP-Fmt,35.638744,139.37975,60,5,51.0–94.0 Mg/ha,exact,17,7,11,12
JP-Fjy,35.45454,138.76225,99,6,94.0–171.0 Mg/ha,exact,21,9,13,14
JP-Fhk,35.443554,138.7647,112,6,94.0–171.0 Mg/ha,exact,22,9,14,15
JP-BBY,43.322998,141.81065,17,3,13.0–27.0 Mg/ha,exact,8,4,5,6
JP-Api,40.001358,140.93658,160,6,94.0–171.0 Mg/ha,exact,25,10,15,17
ID-Pag,-2.3239167,113.90439,178,7,>171.0 Mg/ha,exact,26,11,16,18
ID-PaD,-2.3460708,114.03641,104,6,94.0–171.0 Mg/ha,exact,22,9,13,15
ID-PaB,-2.340796,114.0379,104,6,94.0–171.0 Mg/ha,exact,22,9,13,15
CN-Lsh,45.27984,127.57821,49,4,27.0–51.0 Mg/ha,exact,16,7,10,11
CN-HaM,37.607433,101.332,0,1,0–5 Mg/ha,exact,1,1,1,1
UK-AMo,55.792545,-3.2436917,0,1,0–5 Mg/ha,exact,1,1,1,1
SE-Svb,64.25611,19.7745,99,6,94.0–171.0 Mg/ha,exact,21,9,13,14
SE-Sto,68.35594,19.045208,13,3,13.0–27.0 Mg/ha,exact,7,3,4,5
SE-Nor,60.0865,17.479504,94,6,94.0–171.0 Mg/ha,exact,21,9,13,14
SE-Htm,56.09763,13.41897,88,5,51.0–94.0 Mg/ha,exact,20,9,13,14
SE-Deg,64.18203,19.55654,53,5,51.0–94.0 Mg/ha,exact,16,7,10,11
NO-Hur,60.37163,11.07949,68,5,51.0–94.0 Mg/ha,exact,18,8,11,12
NL-Loo,52.166447,5.74355,150,6,94.0–171.0 Mg/ha,exact,25,10,15,17
IT-TrF,45.82376,7.56089,61,5,51.0–94.0 Mg/ha,exact,17,8,11,12
IT-Tor,45.84444,7.578055,17,3,13.0–27.0 Mg/ha,exact,8,4,5,6
IT-Ren,46.58686,11.43369,120,6,94.0–171.0 Mg/ha,exact,23,10,14,16
IT-Noe,40.606174,8.151694,39,4,27.0–51.0 Mg/ha,exact,14,6,9,10
IT-Niv,45.49091,7.13943,0,1,0–5 Mg/ha,exact,1,1,1,1
IT-MBo,46.01468,11.045831,39,4,27.0–51.0 Mg/ha,exact,14,6,9,10
IT-Lsn,45.740482,12.750297,3,1,0–5 Mg/ha,exact,1,1,1,1
IT-Cp2,41.704266,12.357293,20,3,13.0–27.0 Mg/ha,exact,9,4,6,7
IT-BFt,45.197754,10.741966,37,4,27.0–51.0 Mg/ha,exact,14,6,9,9
IT-BCi,40.52375,14.957444,7,2,5–13.0 Mg/ha,exact,3,2,2,3
IE-Cra,53.32308,-7.64177,5,2,5–13.0 Mg/ha,exact,2,2,2,2
GL-ZaH,74.4733,-20.550869,0,1,0–5 Mg/ha,exact,1,1,1,1
GL-ZaF,74.48152,-20.555773,0,1,0–5 Mg/ha,exact,1,1,1,1
GL-NuF,64.130936,-51.386066,1,1,0–5 Mg/ha,exact,1,1,1,1
GL-Dsk,69.25349,-53.51413,0,1,0–5 Mg/ha,exact,1,1,1,1
GF-Guy,5.2787,-52.9248,301,7,>171.0 Mg/ha,exact,29,12,18,20
FR-Tou,43.572857,1.37474,9,2,5–13.0 Mg/ha,exact,4,3,3,3
FR-Pue,43.7413,3.5957,87,5,51.0–94.0 Mg/ha,exact,20,9,13,14
FR-Mej,48.1184,-1.79635,17,3,13.0–27.0 Mg/ha,exact,8,4,5,6
FR-Lus,46.414246,0.1206518,7,2,5–13.0 Mg/ha,exact,3,2,2,3
FR-Lqu,45.6444,2.7349,10,2,5–13.0 Mg/ha,exact,5,3,4,4
FR-Lam,43.496437,1.237878,14,3,13.0–27.0 Mg/ha,exact,7,4,5,5
FR-LGt,47.322918,2.284102,128,6,94.0–171.0 Mg/ha,exact,23,10,14,16
FR-Hes,48.6741,7.06465,124,6,94.0–171.0 Mg/ha,exact,23,10,14,16
FR-Gri,48.84422,1.95191,6,2,5–13.0 Mg/ha,exact,2,2,2,2
FR-Fon,48.476357,2.780096,105,6,94.0–171.0 Mg/ha,exact,22,9,13,15
FR-FBn,43.24079,5.67865,103,6,94.0–171.0 Mg/ha,exact,22,9,13,15
FR-EM2,49.87211,3.02065,2,1,0–5 Mg/ha,exact,1,1,1,1
FR-CLt,45.0414,6.41053,0,1,0–5 Mg/ha,exact,1,1,1,1
FR-Bil,44.493652,-0.956092,29,4,27.0–51.0 Mg/ha,exact,12,5,8,8
FR-Aur,43.54965,1.106103,32,4,27.0–51.0 Mg/ha,exact,13,6,8,9
FI-Var,67.7549,29.61,79,5,51.0–94.0 Mg/ha,exact,19,8,12,13
FI-Sod,67.36239,26.63859,47,4,27.0–51.0 Mg/ha,exact,15,7,10,11
FI-Sii,61.83265,24.19285,45,4,27.0–51.0 Mg/ha,exact,15,7,9,10
FI-Let,60.64183,23.95952,124,6,94.0–171.0 Mg/ha,exact,23,10,14,16
FI-Ken,67.98721,24.24301,57,5,51.0–94.0 Mg/ha,exact,17,7,11,12
FI-Hyy,61.847410000000004,24.29477,114,6,94.0–171.0 Mg/ha,exact,22,9,14,15
FI-Ant,63.16347,27.234991,22,3,13.0–27.0 Mg/ha,exact,10,5,6,7
ES-LMa,39.94033,-5.77465,9,2,5–13.0 Mg/ha,exact,4,3,3,3
DK-Vng,56.037476,9.160709,15,3,13.0–27.0 Mg/ha,exact,7,4,5,5
DK-Sor,55.48587,11.644645,82,5,51.0–94.0 Mg/ha,exact,20,8,12,13
DK-Skj,55.91273,8.40481,1,1,0–5 Mg/ha,exact,1,1,1,1
DK-RCW,55.680683,12.101398,9,2,5–13.0 Mg/ha,exact,4,3,3,3
DK-Gds,56.0737,9.3341,103,6,94.0–171.0 Mg/ha,exact,22,9,13,15
DE-Tha,50.962597,13.565333,170,6,94.0–171.0 Mg/ha,exact,26,11,16,17
DE-RuW,50.50493,6.3309627,205,7,>171.0 Mg/ha,exact,27,11,16,18
DE-RuS,50.865906,6.4471445,8,2,5–13.0 Mg/ha,exact,4,2,3,3
DE-RuR,50.621914,6.304126,55,5,51.0–94.0 Mg/ha,exact,17,7,10,11
DE-Msr,47.80918,11.456168,87,5,51.0–94.0 Mg/ha,exact,20,9,13,14
DE-Kli,50.893044,13.5223,29,4,27.0–51.0 Mg/ha,exact,12,5,8,8
DE-Hzd,50.96381,13.48978,193,7,>171.0 Mg/ha,exact,26,11,16,18
DE-HoH,52.08656,11.22235,134,6,94.0–171.0 Mg/ha,exact,24,10,15,16
DE-Har,47.93391,7.59814,49,4,27.0–51.0 Mg/ha,exact,16,7,10,11
DE-Hai,51.079212,10.452168,205,7,>171.0 Mg/ha,exact,27,11,16,18
DE-Gwg,47.570835,11.032604,177,7,>171.0 Mg/ha,exact,26,11,16,18
DE-GsB,52.029648,11.10478,4,1,0–5 Mg/ha,exact,1,1,1,1
DE-Gri,50.950005,13.512533,185,7,>171.0 Mg/ha,exact,26,11,16,18
DE-Geb,51.09973,10.91463,0,1,0–5 Mg/ha,exact,1,1,1,1
DE-Fen,47.832905,11.060701,58,5,51.0–94.0 Mg/ha,exact,17,7,11,12
DE-Brs,52.29663,10.44871,22,3,13.0–27.0 Mg/ha,exact,10,5,6,7
DE-Amv,52.1757,6.95537,22,3,13.0–27.0 Mg/ha,exact,10,5,6,7
CZ-wet,49.02465,14.77035,55,5,51.0–94.0 Mg/ha,exact,17,7,10,11
CZ-Lnz,48.68155,16.946331,127,6,94.0–171.0 Mg/ha,exact,23,10,14,16
CZ-BK1,49.502075,18.536882,243,7,>171.0 Mg/ha,exact,28,11,17,19
CH-Dav,46.81533,9.85591,39,4,27.0–51.0 Mg/ha,exact,14,6,9,10
CD-Ygb,0.814444,24.502472,213,7,>171.0 Mg/ha,exact,27,11,16,18
BE-Vie,50.304962,5.998099,149,6,94.0–171.0 Mg/ha,exact,25,10,15,17
BE-Maa,50.97987,5.631851,24,3,13.0–27.0 Mg/ha,exact,11,5,7,7
BE-Lon,50.55162,4.746234,8,2,5–13.0 Mg/ha,exact,4,2,3,3
BE-Dor,50.311874,4.968113,90,5,51.0–94.0 Mg/ha,exact,21,9,13,14
BE-Bra,51.30761,4.51984,100,6,94.0–171.0 Mg/ha,exact,21,9,13,15
VU-Coc,-15.444423,167.19131,24,3,13.0–27.0 Mg/ha,exact,11,5,7,7
ML-Kem,15.2875,-1.543056,1,1,0–5 Mg/ha,exact,1,1,1,1
KE-Mkt,-3.425859,38.140663,20,3,13.0–27.0 Mg/ha,exact,9,4,6,7
KE-Kpt,-1.6141866,37.13311,0,1,0–5 Mg/ha,exact,1,1,1,1
KE-Chk,-3.6663,38.350185,14,3,13.0–27.0 Mg/ha,exact,7,4,5,5
KE-Aq2,-1.566199,37.100166,0,1,0–5 Mg/ha,exact,1,1,1,1
KE-Aq1,-1.57781,37.067047,0,1,0–5 Mg/ha,exact,1,1,1,1
IT-SR2,43.73202,10.29091,78,5,51.0–94.0 Mg/ha,exact,19,8,12,13
ID-JOP,-1.69306,103.39139,61,5,51.0–94.0 Mg/ha,exact,17,8,11,12
CR-AqC,9.938369,-83.7289,85,5,51.0–94.0 Mg/ha,exact,20,9,12,14
CN-SnB,31.6905,121.6563,0,1,0–5 Mg/ha,exact,1,1,1,1
CN-Sb2,42.39117,117.37017,37,4,27.0–51.0 Mg/ha,exact,14,6,9,9
CN-Sb1,42.40907,117.31461,30,4,27.0–51.0 Mg/ha,exact,12,6,8,8
BW-Nxr,-19.548056,23.179167,2,1,0–5 Mg/ha,exact,1,1,1,1
BW-Gum,-18.964722,22.37111,28,4,27.0–51.0 Mg/ha,exact,12,5,7,8
BJ-Nhu,9.74,1.6,7,2,5–13.0 Mg/ha,exact,3,2,2,3
BJ-Db1,6.607338,2.543043,22,3,13.0–27.0 Mg/ha,exact,10,5,6,7
BJ-Bfg,9.791,1.718,30,4,27.0–51.0 Mg/ha,exact,12,6,8,8
ZM-Mon,-15.4391,23.2525,8,2,5–13.0 Mg/ha,exact,4,2,3,3
UK-HpF,52.24809,-0.0498267,4,1,0–5 Mg/ha,exact,1,1,1,1
UK-HgF,52.552177,0.515057,10,2,5–13.0 Mg/ha,exact,5,3,4,4
UK-Gwr,54.85464,-5.988278,16,3,13.0–27.0 Mg/ha,exact,8,4,5,6
UK-Gnn,54.96185,-6.760763,8,2,5–13.0 Mg/ha,exact,4,2,3,3
UK-GaB,55.10994,-6.529928,10,2,5–13.0 Mg/ha,exact,5,3,4,4
UK-Cvn,52.43339,0.162177,0,1,0–5 Mg/ha,exact,1,1,1,1
UK-CCr,52.2542,-3.93357,1,1,0–5 Mg/ha,exact,1,1,1,1
UK-BnB,54.82326,-6.66984,15,3,13.0–27.0 Mg/ha,exact,7,4,5,5
UK-Ags,53.3097,-4.30044,4,1,0–5 Mg/ha,exact,1,1,1,1
SN-Nkr,14.49581,-16.45357,0,1,0–5 Mg/ha,exact,1,1,1,1
SN-Dhr,15.40256,-15.43214,0,1,0–5 Mg/ha,exact,1,1,1,1
SJ-Adv,78.186,15.923,0,1,0–5 Mg/ha,exact,1,1,1,1
SE-Trb,64.180916,19.837284,79,5,51.0–94.0 Mg/ha,exact,19,8,12,13
SE-St1,68.35415,19.050333,10,2,5–13.0 Mg/ha,exact,5,3,4,4
SE-Srj,64.17498,19.56381,57,5,51.0–94.0 Mg/ha,exact,17,7,11,12
SE-Ros,64.16522,19.79074,85,5,51.0–94.0 Mg/ha,exact,20,9,12,14
SE-Hmr,64.15955,19.551497,70,5,51.0–94.0 Mg/ha,exact,19,8,11,13
SE-HfM,64.15955,19.551497,70,5,51.0–94.0 Mg/ha,exact,19,8,11,13
SD-Dem,13.2829,30.4783,0,1,0–5 Mg/ha,exact,1,1,1,1
RU-Ha1,54.72517,90.00215,0,1,0–5 Mg/ha,exact,1,1,1,1
RU-Fyo,56.46153,32.922085,198,7,>171.0 Mg/ha,exact,27,11,16,18
RU-Fy4,56.4727,33.0413,41,4,27.0–51.0 Mg/ha,exact,14,6,9,10
RU-Fy3,56.4435,33.0478,176,7,>171.0 Mg/ha,exact,26,11,16,17
RU-Fy2,56.4476,32.90188,189,7,>171.0 Mg/ha,exact,26,11,16,18
RU-Che,68.61304,161.34143,11,2,5–13.0 Mg/ha,exact,5,3,4,4
RU-Ch2,68.61689,161.35089,15,3,13.0–27.0 Mg/ha,exact,7,4,5,5
PA-SPs,9.31378,-79.63143,70,5,51.0–94.0 Mg/ha,exact,19,8,11,13
PA-SPn,9.31814,-79.6346,70,5,51.0–94.0 Mg/ha,exact,19,8,11,13
NO-Ikr,69.34,25.3,4,1,0–5 Mg/ha,exact,1,1,1,1
NO-Fns,60.59384,7.5271025,0,1,0–5 Mg/ha,exact,1,1,1,1
NO-And,69.1422,16.01975,0,1,0–5 Mg/ha,exact,1,1,1,1
NL-Vkp,51.980934,5.618825,1,1,0–5 Mg/ha,exact,1,1,1,1
NL-Hrw,51.972466,5.641228,19,3,13.0–27.0 Mg/ha,exact,9,4,6,6
IT-SRo,43.72786,10.284445,42,4,27.0–51.0 Mg/ha,exact,15,6,9,10
IT-PT1,45.20087,9.061039,22,3,13.0–27.0 Mg/ha,exact,10,5,6,7
IT-NiG,45.51919,7.171434,0,1,0–5 Mg/ha,exact,1,1,1,1
IT-MtM,46.687134,10.579597,61,5,51.0–94.0 Mg/ha,exact,17,8,11,12
