site_id,data_hub,igbp,un_subregion,continent,first_year,last_year,span_years,n_years_valid_nee,pct_coverage,currently_selected,gez_name,gez_code,kg_class,kg_second,kg_main,mat_worldclim,map_worldclim,aridity_index,aridity_class
US-Ses,AmeriFlux;Phenocam,OSH,Northern America,Americas,2007,2025,18,18,100,FALSE,Subtropical steppe,23,BSk,BS,B,13.021499633789062,248,0.1376,Arid
CA-TP3,AmeriFlux;Fluxnet-Canada;Phenocam,ENF,Northern America,Americas,2002,2023,21,17,81,FALSE,Temperate continental forest,32,Dfb,Df,D,8.348166465759277,970,1.1678,Humid
US-Mpj,AmeriFlux;Phenocam,WSA,Northern America,Americas,2008,2025,17,17,100,FALSE,Subtropical steppe,23,BSk,BS,B,10.354666709899902,407,0.2602,Semi-arid
US-NC2,AmeriFlux;Phenocam;USCCC,ENF,Northern America,Americas,2005,2025,20,17,85,FALSE,Subtropical humid forest,21,Cfa,Cf,C,15.92650032043457,1252,1.0509,Humid
US-SP1,AmeriFlux;Phenocam,ENF,Northern America,Americas,2000,2020,20,17,85,FALSE,Subtropical humid forest,21,Cfa,Cf,C,20.277332305908203,1307,0.9545,Humid
US-SRG,AmeriFlux;LTAR;Phenocam,GRA,Northern America,Americas,2008,2025,17,17,100,FALSE,Subtropical desert,24,BSk,BS,B,15.82900047302246,566,0.2682,Semi-arid
US-Vcp,AmeriFlux,ENF,Northern America,Americas,2007,2025,18,17,94.4,FALSE,Temperate mountain system,35,Dfb,Df,D,5.887499809265137,597,0.4906,Semi-arid
US-ICh,AmeriFlux;Phenocam,OSH,Northern America,Americas,2007,2025,18,16,88.9,FALSE,Polar,50,ET,ET,E,-10.105667114257812,243,0.6408,Dry sub-humid
US-MBP,AmeriFlux;Phenocam,WET,Northern America,Americas,2009,2024,15,16,106.7,FALSE,Temperate continental forest,32,NA,NA,NA,3.5939998626708984,695,0.8926,Humid
US-MOz,AmeriFlux;Phenocam,DBF,Northern America,Americas,2004,2021,17,16,94.1,FALSE,Temperate continental forest,32,Cfa,Cf,C,12.454333305358888,1013,0.8584,Humid
US-UMd,AmeriFlux;Phenocam,DBF,Northern America,Americas,2007,2025,18,16,88.9,FALSE,Temperate continental forest,32,Dfb,Df,D,6.20283317565918,793,0.9565,Humid
US-Vcm,AmeriFlux,ENF,Northern America,Americas,2007,2025,18,16,88.9,FALSE,Temperate mountain system,35,Dfb,Df,D,4.03249979019165,700,0.6756,Humid
US-Wjs,AmeriFlux,SAV,Northern America,Americas,2007,2025,18,16,88.9,FALSE,Subtropical steppe,23,BSk,BS,B,11.366832733154297,344,0.208,Semi-arid
US-Bar,AmeriFlux;Phenocam,DBF,Northern America,Americas,2004,2023,19,15,78.9,FALSE,Temperate mountain system,35,Dfb,Df,D,5.93316650390625,1233,1.53,Humid
US-Esm,AmeriFlux;LTER,WET,Northern America,Americas,2008,2024,16,15,93.8,FALSE,Tropical moist forest,12,NA,NA,NA,24.184833526611328,1405,0.8616,Humid
US-ICs,AmeriFlux;Phenocam,WET,Northern America,Americas,2007,2025,18,15,83.3,FALSE,Polar,50,ET,ET,E,-10.105667114257812,243,0.6384,Dry sub-humid
US-Kon,AmeriFlux;Phenocam,GRA,Northern America,Americas,2004,2019,15,15,100,FALSE,Temperate steppe,33,Cfa,Cf,C,12.270666122436523,892,0.6636,Humid
CA-TP1,AmeriFlux;Fluxnet-Canada;Phenocam,ENF,Northern America,Americas,2002,2023,21,14,66.7,FALSE,Temperate continental forest,32,Dfb,Df,D,8.35966682434082,986,1.1596,Humid
US-GLE,AmeriFlux,ENF,Northern America,Americas,2005,2020,15,14,93.3,FALSE,Temperate mountain system,35,Dfc,Df,D,0.48866668343544006,510,0.5159,Dry sub-humid
US-Myb,AmeriFlux;Phenocam,WET,Northern America,Americas,2010,2025,15,14,93.3,FALSE,Subtropical dry forest,22,Csa,Cs,C,15.392166137695312,356,0.2388,Semi-arid
CA-Ca1,AmeriFlux;Fluxnet-Canada,ENF,Northern America,Americas,1997,2010,13,13,100,FALSE,Temperate oceanic forest,31,Cfb,Cf,C,7.419333457946777,1692,2.3803,Humid
US-Me6,AmeriFlux;Phenocam,ENF,Northern America,Americas,2010,2025,15,13,86.7,FALSE,Temperate mountain system,35,Csb,Cs,C,7.504666805267334,537,0.4821,Semi-arid
US-Ro1,AmeriFlux;Phenocam,CRO,Northern America,Americas,2004,2016,12,13,108.3,FALSE,Temperate steppe,33,Dfa,Df,D,7.046999931335449,768,0.8214,Humid
US-Rpf,AmeriFlux,DBF,Northern America,Americas,2008,2024,16,13,81.2,FALSE,Boreal mountain system,43,Dwc,Dw,D,-3.257499933242798,321,0.5776,Dry sub-humid
CA-TPD,AmeriFlux;Fluxnet-Canada;Phenocam,DBF,Northern America,Americas,2012,2023,11,12,109.1,FALSE,Temperate continental forest,32,Dfb,Df,D,8.35966682434082,986,1.1644,Humid
US-ChR,AmeriFlux;Phenocam,DBF,Northern America,Americas,2006,2019,13,12,92.3,FALSE,Temperate mountain system,35,Cfa,Cf,C,13.952666282653809,1241,1.1844,Humid
US-Elm,AmeriFlux;LTER,WET,Northern America,Americas,2008,2024,16,12,75,FALSE,Tropical moist forest,12,NA,NA,NA,24.142166137695312,1343,0.8204,Humid
