site_id,location_lat,location_long,trendy_nee_median_value,trendy_nee_median_method,trendy_nee_median_bin,trendy_nee_median_bin_label,trendy_nee_median_bin_30
CA-TPA,42.6947,-80.3487,45.19938659667969,exact,5,41.8–54.3 gC m-2 yr-1,17
CA-TPD,42.6353,-80.5577,54.433258056640625,exact,6,54.3–70.2 gC m-2 yr-1,21
CA-TVC,68.7462,-133.5017,13.494902610778809,exact,2,5.0–20.5 gC m-2 yr-1,4
CL-ACF,-40.1726,-73.4439,74.2339096069336,exact,7,>70.2 gC m-2 yr-1,27
CL-SDF,-41.883,-73.676,50.4748420715332,exact,5,41.8–54.3 gC m-2 yr-1,19
CL-SDP,-41.879,-73.666,50.4748420715332,exact,5,41.8–54.3 gC m-2 yr-1,19
CR-Fsc,10.4189,-85.4732,49.45722579956055,exact,5,41.8–54.3 gC m-2 yr-1,19
MX-Aog,26.9968,-108.7892,74.293914794921875,exact,7,>70.2 gC m-2 yr-1,27
MX-PMm,20.8462,-86.8992,63.74082946777344,exact,6,54.3–70.2 gC m-2 yr-1,24
MX-Tes,27.8446,-109.2977,84.15974426269531,exact,7,>70.2 gC m-2 yr-1,28
PE-QFR,-3.8344,-73.319,53.77628707885742,exact,5,41.8–54.3 gC m-2 yr-1,21
PR-xGU,17.9696,-66.8687,46.69971466064453,exact,5,41.8–54.3 gC m-2 yr-1,18
PR-xLA,18.0212,-67.0769,75.88023376464844,exact,7,>70.2 gC m-2 yr-1,27
US-A03,70.4953,-149.8823,22.313817977905273,exact,3,20.5–31.7 gC m-2 yr-1,7
US-A10,71.3242,-156.6149,1.4065983295440674,exact,1,0–5 gC m-2 yr-1,1
US-A32,36.8193,-97.8198,48.58350372314453,exact,5,41.8–54.3 gC m-2 yr-1,19
US-A37,36.3106,-97.928,44.94148254394531,exact,5,41.8–54.3 gC m-2 yr-1,17
US-A39,36.3776,-96.069,48.040279388427734,exact,5,41.8–54.3 gC m-2 yr-1,18
US-A74,36.8085,-97.5489,48.58350372314453,exact,5,41.8–54.3 gC m-2 yr-1,19
US-ABa,27.1301,-81.2011,60.35102081298828,exact,6,54.3–70.2 gC m-2 yr-1,23
US-ABb,27.1346,-81.2031,60.35102081298828,exact,6,54.3–70.2 gC m-2 yr-1,23
US-ABc,27.1633,-81.1873,60.35102081298828,exact,6,54.3–70.2 gC m-2 yr-1,23
US-ABd,27.1699,-81.2152,60.35102081298828,exact,6,54.3–70.2 gC m-2 yr-1,23
US-ABe,27.1656,-81.2161,60.35102081298828,exact,6,54.3–70.2 gC m-2 yr-1,23
US-ADR,36.7653,-116.6933,6.490658283233643,exact,2,5.0–20.5 gC m-2 yr-1,2
US-Akn,33.3825,-81.5653,81.972900390625,exact,7,>70.2 gC m-2 yr-1,28
US-ALQ,46.0308,-89.6067,53.117305755615234,exact,5,41.8–54.3 gC m-2 yr-1,20
US-AR1,36.4267,-99.42,45.322269439697266,exact,5,41.8–54.3 gC m-2 yr-1,17
