site_id,location_lat,location_long,ai_value,unep_class_5,unep_class_7,aridity_method
CZ-BK1,49.50260162353515,18.538400650024418,1.7087,Humid,Humid (moderate),exact
CZ-BK2,49.49530029296875,18.544700622558594,1.7292,Humid,Humid (moderate),exact
CZ-wet,49.025001525878906,14.772000312805176,0.8952,Humid,Humid (low),exact
DE-Bay,50.14189910888672,11.866900444030762,1.8325,Humid,Humid (moderate),exact
DE-Geb,51.100101470947266,10.914299964904783,0.6945,Humid,Humid (low),exact
DE-Gri,50.949501037597656,13.512499809265137,1.0549,Humid,Humid (moderate),exact
DE-Hai,51.07929992675781,10.45199966430664,1.2737,Humid,Humid (moderate),exact
DE-Har,47.93439865112305,7.60099983215332,1.0071,Humid,Humid (moderate),exact
DE-Kli,50.89289855957031,13.522500038146973,1.1633,Humid,Humid (moderate),exact
DE-Meh,51.275299072265625,10.655500411987305,1.0175,Humid,Humid (moderate),exact
DE-Tha,50.963600158691406,13.566900253295898,1.0115,Humid,Humid (moderate),exact
DE-Wet,50.45349884033203,11.457500457763672,1.7816,Humid,Humid (moderate),exact
DK-Fou,56.48419952392578,9.587220191955566,1.2038,Humid,Humid (moderate),exact
DK-Lva,55.68330001831055,12.08329963684082,0.9378000000000001,Humid,Humid (low),exact
DK-Ris,55.53030014038086,12.097200393676758,0.9403,Humid,Humid (low),exact
DK-Sor,55.48690032958984,11.64579963684082,0.9109,Humid,Humid (low),exact
ES-ES1,39.34600067138672,-0.31880998611450195,0.31010000000000004,Semi-Arid,Semi-Arid,exact
ES-ES2,39.2755012512207,-0.3152199983596802,0.3194,Semi-Arid,Semi-Arid,exact
ES-LJu,36.928199768066406,-2.750469923019409,0.43860000000000005,Semi-Arid,Semi-Arid,exact
ES-LMa,39.94150161743164,-5.773359775543213,0.3694,Semi-Arid,Semi-Arid,exact
ES-VDA,42.152198791503906,1.4485000371932983,1.0477,Humid,Humid (moderate),exact
FI-Hyy,61.8474006652832,24.2947998046875,1.3074000000000001,Humid,Humid (moderate),exact
FI-Kaa,69.14070129394531,27.295000076293945,1.1126,Humid,Humid (moderate),exact
FI-Sii,61.83300018310547,24.19300079345703,1.2971000000000001,Humid,Humid (moderate),exact
FI-Sod,67.36190032958984,26.637800216674805,1.2008,Humid,Humid (moderate),exact
FR-Aur,43.54940032958984,1.1077799797058103,0.8912,Humid,Humid (low),exact
FR-Fon,48.47629928588867,2.7801499366760254,0.8134,Humid,Humid (low),exact
FR-Gri,48.84400177001953,1.952430009841919,0.7931,Humid,Humid (low),exact
FR-Hes,48.674198150634766,7.064620018005371,1.0959,Humid,Humid (moderate),exact
FR-Lam,43.49330139160156,1.237220048904419,0.8122,Humid,Humid (low),exact
FR-LBr,44.717098236083984,-0.7692999839782715,1.0612000000000001,Humid,Humid (moderate),exact
FR-Lq1,45.644100189208984,2.737030029296875,1.1932,Humid,Humid (moderate),exact
FR-Lq2,45.639198303222656,2.737030029296875,1.1869,Humid,Humid (moderate),exact
FR-Pue,43.74140167236328,3.595829963684082,0.5819,Dry Sub-Humid,Dry Sub-Humid,exact
GF-Guy,5.277699947357178,-52.92879867553711,2.0698000000000003,Humid,Hyper-Humid,exact
HU-Bug,46.69110107421875,19.601299285888672,0.5878,Dry Sub-Humid,Dry Sub-Humid,exact
HU-Mat,47.846900939941406,19.72599983215332,0.6742,Humid,Humid (low),exact
ID-Pag,2.3450000286102295,114.03600311279295,3.2188000000000003,Humid,Hyper-Humid,exact
IE-Ca1,52.85879898071289,-6.918139934539795,1.3858000000000001,Humid,Humid (moderate),exact
IE-Dri,51.986698150634766,-8.751810073852539,1.9944000000000002,Humid,Humid (moderate),exact
IL-Yat,31.344999313354492,35.05149841308594,0.1738,Arid,Arid,exact
IS-Gun,63.83330154418945,-20.216699600219727,2.6545,Humid,Hyper-Humid,exact
IT-Amp,41.90409851074219,13.605199813842772,0.9519000000000001,Humid,Humid (low),exact
IT-BCi,40.523799896240234,14.95740032196045,0.9843000000000001,Humid,Humid (low),exact
IT-Be2,46.00310134887695,13.025699615478516,1.5454,Humid,Humid (moderate),exact
IT-Bon,39.47779846191406,16.534700393676758,0.9817,Humid,Humid (low),exact
IT-Cas,45.06284713745117,8.668539047241211,0.9616,Humid,Humid (low),exact
IT-Col,41.84939956665039,13.58810043334961,0.9265,Humid,Humid (low),exact
IT-Cpz,41.7052001953125,12.376099586486816,0.7343000000000001,Humid,Humid (low),exact
IT-Lav,45.955299377441406,11.281200408935549,0.6942,Humid,Humid (low),exact
IT-Lec,43.30459976196289,11.270600318908691,0.7505000000000001,Humid,Humid (low),exact
IT-LMa,45.581298828125,7.154630184173584,2.5033000000000003,Humid,Hyper-Humid,exact
IT-Mal,46.11669921875,11.702799797058104,1.1311,Humid,Humid (moderate),exact
IT-MBo,46.01559829711914,11.04669952392578,0.4801,Semi-Arid,Semi-Arid,exact
IT-Noe,40.60599899291992,8.151000022888184,0.6914,Humid,Humid (low),exact
IT-Non,44.68980026245117,11.088700294494627,0.745,Humid,Humid (low),exact
IT-Pia,42.58390045166016,10.078399658203123,0.33530000000000004,Semi-Arid,Semi-Arid,exact
IT-PT1,45.20090103149414,9.061039924621582,0.9817,Humid,Humid (low),exact
IT-Ren,46.587799072265625,11.434700012207031,0.9963000000000001,Humid,Humid (low),exact
IT-Ro1,42.40810012817383,11.93000030517578,0.3517,Semi-Arid,Semi-Arid,exact
IT-Ro2,42.39030075073242,11.920900344848633,0.3568,Semi-Arid,Semi-Arid,exact
IT-SRo,43.72785949707031,10.28444004058838,0.8992,Humid,Humid (low),exact
IT-Vig,45.31666564941406,8.850000381469727,1.1124,Humid,Humid (moderate),exact
JP-Mas,36.05397033691406,140.02691650390625,1.3345,Humid,Humid (moderate),exact
JP-Tak,36.14619827270508,137.42300415039062,2.2982,Humid,Hyper-Humid,exact
JP-Tef,45.056339263916016,142.106201171875,1.7323000000000002,Humid,Humid (moderate),exact
JP-Tom,42.739498138427734,141.514892578125,1.9005,Humid,Humid (moderate),exact
KR-Hnm,34.54999923706055,126.56999969482422,1.2584,Humid,Humid (moderate),exact
KR-Kw1,37.74860000610352,127.16300201416016,1.5592000000000001,Humid,Humid (moderate),exact
NL-Ca1,51.97100067138672,4.927000045776367,1.2301,Humid,Humid (moderate),exact
NL-Haa,52.00310134887695,4.805500030517578,1.2751000000000001,Humid,Humid (moderate),exact
NL-Hor,52.028900146484375,5.067500114440918,1.1404,Humid,Humid (moderate),exact
NL-Lan,51.9536018371582,4.902900218963623,1.2263000000000002,Humid,Humid (moderate),exact
NL-Loo,52.16790008544922,5.743959903717041,1.2784,Humid,Humid (moderate),exact
NL-Lut,53.39889907836914,6.355999946594238,1.3786,Humid,Humid (moderate),exact
NL-Mol,51.650001525878906,4.638999938964844,1.159,Humid,Humid (moderate),exact
PL-wet,52.76219940185547,16.30940055847168,0.7564000000000001,Humid,Humid (low),exact
PT-Esp,38.639400482177734,-8.601799964904785,0.5483,Dry Sub-Humid,Dry Sub-Humid,exact
