bin,bin_label,min_value,max_value,global_land_area_km2,global_land_fraction
1,0–5 gC m-2 yr-1,0,5,38819183.24487489,0.2376709202494605
2,5.0–21.3 gC m-2 yr-1,5,21.3,20617439.093673293,0.12623052091719317
3,21.3–31.9 gC m-2 yr-1,21.3,31.9,20815434.100832295,0.1274427477499793
4,31.9–42.1 gC m-2 yr-1,31.9,42.1,20695095.60091786,0.1267059738246835
5,42.1–54.4 gC m-2 yr-1,42.1,54.4,20740861.24274478,0.1269861745218542
6,54.4–70.9 gC m-2 yr-1,54.4,70.9,20812406.93974201,0.127424213919488
7,>70.9 gC m-2 yr-1,70.9,NA,20831228.445583306,0.12753944881728485
