site_id,location_lat,location_long,koppen_class_code,koppen_class,koppen_class_name,koppen_main,koppen_main_name,koppen_method
CN-Bed,39.53060150146485,116.2519989013672,11,Cwa,"Temperate, dry winter, hot summer",C,Temperate,exact
CN-Cha,42.40250015258789,128.0959930419922,21,Dwa,"Cold, dry winter, hot summer",D,Cold,exact
CN-Do1,31.516700744628903,121.96099853515624,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
CN-Do2,31.584699630737305,121.90299987792967,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,nearest_land_0.006deg
CN-Do3,31.51689910888672,121.97200012207033,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,nearest_land_0.010deg
CN-Du1,42.04560089111328,116.6709976196289,21,Dwa,"Cold, dry winter, hot summer",D,Cold,exact
CN-Du2,42.04669952392578,116.28399658203124,7,BSk,"Arid, steppe, cold",B,Arid,exact
CN-HaM,37.369998931884766,101.18000030517578,23,Dwc,"Cold, dry winter, cold summer",D,Cold,exact
CN-Hny,29.309999465942383,112.51000213623048,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
CN-Ku1,40.538299560546875,108.69400024414062,5,BWk,"Arid, desert, cold",B,Arid,exact
CN-Ku2,40.38079833984375,108.54900360107422,7,BSk,"Arid, steppe, cold",B,Arid,exact
CN-Xfs,44.1341667175293,116.32861328125,7,BSk,"Arid, steppe, cold",B,Arid,exact
CN-Xi1,43.54583358764648,116.6777801513672,7,BSk,"Arid, steppe, cold",B,Arid,exact
CN-Xi2,43.55440139770508,116.6709976196289,7,BSk,"Arid, steppe, cold",B,Arid,exact
CZ-BK1,49.50260162353515,18.538400650024418,15,Cfb,"Temperate, no dry season, warm summer",C,Temperate,exact
CZ-BK2,49.49530029296875,18.544700622558594,15,Cfb,"Temperate, no dry season, warm summer",C,Temperate,exact
CZ-wet,49.025001525878906,14.772000312805176,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
DE-Bay,50.14189910888672,11.866900444030762,15,Cfb,"Temperate, no dry season, warm summer",C,Temperate,exact
DE-Geb,51.100101470947266,10.914299964904783,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
DE-Gri,50.949501037597656,13.512499809265137,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
DE-Hai,51.07929992675781,10.45199966430664,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
DE-Har,47.93439865112305,7.60099983215332,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
DE-Kli,50.89289855957031,13.522500038146973,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
DE-Meh,51.275299072265625,10.655500411987305,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
DE-Tha,50.963600158691406,13.566900253295898,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
DE-Wet,50.45349884033203,11.457500457763672,15,Cfb,"Temperate, no dry season, warm summer",C,Temperate,exact
