site_id,igbp_class,location_lat,location_long,n_years_nee,n_years_gpp,n_years_ter,n_years_le,n_years_h,nep_median,gpp_median,ter_median,et_median,h_median,nep_source,gpp_source,ter_source,gpp_partition,ter_partition,vut_frac_nee
CA-Mer,WET,45.4094,-75.5186,22,22,22,21,22,77.8467,740.1804999999999,652.8255,430.9389930122449,19.99755,VUT,VUT,VUT,NT,NT,1
CA-Mtk,GRA,72.6695,-77.9981,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA-Na1,ENF,46.4722,-67.1,1,1,1,2,2,224.055,1201.96,1013.05,503.4235800489796,29.6139,VUT,VUT,VUT,NT,NT,1
CA-Ojp,ENF,53.9163,-104.692,7,7,7,11,11,55.1167,628.086,576.1,230.04717560816326,37.5693,CUT,CUT,CUT,NT,NT,0
CA-PB1,WET,54.9417,-83.4579,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA-PB2,WET,54.9389,-83.4736,1,1,1,1,1,-51.3287,180.57,234.988,171.61151686530613,9.85839,VUT,VUT,VUT,NT,NT,1
CA-Qc2,MF,49.7598,-74.5711,1,1,1,3,3,205.048,1070.94,867.446,376.166592,30.8088,VUT,VUT,VUT,NT,NT,1
CA-Qfo,ENF,49.6925,-74.3421,7,7,7,7,7,-12.5391,653.349,668.916,281.1563188897959,34.2649,VUT,VUT,VUT,NT,NT,1
CA-RBM,WET,49.1313,-123.1964,2,2,2,2,2,-117.95775,943.9670000000001,1060.82,561.2493398693878,29.50215,VUT,VUT,VUT,NT,NT,1
CA-SCB,WET,61.3089,-121.2984,1,1,1,1,1,-8.91747,444.774,453.099,349.7264754612245,1.26436,VUT,VUT,VUT,NT,NT,1
CA-SCC,ENF,61.3079,-121.2992,5,5,5,5,5,25.7324,412.469,392.047,326.4485592489796,19.5879,CUT,CUT,CUT,NT,NT,0
CA-SF1,ENF,54.485,-105.8176,0,0,0,2,2,NA,NA,NA,428.9457119510204,30.348750000000003,NA,NA,NA,NA,NA,NA
CA-SF2,ENF,54.2539,-105.8775,0,0,0,2,2,NA,NA,NA,363.40508497959183,34.105450000000005,NA,NA,NA,NA,NA,NA
CA-SF3,OSH,54.0916,-106.0053,0,0,0,3,3,NA,NA,NA,306.05075706122454,30.2567,NA,NA,NA,NA,NA,NA
