site_id,data_hub,igbp,un_subregion,continent,first_year,last_year,span_years,n_years_valid_nee,pct_coverage,currently_selected,gez_name,gez_code
US-xYE,AmeriFlux;NEON,ENF,Northern America,Americas,2019,2024,5,3,60,FALSE,Temperate mountain system,35
BR-Npw,AmeriFlux,WSA,Latin America and the Caribbean,Americas,2013,2017,4,2,50,FALSE,Tropical moist forest,12
CA-EM1,AmeriFlux,WET,Northern America,Americas,2021,2023,2,2,100,FALSE,Temperate steppe,33
CA-EM2,AmeriFlux,WET,Northern America,Americas,2021,2023,2,2,100,FALSE,Temperate steppe,33
CA-Na1,AmeriFlux;Fluxnet-Canada,ENF,Northern America,Americas,2003,2005,2,2,100,FALSE,Temperate continental forest,32
CA-Qc2,AmeriFlux;Fluxnet-Canada,MF,Northern America,Americas,2007,2010,3,2,66.7,FALSE,Boreal coniferous forest,41
CA-RBM,AmeriFlux,WET,Northern America,Americas,2022,2024,2,2,100,FALSE,NA,NA
CL-ACF,AmeriFlux,ENF,Latin America and the Caribbean,Americas,2018,2020,2,2,100,FALSE,Temperate oceanic forest,31
MX-Aog,AmeriFlux;MexFlux,DBF,Latin America and the Caribbean,Americas,2016,2018,2,2,100,FALSE,Tropical dry forest,13
PR-xLA,AmeriFlux;NEON;Phenocam,GRA,Latin America and the Caribbean,Americas,2019,2024,5,2,40,FALSE,Tropical moist forest,12
US-AR1,AmeriFlux,GRA,Northern America,Americas,2009,2012,3,2,66.7,FALSE,Temperate steppe,33
US-AR2,AmeriFlux,GRA,Northern America,Americas,2009,2012,3,2,66.7,FALSE,Temperate steppe,33
US-BRG,AmeriFlux,GRA,Northern America,Americas,2017,2020,3,2,66.7,FALSE,Temperate continental forest,32
US-CRK,AmeriFlux,ENF,Northern America,Americas,2022,2025,3,2,66.7,FALSE,Subtropical humid forest,21
US-Cst,AmeriFlux,ENF,Northern America,Americas,2013,2017,4,2,50,FALSE,Subtropical humid forest,21
US-DS2,AmeriFlux,CRO,Northern America,Americas,2020,2023,3,2,66.7,FALSE,Subtropical dry forest,22
US-EKH,AmeriFlux;Phenocam,WET,Northern America,Americas,2022,2024,2,2,100,FALSE,Subtropical mountain system,25
