site_id,year,n_months_present,has_data
BE-Vie,2004,12,TRUE
BE-Vie,2005,12,TRUE
BE-Vie,2006,12,TRUE
BE-Vie,2007,12,TRUE
BE-Vie,2008,12,TRUE
BE-Vie,2009,10,TRUE
BE-Vie,2010,12,TRUE
BE-Vie,2011,12,TRUE
BE-Vie,2012,12,TRUE
BE-Vie,2013,12,TRUE
BE-Vie,2014,12,TRUE
BE-Vie,2015,12,TRUE
BE-Vie,2016,12,TRUE
BE-Vie,2017,12,TRUE
BE-Vie,2018,12,TRUE
BE-Vie,2019,12,TRUE
BE-Vie,2020,12,TRUE
BE-Vie,2021,12,TRUE
BE-Vie,2022,12,TRUE
BE-Vie,2023,12,TRUE
BE-Vie,2024,12,TRUE
BJ-Bfg,2008,6,TRUE
BJ-Bfg,2009,12,TRUE
BJ-Bfg,2010,10,TRUE
BJ-Bfg,2011,7,TRUE
BJ-Bfg,2012,10,TRUE
BJ-Bfg,2013,12,TRUE
BJ-Bfg,2014,12,TRUE
BJ-Bfg,2015,6,TRUE
BJ-Bfg,2016,8,TRUE
BJ-Bfg,2017,12,TRUE
BJ-Db1,2022,8,TRUE
BJ-Db1,2023,12,TRUE
BJ-Db1,2024,12,TRUE
BJ-Nhu,2008,12,TRUE
BJ-Nhu,2009,12,TRUE
BJ-Nhu,2010,12,TRUE
BJ-Nhu,2011,10,TRUE
BJ-Nhu,2012,11,TRUE
BJ-Nhu,2013,12,TRUE
BJ-Nhu,2014,12,TRUE
BJ-Nhu,2015,10,TRUE
BJ-Nhu,2016,12,TRUE
BJ-Nhu,2017,12,TRUE
BR-CST,2014,7,TRUE
BR-CST,2015,7,TRUE
BR-ITA,2020,2,TRUE
BR-ITA,2021,12,TRUE
BR-ITA,2022,12,TRUE
BR-ITA,2023,12,TRUE
BR-ITA,2024,8,TRUE
BR-Ji3,2004,9,TRUE
BR-Ji3,2005,12,TRUE
BR-Ji3,2006,12,TRUE
BR-Ji3,2007,7,TRUE
BR-Ji3,2008,12,TRUE
BR-Ji3,2009,12,TRUE
BR-Ji3,2010,7,TRUE
BR-Ma2,1999,6,TRUE
BR-Ma2,2000,12,TRUE
BR-Ma2,2001,9,TRUE
BR-Ma2,2002,12,TRUE
BR-Ma2,2003,12,TRUE
BR-Ma2,2004,12,TRUE
BR-Ma2,2005,12,TRUE
BR-Ma2,2006,12,TRUE
BR-Ma2,2007,12,TRUE
BR-Ma2,2008,12,TRUE
BR-Ma2,2009,12,TRUE
BR-Ma2,2010,12,TRUE
BR-Ma2,2011,12,TRUE
BR-Ma2,2012,12,TRUE
BR-Ma2,2013,12,TRUE
BR-Ma2,2014,12,TRUE
BR-Ma2,2015,10,TRUE
BR-Ma2,2016,12,TRUE
BR-Ma3,2008,6,TRUE
BR-Ma3,2009,11,TRUE
BR-Ma3,2010,1,TRUE
BR-Ma3,2011,9,TRUE
BR-Ma3,2012,10,TRUE
BR-Ma3,2013,8,TRUE
BR-Ma3,2014,8,TRUE
BR-Ma3,2015,11,TRUE
BR-Ma3,2016,4,TRUE
BR-Ma3,2017,9,TRUE
BR-Ma3,2018,8,TRUE
