bin,bin_label,min_value,max_value,global_land_area_km2,global_land_fraction
1,0–5.0 Mg/ha,0,5,77160568.36155841,0.5237514884874709
2,5.0–7.0 Mg/ha,5,7,3712971.685802117,0.02520295648987903
3,7.0–10.0 Mg/ha,7,10,4606077.089093104,0.031265188719144195
4,10.0–13.0 Mg/ha,10,13,3835679.834306389,0.02603587642286222
5,13.0–16.0 Mg/ha,13,16,3168423.7843023688,0.0215066673098046
6,16.0–20.0 Mg/ha,16,20,3547298.211411014,0.024078395970720635
7,20.0–25.0 Mg/ha,20,25,3696323.284478307,0.02508995025937248
8,25.0–31.0 Mg/ha,25,31,3673417.6654010415,0.024934471206519607
9,31.0–38.0 Mg/ha,31,38,3572700.9364845157,0.024250824911452917
10,38.0–46.0 Mg/ha,38,46,3443791.2680021226,0.023375810222192064
11,46.0–57.0 Mg/ha,46,57,3968576.875582576,0.026937956651948
12,57.0–69.0 Mg/ha,57,69,3647925.2796916664,0.0247614336661814
13,69.0–83.0 Mg/ha,69,83,3619246.3080335855,0.02456676617716258
14,83.0–100.0 Mg/ha,83,100,3688680.787731439,0.025038074422634518
15,100.0–120.0 Mg/ha,100,120,3627446.772589147,0.024622429394897557
16,120.0–145.0 Mg/ha,120,145,3707815.8064851463,0.025167959346596314
17,145.0–177.0 Mg/ha,145,177,3582881.5247674286,0.024319928838239312
18,177.0–237.0 Mg/ha,177,237,3727282.1041577756,0.025300092929822476
19,237.0–294.0 Mg/ha,237,294,3675177.0150432587,0.02494641334242461
20,>294.0 Mg/ha,294,NA,3660577.6010302007,0.0248473152540778
