site_id,location_lat,location_long,ai_value,unep_class,aridity_method
US-Bi2,38.1091,-121.5351,0.2649,Semi-Arid,exact
US-BRG,39.2167,-86.5406,1.0571000000000002,Humid,exact
US-BZB,64.6955,-148.3208,0.5607,Dry Sub-Humid,exact
US-BZF,64.7013,-148.3121,0.5640000000000001,Dry Sub-Humid,exact
US-BZo,64.6936,-148.33,0.5639000000000001,Dry Sub-Humid,exact
US-CAK,64.8618,-163.7002,0.9308000000000001,Humid,exact
US-CdM,37.5241,-109.7471,0.2059,Semi-Arid,exact
US-Ced,39.8379,-74.3791,1.1082,Humid,exact
US-CF1,46.7815,-117.0821,0.6109,Dry Sub-Humid,exact
US-CF2,46.784,-117.0908,0.6077,Dry Sub-Humid,exact
US-CF3,46.7551,-117.1261,0.5761000000000001,Dry Sub-Humid,exact
US-CF4,46.7518,-117.1285,0.5761000000000001,Dry Sub-Humid,exact
US-CGG,37.938,-121.9761,0.3377,Semi-Arid,exact
US-ChR,35.9311,-84.3324,1.1844000000000001,Humid,exact
US-CLF,40.6366,-77.9424,1.0074,Humid,exact
US-Cms,71.3202,-156.6223,0.5643,Dry Sub-Humid,exact
US-CMW,31.6637,-110.1777,0.1689,Arid,exact
US-Cop,38.09,-109.39,0.234,Semi-Arid,exact
US-CRK,31.4629,-95.3415,0.7777000000000001,Humid,exact
US-CRT,41.6285,-83.3471,0.8537,Humid,exact
US-CS1,44.1031,-89.5379,0.9269000000000001,Humid,exact
US-CS2,44.1467,-89.5002,0.9302,Humid,exact
US-CS3,44.1394,-89.5727,0.929,Humid,exact
US-CS4,44.1597,-89.5475,0.9286000000000001,Humid,exact
US-CS5,44.1095,-89.5377,0.929,Humid,exact
US-CS6,44.4297,-89.544,0.9389000000000001,Humid,exact
US-CS8,44.4338,-89.5364,0.9392,Humid,exact
US-Cst,33.0442,-91.9204,1.1077000000000001,Humid,exact
US-Cwt,35.0592,-83.4275,1.5852000000000002,Humid,exact
