site_id,location_lat,location_long,biomass_value_mg_ha,biomass_bin,biomass_bin_label,biomass_method
DE-SfN,47.8064,11.3275,102,6,94.0–171.0 Mg/ha,exact
DE-Spw,51.8922,14.0337,157,6,94.0–171.0 Mg/ha,exact
DE-Tha,50.9626,13.5651,170,6,94.0–171.0 Mg/ha,exact
DE-Zrk,53.8759,12.889,11,2,5–13.0 Mg/ha,exact
DK-Eng,55.6905,12.1918,5,2,5–13.0 Mg/ha,exact
DK-Fou,56.4842,9.5872,8,2,5–13.0 Mg/ha,exact
DK-Sor,55.4859,11.6446,82,5,51.0–94.0 Mg/ha,exact
ES-Amo,36.8336,-2.2523,0,1,0–5 Mg/ha,exact
ES-LgS,37.0979,-2.9658,33,4,27.0–51.0 Mg/ha,exact
ES-LJu,36.9266,-2.7521,42,4,27.0–51.0 Mg/ha,exact
ES-Ln2,36.9695,-3.4758,2,1,0–5 Mg/ha,exact
FI-Hyy,61.8474,24.2948,114,6,94.0–171.0 Mg/ha,exact
FI-Jok,60.8986,23.5134,33,4,27.0–51.0 Mg/ha,exact
FI-Let,60.6418,23.9595,124,6,94.0–171.0 Mg/ha,exact
FI-Lom,67.9972,24.2092,31,4,27.0–51.0 Mg/ha,exact
FI-Sod,67.3624,26.6386,47,4,27.0–51.0 Mg/ha,exact
FR-Fon,48.4764,2.7801,105,6,94.0–171.0 Mg/ha,exact
FR-Gri,48.8442,1.9519,6,2,5–13.0 Mg/ha,exact
FR-LBr,44.7171,-0.7693,70,5,51.0–94.0 Mg/ha,exact
FR-Pue,43.7413,3.5957,87,5,51.0–94.0 Mg/ha,exact
GF-Guy,5.2788,-52.9249,301,7,>171.0 Mg/ha,exact
GH-Ank,5.2685,-2.6942,280,7,>171.0 Mg/ha,exact
GL-NuF,64.1308,-51.3861,1,1,0–5 Mg/ha,exact
GL-ZaF,74.4814,-20.5545,0,1,0–5 Mg/ha,exact
GL-ZaH,74.4733,-20.5503,0,1,0–5 Mg/ha,exact
IT-BCi,40.5237,14.9574,7,2,5–13.0 Mg/ha,exact
IT-CA1,42.3804,12.0266,7,2,5–13.0 Mg/ha,exact
IT-CA2,42.3772,12.026,2,1,0–5 Mg/ha,exact
IT-CA3,42.38,12.0222,2,1,0–5 Mg/ha,exact
IT-Col,41.8494,13.5881,100,6,94.0–171.0 Mg/ha,exact
IT-Cp2,41.7043,12.3573,20,3,13.0–27.0 Mg/ha,exact
IT-Cpz,41.7052,12.3761,39,4,27.0–51.0 Mg/ha,exact
IT-Isp,45.8126,8.6336,56,5,51.0–94.0 Mg/ha,exact
IT-La2,45.9542,11.2853,147,6,94.0–171.0 Mg/ha,exact
IT-Lav,45.9562,11.2813,147,6,94.0–171.0 Mg/ha,exact
IT-MBo,46.0147,11.0458,39,4,27.0–51.0 Mg/ha,exact
IT-Noe,40.6062,8.1517,39,4,27.0–51.0 Mg/ha,exact
IT-PT1,45.2009,9.061,22,3,13.0–27.0 Mg/ha,exact
IT-Ren,46.5869,11.4337,120,6,94.0–171.0 Mg/ha,exact
IT-Ro1,42.4081,11.93,30,4,27.0–51.0 Mg/ha,exact
IT-Ro2,42.3903,11.9209,45,4,27.0–51.0 Mg/ha,exact
IT-SR2,43.732,10.2909,78,5,51.0–94.0 Mg/ha,exact
IT-SRo,43.7279,10.2844,42,4,27.0–51.0 Mg/ha,exact
IT-Tor,45.8444,7.5781,17,3,13.0–27.0 Mg/ha,exact
JP-MBF,44.3869,142.3186,85,5,51.0–94.0 Mg/ha,exact
JP-SMF,35.2617,137.0788,82,5,51.0–94.0 Mg/ha,exact
MY-PSO,2.973,102.3062,271,7,>171.0 Mg/ha,exact
NL-Hor,52.2403,5.0713,8,2,5–13.0 Mg/ha,exact
NL-Loo,52.1666,5.7436,150,6,94.0–171.0 Mg/ha,exact
PA-SPn,9.3181,-79.6346,70,5,51.0–94.0 Mg/ha,exact
PA-SPs,9.3138,-79.6314,70,5,51.0–94.0 Mg/ha,exact
RU-Che,68.613,161.3414,11,2,5–13.0 Mg/ha,exact
RU-Cok,70.8291,147.4943,0,1,0–5 Mg/ha,exact
RU-Fyo,56.4615,32.9221,198,7,>171.0 Mg/ha,exact
RU-Ha1,54.7252,90.0022,0,1,0–5 Mg/ha,exact
RU-Sam,72.3738,126.4958,3,1,0–5 Mg/ha,exact
RU-SkP,62.255,129.168,20,3,13.0–27.0 Mg/ha,exact
RU-Tks,71.5943,128.8878,0,1,0–5 Mg/ha,exact
RU-Vrk,67.0547,62.9405,0,1,0–5 Mg/ha,exact
SD-Dem,13.2829,30.4783,0,1,0–5 Mg/ha,exact
SE-St1,68.3541,19.0503,10,2,5–13.0 Mg/ha,exact
SJ-Adv,78.186,15.923,0,1,0–5 Mg/ha,exact
SJ-Blv,78.9216,11.8311,0,1,0–5 Mg/ha,exact
SN-Dhr,15.4028,-15.4322,0,1,0–5 Mg/ha,exact
US-AR1,36.4267,-99.42,2,1,0–5 Mg/ha,exact
US-AR2,36.6358,-99.5975,0,1,0–5 Mg/ha,exact
US-ARb,35.5497,-98.0402,0,1,0–5 Mg/ha,exact
US-ARc,35.5465,-98.04,0,1,0–5 Mg/ha,exact
US-ARM,36.6058,-97.4888,0,1,0–5 Mg/ha,exact
US-Atq,70.4696,-157.4089,10,2,5–13.0 Mg/ha,exact
