bin,bin_label,min_value,max_value,global_land_area_km2,global_land_fraction
1,0–5 mm yr-1,0,5,5312271.565329554,0.03252444709056603
2,5.0–17.5 mm yr-1,5,17.5,26270569.270855114,0.16084187899305388
3,17.5–24.2 mm yr-1,17.5,24.2,26124936.620252058,0.1599502413233776
4,24.2–32.0 mm yr-1,24.2,32,26534090.909862753,0.1624552934240971
5,32.0–41.8 mm yr-1,32,41.8,26233303.993797325,0.16061372188228198
6,41.8–58.1 mm yr-1,41.8,58.1,26513016.044952497,0.16232626230806982
7,>58.1 mm yr-1,58.1,NA,26343460.26332681,0.16128815497854698
