site_id,location_lat,location_long,trendy_nee_median_value,trendy_nee_median_method,trendy_nee_median_bin,trendy_nee_median_bin_label
CN-Anh,33,117,61.947784423828125,exact,6,54.3–70.2 gC m-2 yr-1
CN-Bed,39.53060150146485,116.2519989013672,37.22380447387695,exact,4,31.7–41.8 gC m-2 yr-1
CN-Cha,42.40250015258789,128.0959930419922,38.21786117553711,exact,4,31.7–41.8 gC m-2 yr-1
CN-Do1,31.516700744628903,121.96099853515624,44.99034881591797,exact,5,41.8–54.3 gC m-2 yr-1
CN-Do2,31.584699630737305,121.90299987792967,44.99034881591797,exact,5,41.8–54.3 gC m-2 yr-1
CN-Do3,31.51689910888672,121.97200012207033,44.99034881591797,exact,5,41.8–54.3 gC m-2 yr-1
CN-Du1,42.04560089111328,116.6709976196289,34.91464614868164,exact,4,31.7–41.8 gC m-2 yr-1
CN-Du2,42.04669952392578,116.28399658203124,29.532695770263672,exact,3,20.5–31.7 gC m-2 yr-1
CN-HaM,37.369998931884766,101.18000030517578,20.972848892211914,exact,3,20.5–31.7 gC m-2 yr-1
CN-Hny,29.309999465942383,112.51000213623048,55.13202667236328,exact,6,54.3–70.2 gC m-2 yr-1
CN-Ku1,40.538299560546875,108.69400024414062,15.960103988647461,exact,2,5.0–20.5 gC m-2 yr-1
CN-Ku2,40.38079833984375,108.54900360107422,28.808361053466797,exact,3,20.5–31.7 gC m-2 yr-1
CN-Xfs,44.1341667175293,116.32861328125,22.67447853088379,exact,3,20.5–31.7 gC m-2 yr-1
CN-Xi1,43.54583358764648,116.6777801513672,27.475004196166992,exact,3,20.5–31.7 gC m-2 yr-1
CN-Xi2,43.55440139770508,116.6709976196289,27.475004196166992,exact,3,20.5–31.7 gC m-2 yr-1
CZ-BK1,49.50260162353515,18.538400650024418,47.54872131347656,exact,5,41.8–54.3 gC m-2 yr-1
CZ-BK2,49.49530029296875,18.544700622558594,65.25325775146484,exact,6,54.3–70.2 gC m-2 yr-1
CZ-wet,49.025001525878906,14.772000312805176,59.287166595458984,exact,6,54.3–70.2 gC m-2 yr-1
DE-Bay,50.14189910888672,11.866900444030762,57.044044494628906,exact,6,54.3–70.2 gC m-2 yr-1
DE-Geb,51.100101470947266,10.914299964904783,59.7928466796875,exact,6,54.3–70.2 gC m-2 yr-1
DE-Gri,50.949501037597656,13.512499809265137,48.800445556640625,exact,5,41.8–54.3 gC m-2 yr-1
DE-Hai,51.07929992675781,10.45199966430664,62.16096496582031,exact,6,54.3–70.2 gC m-2 yr-1
DE-Har,47.93439865112305,7.60099983215332,49.140411376953125,exact,5,41.8–54.3 gC m-2 yr-1
DE-Kli,50.89289855957031,13.522500038146973,48.800445556640625,exact,5,41.8–54.3 gC m-2 yr-1
DE-Meh,51.275299072265625,10.655500411987305,59.7928466796875,exact,6,54.3–70.2 gC m-2 yr-1
DE-Tha,50.963600158691406,13.566900253295898,48.800445556640625,exact,5,41.8–54.3 gC m-2 yr-1
DE-Wet,50.45349884033203,11.457500457763672,61.89060592651367,exact,6,54.3–70.2 gC m-2 yr-1
DK-Fou,56.48419952392578,9.587220191955566,52.633846282958984,exact,5,41.8–54.3 gC m-2 yr-1
DK-Lva,55.68330001831055,12.08329963684082,44.86714172363281,exact,5,41.8–54.3 gC m-2 yr-1
DK-Ris,55.53030014038086,12.097200393676758,44.86714172363281,exact,5,41.8–54.3 gC m-2 yr-1
DK-Sor,55.48690032958984,11.64579963684082,47.66714859008789,exact,5,41.8–54.3 gC m-2 yr-1
ES-ES1,39.34600067138672,-0.31880998611450195,34.02888107299805,exact,4,31.7–41.8 gC m-2 yr-1
ES-ES2,39.2755012512207,-0.3152199983596802,34.02888107299805,exact,4,31.7–41.8 gC m-2 yr-1
ES-LJu,36.928199768066406,-2.750469923019409,23.964752197265625,exact,3,20.5–31.7 gC m-2 yr-1
ES-LMa,39.94150161743164,-5.773359775543213,40.43504333496094,exact,4,31.7–41.8 gC m-2 yr-1
ES-VDA,42.152198791503906,1.4485000371932983,62.10927200317383,exact,6,54.3–70.2 gC m-2 yr-1
FI-Hyy,61.8474006652832,24.2947998046875,44.574954986572266,exact,5,41.8–54.3 gC m-2 yr-1
FI-Kaa,69.14070129394531,27.295000076293945,22.569337844848633,exact,3,20.5–31.7 gC m-2 yr-1
FI-Sii,61.83300018310547,24.19300079345703,44.574954986572266,exact,5,41.8–54.3 gC m-2 yr-1
FI-Sod,67.36190032958984,26.637800216674805,33.52534484863281,exact,4,31.7–41.8 gC m-2 yr-1
FR-Aur,43.54940032958984,1.1077799797058103,48.2670783996582,exact,5,41.8–54.3 gC m-2 yr-1
FR-Fon,48.47629928588867,2.7801499366760254,54.74135208129883,exact,6,54.3–70.2 gC m-2 yr-1
FR-Gri,48.84400177001953,1.952430009841919,52.27886199951172,exact,5,41.8–54.3 gC m-2 yr-1
FR-Hes,48.674198150634766,7.064620018005371,54.7104606628418,exact,6,54.3–70.2 gC m-2 yr-1
FR-Lam,43.49330139160156,1.237220048904419,57.532012939453125,exact,6,54.3–70.2 gC m-2 yr-1
FR-LBr,44.717098236083984,-0.7692999839782715,60.20866394042969,exact,6,54.3–70.2 gC m-2 yr-1
FR-Lq1,45.644100189208984,2.737030029296875,54.034358978271484,exact,5,41.8–54.3 gC m-2 yr-1
FR-Lq2,45.639198303222656,2.737030029296875,54.034358978271484,exact,5,41.8–54.3 gC m-2 yr-1
FR-Pue,43.74140167236328,3.595829963684082,53.22159194946289,exact,5,41.8–54.3 gC m-2 yr-1
GF-Guy,5.277699947357178,-52.92879867553711,63.6606559753418,exact,6,54.3–70.2 gC m-2 yr-1
HU-Bug,46.69110107421875,19.601299285888672,42.41997146606445,exact,5,41.8–54.3 gC m-2 yr-1
HU-Mat,47.846900939941406,19.72599983215332,59.84150314331055,exact,6,54.3–70.2 gC m-2 yr-1
ID-Pag,2.3450000286102295,114.03600311279295,75.0057373046875,exact,7,>70.2 gC m-2 yr-1
IE-Ca1,52.85879898071289,-6.918139934539795,44.26632308959961,exact,5,41.8–54.3 gC m-2 yr-1
IE-Dri,51.986698150634766,-8.751810073852539,46.81644821166992,exact,5,41.8–54.3 gC m-2 yr-1
IL-Yat,31.344999313354492,35.05149841308594,23.51824378967285,exact,3,20.5–31.7 gC m-2 yr-1
IS-Gun,63.83330154418945,-20.216699600219727,31.70170021057129,exact,4,31.7–41.8 gC m-2 yr-1
IT-Amp,41.90409851074219,13.605199813842772,61.01592254638672,exact,6,54.3–70.2 gC m-2 yr-1
IT-BCi,40.523799896240234,14.95740032196045,47.55440139770508,exact,5,41.8–54.3 gC m-2 yr-1
IT-Be2,46.00310134887695,13.025699615478516,50.11836242675781,exact,5,41.8–54.3 gC m-2 yr-1
IT-Bon,39.47779846191406,16.534700393676758,51.83210754394531,exact,5,41.8–54.3 gC m-2 yr-1
IT-Cas,45.06284713745117,8.668539047241211,58.10812759399414,exact,6,54.3–70.2 gC m-2 yr-1
IT-Col,41.84939956665039,13.58810043334961,61.01592254638672,exact,6,54.3–70.2 gC m-2 yr-1
IT-Cpz,41.7052001953125,12.376099586486816,29.470170974731445,exact,3,20.5–31.7 gC m-2 yr-1
IT-Lav,45.955299377441406,11.281200408935549,67.190673828125,exact,6,54.3–70.2 gC m-2 yr-1
IT-Lec,43.30459976196289,11.270600318908691,54.09849548339844,exact,5,41.8–54.3 gC m-2 yr-1
IT-LMa,45.581298828125,7.154630184173584,41.308284759521484,exact,4,31.7–41.8 gC m-2 yr-1
IT-Mal,46.11669921875,11.702799797058104,67.4892578125,exact,6,54.3–70.2 gC m-2 yr-1
