site_id,location_lat,location_long,trendy_nee_iav_value,trendy_nee_iav_method,trendy_nee_iav_bin,trendy_nee_iav_bin_label,trendy_nee_iav_bin_30
CA-TPA,42.6947,-80.3487,49.97174835205078,exact,5,42.1–54.4 gC m-2 yr-1,19
CA-TPD,42.6353,-80.5577,51.04986572265625,exact,5,42.1–54.4 gC m-2 yr-1,20
CA-TVC,68.7462,-133.5017,13.924711227416992,exact,2,5.0–21.3 gC m-2 yr-1,4
CL-ACF,-40.1726,-73.4439,77.52131652832031,exact,7,>70.9 gC m-2 yr-1,27
CL-SDF,-41.883,-73.676,55.87565231323242,exact,6,54.4–70.9 gC m-2 yr-1,21
CL-SDP,-41.879,-73.666,55.87565231323242,exact,6,54.4–70.9 gC m-2 yr-1,21
CR-Fsc,10.4189,-85.4732,41.24126052856445,exact,4,31.9–42.1 gC m-2 yr-1,16
MX-Aog,26.9968,-108.7892,92.8602294921875,exact,7,>70.9 gC m-2 yr-1,29
MX-PMm,20.8462,-86.8992,59.85200119018555,exact,6,54.4–70.9 gC m-2 yr-1,23
MX-Tes,27.8446,-109.2977,105.4043960571289,exact,7,>70.9 gC m-2 yr-1,30
PE-QFR,-3.8344,-73.319,49.48711395263672,exact,5,42.1–54.4 gC m-2 yr-1,19
PR-xGU,17.9696,-66.8687,55.10775375366211,exact,6,54.4–70.9 gC m-2 yr-1,21
PR-xLA,18.0212,-67.0769,64.544403076171875,exact,6,54.4–70.9 gC m-2 yr-1,24
US-A03,70.4953,-149.8823,28.22292709350586,exact,3,21.3–31.9 gC m-2 yr-1,9
US-A10,71.3242,-156.6149,1.6785470247268677,exact,1,0–5 gC m-2 yr-1,1
US-A32,36.8193,-97.8198,56.668819427490234,exact,6,54.4–70.9 gC m-2 yr-1,22
US-A37,36.3106,-97.928,53.72172164916992,exact,5,42.1–54.4 gC m-2 yr-1,21
US-A39,36.3776,-96.069,51.31850051879883,exact,5,42.1–54.4 gC m-2 yr-1,20
US-A74,36.8085,-97.5489,56.668819427490234,exact,6,54.4–70.9 gC m-2 yr-1,22
US-ABa,27.1301,-81.2011,66.49152374267578,exact,6,54.4–70.9 gC m-2 yr-1,25
US-ABb,27.1346,-81.2031,66.49152374267578,exact,6,54.4–70.9 gC m-2 yr-1,25
US-ABc,27.1633,-81.1873,66.49152374267578,exact,6,54.4–70.9 gC m-2 yr-1,25
US-ABd,27.1699,-81.2152,66.49152374267578,exact,6,54.4–70.9 gC m-2 yr-1,25
US-ABe,27.1656,-81.2161,66.49152374267578,exact,6,54.4–70.9 gC m-2 yr-1,25
US-ADR,36.7653,-116.6933,7.41502857208252,exact,2,5.0–21.3 gC m-2 yr-1,2
US-Akn,33.3825,-81.5653,79.22498321533203,exact,7,>70.9 gC m-2 yr-1,27
US-ALQ,46.0308,-89.6067,46.80606842041016,exact,5,42.1–54.4 gC m-2 yr-1,18
US-AR1,36.4267,-99.42,56.65922546386719,exact,6,54.4–70.9 gC m-2 yr-1,22
US-AR2,36.6358,-99.5975,56.24404525756836,exact,6,54.4–70.9 gC m-2 yr-1,21
US-ARb,35.5497,-98.0402,54.286258697509766,exact,5,42.1–54.4 gC m-2 yr-1,21
US-ARc,35.5465,-98.04,54.286258697509766,exact,5,42.1–54.4 gC m-2 yr-1,21
US-ARM,36.6058,-97.4888,57.99056243896485,exact,6,54.4–70.9 gC m-2 yr-1,22
US-ASH,36.1697,-120.201,40.22392654418945,exact,4,31.9–42.1 gC m-2 yr-1,15
US-ASM,36.1777,-120.2026,40.22392654418945,exact,4,31.9–42.1 gC m-2 yr-1,15
US-Aud,31.5907,-110.5104,29.85690116882324,exact,3,21.3–31.9 gC m-2 yr-1,10
US-Bar,44.0646,-71.2881,42.572078704833984,exact,5,42.1–54.4 gC m-2 yr-1,16
US-Bi1,38.0992,-121.4993,34.23552322387695,exact,4,31.9–42.1 gC m-2 yr-1,12
US-Bi2,38.1091,-121.5351,35.703857421875,exact,4,31.9–42.1 gC m-2 yr-1,13
US-BRG,39.2167,-86.5406,60.3980598449707,exact,6,54.4–70.9 gC m-2 yr-1,23
US-BZB,64.6955,-148.3208,41.072532653808594,exact,4,31.9–42.1 gC m-2 yr-1,15
US-BZF,64.7013,-148.3121,41.072532653808594,exact,4,31.9–42.1 gC m-2 yr-1,15
US-BZo,64.6936,-148.33,41.072532653808594,exact,4,31.9–42.1 gC m-2 yr-1,15
US-CAK,64.8618,-163.7002,28.820152282714844,exact,3,21.3–31.9 gC m-2 yr-1,10
US-CdM,37.5241,-109.7471,35.1580810546875,exact,4,31.9–42.1 gC m-2 yr-1,13
US-Ced,39.8379,-74.3791,62.422760009765625,exact,6,54.4–70.9 gC m-2 yr-1,23
US-CF1,46.7815,-117.0821,33.89189147949219,exact,4,31.9–42.1 gC m-2 yr-1,12
US-CF2,46.784,-117.0908,33.89189147949219,exact,4,31.9–42.1 gC m-2 yr-1,12
US-CF3,46.7551,-117.1261,33.89189147949219,exact,4,31.9–42.1 gC m-2 yr-1,12
US-CF4,46.7518,-117.1285,33.89189147949219,exact,4,31.9–42.1 gC m-2 yr-1,12
US-CGG,37.938,-121.9761,42.80757141113281,exact,5,42.1–54.4 gC m-2 yr-1,16
US-ChR,35.9311,-84.3324,64.25120544433594,exact,6,54.4–70.9 gC m-2 yr-1,24
US-CLF,40.6366,-77.9424,60.47190856933594,exact,6,54.4–70.9 gC m-2 yr-1,23
US-Cms,71.3202,-156.6223,1.6785470247268677,exact,1,0–5 gC m-2 yr-1,1
US-CMW,31.6637,-110.1777,32.373470306396484,exact,4,31.9–42.1 gC m-2 yr-1,11
US-Cop,38.09,-109.39,35.533748626708984,exact,4,31.9–42.1 gC m-2 yr-1,13
US-CRK,31.4629,-95.3415,82.70287322998047,exact,7,>70.9 gC m-2 yr-1,28
US-CRT,41.6285,-83.3471,31.81790542602539,exact,3,21.3–31.9 gC m-2 yr-1,11
US-CS1,44.1031,-89.5379,45.65890121459961,exact,5,42.1–54.4 gC m-2 yr-1,17
US-CS2,44.1467,-89.5002,45.65890121459961,exact,5,42.1–54.4 gC m-2 yr-1,17
US-CS3,44.1394,-89.5727,45.65890121459961,exact,5,42.1–54.4 gC m-2 yr-1,17
US-CS4,44.1597,-89.5475,45.65890121459961,exact,5,42.1–54.4 gC m-2 yr-1,17
US-CS5,44.1095,-89.5377,45.65890121459961,exact,5,42.1–54.4 gC m-2 yr-1,17
US-CS6,44.4297,-89.544,45.65890121459961,exact,5,42.1–54.4 gC m-2 yr-1,17
US-CS8,44.4338,-89.5364,45.65890121459961,exact,5,42.1–54.4 gC m-2 yr-1,17
US-Cst,33.0442,-91.9204,93.57884216308594,exact,7,>70.9 gC m-2 yr-1,29
US-Cwt,35.0592,-83.4275,63.82705307006836,exact,6,54.4–70.9 gC m-2 yr-1,24
US-DFC,43.3448,-89.7117,52.75017166137695,exact,5,42.1–54.4 gC m-2 yr-1,20
US-DFK,43.3453,-89.7154,52.75017166137695,exact,5,42.1–54.4 gC m-2 yr-1,20
US-Dix,39.9712,-74.4346,62.422760009765625,exact,6,54.4–70.9 gC m-2 yr-1,23
US-Dk1,35.9712,-79.0934,75.05833435058594,exact,7,>70.9 gC m-2 yr-1,26
US-Dk2,35.9736,-79.1004,75.05833435058594,exact,7,>70.9 gC m-2 yr-1,26
US-Dk3,35.9782,-79.0942,75.05833435058594,exact,7,>70.9 gC m-2 yr-1,26
US-Dmg,38.0015,-121.6691,35.703857421875,exact,4,31.9–42.1 gC m-2 yr-1,13
US-DPW,28.0521,-81.4361,68.95140838623047,exact,6,54.4–70.9 gC m-2 yr-1,25
US-DS1,38.1335,-121.539,35.703857421875,exact,4,31.9–42.1 gC m-2 yr-1,13
US-DS2,38.1375,-121.514,35.703857421875,exact,4,31.9–42.1 gC m-2 yr-1,13
