site_id,location_lat,location_long,trendy_nee_iav_value,trendy_nee_iav_method,trendy_nee_iav_bin,trendy_nee_iav_bin_label,trendy_nee_iav_bin_30
CN-Din,23.1733,112.5361,49.52372360229492,exact,5,42.1–54.4 gC m-2 yr-1,19
CN-Du2,42.0467,116.2836,29.0601863861084,exact,3,21.3–31.9 gC m-2 yr-1,10
CN-Du3,42.0551,116.2809,29.0601863861084,exact,3,21.3–31.9 gC m-2 yr-1,10
CN-Ha2,37.6086,101.3269,15.018617630004885,exact,2,5.0–21.3 gC m-2 yr-1,4
CN-HaM,37.37,101.18,16.337894439697266,exact,2,5.0–21.3 gC m-2 yr-1,4
CN-Qia,26.7414,115.0581,71.14186096191406,exact,7,>70.9 gC m-2 yr-1,26
CN-Sw2,41.7902,111.8971,29.047117233276367,exact,3,21.3–31.9 gC m-2 yr-1,10
CZ-BK1,49.5021,18.5369,41.18720245361328,exact,4,31.9–42.1 gC m-2 yr-1,16
CZ-BK2,49.4944,18.5429,51.19175338745117,exact,5,42.1–54.4 gC m-2 yr-1,20
CZ-wet,49.0247,14.7704,47.036380767822266,exact,5,42.1–54.4 gC m-2 yr-1,18
DE-Akm,53.8662,13.6834,68.30003356933594,exact,6,54.4–70.9 gC m-2 yr-1,25
DE-Geb,51.0997,10.9146,69.19615173339844,exact,6,54.4–70.9 gC m-2 yr-1,25
DE-Gri,50.95,13.5126,56.02064514160156,exact,6,54.4–70.9 gC m-2 yr-1,21
DE-Hai,51.0792,10.4522,64.78155517578125,exact,6,54.4–70.9 gC m-2 yr-1,24
DE-Kli,50.8931,13.5224,56.02064514160156,exact,6,54.4–70.9 gC m-2 yr-1,21
DE-Lkb,49.0996,13.3047,45.57429122924805,exact,5,42.1–54.4 gC m-2 yr-1,17
DE-Lnf,51.3282,10.3678,64.78155517578125,exact,6,54.4–70.9 gC m-2 yr-1,24
DE-Obe,50.7867,13.7213,56.02064514160156,exact,6,54.4–70.9 gC m-2 yr-1,21
DE-RuR,50.6219,6.3041,44.152530670166016,exact,5,42.1–54.4 gC m-2 yr-1,17
DE-RuS,50.8659,6.4471,44.152530670166016,exact,5,42.1–54.4 gC m-2 yr-1,17
DE-Seh,50.8706,6.4497,44.152530670166016,exact,5,42.1–54.4 gC m-2 yr-1,17
DE-SfN,47.8064,11.3275,42.40987777709961,exact,5,42.1–54.4 gC m-2 yr-1,16
DE-Spw,51.8922,14.0337,61.57086181640625,exact,6,54.4–70.9 gC m-2 yr-1,23
DE-Tha,50.9626,13.5651,56.02064514160156,exact,6,54.4–70.9 gC m-2 yr-1,21
DE-Zrk,53.8759,12.889,68.4772720336914,exact,6,54.4–70.9 gC m-2 yr-1,25
DK-Eng,55.6905,12.1918,56.34376525878906,exact,6,54.4–70.9 gC m-2 yr-1,21
DK-Fou,56.4842,9.5872,62.70928192138672,exact,6,54.4–70.9 gC m-2 yr-1,24
DK-Sor,55.4859,11.6446,62.24641799926758,exact,6,54.4–70.9 gC m-2 yr-1,23
ES-Amo,36.8336,-2.2523,21.89553451538086,exact,3,21.3–31.9 gC m-2 yr-1,6
ES-LgS,37.0979,-2.9658,44.69010543823242,exact,5,42.1–54.4 gC m-2 yr-1,17
ES-LJu,36.9266,-2.7521,32.72272872924805,exact,4,31.9–42.1 gC m-2 yr-1,12
