bin,bin_label,min_value,max_value,global_land_area_km2,global_land_fraction
1,0–5.0 gC m-2 yr-1,0,5,38819183.24487489,0.23456395623523316
2,5.0–15.1 gC m-2 yr-1,5,15.1,11337941.519963391,0.06850923167832088
3,15.1–22.5 gC m-2 yr-1,15.1,22.5,11383446.687512072,0.06878419552962177
4,22.5–28.3 gC m-2 yr-1,22.5,28.3,11284250.341481172,0.06818480405808278
5,28.3–33.8 gC m-2 yr-1,28.3,33.8,11464672.570735529,0.06927500092337283
6,33.8–39.2 gC m-2 yr-1,33.8,39.2,11176520.670053814,0.06753385017854027
7,39.2–45.4 gC m-2 yr-1,39.2,45.4,11367409.875335185,0.06868729348802334
8,45.4–52.1 gC m-2 yr-1,45.4,52.1,11327649.516835483,0.06844704250355028
9,52.1–59.5 gC m-2 yr-1,52.1,59.5,11244690.252071349,0.06794576319464028
10,59.5–69.1 gC m-2 yr-1,59.5,69.1,11342676.23178203,0.06853784105757567
11,69.1–84.0 gC m-2 yr-1,69.1,84,11288984.895656297,0.06821341248478054
12,>84.0 gC m-2 yr-1,84,NA,11294222.862068953,0.06824506276749331
