site_id,location_lat,location_long,trendy_et_median_value,trendy_et_median_method,trendy_et_median_bin,trendy_et_median_bin_label,trendy_et_median_bin_30,trendy_et_median_bin_12,trendy_et_median_bin_18,trendy_et_median_bin_20
AU-Ync,-34.9893,146.2907,402.7666931152344,exact,5,394.0–634.7 mm yr-1,16,7,10,11
BE-Bra,51.3076,4.5198,431.9701843261719,exact,5,394.0–634.7 mm yr-1,17,7,11,12
BE-Lon,50.5516,4.7462,470.2182312011719,exact,5,394.0–634.7 mm yr-1,18,8,11,12
BE-Vie,50.3049,5.9981,488.7662048339844,exact,5,394.0–634.7 mm yr-1,18,8,11,13
BR-Sa1,-2.8567,-54.9589,1111.390625,exact,7,>968.6 mm yr-1,30,12,18,20
BR-Sa3,-3.018,-54.9714,1118.89794921875,exact,7,>968.6 mm yr-1,30,12,18,20
CA-Gro,48.2167,-82.1556,383.2193298339844,exact,4,263.9–394.0 mm yr-1,16,7,10,11
CA-Man,55.8796,-98.4808,323.7563781738281,exact,4,263.9–394.0 mm yr-1,14,6,9,9
CA-NS1,55.8792,-98.4839,323.7563781738281,exact,4,263.9–394.0 mm yr-1,14,6,9,9
CA-NS2,55.9058,-98.5247,326.063232421875,exact,4,263.9–394.0 mm yr-1,14,6,9,9
CA-NS3,55.9117,-98.3822,323.7563781738281,exact,4,263.9–394.0 mm yr-1,14,6,9,9
CA-NS4,55.9144,-98.3806,323.7563781738281,exact,4,263.9–394.0 mm yr-1,14,6,9,9
CA-NS5,55.8631,-98.485,323.7563781738281,exact,4,263.9–394.0 mm yr-1,14,6,9,9
CA-NS6,55.9167,-98.9644,326.063232421875,exact,4,263.9–394.0 mm yr-1,14,6,9,9
CA-NS7,56.6358,-99.9483,310.3047790527344,exact,4,263.9–394.0 mm yr-1,13,6,8,9
CA-Oas,53.6289,-106.1978,370.6502380371094,exact,4,263.9–394.0 mm yr-1,15,7,10,11
CA-Obs,53.9872,-105.1178,358.8319396972656,exact,4,263.9–394.0 mm yr-1,15,7,9,10
CA-Qfo,49.6925,-74.3421,386.6043395996094,exact,4,263.9–394.0 mm yr-1,16,7,10,11
CA-SF1,54.485,-105.8176,376.0792541503906,exact,4,263.9–394.0 mm yr-1,15,7,10,11
CA-SF2,54.2539,-105.8775,376.0792541503906,exact,4,263.9–394.0 mm yr-1,15,7,10,11
CA-SF3,54.0916,-106.0053,373.7274475097656,exact,4,263.9–394.0 mm yr-1,15,7,10,11
CA-TP1,42.6609,-80.5595,552.3470458984375,exact,5,394.0–634.7 mm yr-1,20,8,12,13
CA-TP2,42.7744,-80.4588,521.9127197265625,exact,5,394.0–634.7 mm yr-1,19,8,12,13
CA-TP3,42.7068,-80.3483,521.9127197265625,exact,5,394.0–634.7 mm yr-1,19,8,12,13
CA-TP4,42.7102,-80.3574,521.9127197265625,exact,5,394.0–634.7 mm yr-1,19,8,12,13
CA-TPD,42.6353,-80.5577,552.3470458984375,exact,5,394.0–634.7 mm yr-1,20,8,12,13
CG-Tch,-4.2892,11.6564,802.67919921875,exact,6,634.7–968.6 mm yr-1,23,10,14,16
CH-Cha,47.2102,8.4104,512.12445068359375,exact,5,394.0–634.7 mm yr-1,19,8,12,13
CH-Dav,46.8153,9.8559,459.2020568847656,exact,5,394.0–634.7 mm yr-1,18,8,11,12
CH-Fru,47.1158,8.5378,520.25347900390625,exact,5,394.0–634.7 mm yr-1,19,8,12,13
CH-Lae,47.4783,8.3644,512.12445068359375,exact,5,394.0–634.7 mm yr-1,19,8,12,13
CH-Oe1,47.2858,7.7319,529.791015625,exact,5,394.0–634.7 mm yr-1,19,8,12,13
CH-Oe2,47.2864,7.7337,529.791015625,exact,5,394.0–634.7 mm yr-1,19,8,12,13
CN-Cha,42.4025,128.0958,432.7327575683594,exact,5,394.0–634.7 mm yr-1,17,7,11,12
CN-Cng,44.5934,123.5092,378.8150939941406,exact,4,263.9–394.0 mm yr-1,15,7,10,11
CN-Dan,30.4978,91.0664,316.0395202636719,exact,4,263.9–394.0 mm yr-1,13,6,8,9
CN-Din,23.1733,112.5361,873.20257568359375,exact,6,634.7–968.6 mm yr-1,24,10,15,16
CN-Du2,42.0467,116.2836,381.5594787597656,exact,4,263.9–394.0 mm yr-1,16,7,10,11
CN-Du3,42.0551,116.2809,381.5594787597656,exact,4,263.9–394.0 mm yr-1,16,7,10,11
CN-Ha2,37.6086,101.3269,329.3330993652344,exact,4,263.9–394.0 mm yr-1,14,6,9,10
CN-HaM,37.37,101.18,374.5628051757813,exact,4,263.9–394.0 mm yr-1,15,7,10,11
CN-Qia,26.7414,115.0581,805.1824951171875,exact,6,634.7–968.6 mm yr-1,23,10,14,16
CN-Sw2,41.7902,111.8971,294.99334716796875,exact,4,263.9–394.0 mm yr-1,12,6,8,9
CZ-BK1,49.5021,18.5369,519.78582763671875,exact,5,394.0–634.7 mm yr-1,19,8,12,13
CZ-BK2,49.4944,18.5429,507.7304382324219,exact,5,394.0–634.7 mm yr-1,19,8,12,13
