site_id,location_lat,location_long,biomass_value_mg_ha,biomass_bin,biomass_bin_label,biomass_method,biomass_bin_30
CN-Ku2,40.38079833984375,108.54900360107422,0,1,0–5 Mg/ha,exact,1
CN-Xfs,44.1341667175293,116.32861328125,0,1,0–5 Mg/ha,exact,1
CN-Xi1,43.54583358764648,116.6777801513672,0,1,0–5 Mg/ha,exact,1
CN-Xi2,43.55440139770508,116.6709976196289,0,1,0–5 Mg/ha,exact,1
CZ-BK1,49.50260162353515,18.538400650024418,243,7,>171.0 Mg/ha,exact,28
CZ-BK2,49.49530029296875,18.544700622558594,222,7,>171.0 Mg/ha,exact,27
CZ-wet,49.025001525878906,14.772000312805176,55,5,51.0–94.0 Mg/ha,exact,17
DE-Bay,50.14189910888672,11.866900444030762,181,7,>171.0 Mg/ha,exact,26
DE-Geb,51.100101470947266,10.914299964904783,0,1,0–5 Mg/ha,exact,1
DE-Gri,50.949501037597656,13.512499809265137,135,6,94.0–171.0 Mg/ha,exact,24
DE-Hai,51.07929992675781,10.45199966430664,205,7,>171.0 Mg/ha,exact,27
DE-Har,47.93439865112305,7.60099983215332,49,4,27.0–51.0 Mg/ha,exact,16
DE-Kli,50.89289855957031,13.522500038146973,29,4,27.0–51.0 Mg/ha,exact,12
DE-Meh,51.275299072265625,10.655500411987305,28,4,27.0–51.0 Mg/ha,exact,12
DE-Tha,50.963600158691406,13.566900253295898,170,6,94.0–171.0 Mg/ha,exact,26
DE-Wet,50.45349884033203,11.457500457763672,169,6,94.0–171.0 Mg/ha,exact,26
DK-Fou,56.48419952392578,9.587220191955566,8,2,5–13.0 Mg/ha,exact,4
DK-Lva,55.68330001831055,12.08329963684082,2,1,0–5 Mg/ha,exact,1
DK-Ris,55.53030014038086,12.097200393676758,2,1,0–5 Mg/ha,exact,1
DK-Sor,55.48690032958984,11.64579963684082,82,5,51.0–94.0 Mg/ha,exact,20
ES-ES1,39.34600067138672,-0.31880998611450195,12,2,5–13.0 Mg/ha,exact,6
ES-ES2,39.2755012512207,-0.3152199983596802,0,1,0–5 Mg/ha,exact,1
ES-LJu,36.928199768066406,-2.750469923019409,42,4,27.0–51.0 Mg/ha,exact,15
ES-LMa,39.94150161743164,-5.773359775543213,9,2,5–13.0 Mg/ha,exact,4
ES-VDA,42.152198791503906,1.4485000371932983,71,5,51.0–94.0 Mg/ha,exact,19
FI-Hyy,61.8474006652832,24.2947998046875,114,6,94.0–171.0 Mg/ha,exact,22
FI-Kaa,69.14070129394531,27.295000076293945,19,3,13.0–27.0 Mg/ha,exact,9
FI-Sii,61.83300018310547,24.19300079345703,45,4,27.0–51.0 Mg/ha,exact,15
FI-Sod,67.36190032958984,26.637800216674805,47,4,27.0–51.0 Mg/ha,exact,15
FR-Aur,43.54940032958984,1.1077799797058103,32,4,27.0–51.0 Mg/ha,exact,13
FR-Fon,48.47629928588867,2.7801499366760254,105,6,94.0–171.0 Mg/ha,exact,22
FR-Gri,48.84400177001953,1.952430009841919,6,2,5–13.0 Mg/ha,exact,2
FR-Hes,48.674198150634766,7.064620018005371,124,6,94.0–171.0 Mg/ha,exact,23
FR-Lam,43.49330139160156,1.237220048904419,14,3,13.0–27.0 Mg/ha,exact,7
FR-LBr,44.717098236083984,-0.7692999839782715,70,5,51.0–94.0 Mg/ha,exact,19
FR-Lq1,45.644100189208984,2.737030029296875,10,2,5–13.0 Mg/ha,exact,5
FR-Lq2,45.639198303222656,2.737030029296875,13,3,13.0–27.0 Mg/ha,exact,7
FR-Pue,43.74140167236328,3.595829963684082,87,5,51.0–94.0 Mg/ha,exact,20
GF-Guy,5.277699947357178,-52.92879867553711,301,7,>171.0 Mg/ha,exact,29
HU-Bug,46.69110107421875,19.601299285888672,31,4,27.0–51.0 Mg/ha,exact,12
HU-Mat,47.846900939941406,19.72599983215332,78,5,51.0–94.0 Mg/ha,exact,19
ID-Pag,2.3450000286102295,114.03600311279295,303,7,>171.0 Mg/ha,exact,29
IE-Ca1,52.85879898071289,-6.918139934539795,8,2,5–13.0 Mg/ha,exact,4
IE-Dri,51.986698150634766,-8.751810073852539,0,1,0–5 Mg/ha,exact,1
IL-Yat,31.344999313354492,35.05149841308594,19,3,13.0–27.0 Mg/ha,exact,9
IS-Gun,63.83330154418945,-20.216699600219727,0,1,0–5 Mg/ha,exact,1
IT-Amp,41.90409851074219,13.605199813842772,41,4,27.0–51.0 Mg/ha,exact,14
IT-BCi,40.523799896240234,14.95740032196045,7,2,5–13.0 Mg/ha,exact,3
IT-Be2,46.00310134887695,13.025699615478516,1,1,0–5 Mg/ha,exact,1
IT-Bon,39.47779846191406,16.534700393676758,90,5,51.0–94.0 Mg/ha,exact,21
IT-Cas,45.06284713745117,8.668539047241211,9,2,5–13.0 Mg/ha,exact,4
IT-Col,41.84939956665039,13.58810043334961,100,6,94.0–171.0 Mg/ha,exact,21
IT-Cpz,41.7052001953125,12.376099586486816,39,4,27.0–51.0 Mg/ha,exact,14
IT-Lav,45.955299377441406,11.281200408935549,147,6,94.0–171.0 Mg/ha,exact,25
IT-Lec,43.30459976196289,11.270600318908691,49,4,27.0–51.0 Mg/ha,exact,16
IT-LMa,45.581298828125,7.154630184173584,14,3,13.0–27.0 Mg/ha,exact,7
IT-Mal,46.11669921875,11.702799797058104,149,6,94.0–171.0 Mg/ha,exact,25
IT-MBo,46.01559829711914,11.04669952392578,39,4,27.0–51.0 Mg/ha,exact,14
IT-Noe,40.60599899291992,8.151000022888184,39,4,27.0–51.0 Mg/ha,exact,14
IT-Non,44.68980026245117,11.088700294494627,4,1,0–5 Mg/ha,exact,1
IT-Pia,42.58390045166016,10.078399658203123,13,3,13.0–27.0 Mg/ha,exact,7
IT-PT1,45.20090103149414,9.061039924621582,22,3,13.0–27.0 Mg/ha,exact,10
IT-Ren,46.587799072265625,11.434700012207031,120,6,94.0–171.0 Mg/ha,exact,23
IT-Ro1,42.40810012817383,11.93000030517578,30,4,27.0–51.0 Mg/ha,exact,12
IT-Ro2,42.39030075073242,11.920900344848633,45,4,27.0–51.0 Mg/ha,exact,15
IT-SRo,43.72785949707031,10.28444004058838,42,4,27.0–51.0 Mg/ha,exact,15
IT-Vig,45.31666564941406,8.850000381469727,1,1,0–5 Mg/ha,exact,1
JP-Mas,36.05397033691406,140.02691650390625,14,3,13.0–27.0 Mg/ha,exact,7
JP-Tak,36.14619827270508,137.42300415039062,174,7,>171.0 Mg/ha,exact,26
JP-Tef,45.056339263916016,142.106201171875,91,5,51.0–94.0 Mg/ha,exact,21
JP-Tom,42.739498138427734,141.514892578125,48,4,27.0–51.0 Mg/ha,exact,16
KR-Hnm,34.54999923706055,126.56999969482422,14,3,13.0–27.0 Mg/ha,exact,7
KR-Kw1,37.74860000610352,127.16300201416016,115,6,94.0–171.0 Mg/ha,exact,23
NL-Ca1,51.97100067138672,4.927000045776367,1,1,0–5 Mg/ha,exact,1
NL-Haa,52.00310134887695,4.805500030517578,4,1,0–5 Mg/ha,exact,1
NL-Hor,52.028900146484375,5.067500114440918,20,3,13.0–27.0 Mg/ha,exact,9
NL-Lan,51.9536018371582,4.902900218963623,2,1,0–5 Mg/ha,exact,1
NL-Loo,52.16790008544922,5.743959903717041,150,6,94.0–171.0 Mg/ha,exact,25
NL-Lut,53.39889907836914,6.355999946594238,1,1,0–5 Mg/ha,exact,1
NL-Mol,51.650001525878906,4.638999938964844,3,1,0–5 Mg/ha,exact,1
PL-wet,52.76219940185547,16.30940055847168,106,6,94.0–171.0 Mg/ha,exact,22
PT-Esp,38.639400482177734,-8.601799964904785,18,3,13.0–27.0 Mg/ha,exact,9
PT-Mi1,38.54069900512695,-8.000399589538574,5,2,5–13.0 Mg/ha,exact,2
PT-Mi2,38.47650146484375,-8.024550437927246,2,1,0–5 Mg/ha,exact,1
RU-Che,68.61470031738281,161.33900451660156,7,2,5–13.0 Mg/ha,exact,3
RU-Cok,70.61669921875,147.88299560546875,0,1,0–5 Mg/ha,exact,1
RU-Fyo,56.461669921875,32.92388916015625,198,7,>171.0 Mg/ha,exact,27
RU-Ha1,54.72529983520508,90.002197265625,0,1,0–5 Mg/ha,exact,1
RU-Ha2,54.773101806640625,89.95670318603516,0,1,0–5 Mg/ha,exact,1
RU-Ha3,54.704551696777344,89.077850341796875,136,6,94.0–171.0 Mg/ha,exact,24
RU-Zot,60.80080032348633,89.350799560546875,107,6,94.0–171.0 Mg/ha,exact,22
SE-Abi,68.36238861083984,18.794750213623047,8,2,5–13.0 Mg/ha,exact,4
SE-Deg,64.18329620361328,19.549999237060547,44,4,27.0–51.0 Mg/ha,exact,15
SE-Faj,56.265499114990234,13.553500175476074,57,5,51.0–94.0 Mg/ha,exact,17
SE-Fla,64.11280059814453,19.456899642944336,71,5,51.0–94.0 Mg/ha,exact,19
SE-Nor,60.08649826049805,17.479503631591797,94,6,94.0–171.0 Mg/ha,exact,21
SE-Sk1,60.125,17.918100357055664,98,6,94.0–171.0 Mg/ha,exact,21
SE-Sk2,60.129669189453125,17.840059280395508,122,6,94.0–171.0 Mg/ha,exact,23
SE-St1,68.36669921875,19.049694061279297,6,2,5–13.0 Mg/ha,exact,2
SK-Tat,49.12080001831055,20.16349983215332,60,5,51.0–94.0 Mg/ha,exact,17
TW-Tar,24.031200408935547,120.68800354003906,47,4,27.0–51.0 Mg/ha,exact,15
