site_id,location_lat,location_long,trendy_nee_iav_value,trendy_nee_iav_method,trendy_nee_iav_bin,trendy_nee_iav_bin_label,trendy_nee_iav_bin_30
CH-Oe1,47.28559875488281,7.732140064239502,50.23239517211914,exact,5,42.1–54.4 gC m-2 yr-1,19
CH-Oe2,47.28630065917969,7.734330177307129,50.23239517211914,exact,5,42.1–54.4 gC m-2 yr-1,19
CN-Anh,33,117,54.238094329833984,exact,5,42.1–54.4 gC m-2 yr-1,21
CN-Bed,39.53060150146485,116.2519989013672,39.77985382080078,exact,4,31.9–42.1 gC m-2 yr-1,15
CN-Cha,42.40250015258789,128.0959930419922,43.349098205566406,exact,5,42.1–54.4 gC m-2 yr-1,16
CN-Do1,31.516700744628903,121.96099853515624,45.11442565917969,exact,5,42.1–54.4 gC m-2 yr-1,17
CN-Do2,31.584699630737305,121.90299987792967,45.11442565917969,exact,5,42.1–54.4 gC m-2 yr-1,17
CN-Do3,31.51689910888672,121.97200012207033,45.11442565917969,exact,5,42.1–54.4 gC m-2 yr-1,17
CN-Du1,42.04560089111328,116.6709976196289,33.35918045043945,exact,4,31.9–42.1 gC m-2 yr-1,12
CN-Du2,42.04669952392578,116.28399658203124,29.0601863861084,exact,3,21.3–31.9 gC m-2 yr-1,10
CN-HaM,37.369998931884766,101.18000030517578,16.337894439697266,exact,2,5.0–21.3 gC m-2 yr-1,4
CN-Hny,29.309999465942383,112.51000213623048,47.58183288574219,exact,5,42.1–54.4 gC m-2 yr-1,18
CN-Ku1,40.538299560546875,108.69400024414062,20.13129997253418,exact,2,5.0–21.3 gC m-2 yr-1,6
CN-Ku2,40.38079833984375,108.54900360107422,36.17081451416016,exact,4,31.9–42.1 gC m-2 yr-1,13
CN-Xfs,44.1341667175293,116.32861328125,25.48955535888672,exact,3,21.3–31.9 gC m-2 yr-1,8
CN-Xi1,43.54583358764648,116.6777801513672,28.189359664916992,exact,3,21.3–31.9 gC m-2 yr-1,9
CN-Xi2,43.55440139770508,116.6709976196289,28.189359664916992,exact,3,21.3–31.9 gC m-2 yr-1,9
CZ-BK1,49.50260162353515,18.538400650024418,41.18720245361328,exact,4,31.9–42.1 gC m-2 yr-1,16
CZ-BK2,49.49530029296875,18.544700622558594,51.19175338745117,exact,5,42.1–54.4 gC m-2 yr-1,20
