site_id,location_lat,location_long,trendy_nee_iav_value,trendy_nee_iav_method,trendy_nee_iav_bin,trendy_nee_iav_bin_label,trendy_nee_iav_bin_30
US-Wi2,46.6869010925293,-91.152801513671875,43.861515045166016,exact,5,42.1–54.4 gC m-2 yr-1,17
US-Wi4,46.73929977416992,-91.16629791259766,43.861515045166016,exact,5,42.1–54.4 gC m-2 yr-1,17
US-Wi5,46.653099060058594,-91.08580017089844,43.861515045166016,exact,5,42.1–54.4 gC m-2 yr-1,17
US-Wi6,46.624900817871094,-91.29820251464844,43.861515045166016,exact,5,42.1–54.4 gC m-2 yr-1,17
US-Wi7,46.64910125732422,-91.06929779052734,43.861515045166016,exact,5,42.1–54.4 gC m-2 yr-1,17
US-Wi8,46.7223014831543,-91.25240325927734,43.861515045166016,exact,5,42.1–54.4 gC m-2 yr-1,17
US-Wi9,46.61880111694336,-91.0813980102539,43.861515045166016,exact,5,42.1–54.4 gC m-2 yr-1,17
US-Wkg,31.736499786376953,-109.94200134277344,25.938570022583008,exact,3,21.3–31.9 gC m-2 yr-1,8
US-Wrc,45.820499420166016,-121.9520034790039,43.27487564086914,exact,5,42.1–54.4 gC m-2 yr-1,16
VU-Coc,-15.442700386047363,167.19200134277344,207.1141815185547,exact,7,>70.9 gC m-2 yr-1,30
ZA-Kru,-25.019699096679688,31.49690055847168,93.5491714477539,exact,7,>70.9 gC m-2 yr-1,29
