site_id,location_lat,location_long,trendy_et_iav_value,trendy_et_iav_method,trendy_et_iav_bin,trendy_et_iav_bin_label,trendy_et_iav_bin_30
CL-SDP,-41.879,-73.666,35.419158935546875,exact,5,32.0–41.8 mm yr-1,18
CR-Fsc,10.4189,-85.4732,54.94355392456055,exact,6,41.8–58.1 mm yr-1,25
MX-Aog,26.9968,-108.7892,82.96990966796875,exact,7,>58.1 mm yr-1,29
MX-PMm,20.8462,-86.8992,47.95329284667969,exact,6,41.8–58.1 mm yr-1,23
MX-Tes,27.8446,-109.2977,90.6863784790039,exact,7,>58.1 mm yr-1,29
PE-QFR,-3.8344,-73.319,46.07435989379883,exact,6,41.8–58.1 mm yr-1,22
PR-xGU,17.9696,-66.8687,100.69772338867188,exact,7,>58.1 mm yr-1,30
PR-xLA,18.0212,-67.0769,48.41402053833008,exact,6,41.8–58.1 mm yr-1,23
US-A03,70.4953,-149.8823,17.515575408935547,exact,3,17.5–24.2 mm yr-1,6
US-A10,71.3242,-156.6149,15.54870891571045,exact,2,5.0–17.5 mm yr-1,5
US-A32,36.8193,-97.8198,76.33707427978516,exact,7,>58.1 mm yr-1,28
US-A37,36.3106,-97.928,76.12001037597656,exact,7,>58.1 mm yr-1,28
US-A39,36.3776,-96.069,45.39794158935547,exact,6,41.8–58.1 mm yr-1,22
US-A74,36.8085,-97.5489,76.33707427978516,exact,7,>58.1 mm yr-1,28
US-ABa,27.1301,-81.2011,48.567813873291016,exact,6,41.8–58.1 mm yr-1,23
US-ABb,27.1346,-81.2031,48.567813873291016,exact,6,41.8–58.1 mm yr-1,23
US-ABc,27.1633,-81.1873,48.567813873291016,exact,6,41.8–58.1 mm yr-1,23
US-ABd,27.1699,-81.2152,48.567813873291016,exact,6,41.8–58.1 mm yr-1,23
US-ABe,27.1656,-81.2161,48.567813873291016,exact,6,41.8–58.1 mm yr-1,23
US-ADR,36.7653,-116.6933,28.521682739257812,exact,4,24.2–32.0 mm yr-1,14
US-Akn,33.3825,-81.5653,46.31608200073242,exact,6,41.8–58.1 mm yr-1,23
US-ALQ,46.0308,-89.6067,29.834697723388672,exact,4,24.2–32.0 mm yr-1,15
