site_id,location_lat,location_long,trendy_et_median_value,trendy_et_median_method,trendy_et_median_bin,trendy_et_median_bin_label,trendy_et_median_bin_30
CN-Cha,42.40250015258789,128.0959930419922,432.7327575683594,exact,5,394.0–634.7 mm yr-1,17
CN-Do1,31.516700744628903,121.96099853515624,728.5726318359375,exact,6,634.7–968.6 mm yr-1,22
CN-Do2,31.584699630737305,121.90299987792967,728.5726318359375,exact,6,634.7–968.6 mm yr-1,22
CN-Do3,31.51689910888672,121.97200012207033,728.5726318359375,exact,6,634.7–968.6 mm yr-1,22
CN-Du1,42.04560089111328,116.6709976196289,386.0130004882813,exact,4,263.9–394.0 mm yr-1,16
CN-Du2,42.04669952392578,116.28399658203124,381.5594787597656,exact,4,263.9–394.0 mm yr-1,16
CN-HaM,37.369998931884766,101.18000030517578,374.5628051757813,exact,4,263.9–394.0 mm yr-1,15
CN-Hny,29.309999465942383,112.51000213623048,717.337646484375,exact,6,634.7–968.6 mm yr-1,22
CN-Ku1,40.538299560546875,108.69400024414062,225.12632751464844,exact,3,143.4–263.9 mm yr-1,10
CN-Ku2,40.38079833984375,108.54900360107422,248.7186737060547,exact,3,143.4–263.9 mm yr-1,11
CN-Xfs,44.1341667175293,116.32861328125,268.86468505859375,exact,4,263.9–394.0 mm yr-1,11
CN-Xi1,43.54583358764648,116.6777801513672,315.6322326660156,exact,4,263.9–394.0 mm yr-1,13
CN-Xi2,43.55440139770508,116.6709976196289,315.6322326660156,exact,4,263.9–394.0 mm yr-1,13
CZ-BK1,49.50260162353515,18.538400650024418,519.78582763671875,exact,5,394.0–634.7 mm yr-1,19
CZ-BK2,49.49530029296875,18.544700622558594,507.7304382324219,exact,5,394.0–634.7 mm yr-1,19
CZ-wet,49.025001525878906,14.772000312805176,502.30322265625,exact,5,394.0–634.7 mm yr-1,19
DE-Bay,50.14189910888672,11.866900444030762,471.3293762207031,exact,5,394.0–634.7 mm yr-1,18
DE-Geb,51.100101470947266,10.914299964904783,450.3780517578125,exact,5,394.0–634.7 mm yr-1,18
DE-Gri,50.949501037597656,13.512499809265137,450.4152526855469,exact,5,394.0–634.7 mm yr-1,18
DE-Hai,51.07929992675781,10.45199966430664,465.752197265625,exact,5,394.0–634.7 mm yr-1,18
DE-Har,47.93439865112305,7.60099983215332,523.31854248046875,exact,5,394.0–634.7 mm yr-1,19
DE-Kli,50.89289855957031,13.522500038146973,450.4152526855469,exact,5,394.0–634.7 mm yr-1,18
DE-Meh,51.275299072265625,10.655500411987305,450.3780517578125,exact,5,394.0–634.7 mm yr-1,18
DE-Tha,50.963600158691406,13.566900253295898,450.4152526855469,exact,5,394.0–634.7 mm yr-1,18
DE-Wet,50.45349884033203,11.457500457763672,467.6195983886719,exact,5,394.0–634.7 mm yr-1,18
DK-Fou,56.48419952392578,9.587220191955566,379.8316955566406,exact,4,263.9–394.0 mm yr-1,16
DK-Lva,55.68330001831055,12.08329963684082,389.3805541992187,exact,4,263.9–394.0 mm yr-1,16
DK-Ris,55.53030014038086,12.097200393676758,389.3805541992187,exact,4,263.9–394.0 mm yr-1,16
DK-Sor,55.48690032958984,11.64579963684082,372.0376892089844,exact,4,263.9–394.0 mm yr-1,15
ES-ES1,39.34600067138672,-0.31880998611450195,384.2428588867187,exact,4,263.9–394.0 mm yr-1,16
ES-ES2,39.2755012512207,-0.3152199983596802,384.2428588867187,exact,4,263.9–394.0 mm yr-1,16
ES-LJu,36.928199768066406,-2.750469923019409,313.0164794921875,exact,4,263.9–394.0 mm yr-1,13
ES-LMa,39.94150161743164,-5.773359775543213,360.2332458496094,exact,4,263.9–394.0 mm yr-1,15
ES-VDA,42.152198791503906,1.4485000371932983,604.847900390625,exact,5,394.0–634.7 mm yr-1,20
FI-Hyy,61.8474006652832,24.2947998046875,298.6543273925781,exact,4,263.9–394.0 mm yr-1,13
FI-Kaa,69.14070129394531,27.295000076293945,217.11767578125,exact,3,143.4–263.9 mm yr-1,9
FI-Sii,61.83300018310547,24.19300079345703,298.6543273925781,exact,4,263.9–394.0 mm yr-1,13
FI-Sod,67.36190032958984,26.637800216674805,257.22845458984375,exact,3,143.4–263.9 mm yr-1,11
FR-Aur,43.54940032958984,1.1077799797058103,555.36285400390625,exact,5,394.0–634.7 mm yr-1,20
FR-Fon,48.47629928588867,2.7801499366760254,489.0007019042969,exact,5,394.0–634.7 mm yr-1,18
FR-Gri,48.84400177001953,1.952430009841919,452.6058349609375,exact,5,394.0–634.7 mm yr-1,18
FR-Hes,48.674198150634766,7.064620018005371,500.23486328125,exact,5,394.0–634.7 mm yr-1,19
FR-Lam,43.49330139160156,1.237220048904419,609.148193359375,exact,5,394.0–634.7 mm yr-1,20
FR-LBr,44.717098236083984,-0.7692999839782715,605.43359375,exact,5,394.0–634.7 mm yr-1,20
FR-Lq1,45.644100189208984,2.737030029296875,561.31829833984375,exact,5,394.0–634.7 mm yr-1,20
FR-Lq2,45.639198303222656,2.737030029296875,561.31829833984375,exact,5,394.0–634.7 mm yr-1,20
FR-Pue,43.74140167236328,3.595829963684082,545.8695068359375,exact,5,394.0–634.7 mm yr-1,20
GF-Guy,5.277699947357178,-52.92879867553711,1394.0189208984375,exact,7,>968.6 mm yr-1,30
HU-Bug,46.69110107421875,19.601299285888672,446.2122497558594,exact,5,394.0–634.7 mm yr-1,18
HU-Mat,47.846900939941406,19.72599983215332,492.92626953125,exact,5,394.0–634.7 mm yr-1,19
ID-Pag,2.3450000286102295,114.03600311279295,1428.53125,exact,7,>968.6 mm yr-1,30
IE-Ca1,52.85879898071289,-6.918139934539795,432.9938659667969,exact,5,394.0–634.7 mm yr-1,17
IE-Dri,51.986698150634766,-8.751810073852539,452.03704833984375,exact,5,394.0–634.7 mm yr-1,18
IL-Yat,31.344999313354492,35.05149841308594,203.10400390625,exact,3,143.4–263.9 mm yr-1,9
IS-Gun,63.83330154418945,-20.216699600219727,309.1252746582031,exact,4,263.9–394.0 mm yr-1,13
IT-Amp,41.90409851074219,13.605199813842772,588.6087646484375,exact,5,394.0–634.7 mm yr-1,20
IT-BCi,40.523799896240234,14.95740032196045,497.2337646484375,exact,5,394.0–634.7 mm yr-1,19
IT-Be2,46.00310134887695,13.025699615478516,630.03125,exact,5,394.0–634.7 mm yr-1,21
IT-Bon,39.47779846191406,16.534700393676758,576.97894287109375,exact,5,394.0–634.7 mm yr-1,20
IT-Cas,45.06284713745117,8.668539047241211,586.39447021484375,exact,5,394.0–634.7 mm yr-1,20
IT-Col,41.84939956665039,13.58810043334961,588.6087646484375,exact,5,394.0–634.7 mm yr-1,20
IT-Cpz,41.7052001953125,12.376099586486816,459.5895385742187,exact,5,394.0–634.7 mm yr-1,18
IT-Lav,45.955299377441406,11.281200408935549,577.6485595703125,exact,5,394.0–634.7 mm yr-1,20
IT-Lec,43.30459976196289,11.270600318908691,522.6099853515625,exact,5,394.0–634.7 mm yr-1,19
IT-LMa,45.581298828125,7.154630184173584,454.75146484375,exact,5,394.0–634.7 mm yr-1,18
IT-Mal,46.11669921875,11.702799797058104,556.63592529296875,exact,5,394.0–634.7 mm yr-1,20
IT-MBo,46.01559829711914,11.04669952392578,556.2291259765625,exact,5,394.0–634.7 mm yr-1,20
IT-Noe,40.60599899291992,8.151000022888184,452.94146728515625,exact,5,394.0–634.7 mm yr-1,18
IT-Non,44.68980026245117,11.088700294494627,561.2918701171875,exact,5,394.0–634.7 mm yr-1,20
IT-Pia,42.58390045166016,10.078399658203123,476.4872131347656,exact,5,394.0–634.7 mm yr-1,18
IT-PT1,45.20090103149414,9.061039924621582,583.0517578125,exact,5,394.0–634.7 mm yr-1,20
IT-Ren,46.587799072265625,11.434700012207031,513.18865966796875,exact,5,394.0–634.7 mm yr-1,19
IT-Ro1,42.40810012817383,11.93000030517578,483.71343994140625,exact,5,394.0–634.7 mm yr-1,18
IT-Ro2,42.39030075073242,11.920900344848633,483.71343994140625,exact,5,394.0–634.7 mm yr-1,18
IT-SRo,43.72785949707031,10.28444004058838,552.29400634765625,exact,5,394.0–634.7 mm yr-1,20
IT-Vig,45.31666564941406,8.850000381469727,586.39447021484375,exact,5,394.0–634.7 mm yr-1,20
JP-Mas,36.05397033691406,140.02691650390625,694.83892822265625,exact,6,634.7–968.6 mm yr-1,22
JP-Tak,36.14619827270508,137.42300415039062,673.09295654296875,exact,6,634.7–968.6 mm yr-1,21
JP-Tef,45.056339263916016,142.106201171875,393.8785705566406,exact,4,263.9–394.0 mm yr-1,16
JP-Tom,42.739498138427734,141.514892578125,518.25640869140625,exact,5,394.0–634.7 mm yr-1,19
KR-Hnm,34.54999923706055,126.56999969482422,762.99853515625,exact,6,634.7–968.6 mm yr-1,23
KR-Kw1,37.74860000610352,127.16300201416016,634.80120849609375,exact,6,634.7–968.6 mm yr-1,21
NL-Ca1,51.97100067138672,4.927000045776367,438.078369140625,exact,5,394.0–634.7 mm yr-1,17
NL-Haa,52.00310134887695,4.805500030517578,416.1661376953125,exact,5,394.0–634.7 mm yr-1,17
NL-Hor,52.028900146484375,5.067500114440918,419.5969543457031,exact,5,394.0–634.7 mm yr-1,17
NL-Lan,51.9536018371582,4.902900218963623,438.078369140625,exact,5,394.0–634.7 mm yr-1,17
NL-Loo,52.16790008544922,5.743959903717041,415.8315124511719,exact,5,394.0–634.7 mm yr-1,17
NL-Lut,53.39889907836914,6.355999946594238,415.8161315917969,exact,5,394.0–634.7 mm yr-1,17
NL-Mol,51.650001525878906,4.638999938964844,438.078369140625,exact,5,394.0–634.7 mm yr-1,17
PL-wet,52.76219940185547,16.30940055847168,428.2453918457031,exact,5,394.0–634.7 mm yr-1,17
PT-Esp,38.639400482177734,-8.601799964904785,424.2265319824219,exact,5,394.0–634.7 mm yr-1,17
PT-Mi1,38.54069900512695,-8.000399589538574,425.22064208984375,exact,5,394.0–634.7 mm yr-1,17
PT-Mi2,38.47650146484375,-8.024550437927246,396.3469543457031,exact,5,394.0–634.7 mm yr-1,16
RU-Che,68.61470031738281,161.33900451660156,117.12652587890624,exact,2,5.0–143.4 mm yr-1,5
RU-Cok,70.61669921875,147.88299560546875,124.01998901367188,exact,2,5.0–143.4 mm yr-1,6
RU-Fyo,56.461669921875,32.92388916015625,394.759765625,exact,5,394.0–634.7 mm yr-1,16
RU-Ha1,54.72529983520508,90.002197265625,363.1251525878906,exact,4,263.9–394.0 mm yr-1,15
RU-Ha2,54.773101806640625,89.95670318603516,373.1824035644531,exact,4,263.9–394.0 mm yr-1,15
RU-Ha3,54.704551696777344,89.077850341796875,371.6565246582031,exact,4,263.9–394.0 mm yr-1,15
RU-Zot,60.80080032348633,89.350799560546875,264.99200439453125,exact,4,263.9–394.0 mm yr-1,11
SE-Abi,68.36238861083984,18.794750213623047,176.2562255859375,exact,3,143.4–263.9 mm yr-1,8
SE-Deg,64.18329620361328,19.549999237060547,282.06982421875,exact,4,263.9–394.0 mm yr-1,12
SE-Faj,56.265499114990234,13.553500175476074,446.7899475097656,exact,5,394.0–634.7 mm yr-1,18
SE-Fla,64.11280059814453,19.456899642944336,283.73486328125,exact,4,263.9–394.0 mm yr-1,12
SE-Nor,60.08649826049805,17.479503631591797,333.17401123046875,exact,4,263.9–394.0 mm yr-1,14
SE-Sk1,60.125,17.918100357055664,345.9754638671875,exact,4,263.9–394.0 mm yr-1,14
SE-Sk2,60.129669189453125,17.840059280395508,345.9754638671875,exact,4,263.9–394.0 mm yr-1,14
SE-St1,68.36669921875,19.049694061279297,178.38104248046875,exact,3,143.4–263.9 mm yr-1,8
SK-Tat,49.12080001831055,20.16349983215332,502.59722900390625,exact,5,394.0–634.7 mm yr-1,19
TW-Tar,24.031200408935547,120.68800354003906,993.836669921875,exact,7,>968.6 mm yr-1,26
UK-AMo,55.79169845581055,-3.2388899326324463,355.31463623046875,exact,4,263.9–394.0 mm yr-1,15
UK-EBu,55.86600112915039,-3.205780029296875,355.31463623046875,exact,4,263.9–394.0 mm yr-1,15
