site_id,igbp_class,location_lat,location_long,n_years_nee,n_years_gpp,n_years_ter,n_years_le,n_years_h,nep_median,gpp_median,ter_median,et_median,h_median,nep_source,gpp_source,ter_source,gpp_partition,ter_partition,vut_frac_nee,network
CA-NS2,ENF,55.9058,-98.5247,2,2,2,3,3,173.00400000000002,691.0645,466.3795,221.92978804897962,37.579,VUT,VUT,VUT,NT,NT,1,fluxnet2015
CA-NS3,ENF,55.9117,-98.3822,3,3,3,3,3,69.7693,587.764,563.131,277.002308277551,36.036,VUT,VUT,VUT,NT,NT,1,fluxnet2015
CA-NS4,ENF,55.9144,-98.3806,0,0,0,1,2,NA,NA,NA,136.34686491428573,27.740099999999998,NA,NA,NA,NA,NA,NA,fluxnet2015
CA-NS5,ENF,55.8631,-98.485,1,1,1,2,3,82.4726,689.628,611.192,206.52066279183674,28.1579,VUT,VUT,VUT,NT,NT,1,fluxnet2015
CA-NS6,OSH,55.9167,-98.9644,3,3,3,3,3,7.84429,415.646,405.235,209.9559329632653,25.0639,VUT,VUT,VUT,NT,NT,1,fluxnet2015
CA-NS7,OSH,56.6358,-99.9483,2,2,2,2,2,-94.6897,387.414,456.243,240.4521671510204,32.0802,VUT,VUT,VUT,NT,NT,1,fluxnet2015
CA-Oas,DBF,53.6289,-106.1978,14,14,14,14,14,106.575,1116.41,1000.8499999999999,369.5214630857143,22.897750000000002,VUT,VUT,VUT,NT,NT,1,fluxnet2015
CA-Obs,ENF,53.9872,-105.1178,11,11,11,11,11,38.1077,845.91,795.637,306.2465429877551,34.8417,VUT,VUT,VUT,NT,NT,1,fluxnet2015
CA-Qfo,ENF,49.6925,-74.3421,7,7,7,7,7,-8.31646,654.573,671.275,281.17177567346937,34.265,VUT,VUT,VUT,NT,NT,1,fluxnet2015
CA-SF1,ENF,54.485,-105.8176,0,0,0,3,3,NA,NA,NA,461.12093926530616,28.8755,NA,NA,NA,NA,NA,NA,fluxnet2015
CA-SF2,ENF,54.2539,-105.8775,0,0,0,3,3,NA,NA,NA,368.1960438857143,32.6915,NA,NA,NA,NA,NA,NA,fluxnet2015
CA-SF3,OSH,54.0916,-106.0053,0,0,0,3,3,NA,NA,NA,306.05462125714286,30.2571,NA,NA,NA,NA,NA,NA,fluxnet2015
CA-TP1,ENF,42.6609,-80.5595,5,5,5,5,6,183.085,1331.03,1095.45,356.9344889142857,30.69075,VUT,VUT,VUT,NT,NT,1,fluxnet2015
CA-TP2,ENF,42.7744,-80.4588,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fluxnet2015
CA-TP3,ENF,42.7068,-80.3483,7,7,7,7,7,423.584,1713.55,1263.47,484.31384316734693,33.7124,VUT,VUT,VUT,NT,NT,1,fluxnet2015
CA-TP4,ENF,42.7102,-80.3574,12,12,12,12,12,85.0445,1502.545,1389.8049999999998,455.73940241632647,31.86315,VUT,VUT,VUT,NT,NT,1,fluxnet2015
