site_id,igbp_class,location_lat,location_long,n_years_nee,n_years_gpp,n_years_ter,n_years_le,n_years_h,nep_median,gpp_median,ter_median,et_median,h_median,nep_source,gpp_source,ter_source,gpp_partition,ter_partition,vut_frac_nee,network
US-Cop,GRA,38.09,-109.39,2,2,2,2,3,22.6413,79.16145,56.057950000000005,142.25071224489795,44.5008,BOTH,BOTH,BOTH,NT,NT,0.5,fluxnet2015
US-CRT,CRO,41.6285,-83.3471,3,3,3,3,3,102.116,897.707,881.513,722.806862987755,15.8008,VUT,VUT,VUT,NT,NT,1,fluxnet2015
US-GBT,ENF,41.3658,-106.2397,1,1,1,4,6,580.356,733.732,187.392,578.6807276571428,34.6178,VUT,VUT,VUT,NT,NT,1,fluxnet2015
US-GLE,ENF,41.3665,-106.2399,9,9,9,10,10,-98.4597,619.937,657.616,598.2792853224489,32.883700000000005,VUT,VUT,VUT,NT,NT,1,fluxnet2015
US-Goo,GRA,34.2547,-89.8735,2,2,2,3,3,163.34765,1531.37,1367.92,651.6167815836734,26.1167,VUT,VUT,VUT,NT,NT,1,fluxnet2015
US-Ha1,DBF,42.5378,-72.1715,16,16,16,11,21,172.9325,1422.66,1186.455,424.02594651428575,29.3571,VUT,VUT,VUT,NT,NT,1,fluxnet2015
US-IB2,GRA,41.8406,-88.241,7,7,7,7,7,283.993,1300.58,1052.05,630.7050413387755,15.551,VUT,VUT,VUT,NT,NT,1,fluxnet2015
US-Ivo,WET,68.4865,-155.7503,1,1,1,3,3,-0.728395,269.654,269.089,179.6541966367347,0.233065,VUT,VUT,VUT,NT,NT,1,fluxnet2015
US-KS1,ENF,28.4583,-80.6709,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fluxnet2015
US-KS2,CSH,28.6086,-80.6715,3,3,3,4,4,326.383,1805.02,1484.44,943.9071369795918,31.69495,VUT,VUT,VUT,NT,NT,1,fluxnet2015
US-Lin,CRO,36.3566,-119.0922,1,1,1,1,1,308.99,562.397,254.951,452.8425435428571,49.249,VUT,VUT,VUT,NT,NT,1,fluxnet2015
US-Los,WET,46.0827,-89.9792,7,7,7,9,9,44.6396,782.794,712.006,302.5729807346939,24.629,VUT,VUT,VUT,NT,NT,1,fluxnet2015
US-LWW,GRA,34.9604,-97.9789,2,2,2,2,2,-249.4536,390.27185,637.8645,434.19908630204077,41.56095,VUT,VUT,VUT,NT,NT,1,fluxnet2015
US-Me1,ENF,44.5794,-121.5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fluxnet2015
US-Me2,ENF,44.4526,-121.5589,8,8,8,11,12,643.5350000000001,1692.52,1045.815,525.8320521795918,44.09815,BOTH,BOTH,BOTH,NT,NT,0.875,fluxnet2015
US-Me3,ENF,44.3154,-121.6078,4,4,4,4,4,79.25965,799.3305,726.7795,357.2713179918368,39.5591,VUT,VUT,VUT,NT,NT,1,fluxnet2015
US-Me4,ENF,44.4992,-121.6224,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fluxnet2015
US-Me5,ENF,44.4372,-121.5668,2,2,2,2,2,140.66049999999998,815.1685,674.2695000000001,367.80447203265305,44.0408,VUT,VUT,VUT,NT,NT,1,fluxnet2015
US-Me6,ENF,44.3233,-121.6078,3,3,3,4,4,135.994,891.909,750.15,374.2422224326531,44.71545,VUT,VUT,VUT,NT,NT,1,fluxnet2015
US-MMS,DBF,39.3232,-86.4131,16,16,16,16,16,421.08849999999995,1725.815,1291.085,494.55653848163263,24.447899999999997,VUT,VUT,VUT,NT,NT,1,fluxnet2015
US-Myb,WET,38.0499,-121.765,3,3,3,4,4,250.497,1697.08,1770.56,1285.4659903346937,13.58765,VUT,VUT,VUT,NT,NT,1,fluxnet2015
US-Ne1,CRO,41.1651,-96.4766,11,11,11,11,11,316.138,1605.1,1313.25,675.1213972897959,18.664,VUT,VUT,VUT,NT,NT,1,fluxnet2015
US-Ne2,CRO,41.1649,-96.4701,10,10,10,11,11,387.31100000000004,1591.155,1118.9650000000001,613.2878222693878,22.0173,VUT,VUT,VUT,NT,NT,1,fluxnet2015
US-Ne3,CRO,41.1797,-96.4397,11,11,11,11,11,46.846,1101.74,938.858,587.118199444898,24.827,VUT,VUT,VUT,NT,NT,1,fluxnet2015
US-NR1,ENF,40.0329,-105.5464,15,15,15,16,16,176.451,843.86,668.493,612.2676745469387,41.57005,VUT,VUT,VUT,NT,NT,1,fluxnet2015
US-Oho,DBF,41.5545,-83.8438,8,8,8,9,9,842.6205,1801.455,936.7055,604.9810891102042,24.3238,VUT,VUT,VUT,NT,NT,1,fluxnet2015
US-ORv,WET,40.0201,-83.0183,1,1,1,1,1,200.185,887.643,625.39,598.2676927346939,13.7412,VUT,VUT,VUT,NT,NT,1,fluxnet2015
US-PFa,MF,45.9459,-90.2723,16,15,15,15,16,-6.6378,1017.47,1015.38,363.4778606693877,20.02265,VUT,VUT,VUT,NT,NT,1,fluxnet2015
US-Prr,ENF,65.1237,-147.4876,2,2,2,3,3,124.267,477.19,336.193,198.3723616653061,17.6807,VUT,VUT,VUT,NT,NT,1,fluxnet2015
US-SRC,OSH,31.9083,-110.8395,3,3,3,3,3,2.09275,112.083,122.197,241.7093188897959,58.9835,VUT,VUT,VUT,NT,NT,1,fluxnet2015
US-SRG,GRA,31.7894,-110.8277,6,6,6,6,6,-3.56025,381.5695,425.5405,380.9472463836735,46.1774,VUT,VUT,VUT,NT,NT,1,fluxnet2015
US-SRM,WSA,31.8214,-110.8661,11,11,11,11,11,-26.7855,279.181,309.715,322.8394002612245,62.4139,VUT,VUT,VUT,NT,NT,1,fluxnet2015
US-Sta,OSH,41.3966,-106.8024,2,2,2,2,1,362.83299999999997,436.567,74.17585,501.67631946122447,5.11827,VUT,VUT,VUT,NT,NT,1,fluxnet2015
US-Syv,MF,46.242,-89.3477,4,4,4,5,7,67.8756,1103.3600000000001,1077.085,328.64471059591835,20.4799,VUT,VUT,VUT,NT,NT,1,fluxnet2015
US-Ton,WSA,38.4309,-120.966,12,12,12,13,13,113.8025,889.554,771.1395,362.06871722448983,54.2098,VUT,VUT,VUT,NT,NT,1,fluxnet2015
US-Tw1,WET,38.1074,-121.6469,1,1,1,2,2,566.687,2014.21,1426.58,1039.567239036735,30.1351,VUT,VUT,VUT,NT,NT,1,fluxnet2015
US-Tw2,CRO,38.0969,-121.6365,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fluxnet2015
US-Tw3,CRO,38.1152,-121.6469,0,0,0,1,1,NA,NA,NA,896.9404117224489,11.1802,NA,NA,NA,NA,NA,NA,fluxnet2015
US-Tw4,WET,38.1027,-121.6413,1,1,1,1,1,-252.366,738.566,993.163,1101.2520425142857,7.00723,VUT,VUT,VUT,NT,NT,1,fluxnet2015
US-Twt,CRO,38.1087,-121.6531,5,5,5,5,5,-179.133,1380.87,1474.47,1054.4385970285716,7.29406,BOTH,BOTH,BOTH,NT,NT,0.8,fluxnet2015
US-UMB,DBF,45.5598,-84.7138,15,15,15,15,15,269.145,1305.8,1024.37,465.9215586612244,28.726,VUT,VUT,VUT,NT,NT,1,fluxnet2015
US-UMd,DBF,45.5625,-84.6975,6,6,6,7,7,323.10400000000004,1320.21,1013.1125,386.7815381877551,32.3677,VUT,VUT,VUT,NT,NT,1,fluxnet2015
US-Var,GRA,38.4133,-120.9508,14,14,14,14,14,-13.982800000000001,637.2965,698.0745,294.4330520326531,46.86695,VUT,VUT,VUT,NT,NT,1,fluxnet2015
US-WCr,DBF,45.8059,-90.0799,10,10,10,9,10,359.4155,1175.66,918.4214999999999,359.7257264326531,24.953899999999997,BOTH,BOTH,BOTH,NT,NT,0.9,fluxnet2015
US-Whs,OSH,31.7438,-110.0522,7,7,7,7,7,-40.9496,119.033,122.187,251.48702262857145,64.9923,VUT,VUT,VUT,NT,NT,1,fluxnet2015
US-Wi0,ENF,46.6188,-91.0814,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fluxnet2015
US-Wi1,DBF,46.7305,-91.2329,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fluxnet2015
US-Wi2,ENF,46.6869,-91.1528,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fluxnet2015
US-Wi3,DBF,46.6347,-91.0987,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fluxnet2015
US-Wi4,ENF,46.7393,-91.1663,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fluxnet2015
US-Wi5,ENF,46.6531,-91.0858,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fluxnet2015
US-Wi6,OSH,46.6249,-91.2982,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fluxnet2015
US-Wi7,OSH,46.6491,-91.0693,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fluxnet2015
US-Wi8,DBF,46.7223,-91.2524,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fluxnet2015
US-Wi9,ENF,46.7385,-91.0746,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fluxnet2015
US-Wkg,GRA,31.7365,-109.9419,10,10,10,10,10,8.465055,226.651,241.6455,270.43768344489797,57.2271,VUT,VUT,VUT,NT,NT,1,fluxnet2015
US-WPT,WET,41.4646,-82.9962,3,3,3,3,3,-182.792,748.778,858.261,702.5365792653062,7.9618,VUT,VUT,VUT,NT,NT,1,fluxnet2015
ZA-Kru,SAV,-25.0197,31.4969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fluxnet2015
ZM-Mon,DBF,-15.4391,23.2525,1,1,1,1,1,-143.112,1586.21,1732.7,707.8047663673469,49.4345,VUT,VUT,VUT,NT,NT,1,fluxnet2015
