site_id,location_lat,location_long,trendy_et_iav_value,trendy_et_iav_method,trendy_et_iav_bin,trendy_et_iav_bin_label,trendy_et_iav_bin_30,trendy_et_iav_bin_12,trendy_et_iav_bin_18,trendy_et_iav_bin_20
CA-WP2,55.537498474121094,-112.33399963378906,22.39095115661621,exact,3,17.5–24.2 mm yr-1,10,5,6,7
CA-WP3,54.470001220703125,-113.31999969482422,25.34885597229004,exact,4,24.2–32.0 mm yr-1,12,5,8,8
CG-Tch,-4.289169788360596,11.656399726867676,33.48588180541992,exact,5,32.0–41.8 mm yr-1,17,7,10,11
CH-Oe1,47.28559875488281,7.732140064239502,22.328794479370117,exact,3,17.5–24.2 mm yr-1,10,5,6,7
CH-Oe2,47.28630065917969,7.734330177307129,22.328794479370117,exact,3,17.5–24.2 mm yr-1,10,5,6,7
CN-Anh,33,117,37.75858688354492,exact,5,32.0–41.8 mm yr-1,19,8,12,13
CN-Bed,39.53060150146485,116.2519989013672,39.17381286621094,exact,5,32.0–41.8 mm yr-1,20,8,12,13
CN-Cha,42.40250015258789,128.0959930419922,17.74224853515625,exact,3,17.5–24.2 mm yr-1,6,3,4,5
CN-Do1,31.516700744628903,121.96099853515624,29.63421630859375,exact,4,24.2–32.0 mm yr-1,15,7,9,10
CN-Do2,31.584699630737305,121.90299987792967,29.63421630859375,exact,4,24.2–32.0 mm yr-1,15,7,9,10
CN-Do3,31.51689910888672,121.97200012207033,29.63421630859375,exact,4,24.2–32.0 mm yr-1,15,7,9,10
CN-Du1,42.04560089111328,116.6709976196289,30.775869369506836,exact,4,24.2–32.0 mm yr-1,15,7,10,11
CN-Du2,42.04669952392578,116.28399658203124,32.3132209777832,exact,5,32.0–41.8 mm yr-1,16,7,10,11
CN-HaM,37.369998931884766,101.18000030517578,24.641321182250977,exact,4,24.2–32.0 mm yr-1,11,5,7,8
CN-Hny,29.309999465942383,112.51000213623048,28.696199417114254,exact,4,24.2–32.0 mm yr-1,14,6,9,10
CN-Ku1,40.538299560546875,108.69400024414062,39.0606575012207,exact,5,32.0–41.8 mm yr-1,20,8,12,13
