site_id,location_lat,location_long,trendy_et_iav_value,trendy_et_iav_method,trendy_et_iav_bin,trendy_et_iav_bin_label,trendy_et_iav_bin_30,trendy_et_iav_bin_12,trendy_et_iav_bin_18,trendy_et_iav_bin_20
US-SP3,29.75480079650879,-82.163299560546875,46.517574310302734,exact,6,41.8–58.1 mm yr-1,23,9,14,15
US-SP4,29.802799224853516,-82.2031021118164,46.517574310302734,exact,6,41.8–58.1 mm yr-1,23,9,14,15
US-SRM,31.821399688720703,-110.86599731445312,63.05389022827149,exact,7,>58.1 mm yr-1,27,11,16,18
US-Syv,46.242000579833984,-89.34770202636719,30.661664962768555,exact,4,24.2–32.0 mm yr-1,15,7,10,10
US-Ton,38.43159866333008,-120.96600341796876,48.9560661315918,exact,6,41.8–58.1 mm yr-1,23,10,14,16
US-UMB,45.55979919433594,-84.71379852294922,27.390417098999023,exact,4,24.2–32.0 mm yr-1,13,6,8,9
US-Var,38.413299560546875,-120.9507293701172,48.9560661315918,exact,6,41.8–58.1 mm yr-1,23,10,14,16
US-WBW,35.95880126953125,-84.28739929199219,36.88323974609375,exact,5,32.0–41.8 mm yr-1,18,8,11,13
US-WCr,45.80590057373047,-90.07990264892578,27.34905242919922,exact,4,24.2–32.0 mm yr-1,13,6,8,9
US-Wi0,46.61880111694336,-91.0813980102539,30.328323364257812,exact,4,24.2–32.0 mm yr-1,15,7,9,10
US-Wi1,46.730499267578125,-91.23290252685548,30.328323364257812,exact,4,24.2–32.0 mm yr-1,15,7,9,10
US-Wi2,46.6869010925293,-91.152801513671875,30.328323364257812,exact,4,24.2–32.0 mm yr-1,15,7,9,10
US-Wi4,46.73929977416992,-91.16629791259766,30.328323364257812,exact,4,24.2–32.0 mm yr-1,15,7,9,10
US-Wi5,46.653099060058594,-91.08580017089844,30.328323364257812,exact,4,24.2–32.0 mm yr-1,15,7,9,10
US-Wi6,46.624900817871094,-91.29820251464844,30.328323364257812,exact,4,24.2–32.0 mm yr-1,15,7,9,10
US-Wi7,46.64910125732422,-91.06929779052734,30.328323364257812,exact,4,24.2–32.0 mm yr-1,15,7,9,10
US-Wi8,46.7223014831543,-91.25240325927734,30.328323364257812,exact,4,24.2–32.0 mm yr-1,15,7,9,10
US-Wi9,46.61880111694336,-91.0813980102539,30.328323364257812,exact,4,24.2–32.0 mm yr-1,15,7,9,10
US-Wkg,31.736499786376953,-109.94200134277344,50.52987289428711,exact,6,41.8–58.1 mm yr-1,24,10,15,16
US-Wrc,45.820499420166016,-121.9520034790039,34.412635803222656,exact,5,32.0–41.8 mm yr-1,17,7,11,12
VU-Coc,-15.442700386047363,167.19200134277344,121.11956024169922,exact,7,>58.1 mm yr-1,30,12,18,20
ZA-Kru,-25.019699096679688,31.49690055847168,93.78758239746094,exact,7,>58.1 mm yr-1,30,12,18,20
