site_id,dataset,path,file_name,exists,mtime,size_bytes,feeds
US-SRM,fluxmet_yy,data/extracted/AMF_US-SRM_FLUXNET_2004-2025_v1.3_r1/AMF_US-SRM_FLUXNET_FLUXMET_YY_2004-2025_v1.3_r1.csv,AMF_US-SRM_FLUXNET_FLUXMET_YY_2004-2025_v1.3_r1.csv,TRUE,2026-06-01T17:45:17,68634,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
US-SRS,era5_yy,data/extracted/AMF_US-SRS_FLUXNET_2011-2018_v1.3_r1/AMF_US-SRS_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,AMF_US-SRS_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,TRUE,2026-06-01T17:45:17,3749,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
US-SRS,fluxmet_yy,data/extracted/AMF_US-SRS_FLUXNET_2011-2018_v1.3_r1/AMF_US-SRS_FLUXNET_FLUXMET_YY_2011-2018_v1.3_r1.csv,AMF_US-SRS_FLUXNET_FLUXMET_YY_2011-2018_v1.3_r1.csv,TRUE,2026-06-01T17:45:17,26668,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
US-SSH,era5_yy,data/extracted/AMF_US-SSH_FLUXNET_2016-2021_v1.3_r1/AMF_US-SSH_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,AMF_US-SSH_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,TRUE,2026-06-01T17:45:17,3672,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
US-SSH,fluxmet_yy,data/extracted/AMF_US-SSH_FLUXNET_2016-2021_v1.3_r1/AMF_US-SSH_FLUXNET_FLUXMET_YY_2016-2021_v1.3_r1.csv,AMF_US-SSH_FLUXNET_FLUXMET_YY_2016-2021_v1.3_r1.csv,TRUE,2026-06-01T17:45:17,19699,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
US-Sag,era5_yy,data/extracted/AMF_US-Sag_FLUXNET_1996-1996_v1.3_r1/AMF_US-Sag_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,AMF_US-Sag_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,TRUE,2026-06-01T17:38:09,3582,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
US-Sag,fluxmet_yy,data/extracted/AMF_US-Sag_FLUXNET_1996-1996_v1.3_r1/AMF_US-Sag_FLUXNET_FLUXMET_YY_1996-1996_v1.3_r1.csv,AMF_US-Sag_FLUXNET_FLUXMET_YY_1996-1996_v1.3_r1.csv,TRUE,2026-06-01T17:38:09,4330,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
US-Seg,era5_yy,data/extracted/AMF_US-Seg_FLUXNET_2007-2025_v1.3_r1/AMF_US-Seg_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,AMF_US-Seg_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,TRUE,2026-06-01T17:38:09,3756,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
US-Seg,fluxmet_yy,data/extracted/AMF_US-Seg_FLUXNET_2007-2025_v1.3_r1/AMF_US-Seg_FLUXNET_FLUXMET_YY_2007-2025_v1.3_r1.csv,AMF_US-Seg_FLUXNET_FLUXMET_YY_2007-2025_v1.3_r1.csv,TRUE,2026-06-01T17:38:09,56179,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
US-Ses,era5_yy,data/extracted/AMF_US-Ses_FLUXNET_2007-2025_v1.3_r1/AMF_US-Ses_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,AMF_US-Ses_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,TRUE,2026-06-01T17:45:17,3745,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
US-Ses,fluxmet_yy,data/extracted/AMF_US-Ses_FLUXNET_2007-2025_v1.3_r1/AMF_US-Ses_FLUXNET_FLUXMET_YY_2007-2025_v1.3_r1.csv,AMF_US-Ses_FLUXNET_FLUXMET_YY_2007-2025_v1.3_r1.csv,TRUE,2026-06-01T17:45:17,55373,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
US-Slt,era5_yy,data/extracted/AMF_US-Slt_FLUXNET_2005-2022_v1.3_r1/AMF_US-Slt_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,AMF_US-Slt_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,TRUE,2026-06-01T17:45:18,3779,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
US-Slt,fluxmet_yy,data/extracted/AMF_US-Slt_FLUXNET_2005-2022_v1.3_r1/AMF_US-Slt_FLUXNET_FLUXMET_YY_2005-2022_v1.3_r1.csv,AMF_US-Slt_FLUXNET_FLUXMET_YY_2005-2022_v1.3_r1.csv,TRUE,2026-06-01T17:45:18,51462,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
US-Sne,era5_yy,data/extracted/AMF_US-Sne_FLUXNET_2016-2020_v1.3_r1/AMF_US-Sne_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,AMF_US-Sne_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,TRUE,2026-06-01T17:45:18,3827,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
