path,feeds,exists,mtime,size_bytes
data/extracted/TERN_AU-Fog_FLUXNET_2006-2008_v1.3_r1/TERN_AU-Fog_FLUXNET_BIF_2006-2008_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:40,58737
data/extracted/TERN_AU-GWW_FLUXNET_2013-2025_v1.3_r1/TERN_AU-GWW_FLUXNET_BIF_2013-2025_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:40,209442
data/extracted/TERN_AU-Gin_FLUXNET_2011-2025_v1.3_r1/TERN_AU-Gin_FLUXNET_BIF_2011-2025_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:40,240157
data/extracted/TERN_AU-How_FLUXNET_2002-2025_v1.3_r1/TERN_AU-How_FLUXNET_BIF_2002-2025_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:40,372133
data/extracted/TERN_AU-Lit_FLUXNET_2015-2025_v1.3_r1/TERN_AU-Lit_FLUXNET_BIF_2015-2025_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:40,179220
data/extracted/TERN_AU-Lon_FLUXNET_2018-2024_v1.3_r1/TERN_AU-Lon_FLUXNET_BIF_2018-2024_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:40,118198
data/extracted/TERN_AU-Lox_FLUXNET_2008-2009_v1.3_r1/TERN_AU-Lox_FLUXNET_BIF_2008-2009_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:40,44453
data/extracted/TERN_AU-MvA_FLUXNET_2023-2024_v1.3_r1/TERN_AU-MvA_FLUXNET_BIF_2023-2024_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:40,43844
data/extracted/TERN_AU-MvB_FLUXNET_2024-2024_v1.3_r1/TERN_AU-MvB_FLUXNET_BIF_2024-2024_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:40,29150
data/extracted/TERN_AU-Otw_FLUXNET_2007-2010_v1.3_r1/TERN_AU-Otw_FLUXNET_BIF_2007-2010_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:40,74232
data/extracted/TERN_AU-RDF_FLUXNET_2011-2013_v1.3_r1/TERN_AU-RDF_FLUXNET_BIF_2011-2013_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:40,58991
data/extracted/TERN_AU-Rgf_FLUXNET_2015-2025_v1.3_r1/TERN_AU-Rgf_FLUXNET_BIF_2015-2025_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:40,178092
data/extracted/TERN_AU-Rig_FLUXNET_2011-2017_v1.3_r1/TERN_AU-Rig_FLUXNET_BIF_2011-2017_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:40,118043
data/extracted/TERN_AU-Rob_FLUXNET_2013-2025_v1.3_r1/TERN_AU-Rob_FLUXNET_BIF_2013-2025_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:40,207234
data/extracted/TERN_AU-Sam_FLUXNET_2010-2017_v1.3_r1/TERN_AU-Sam_FLUXNET_BIF_2010-2017_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:40,132623
data/extracted/TERN_AU-Sil_FLUXNET_2019-2024_v1.3_r1/TERN_AU-Sil_FLUXNET_BIF_2019-2024_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:40,103592
data/extracted/TERN_AU-Sno_FLUXNET_2024-2025_v1.3_r1/TERN_AU-Sno_FLUXNET_BIF_2024-2025_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:40,44289
data/extracted/TERN_AU-Stp_FLUXNET_2008-2025_v1.3_r1/TERN_AU-Stp_FLUXNET_BIF_2008-2025_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:40,280758
data/extracted/TERN_AU-TTE_FLUXNET_2012-2025_v1.3_r1/TERN_AU-TTE_FLUXNET_BIF_2012-2025_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:40,223685
data/extracted/TERN_AU-Tum_FLUXNET_2002-2022_v1.3_r1/TERN_AU-Tum_FLUXNET_BIF_2002-2022_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:40,327545
data/extracted/TERN_AU-Wac_FLUXNET_2005-2008_v1.3_r1/TERN_AU-Wac_FLUXNET_BIF_2005-2008_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:40,74477
data/extracted/TERN_AU-Wel_FLUXNET_2024-2025_v1.3_r1/TERN_AU-Wel_FLUXNET_BIF_2024-2025_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:40,43949
data/extracted/TERN_AU-Wgt_FLUXNET_2024-2025_v1.3_r1/TERN_AU-Wgt_FLUXNET_BIF_2024-2025_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:40,43957
data/extracted/TERN_AU-Whr_FLUXNET_2011-2025_v1.3_r1/TERN_AU-Whr_FLUXNET_BIF_2011-2025_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:40,239338
data/extracted/TERN_AU-Wom_FLUXNET_2010-2025_v1.3_r1/TERN_AU-Wom_FLUXNET_BIF_2010-2025_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:40,259226
data/extracted/TERN_AU-Wrr_FLUXNET_2013-2021_v1.3_r1/TERN_AU-Wrr_FLUXNET_BIF_2013-2021_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:40,149219
data/extracted/TERN_AU-Ya1_FLUXNET_2023-2025_v1.3_r1/TERN_AU-Ya1_FLUXNET_BIF_2023-2025_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-09-20T08:05:59,58715
data/extracted/TERN_AU-Ya2_FLUXNET_2023-2025_v1.3_r1/TERN_AU-Ya2_FLUXNET_BIF_2023-2025_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:40,58353
data/extracted/TERN_AU-Ync_FLUXNET_2012-2025_v1.3_r1/TERN_AU-Ync_FLUXNET_BIF_2012-2025_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:40,221501
