site_id,n_years_used_5000,n_years_used_noscreen,log_ratio_era_bio12
US-SRC,30,30,-0.04913953961654438
US-SRG,30,30,-0.08766878348726506
US-SRM,30,30,-0.07102351078960824
US-SRS,30,30,-0.036027969202011144
US-SSH,30,30,-0.02828797700939527
US-Sag,30,30,-0.8980776486736517
US-Seg,30,30,0.01713183953738257
US-Ses,30,30,0.030313112332991655
US-Slt,30,30,-0.03998689360332175
US-Sne,30,30,-1.0921182677355397e-4
US-Snf,30,30,0.012065866503814304
US-Srr,30,30,0.5704807933688324
US-StJ,30,30,-0.3065442659945722
US-Sta,30,30,0.7835537970693301
US-Syv,30,30,0.5837902531705061
US-TKs,30,30,-0.04778136391864629
US-TLR,30,30,-3.120553964102474
US-TaS,29,30,0.453615931053986
US-Ton,30,30,-0.0091838112543044
US-Tw1,30,30,0.6688668898964638
US-Tw2,30,30,0.6688668898964638
US-Tw3,30,30,-0.14144697905703382
US-Tw4,30,30,-0.0023105305623976535
US-Tw5,30,30,0.6688668898964638
US-Twt,30,30,0.006553407608029379
US-UC1,30,30,0.027116464391247024
US-UC2,30,30,0.00781312073685211
US-UMd,30,30,0.6118070542905574
US-UTB,30,30,-0.5805785591590533
US-UTD,30,30,-0.5739199039020187
US-UTE,30,30,0.019758967644711398
US-UTJ,30,30,0.6196153664332952
US-UTL,30,30,-0.30682486538843157
US-UTM,30,30,-0.4771775694348319
US-UTP,30,30,-0.16473838639807753
US-UTV,30,30,-0.18188355424590863
US-UTW,30,30,0.5798726675318071
US-Uaf,30,30,-0.052897602377856075
US-UiA,28,30,0.5778673359924198
US-UiB,28,30,0.5778673359924198
US-UiC,28,30,0.5778673359924198
US-UiD,28,30,0.5778673359924198
US-UiE,30,30,-0.012604719905028625
US-UiF,30,30,-0.026603274471425985
US-UiG,30,30,-0.026603274471425985
US-VT1,30,30,-0.07399218307701726
US-VT2,30,30,-0.07522199050065351
US-Var,30,30,-0.037339150651970784
US-Vcm,30,30,-0.08458935970156838
US-Vcp,30,30,-0.044098709416607776
US-WCr,30,30,-0.0688207905957815
US-WPT,30,30,-0.03251249287864695
US-WT1,30,30,0.5665770924762995
US-Whs,30,30,-0.0383491185120545
US-Wjs,30,30,0.06885909605607166
US-Wkg,30,30,-0.06171591853457872
US-YK1,30,30,-0.15210255094628664
US-YK2,30,30,-0.1125002276014
US-ZF2,30,30,-0.31853909033731703
US-xAB,30,30,-0.03735606640894758
US-xAE,30,30,0.07243663794739105
US-xBA,30,30,-0.1911072427562747
US-xBL,30,30,0.03615836647275799
US-xBN,30,30,0.07068285575238205
US-xBR,30,30,0.03775484863122325
US-xCL,30,30,0.04435675479628427
US-xCP,30,30,-0.0395770665789856
US-xDC,30,30,-0.08463337985202067
US-xDJ,30,30,-0.06262896545164964
US-xDL,30,30,-0.0384761361161458
US-xDS,30,30,-0.02260655225854022
US-xGR,30,30,0.002911685473811103
US-xHE,30,30,-0.2039747835300194
US-xJE,30,30,-0.048610670709236366
US-xJR,30,30,-0.09404144488417655
US-xKZ,30,30,0.0036081909487844207
US-xLE,30,30,-0.017956327253088565
US-xMB,30,30,-0.17348500173172843
US-xML,30,30,0.0852942323018796
US-xNG,30,30,-0.12201935848169773
US-xNQ,30,30,-0.08517791596160616
US-xNW,30,30,0.43536541938815804
US-xPU,30,30,0.061077532147651055
US-xRM,30,30,-0.09904378362080292
US-xRN,30,30,0.09399557408324549
US-xSB,30,30,-0.058742241294013696
US-xSC,30,30,3.1947396313063234e-4
US-xSE,30,30,0.0024671723596262755
US-xSJ,30,30,-0.10320001860370528
US-xSL,30,30,-2.8100439449170217e-4
US-xSP,30,30,-0.16217986830909079
US-xSR,30,30,-0.06813811616633485
US-xST,30,30,-0.03414782520882009
US-xTE,30,30,-0.16347277661286097
US-xTL,30,30,0.17511193312657364
US-xTR,30,30,-0.06159428710788249
US-xUK,30,30,-0.023679737597133425
US-xUN,30,30,-0.09969105319669484
US-xWD,30,30,0.10361377119408632
US-xWR,30,30,0.031426061377984184
US-xYE,30,30,-0.07737768339954226
VU-Coc,30,30,-0.051573157472509554
ZA-BfK,30,30,0.06357810934535268
