site_id,n_years_used_5000,n_years_used_noscreen,log_ratio_era_bio12
JP-NsM,30,30,0.37296434169331993
JP-Nuf,0,30,0.4421044252737206
JP-SMF,0,30,0.42143008541941895
JP-Sb1,27,30,0.5779833645075173
JP-Sb2,27,30,0.5779833645075173
JP-Shn,0,30,0.6542809233444372
JP-Spp,30,30,-0.020046841955965827
JP-Srk,30,30,0.21298109149533384
JP-Ta2,30,30,0.0014074284040852371
JP-Tak,0,30,0.69261606356273
JP-Tef,30,30,-0.08099023034757649
JP-Tkb,0,30,0.5955735666650174
JP-Tmd,22,30,0.5846869509134605
JP-Tmk,22,30,0.585342873392151
JP-Toc,22,30,0.5915086613173708
JP-Yms,0,30,0.5164146667104667
JP-Ynf,0,30,0.48400312777770627
KE-Aq1,30,30,0.6980731714902924
KE-Aq2,30,30,0.6934282664445288
KE-Chk,30,30,-0.20066332408968393
KE-Kpt,30,30,0.7337389512794174
KE-Mkt,30,30,-0.3442719622758501
KH-Kmp,0,30,0.5977397513379132
KR-AdC,30,30,0.002689454212008295
KR-CRK,30,30,0.09050392431434863
KR-CmF,30,30,-0.14522720007467052
KR-GmP,30,30,-0.0026418723593486203
KR-GmR,30,30,-0.14218095489931237
KR-GmS,30,30,-0.031572693942635094
KR-HPK,30,30,-0.1407030883236288
KR-HcM,30,30,-0.05334996198359841
KR-Hnm,20,30,0.5520165084874505
KR-JjM,30,30,0.2468578648796698
KR-Kw1,30,30,0.037807142910124936
KR-Kw2,30,30,0.0092095943477011
KR-Nj1,21,30,0.552284268760325
KR-Nj2,21,30,0.5519097072051561
KR-PcD,30,30,-0.21328181568558127
KR-ScC,30,30,0.025316016967707303
KR-SmM,30,30,-0.10395259736900289
KR-TwB,21,30,0.5489783153371657
KR-TwC,21,30,0.5489783153371657
KR-UAO,30,30,-0.07129330166956963
KR-WdE,30,30,-0.01778797641025242
ML-Kem,30,30,0.43116815384690615
MN-Hst,30,30,0.6392618486577342
MN-Kbu,30,30,0.6724274516715688
MN-Nkh,30,30,0.7210608133845151
MN-Udg,30,30,0.7209656472113376
MX-Aog,30,30,0.06952214176266609
MX-PMm,24,30,0.5392111205120307
MX-Tes,30,30,-0.03012735486783525
MY-LHP,30,30,-0.07222645687287944
NL-Hrw,30,30,0.03847944708095552
NO-And,0,30,0.8937765618215827
NO-Fns,30,30,0.3858132636333966
NO-Hur,30,30,0.04811473367969136
NO-Ikr,30,30,0.704770655915119
NZ-ADd,30,30,0.006092592041135476
NZ-ADw,30,30,0.15456847514029914
NZ-BFm,30,30,0.036301477925658215
NZ-BFu,30,30,0.04679886219144768
NZ-Cla,30,30,0.21358945075357766
NZ-Kop,30,30,-0.03508843077776484
NZ-Lau,30,30,0.2430530719618231
NZ-Oxf,30,30,0.028863138668772652
NZ-ScF,30,30,0.0017595019692272877
PA-SPn,30,30,-0.09148697711290765
PA-SPs,30,30,-0.080805846416096
PE-QFR,0,30,0.5846720221551346
PR-xGU,30,30,-0.17455795353241635
PR-xLA,30,30,-0.02628356303244288
RU-Ch2,30,30,-0.003607650280248389
RU-Che,30,30,-0.1949513913176672
RU-Ege,30,30,0.6216754510014021
RU-Fy2,30,30,-0.06529202201662615
RU-Fy3,30,30,0.02557171551364036
RU-Fy4,30,30,-0.17362496383073808
RU-Fyo,30,30,-0.08299073015996004
RU-Ha1,30,30,-0.08187490365639537
RU-NeB,30,30,0.6267016590574797
RU-NeC,30,30,0.6215822149214479
RU-NeF,30,30,0.6267016590574797
RU-Sk2,30,30,0.6177014719596211
RU-SkP,30,30,0.6284216484622683
RU-Tur,30,30,0.6632330318616608
SD-Dem,30,30,0.04647154558013669
SE-Deg,30,30,-0.040684552054494644
SE-HfM,30,30,-0.14516456867016914
SE-Hmr,30,30,-0.06685665469933842
SE-Htm,30,30,0.001290226455215401
SE-Nor,30,30,-0.03133026364540073
SE-Ros,30,30,-0.01548503281670892
SE-Srj,30,30,-0.07370058654127101
SE-St1,30,30,-0.2634907216519332
SE-Sto,30,30,0.014922182159594108
SE-Trb,30,30,0.6117931458780913
SN-Dhr,30,30,-6.293513320050498e-4
SN-Nkr,30,30,0.027564573688865442
TH-Kog,30,30,0.22465755208839264
TH-Mae,30,30,0.06548276956540819
UK-AMo,30,30,0.0749803394078202
UK-Ags,30,30,0.10903265037132691
UK-BnB,30,30,-0.05674903980308541
UK-CCr,30,30,-0.074414264510542
UK-Cvn,30,30,0.04876055615785936
UK-GaB,30,30,-0.07747705750675066
UK-Gnn,30,30,-0.07081650655078922
UK-Gwr,30,30,0.07769636545878647
UK-HgF,30,30,-0.0018221368856812458
UK-HpF,30,30,0.03279538660857143
US-A03,30,30,0.7891930767576436
US-A10,30,30,0.9283222000009875
US-A32,30,30,0.001634183361117651
US-A37,30,30,-1.4498033980419545
US-A39,30,30,-1.5343780140813135
US-A74,30,30,-0.37888336524674376
US-ABa,30,30,-0.013856353218520929
US-ABb,30,30,0.0625861898391033
US-ABc,30,30,0.021764479100341513
US-ABd,30,30,0.016536536406875295
US-ABe,27,30,0.5415169170557858
US-ADR,30,30,0.13979949601117744
US-ALQ,30,30,-0.019705135434566375
US-AR1,30,30,0.07682054022979291
US-AR2,30,30,-0.01989351150980501
US-ARM,30,30,-0.11936974186748171
US-ARb,30,30,0.16817765380708916
US-ARc,30,30,0.19507555917598668
US-ASH,30,30,0.766755595771988
US-ASM,30,30,0.766755595771988
US-Akn,30,30,-1.4137358611747284
US-Aud,30,30,-0.025779352606457757
US-BRG,24,30,0.5856628519886801
US-BZB,30,30,-0.08765260212785152
US-BZF,30,30,-0.11055168313032535
US-BZo,30,30,-0.2543377401469949
US-Bar,30,30,-0.026947660862795413
US-Bi1,30,30,-0.02336605384874073
US-Bi2,30,30,-0.06613278290090542
US-CAK,30,30,-0.0725706132660983
US-CF1,30,30,-1.8354027089027642
US-CF2,30,30,-1.6049686483114571
US-CF3,30,30,-1.5522916955974644
US-CF4,30,30,-1.3783972656062478
US-CGG,30,30,0.01585318479634599
US-CLF,30,30,-0.21413344461438505
US-CMW,30,30,-0.07534111374763172
US-CRK,30,30,-0.02579954288412451
US-CRT,30,30,-0.04139389887908203
US-CS1,30,30,-0.045817309043561794
