site_id,submitting_network,n_contacts_snapshot,n_contacts_badm,difference,badm_has_more
IT-Cp2,ICOS,20,6,-14,FALSE
SE-Htm,ICOS,20,6,-14,FALSE
BE-Lon,ICOS,46,31,-15,FALSE
FR-CLt,ICOS,24,9,-15,FALSE
FR-LBr,EUF,18,3,-15,FALSE
GL-ZaH,ICOS,16,1,-15,FALSE
IT-Noe,ICOS,20,5,-15,FALSE
SE-Nor,ICOS,20,5,-15,FALSE
FI-Sod,ICOS,26,10,-16,FALSE
BE-Dor,ICOS,30,13,-17,FALSE
CD-Ygb,ICOS,28,11,-17,FALSE
CZ-Lnz,ICOS,30,12,-18,FALSE
FI-Hyy,ICOS,28,10,-18,FALSE
IT-Ren,ICOS,26,8,-18,FALSE
FR-Lqu,ICOS,30,10,-20,FALSE
FR-Lus,ICOS,26,6,-20,FALSE
FR-Fon,ICOS,28,7,-21,FALSE
DE-HoH,ICOS,30,8,-22,FALSE
UK-AMo,ICOS,36,14,-22,FALSE
CH-Oe2,EUF,28,5,-23,FALSE
CZ-BK1,ICOS,38,14,-24,FALSE
DE-Hai,ICOS,28,4,-24,FALSE
IT-Lav,EUF,30,6,-24,FALSE
SE-St1,EUF,28,4,-24,FALSE
FR-LGt,ICOS,34,7,-27,FALSE
CH-Aws,EUF,32,4,-28,FALSE
CH-Fru,EUF,32,3,-29,FALSE
SE-Deg,ICOS,38,9,-29,FALSE
IT-Cpz,EUF,30,0,-30,FALSE
CH-Cha,EUF,36,5,-31,FALSE
SE-Sto,ICOS,42,8,-34,FALSE
SE-Svb,ICOS,42,8,-34,FALSE
CH-Lae,EUF,44,4,-40,FALSE
IT-Ro2,EUF,40,0,-40,FALSE
IT-Ro1,EUF,42,0,-42,FALSE
CH-Dav,ICOS,68,21,-47,FALSE
