site_id,n_years,map_a,map_b,map_c,bio12_mm,n_years_pf,pf_obs_mm,ratio_a_bio12,ratio_b_bio12,ratio_c_bio12,ratio_a_pf,ratio_b_pf,ratio_c_pf,excluded,data_hub,product_source_network,oneflux_code_version,fluxnet_product_name
CA-TP3,30,1099.2175666666667,36.080666666666666,1098.2052916666667,970,19,1113.4463157894736,1.1332139862542956,0.03719656357388316,1.1321704037800686,0.9872209832472092,0.03240449598244364,0.9863118464656282,FALSE,AmeriFlux,AMF,v1.3,AMF_CA-TP3_FLUXNET_2002-2023_v1.3_r1.zip
CA-TP4,30,1099.2175666666667,36.080666666666666,1098.2052916666667,976,19,1113.4463157894736,1.126247506830601,0.03696789617486339,1.1252103398224043,0.9872209832472092,0.03240449598244364,0.9863118464656282,FALSE,AmeriFlux,AMF,v1.3,AMF_CA-TP4_FLUXNET_2002-2023_v1.3_r1.zip
CA-TPA,30,1108.8337333333334,36.3963,1107.81238125,970,1,1126.701,1.143127560137457,0.037521958762886595,1.1420746198453608,0.984141962537828,0.032303423889745365,0.9832354646441248,FALSE,AmeriFlux,AMF,v1.3,AMF_CA-TPA_FLUXNET_2020-2023_v1.3_r1.zip
CA-TPD,30,931.4757333333333,30.57623333333333,930.6641020833333,986,9,905.1165555555556,0.9447015551048006,0.031010378634212302,0.943878399678837,1.0291224125953575,0.03378154243854904,1.0282256979733364,FALSE,AmeriFlux,AMF,v1.3,AMF_CA-TPD_FLUXNET_2012-2023_v1.3_r1.zip
CA-TVC,30,104.27626666666667,3.4160333333333335,103.97551458333334,219,1,138.482,0.47614733637747336,0.015598325722983258,0.4747740391933029,0.7529950944286382,0.024667706513000487,0.7508233169894524,FALSE,AmeriFlux,AMF,v1.3,AMF_CA-TVC_FLUXNET_2017-2017_v1.3_r1.zip
CD-Ygb,30,2433.6066,79.93116666666667,2432.9048854166667,1774,1,2386.996,1.3718188275084555,0.04505702743329575,1.3714232725009394,1.0195268865134253,0.033486091584010474,1.0192329125883188,FALSE,ICOS,ICOS,v1.3,ICOS_CD-Ygb_FLUXNET_2020-2025_v1.3_r1.zip
CG-Tch,30,1590.3380666666667,52.469766666666665,1597.0485229166666,1320,4,1650.9157500000001,1.2048015656565656,0.039749823232323234,1.2098852446338384,0.9633066173526218,0.03178221945406158,0.9673713046329993,FALSE,ICOS,EUF,v1.3,EUF_CG-Tch_FLUXNET_2006-2009_v1.3_r1.zip
CH-Aws,30,1332.9461333333334,43.72496666666667,1330.8786729166666,1158,15,1430.5677333333333,1.1510761082325849,0.037759038572251005,1.14929073654289,0.9317602391516729,0.030564765056446588,0.930315036405593,FALSE,ICOS,EUF,v1.3,EUF_CH-Aws_FLUXNET_2006-2024_v1.3_r2.zip
CH-Cha,30,1182.5493666666666,38.804566666666666,1181.1139979166667,1194,16,1156.145125,0.990409854829704,0.032499637074260186,0.9892077034477945,1.022838172384861,0.033563750629201215,1.021596659776312,FALSE,ICOS,EUF,v1.3,EUF_CH-Cha_FLUXNET_2005-2024_v1.3_r1.zip
CH-Crs,30,905.8019,29.72246666666667,904.6775791666666,1016,2,887.8,0.8915373031496063,0.02925439632545932,0.890430688156168,1.0202769767965758,0.03347878651347902,1.0190105645040175,FALSE,ICOS,EUF,v1.3,EUF_CH-Crs_FLUXNET_2015-2016_v1.3_r1.zip
CH-Dav,30,873.3136333333333,28.646366666666665,871.9237854166666,1094,24,869.918625,0.7982757160268129,0.02618497867154174,0.7970052883150518,1.0039026734636625,0.03292993832229614,1.0023049976848888,FALSE,ICOS,ICOS,v1.3,ICOS_CH-Dav_FLUXNET_1997-2025_v1.3_r1.zip
CH-For,30,1072.3002333333334,35.21243333333333,1071.7784395833332,1238,NA,NA,0.8661552773290253,0.028442999461497035,0.865733796109316,NA,NA,NA,FALSE,ICOS,EUF,v1.3,EUF_CH-For_FLUXNET_2024-2024_v1.3_r2.zip
CH-Frk,30,1197.6444666666666,39.28926666666666,1195.8670541666665,1224,2,1242.3245000000002,0.9784677015250545,0.03209907407407407,0.9770155671296296,0.9640351346742871,0.03162560721185701,0.9626044195108978,FALSE,ICOS,EUF,v1.3,EUF_CH-Frk_FLUXNET_2013-2014_v1.3_r1.zip
