site_id,TIMESTAMP,P_ERA,year,days,excluded
AR-Bal,1999-04-01,1.002,1999,30,FALSE
AR-Bal,1999-05-01,0.523,1999,31,FALSE
AR-Bal,1999-06-01,0.202,1999,30,FALSE
AR-Bal,1999-07-01,1.524,1999,31,FALSE
AR-Bal,1999-08-01,0.876,1999,31,FALSE
AR-Bal,1999-09-01,0.718,1999,30,FALSE
AR-Bal,1999-10-01,0.983,1999,31,FALSE
AR-Bal,1999-11-01,0.845,1999,30,FALSE
AR-Bal,1999-12-01,1.681,1999,31,FALSE
AR-Bal,2000-01-01,1.609,2000,31,FALSE
AR-Bal,2000-02-01,2.765,2000,29,FALSE
AR-Bal,2000-03-01,1.219,2000,31,FALSE
AR-Bal,2000-04-01,0.913,2000,30,FALSE
AR-Bal,2000-05-01,0.522,2000,31,FALSE
AR-Bal,2000-06-01,1.101,2000,30,FALSE
AR-Bal,2000-07-01,0.289,2000,31,FALSE
AR-Bal,2000-08-01,0.58,2000,31,FALSE
AR-Bal,2000-09-01,1.292,2000,30,FALSE
AR-Bal,2000-10-01,1.343,2000,31,FALSE
AR-Bal,2000-11-01,2.104,2000,30,FALSE
AR-Bal,2000-12-01,1.149,2000,31,FALSE
AR-Bal,2001-01-01,1.824,2001,31,FALSE
AR-Bal,2001-02-01,0.902,2001,28,FALSE
AR-Bal,2001-03-01,2.236,2001,31,FALSE
AR-Bal,2001-04-01,0.733,2001,30,FALSE
AR-Bal,2001-05-01,1.492,2001,31,FALSE
AR-Bal,2001-06-01,0.857,2001,30,FALSE
AR-Bal,2001-07-01,0.569,2001,31,FALSE
AR-Bal,2001-08-01,2.121,2001,31,FALSE
AR-Bal,2001-09-01,0.925,2001,30,FALSE
AR-Bal,2001-10-01,2.808,2001,31,FALSE
AR-Bal,2001-11-01,2.522,2001,30,FALSE
AR-Bal,2001-12-01,2.762,2001,31,FALSE
AR-Bal,2002-01-01,1.465,2002,31,FALSE
AR-Bal,2002-02-01,1.139,2002,28,FALSE
AR-Bal,2002-03-01,2.128,2002,31,FALSE
AR-Bal,2002-04-01,0.798,2002,30,FALSE
AR-Bal,2002-05-01,1.009,2002,31,FALSE
AR-Bal,2002-06-01,0.174,2002,30,FALSE
AR-Bal,2002-07-01,0.557,2002,31,FALSE
AR-Bal,2002-08-01,2.573,2002,31,FALSE
AR-Bal,2002-09-01,1.287,2002,30,FALSE
AR-Bal,2002-10-01,2.487,2002,31,FALSE
AR-Bal,2002-11-01,3.736,2002,30,FALSE
AR-Bal,2002-12-01,0.92,2002,31,FALSE
AR-Bal,2003-01-01,1.123,2003,31,FALSE
AR-Bal,2003-02-01,0.993,2003,28,FALSE
AR-Bal,2003-03-01,1.506,2003,31,FALSE
AR-Bal,2003-04-01,1.617,2003,30,FALSE
AR-Bal,2003-05-01,0.649,2003,31,FALSE
AR-Bal,2003-06-01,0.319,2003,30,FALSE
AR-Bal,2003-07-01,0.818,2003,31,FALSE
AR-Bal,2003-08-01,0.824,2003,31,FALSE
AR-Bal,2003-09-01,0.842,2003,30,FALSE
AR-Bal,2003-10-01,1.231,2003,31,FALSE
AR-Bal,2003-11-01,2.655,2003,30,FALSE
AR-Bal,2003-12-01,2.252,2003,31,FALSE
AR-Bal,2004-01-01,1.256,2004,31,FALSE
AR-Bal,2004-02-01,1.236,2004,29,FALSE
AR-Bal,2004-03-01,0.822,2004,31,FALSE
AR-Bal,2004-04-01,1.916,2004,30,FALSE
AR-Bal,2004-05-01,0.206,2004,31,FALSE
AR-Bal,2004-06-01,0.241,2004,30,FALSE
AR-Bal,2004-07-01,1.076,2004,31,FALSE
AR-Bal,2004-08-01,1.513,2004,31,FALSE
AR-Bal,2004-09-01,0.661,2004,30,FALSE
AR-Bal,2004-10-01,0.974,2004,31,FALSE
AR-Bal,2004-11-01,1.732,2004,30,FALSE
AR-Bal,2004-12-01,1.056,2004,31,FALSE
AR-Bal,2005-01-01,1.977,2005,31,FALSE
AR-Bal,2005-02-01,1.57,2005,28,FALSE
AR-Bal,2005-03-01,1.572,2005,31,FALSE
AR-Bal,2005-04-01,0.137,2005,30,FALSE
AR-Bal,2005-05-01,0.362,2005,31,FALSE
AR-Bal,2005-06-01,0.893,2005,30,FALSE
AR-Bal,2005-07-01,0.9,2005,31,FALSE
AR-Bal,2005-08-01,1.431,2005,31,FALSE
AR-Bal,2005-09-01,0.675,2005,30,FALSE
AR-Bal,2005-10-01,0.558,2005,31,FALSE
AR-Bal,2005-11-01,1.534,2005,30,FALSE
AR-Bal,2005-12-01,0.861,2005,31,FALSE
AR-Bal,2006-01-01,1.633,2006,31,FALSE
AR-Bal,2006-02-01,2.076,2006,28,FALSE
AR-Bal,2006-03-01,0.248,2006,31,FALSE
AR-Bal,2006-04-01,1.168,2006,30,FALSE
AR-Bal,2006-05-01,0.035,2006,31,FALSE
AR-Bal,2006-06-01,1.072,2006,30,FALSE
AR-Bal,2006-07-01,0.961,2006,31,FALSE
AR-Bal,2006-08-01,0.254,2006,31,FALSE
AR-Bal,2006-09-01,0.588,2006,30,FALSE
AR-Bal,2006-10-01,2.246,2006,31,FALSE
AR-Bal,2006-11-01,0.489,2006,30,FALSE
AR-Bal,2006-12-01,1.865,2006,31,FALSE
AR-Bal,2007-01-01,1.069,2007,31,FALSE
AR-Bal,2007-02-01,2.793,2007,28,FALSE
AR-Bal,2007-03-01,1.285,2007,31,FALSE
AR-Bal,2007-04-01,2.971,2007,30,FALSE
AR-Bal,2007-05-01,0.465,2007,31,FALSE
AR-Bal,2007-06-01,0.32,2007,30,FALSE
AR-Bal,2007-07-01,0.222,2007,31,FALSE
AR-Bal,2007-08-01,0.362,2007,31,FALSE
AR-Bal,2007-09-01,2.036,2007,30,FALSE
AR-Bal,2007-10-01,1.779,2007,31,FALSE
AR-Bal,2007-11-01,1.106,2007,30,FALSE
AR-Bal,2007-12-01,0.585,2007,31,FALSE
AR-Bal,2008-01-01,0.839,2008,31,FALSE
AR-Bal,2008-02-01,1.896,2008,29,FALSE
AR-Bal,2008-03-01,2.678,2008,31,FALSE
AR-Bal,2008-04-01,0.261,2008,30,FALSE
AR-Bal,2008-05-01,0.736,2008,31,FALSE
AR-Bal,2008-06-01,0.477,2008,30,FALSE
AR-Bal,2008-07-01,1.109,2008,31,FALSE
AR-Bal,2008-08-01,1.02,2008,31,FALSE
AR-Bal,2008-09-01,0.382,2008,30,FALSE
AR-Bal,2008-10-01,0.671,2008,31,FALSE
AR-Bal,2008-11-01,1.029,2008,30,FALSE
AR-Bal,2008-12-01,0.743,2008,31,FALSE
AR-Bal,2009-01-01,0.526,2009,31,FALSE
AR-Bal,2009-02-01,0.713,2009,28,FALSE
AR-Bal,2009-03-01,0.79,2009,31,FALSE
AR-Bal,2009-04-01,0.648,2009,30,FALSE
AR-Bal,2009-05-01,1.025,2009,31,FALSE
AR-Bal,2009-06-01,1.276,2009,30,FALSE
AR-Bal,2009-07-01,0.991,2009,31,FALSE
AR-Bal,2009-08-01,0.048,2009,31,FALSE
AR-Bal,2009-09-01,1.067,2009,30,FALSE
AR-Bal,2009-10-01,0.781,2009,31,FALSE
AR-Bal,2009-11-01,1.651,2009,30,FALSE
AR-Bal,2009-12-01,1.097,2009,31,FALSE
AR-Bal,2010-01-01,1.569,2010,31,FALSE
AR-Bal,2010-02-01,2.836,2010,28,FALSE
AR-Bal,2010-03-01,1.544,2010,31,FALSE
AR-Bal,2010-04-01,0.471,2010,30,FALSE
AR-Bal,2010-05-01,0.832,2010,31,FALSE
AR-Bal,2010-06-01,0.849,2010,30,FALSE
AR-Bal,2010-07-01,1.338,2010,31,FALSE
AR-Bal,2010-08-01,0.485,2010,31,FALSE
AR-Bal,2010-09-01,1.618,2010,30,FALSE
AR-Bal,2010-10-01,0.887,2010,31,FALSE
AR-Bal,2010-11-01,2.169,2010,30,FALSE
AR-Bal,2010-12-01,0.954,2010,31,FALSE
AR-Bal,2011-01-01,2.504,2011,31,FALSE
AR-Bal,2011-02-01,1.184,2011,28,FALSE
AR-Bal,2011-03-01,0.792,2011,31,FALSE
AR-Bal,2011-04-01,1.089,2011,30,FALSE
AR-Bal,2011-05-01,0.274,2011,31,FALSE
AR-Bal,2011-06-01,0.933,2011,30,FALSE
AR-Bal,2011-07-01,0.761,2011,31,FALSE
AR-Bal,2011-08-01,0.469,2011,31,FALSE
AR-Bal,2011-09-01,0.743,2011,30,FALSE
AR-Bal,2011-10-01,0.624,2011,31,FALSE
AR-Bal,2011-11-01,2.328,2011,30,FALSE
AR-Bal,2011-12-01,1.344,2011,31,FALSE
AR-Bal,2012-01-01,1.185,2012,31,FALSE
AR-Bal,2012-02-01,1.928,2012,29,FALSE
AR-Bal,2012-03-01,1.877,2012,31,FALSE
AR-Bal,2012-04-01,0.615,2012,30,FALSE
AR-Bal,2012-05-01,1.315,2012,31,FALSE
AR-Bal,2012-06-01,0.287,2012,30,FALSE
AR-Bal,2012-07-01,0.079,2012,31,FALSE
AR-Bal,2012-08-01,2.443,2012,31,FALSE
AR-Bal,2012-09-01,1.293,2012,30,FALSE
AR-Bal,2012-10-01,1.383,2012,31,FALSE
AR-Bal,2012-11-01,1.218,2012,30,FALSE
AR-Bal,2012-12-01,3.249,2012,31,FALSE
AR-Bal,2013-01-01,1.357,2013,31,FALSE
AR-Bal,2013-02-01,0.578,2013,28,FALSE
AR-Bal,2013-03-01,1.197,2013,31,FALSE
AR-Bal,2013-04-01,1.318,2013,30,FALSE
AR-Bal,2013-05-01,0.467,2013,31,FALSE
AR-Bal,2013-06-01,0.166,2013,30,FALSE
AR-Bal,2013-07-01,0.415,2013,31,FALSE
AR-Bal,2013-08-01,0.269,2013,31,FALSE
AR-Bal,2013-09-01,2.02,2013,30,FALSE
AR-Bal,2013-10-01,1.123,2013,31,FALSE
AR-Bal,2013-11-01,2.228,2013,30,FALSE
AR-Bal,2013-12-01,0.37,2013,31,FALSE
AR-Bal,2014-01-01,1.067,2014,31,FALSE
AR-Bal,2014-02-01,1.318,2014,28,FALSE
AR-Bal,2014-03-01,2.116,2014,31,FALSE
AR-Bal,2014-04-01,1.502,2014,30,FALSE
AR-Bal,2014-05-01,1.07,2014,31,FALSE
AR-Bal,2014-06-01,0.94,2014,30,FALSE
AR-Bal,2014-07-01,1.605,2014,31,FALSE
AR-Bal,2014-08-01,0.869,2014,31,FALSE
AR-Bal,2014-09-01,0.7,2014,30,FALSE
AR-Bal,2014-10-01,1.571,2014,31,FALSE
AR-Bal,2014-11-01,2.031,2014,30,FALSE
AR-Bal,2014-12-01,0.823,2014,31,FALSE
AR-Bal,2015-01-01,1.446,2015,31,FALSE
AR-Bal,2015-02-01,0.506,2015,28,FALSE
AR-Bal,2015-03-01,0.547,2015,31,FALSE
AR-Bal,2015-04-01,1.761,2015,30,FALSE
AR-Bal,2015-05-01,0.638,2015,31,FALSE
AR-Bal,2015-06-01,0.261,2015,30,FALSE
AR-Bal,2015-07-01,1.406,2015,31,FALSE
AR-Bal,2015-08-01,1.773,2015,31,FALSE
AR-Bal,2015-09-01,0.43,2015,30,FALSE
AR-Bal,2015-10-01,1.287,2015,31,FALSE
AR-Bal,2015-11-01,0.948,2015,30,FALSE
AR-Bal,2015-12-01,0.488,2015,31,FALSE
AR-Bal,2016-01-01,2.238,2016,31,FALSE
AR-Bal,2016-02-01,1.022,2016,29,FALSE
AR-Bal,2016-03-01,0.474,2016,31,FALSE
AR-Bal,2016-04-01,1.029,2016,30,FALSE
AR-Bal,2016-05-01,1.747,2016,31,FALSE
AR-Bal,2016-06-01,0.632,2016,30,FALSE
AR-Bal,2016-07-01,0.826,2016,31,FALSE
AR-Bal,2016-08-01,0.187,2016,31,FALSE
AR-Bal,2016-09-01,1.488,2016,30,FALSE
AR-Bal,2016-10-01,0.845,2016,31,FALSE
AR-Bal,2016-11-01,0.905,2016,30,FALSE
AR-Bal,2016-12-01,1.274,2016,31,FALSE
AR-Bal,2017-01-01,1.159,2017,31,FALSE
AR-Bal,2017-02-01,1.971,2017,28,FALSE
AR-Bal,2017-03-01,1.517,2017,31,FALSE
AR-Bal,2017-04-01,1.759,2017,30,FALSE
AR-Bal,2017-05-01,0.477,2017,31,FALSE
AR-Bal,2017-06-01,1.092,2017,30,FALSE
AR-Bal,2017-07-01,1.468,2017,31,FALSE
AR-Bal,2017-08-01,1.42,2017,31,FALSE
AR-Bal,2017-09-01,1.223,2017,30,FALSE
AR-Bal,2017-10-01,1.156,2017,31,FALSE
AR-Bal,2017-11-01,1.479,2017,30,FALSE
AR-Bal,2017-12-01,1.4,2017,31,FALSE
AR-Bal,2018-01-01,0.925,2018,31,FALSE
AR-Bal,2018-02-01,0.408,2018,28,FALSE
AR-Bal,2018-03-01,0.912,2018,31,FALSE
AR-Bal,2018-04-01,2.13,2018,30,FALSE
AR-Bal,2018-05-01,0.725,2018,31,FALSE
AR-Bal,2018-06-01,0.36,2018,30,FALSE
AR-Bal,2018-07-01,1.171,2018,31,FALSE
AR-Bal,2018-08-01,0.419,2018,31,FALSE
AR-Bal,2018-09-01,1.374,2018,30,FALSE
AR-Bal,2018-10-01,0.747,2018,31,FALSE
AR-Bal,2018-11-01,1.955,2018,30,FALSE
AR-Bal,2018-12-01,1.325,2018,31,FALSE
AR-Bal,2019-01-01,1.176,2019,31,FALSE
AR-Bal,2019-02-01,1.285,2019,28,FALSE
AR-Bal,2019-03-01,1.637,2019,31,FALSE
AR-Bal,2019-04-01,0.705,2019,30,FALSE
AR-Bal,2019-05-01,0.733,2019,31,FALSE
AR-Bal,2019-06-01,1.645,2019,30,FALSE
AR-Bal,2019-07-01,0.479,2019,31,FALSE
AR-Bal,2019-08-01,0.204,2019,31,FALSE
AR-Bal,2019-09-01,0.481,2019,30,FALSE
AR-Bal,2019-10-01,1.098,2019,31,FALSE
AR-Bal,2019-11-01,1.436,2019,30,FALSE
AR-Bal,2019-12-01,1.351,2019,31,FALSE
AR-Bal,2020-01-01,1.076,2020,31,FALSE
AR-Bal,2020-02-01,1.813,2020,29,FALSE
AR-Bal,2020-03-01,1.477,2020,31,FALSE
AR-Bal,2020-04-01,1.674,2020,30,FALSE
AR-Bal,2020-05-01,0.672,2020,31,FALSE
AR-Bal,2020-06-01,0.707,2020,30,FALSE
AR-Bal,2020-07-01,0.427,2020,31,FALSE
AR-Bal,2020-08-01,0.486,2020,31,FALSE
AR-Bal,2020-09-01,0.571,2020,30,FALSE
AR-Bal,2020-10-01,2.348,2020,31,FALSE
AR-Bal,2020-11-01,0.601,2020,30,FALSE
AR-Bal,2020-12-01,1.013,2020,31,FALSE
AR-CCa,1991-01-01,12.955,1991,31,FALSE
AR-CCa,1991-02-01,6.972,1991,28,FALSE
AR-CCa,1991-03-01,7.55,1991,31,FALSE
AR-CCa,1991-04-01,14.327,1991,30,FALSE
AR-CCa,1991-05-01,4.257,1991,31,FALSE
AR-CCa,1991-06-01,13.139,1991,30,FALSE
AR-CCa,1991-07-01,1.737,1991,31,FALSE
AR-CCa,1991-08-01,5.514,1991,31,FALSE
AR-CCa,1991-09-01,11.569,1991,30,FALSE
AR-CCa,1991-10-01,9.195,1991,31,FALSE
AR-CCa,1991-11-01,11.295,1991,30,FALSE
AR-CCa,1991-12-01,24.964,1991,31,FALSE
AR-CCa,1992-01-01,13.544,1992,31,FALSE
AR-CCa,1992-02-01,6.333,1992,29,FALSE
AR-CCa,1992-03-01,16.871,1992,31,FALSE
AR-CCa,1992-04-01,4.599,1992,30,FALSE
AR-CCa,1992-05-01,7.081,1992,31,FALSE
AR-CCa,1992-06-01,9.133,1992,30,FALSE
AR-CCa,1992-07-01,3.988,1992,31,FALSE
AR-CCa,1992-08-01,9.039,1992,31,FALSE
AR-CCa,1992-09-01,6.512,1992,30,FALSE
AR-CCa,1992-10-01,9.637,1992,31,FALSE
AR-CCa,1992-11-01,18.325,1992,30,FALSE
AR-CCa,1992-12-01,9.677,1992,31,FALSE
AR-CCa,1993-01-01,21.31,1993,31,FALSE
AR-CCa,1993-02-01,7.022,1993,28,FALSE
AR-CCa,1993-03-01,10.365,1993,31,FALSE
AR-CCa,1993-04-01,34.433,1993,30,FALSE
AR-CCa,1993-05-01,12.419,1993,31,FALSE
AR-CCa,1993-06-01,9.757,1993,30,FALSE
AR-CCa,1993-07-01,0.353,1993,31,FALSE
AR-CCa,1993-08-01,4.446,1993,31,FALSE
AR-CCa,1993-09-01,13.614,1993,30,FALSE
AR-CCa,1993-10-01,14.254,1993,31,FALSE
AR-CCa,1993-11-01,23.296,1993,30,FALSE
AR-CCa,1993-12-01,12.947,1993,31,FALSE
AR-CCa,1994-01-01,5.437,1994,31,FALSE
AR-CCa,1994-02-01,7.577,1994,28,FALSE
AR-CCa,1994-03-01,3.414,1994,31,FALSE
AR-CCa,1994-04-01,14.885,1994,30,FALSE
AR-CCa,1994-05-01,12.309,1994,31,FALSE
AR-CCa,1994-06-01,4.281,1994,30,FALSE
AR-CCa,1994-07-01,3.349,1994,31,FALSE
AR-CCa,1994-08-01,5.336,1994,31,FALSE
AR-CCa,1994-09-01,7.317,1994,30,FALSE
AR-CCa,1994-10-01,10.762,1994,31,FALSE
AR-CCa,1994-11-01,6.891,1994,30,FALSE
AR-CCa,1994-12-01,14.539,1994,31,FALSE
AR-CCa,1995-01-01,11.341,1995,31,FALSE
AR-CCa,1995-02-01,7.41,1995,28,FALSE
AR-CCa,1995-03-01,14.45,1995,31,FALSE
AR-CCa,1995-04-01,25.725,1995,30,FALSE
AR-CCa,1995-05-01,1.029,1995,31,FALSE
AR-CCa,1995-06-01,2.371,1995,30,FALSE
AR-CCa,1995-07-01,1.077,1995,31,FALSE
AR-CCa,1995-08-01,1.626,1995,31,FALSE
AR-CCa,1995-09-01,1.768,1995,30,FALSE
AR-CCa,1995-10-01,10.205,1995,31,FALSE
AR-CCa,1995-11-01,9.47,1995,30,FALSE
AR-CCa,1995-12-01,8.442,1995,31,FALSE
AR-CCa,1996-01-01,12.281,1996,31,FALSE
AR-CCa,1996-02-01,20.173,1996,29,FALSE
AR-CCa,1996-03-01,8.776,1996,31,FALSE
AR-CCa,1996-04-01,16.173,1996,30,FALSE
AR-CCa,1996-05-01,6.24,1996,31,FALSE
AR-CCa,1996-06-01,5.858,1996,30,FALSE
AR-CCa,1996-07-01,5.618,1996,31,FALSE
AR-CCa,1996-08-01,8.449,1996,31,FALSE
AR-CCa,1996-09-01,4.937,1996,30,FALSE
AR-CCa,1996-10-01,12.175,1996,31,FALSE
AR-CCa,1996-11-01,13.94,1996,30,FALSE
AR-CCa,1996-12-01,16.759,1996,31,FALSE
AR-CCa,1997-01-01,14.597,1997,31,FALSE
AR-CCa,1997-02-01,10.967,1997,28,FALSE
AR-CCa,1997-03-01,8.117,1997,31,FALSE
AR-CCa,1997-04-01,5.245,1997,30,FALSE
AR-CCa,1997-05-01,7.6,1997,31,FALSE
AR-CCa,1997-06-01,11.863,1997,30,FALSE
AR-CCa,1997-07-01,4.189,1997,31,FALSE
AR-CCa,1997-08-01,5.133,1997,31,FALSE
AR-CCa,1997-09-01,3.961,1997,30,FALSE
AR-CCa,1997-10-01,23.634,1997,31,FALSE
AR-CCa,1997-11-01,14.444,1997,30,FALSE
AR-CCa,1997-12-01,21.605,1997,31,FALSE
AR-CCa,1998-01-01,24.888,1998,31,FALSE
AR-CCa,1998-02-01,15.819,1998,28,FALSE
AR-CCa,1998-03-01,12.929,1998,31,FALSE
AR-CCa,1998-04-01,17.487,1998,30,FALSE
AR-CCa,1998-05-01,9.474,1998,31,FALSE
AR-CCa,1998-06-01,0.647,1998,30,FALSE
AR-CCa,1998-07-01,3.943,1998,31,FALSE
AR-CCa,1998-08-01,3.543,1998,31,FALSE
AR-CCa,1998-09-01,4.564,1998,30,FALSE
AR-CCa,1998-10-01,4.768,1998,31,FALSE
AR-CCa,1998-11-01,13.151,1998,30,FALSE
AR-CCa,1998-12-01,10.201,1998,31,FALSE
AR-CCa,1999-01-01,8.442,1999,31,FALSE
AR-CCa,1999-02-01,7.75,1999,28,FALSE
AR-CCa,1999-03-01,21.111,1999,31,FALSE
AR-CCa,1999-04-01,7.133,1999,30,FALSE
AR-CCa,1999-05-01,9.362,1999,31,FALSE
AR-CCa,1999-06-01,1.044,1999,30,FALSE
AR-CCa,1999-07-01,7.912,1999,31,FALSE
AR-CCa,1999-08-01,8.87,1999,31,FALSE
AR-CCa,1999-09-01,13.997,1999,30,FALSE
AR-CCa,1999-10-01,13.381,1999,31,FALSE
AR-CCa,1999-11-01,6.696,1999,30,FALSE
AR-CCa,1999-12-01,9.481,1999,31,FALSE
AR-CCa,2000-01-01,7.288,2000,31,FALSE
AR-CCa,2000-02-01,23.806,2000,29,FALSE
AR-CCa,2000-03-01,12.487,2000,31,FALSE
AR-CCa,2000-04-01,10.733,2000,30,FALSE
AR-CCa,2000-05-01,17.287,2000,31,FALSE
AR-CCa,2000-06-01,3.294,2000,30,FALSE
AR-CCa,2000-07-01,2.01,2000,31,FALSE
AR-CCa,2000-08-01,4.181,2000,31,FALSE
AR-CCa,2000-09-01,12.511,2000,30,FALSE
AR-CCa,2000-10-01,19.719,2000,31,FALSE
AR-CCa,2000-11-01,14.295,2000,30,FALSE
AR-CCa,2000-12-01,8.696,2000,31,FALSE
AR-CCa,2001-01-01,16.162,2001,31,FALSE
AR-CCa,2001-02-01,15.565,2001,28,FALSE
AR-CCa,2001-03-01,38.319,2001,31,FALSE
AR-CCa,2001-04-01,11.399,2001,30,FALSE
AR-CCa,2001-05-01,4.966,2001,31,FALSE
AR-CCa,2001-06-01,8.5,2001,30,FALSE
AR-CCa,2001-07-01,2.58,2001,31,FALSE
AR-CCa,2001-08-01,10.383,2001,31,FALSE
AR-CCa,2001-09-01,12.959,2001,30,FALSE
AR-CCa,2001-10-01,30.949,2001,31,FALSE
AR-CCa,2001-11-01,17.76,2001,30,FALSE
AR-CCa,2001-12-01,3.928,2001,31,FALSE
AR-CCa,2002-01-01,13.742,2002,31,FALSE
AR-CCa,2002-02-01,8.069,2002,28,FALSE
AR-CCa,2002-03-01,28.742,2002,31,FALSE
AR-CCa,2002-04-01,8.872,2002,30,FALSE
AR-CCa,2002-05-01,6.068,2002,31,FALSE
AR-CCa,2002-06-01,2.224,2002,30,FALSE
