factor,level,n_total,n_excluded,pct_excluded
product_source_network,JPF,54,16,29.6
product_source_network,TERN,52,1,1.9
product_source_network,AMF,381,6,1.6
product_source_network,EUF,138,2,1.4
product_source_network,ICOS,80,1,1.2
product_source_network,CNF,32,0,0
product_source_network,FLX,18,0,0
product_source_network,KOF,21,0,0
product_source_network,SAEON,5,0,0
data_hub,ICOS,348,19,5.5
data_hub,TERN,52,1,1.9
data_hub,AmeriFlux,381,6,1.6
oneflux_code_version,v1.3,781,26,3.3
