site_id
AU-Fog
BR-Ji3
BR-SM1
CA-CF2
DE-SfS
JP-Fmt
JP-KaP
JP-Kzw
JP-MBF
JP-Mse
JP-Nuf
JP-SMF
JP-Shn
JP-Tak
JP-Tkb
JP-Yms
JP-Ynf
KH-Kmp
NO-And
PE-QFR
US-Cwt
US-HB4
IT-MBo
JP-Api
JP-Om2
JP-Nkm
