site_id,mat_era5,bio1_c,badm_mat_c,diff_bio1,diff_badm
AR-CCa,16.533752777777778,15.910833358764648,16.1,0.6229194190131295,0.43375277777777654
AR-TF2,5.161247222222222,3.1710000038146973,5.5,1.990247218407525,-0.3387527777777777
AU-Fog,26.028594444444444,27.035999298095703,NA,-1.0074048536512592,NA
BR-SM1,19.111208333333334,19.788333892822266,17.6,-0.6771255594889318,1.5112083333333324
CA-CF1,-7.989119444444444,-6.677000045776367,-6.5,-1.3121193986680773,-1.4891194444444444
CA-Cbo,7.6991,6.45550012588501,6.66,1.2435998741149898,1.0390999999999995
CA-SMC,-3.7418666666666667,-4.732166767120361,-2.8,0.9903001004536947,-0.9418666666666669
CN-Dda,4.218333333333334,4.534999847412109,NA,-0.31666651407877566,NA
CN-Dsh,-3.814827777777778,-3.5808334350585938,-2.8,-0.23399434271918418,-1.014827777777778
CN-HeD,9.656791666666667,8.952666282653809,8.3,0.7041253840128583,1.3567916666666662
CN-HeM,10.163994444444445,8.822999954223633,8.3,1.3409944902208117,1.8639944444444438
CN-Huz,8.852586111111112,5.605499744415283,7.3,3.2470863666958287,1.552586111111112
CN-Jng,-3.4540305555555557,-3.2333333492279053,-2.8,-0.22069720632765044,-0.6540305555555559
CN-Sb2,-0.5146166666666668,0.34766653180122375,-1.2,-0.8622831984678906,0.6853833333333331
CN-Sdq,10.44533611111111,8.812833786010742,8.3,1.6325023251003685,2.14533611111111
CN-Zha,8.935302777777778,7.112333297729492,7.3,1.822969480048286,1.6353027777777784
DE-Akm,9.296177777777778,8.43066692352295,9.7,0.8655108542548291,-0.403822222222221
DE-Etn,10.006983333333332,9.541500091552734,8.3,0.4654832417805981,1.7069833333333317
DE-Hdn,9.272658333333334,8.378499984741211,NA,0.8941583485921232,NA
DE-Hzd,9.617880555555555,8.241000175476074,7.6,1.3768803800794807,2.0178805555555552
DE-Spw,10.609283333333334,9.0823335647583,8.7,1.526949768575033,1.9092833333333346
DE-Zrk,9.009527777777778,8.331000328063965,8.7,0.6785274497138136,0.3095277777777792
DK-Eng,8.195244444444445,8.179499626159668,NA,0.015744818284776585,NA
EE-Rng,5.726216666666667,5.238500118255615,6.8,0.4877165484110515,-1.073783333333333
EE-Stg,7.186158333333333,5.449166774749756,6.3,1.7369915585835773,0.8861583333333334
ES-Dnn,17.528844444444445,17.820833206176758,18.4,-0.2919887617323127,-0.8711555555555535
ES-FtD,23.214730555555555,17.96299934387207,18.4,5.2517312116834844,4.814730555555556
ES-MtB,19.044127777777778,17.85947036743164,18.4,1.1846574103461371,0.6441277777777792
ES-MtN,21.307458333333333,17.858333587646484,18.4,3.4491247456868486,2.9074583333333344
ES-Mzn,13.030333333333333,11.321332931518555,11.4,1.7090004018147784,1.6303333333333327
ES-Srn,13.265802777777777,11.212166786193848,11.8,2.0536359915839295,1.4658027777777765
ES-TzM,14.834352777777777,14.271833419799805,13.7,0.5625193579779726,1.134352777777778
FI-Jok,4.669277777777778,4.152833461761475,4.6,0.5164443160163037,0.06927777777777866
FI-Nsv,3.1810111111111112,2.506166458129883,3.6,0.6748446529812284,-0.41898888888888886
FI-Ruk,2.919305555555556,1.9723334312438965,3.4,0.9469721243116593,-0.4806944444444441
FI-Si2,4.688863888888889,3.191666603088379,NA,1.4971972858005103,NA
IE-Cra,9.58736388888889,9.534832954406738,9.6,0.05253093448215118,-0.012636111111110182
