site_id,variable,mean_hh_mm,n_years_hh,mean_dd_mm,n_years_dd,mean_mm_mm,n_years_mm,mean_yy_mm,n_years_yy,bio12_mm,badm_map_mm
IT-MBo,P_ERA,1126.0970666666665,45,1126.1911777777775,45,1126.1942888888889,45,1126.1916888888888,45,407,1365
IT-MBo,P_F,1152.8071304347827,23,1152.822391304348,23,1152.8180869565217,23,1152.822347826087,23,407,1365
US-HB4,P_ERA,657076.7248444443,45,657076.6963111112,45,657076.7023777778,45,657076.6954,45,1350,1429
US-HB4,P_F,24571.836599999995,5,24571.837199999998,5,24571.8308,5,24571.8372,5,1350,1429
FI-Hyy,P_ERA,709.184222222222,45,709.4914222222221,45,709.4894222222222,45,709.4923111111111,45,663,711
FI-Hyy,P_F,700.3326551724135,29,700.4250344827584,29,700.4166896551724,29,700.4254827586207,29,663,711
