site_id,file_role,path,product_id,sha256,byte_size,mtime,feeds
ALL,bio12_badm_reference,review/diagnostics/era5_reference_plots/table_site_reference_comparison.csv,NA,96659c13153bdd0ecb454b14b5823a03381182af9d46637cae4774deda2ebb32,110678,2026-09-18T10:12:43-0700,table_1_mean_annual_by_resolution.csv (BIO12/BADM columns)
IT-MBo,era_dd,data/extracted/ICOS_IT-MBo_FLUXNET_2003-2025_v1.3_r1/ICOS_IT-MBo_FLUXNET_ERA5_DD_1981-2025_v1.3_r1.csv,enS2fTzGG_9PS5-51hqet8iH,3ff717114d35c9f0e6f09dc37e2683361093b1580ffa4a7ae18b8e8ddda02f78,1313470,2026-09-20T13:04:01-0700,"table_1_mean_annual_by_resolution.csv (all files); table_2_ts201301_worked_value.csv (fm_mm only, IT-MBo)"
IT-MBo,era_hh,data/extracted/ICOS_IT-MBo_FLUXNET_2003-2025_v1.3_r1/ICOS_IT-MBo_FLUXNET_ERA5_HH_1981-2025_v1.3_r1.csv,enS2fTzGG_9PS5-51hqet8iH,4542c24290459697d77df8098309815b97a993cabe70fa1f0654998e58f7821f,54948641,2026-09-20T05:04:20-0700,"table_1_mean_annual_by_resolution.csv (all files); table_2_ts201301_worked_value.csv (fm_mm only, IT-MBo)"
IT-MBo,era_mm,data/extracted/ICOS_IT-MBo_FLUXNET_2003-2025_v1.3_r1/ICOS_IT-MBo_FLUXNET_ERA5_MM_1981-2025_v1.3_r1.csv,enS2fTzGG_9PS5-51hqet8iH,ad22c27a48e4ed0a3582864e6fe9a5471ce870a9752e4c853499050c1df3ed52,42339,2026-09-20T13:04:01-0700,"table_1_mean_annual_by_resolution.csv (all files); table_2_ts201301_worked_value.csv (fm_mm only, IT-MBo)"
IT-MBo,era_yy,data/extracted/ICOS_IT-MBo_FLUXNET_2003-2025_v1.3_r1/ICOS_IT-MBo_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,enS2fTzGG_9PS5-51hqet8iH,7c3e651d2bdedda89c9475fa6a19bea1fe564f4c0432659315bfd6b0adb9c3e7,3611,2026-09-20T13:04:01-0700,"table_1_mean_annual_by_resolution.csv (all files); table_2_ts201301_worked_value.csv (fm_mm only, IT-MBo)"
IT-MBo,fm_dd,data/extracted/ICOS_IT-MBo_FLUXNET_2003-2025_v1.3_r1/ICOS_IT-MBo_FLUXNET_FLUXMET_DD_2003-2025_v1.3_r1.csv,enS2fTzGG_9PS5-51hqet8iH,ccac2740edfd0c0f49acde7057e1ee931d7fce9b111d65b837c24da6cabe9f85,20770297,2026-09-20T13:04:01-0700,"table_1_mean_annual_by_resolution.csv (all files); table_2_ts201301_worked_value.csv (fm_mm only, IT-MBo)"
IT-MBo,fm_hh,data/extracted/ICOS_IT-MBo_FLUXNET_2003-2025_v1.3_r1/ICOS_IT-MBo_FLUXNET_FLUXMET_HH_2003-2025_v1.3_r1.csv,enS2fTzGG_9PS5-51hqet8iH,2f63fd0eeaf4b370937255dbafe212d571ba8df415095b06f6ac7f7b77513290,619267437,2026-09-20T05:04:20-0700,"table_1_mean_annual_by_resolution.csv (all files); table_2_ts201301_worked_value.csv (fm_mm only, IT-MBo)"
IT-MBo,fm_mm,data/extracted/ICOS_IT-MBo_FLUXNET_2003-2025_v1.3_r1/ICOS_IT-MBo_FLUXNET_FLUXMET_MM_2003-2025_v1.3_r1.csv,enS2fTzGG_9PS5-51hqet8iH,b44a360e9dc9ce404512193e39f712bab0a702e5af17af8131a2469ae52d44f8,747140,2026-09-20T13:04:01-0700,"table_1_mean_annual_by_resolution.csv (all files); table_2_ts201301_worked_value.csv (fm_mm only, IT-MBo)"
IT-MBo,fm_yy,data/extracted/ICOS_IT-MBo_FLUXNET_2003-2025_v1.3_r1/ICOS_IT-MBo_FLUXNET_FLUXMET_YY_2003-2025_v1.3_r1.csv,enS2fTzGG_9PS5-51hqet8iH,d12b6fc52cef4e33786d63e3387f35c551c2fa73f0ed3658651af459eef6c2d3,67914,2026-09-20T13:04:01-0700,"table_1_mean_annual_by_resolution.csv (all files); table_2_ts201301_worked_value.csv (fm_mm only, IT-MBo)"
US-HB4,bif,data/extracted/AMF_US-HB4_FLUXNET_2020-2024_v1.3_r1/AMF_US-HB4_FLUXNET_BIF_2020-2024_v1.3_r1.csv,10.17190/AMF/2571130,aae0f09448ed7cb87bf28f966e19bef0a86de41de4a470cec9c4886d7576fbee,93428,2026-06-01T17:27:20-0700,"table_1_mean_annual_by_resolution.csv (all files); table_2_ts201301_worked_value.csv (fm_mm only, IT-MBo)"
US-HB4,era_dd,data/extracted/AMF_US-HB4_FLUXNET_2020-2024_v1.3_r1/AMF_US-HB4_FLUXNET_ERA5_DD_1981-2025_v1.3_r1.csv,10.17190/AMF/2571130,bb41d59bfc703eb152fd17400612fd4dfa8a4ecbac0a20d33892d7bf479c07c0,1370370,2026-06-01T17:27:20-0700,"table_1_mean_annual_by_resolution.csv (all files); table_2_ts201301_worked_value.csv (fm_mm only, IT-MBo)"
US-HB4,era_hh,data/extracted/AMF_US-HB4_FLUXNET_2020-2024_v1.3_r1/AMF_US-HB4_FLUXNET_ERA5_HH_1981-2025_v1.3_r1.csv,10.17190/AMF/2571130,71191e1cfa2355ddc796cf8fcbaea37b95ebaa54bcc68bf3177b68726b8fb96f,56194592,2026-09-20T05:11:36-0700,"table_1_mean_annual_by_resolution.csv (all files); table_2_ts201301_worked_value.csv (fm_mm only, IT-MBo)"
US-HB4,era_mm,data/extracted/AMF_US-HB4_FLUXNET_2020-2024_v1.3_r1/AMF_US-HB4_FLUXNET_ERA5_MM_1981-2025_v1.3_r1.csv,10.17190/AMF/2571130,e82cb3392c0dc7bb4ad958e81f602cfba5d3b82541aa48edd1bce09ddd323f9d,45105,2026-06-01T17:27:20-0700,"table_1_mean_annual_by_resolution.csv (all files); table_2_ts201301_worked_value.csv (fm_mm only, IT-MBo)"
US-HB4,era_yy,data/extracted/AMF_US-HB4_FLUXNET_2020-2024_v1.3_r1/AMF_US-HB4_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,10.17190/AMF/2571130,6ec5e9f8a55d909387176377be09f45d458e471eb100f2dd48748c9059530bea,3889,2026-06-01T17:27:20-0700,"table_1_mean_annual_by_resolution.csv (all files); table_2_ts201301_worked_value.csv (fm_mm only, IT-MBo)"
US-HB4,fm_dd,data/extracted/AMF_US-HB4_FLUXNET_2020-2024_v1.3_r1/AMF_US-HB4_FLUXNET_FLUXMET_DD_2020-2024_v1.3_r1.csv,10.17190/AMF/2571130,a10e584c3a79fc86d35798d60060103bf348278b6244892e14176ac559cdfbd8,4325332,2026-06-01T17:27:20-0700,"table_1_mean_annual_by_resolution.csv (all files); table_2_ts201301_worked_value.csv (fm_mm only, IT-MBo)"
US-HB4,fm_hh,data/extracted/AMF_US-HB4_FLUXNET_2020-2024_v1.3_r1/AMF_US-HB4_FLUXNET_FLUXMET_HH_2020-2024_v1.3_r1.csv,10.17190/AMF/2571130,2c5a0ee1b1fb062af0514a7df9848eb3c1b4ac4809163878b722a35a84bbca7f,129240549,2026-09-20T05:11:36-0700,"table_1_mean_annual_by_resolution.csv (all files); table_2_ts201301_worked_value.csv (fm_mm only, IT-MBo)"
US-HB4,fm_mm,data/extracted/AMF_US-HB4_FLUXNET_2020-2024_v1.3_r1/AMF_US-HB4_FLUXNET_FLUXMET_MM_2020-2024_v1.3_r1.csv,10.17190/AMF/2571130,289df593cbd9cd2c72f251864ec9322d055af503641e3b2f5614b04ea511dc79,159205,2026-06-01T17:27:20-0700,"table_1_mean_annual_by_resolution.csv (all files); table_2_ts201301_worked_value.csv (fm_mm only, IT-MBo)"
US-HB4,fm_yy,data/extracted/AMF_US-HB4_FLUXNET_2020-2024_v1.3_r1/AMF_US-HB4_FLUXNET_FLUXMET_YY_2020-2024_v1.3_r1.csv,10.17190/AMF/2571130,d2cea19aeb366a2a595d3ffb1c27dd3c0963489ed45af5509b8c7f0271a96140,17788,2026-06-01T17:27:20-0700,"table_1_mean_annual_by_resolution.csv (all files); table_2_ts201301_worked_value.csv (fm_mm only, IT-MBo)"
