site_id,n_years_era5,map_era5,n_years_pf_all,map_pf_allmonths,n_months_qc0,map_pf_qc0_monthly_mean,map_pf_qc0_annualized,n_months_total,n_qc0,frac_filled,bio12_mm,badm_map_mm,excluded,ratio_to_bio12,ratio_to_pf_allmonths,ratio_to_pf_qc0,ratio_to_badm_map,too_few_qc0_months,implausible_raw,data_hub,product_source_network,oneflux_code_version,fluxnet_product_name,product_id
CR-AqC,30,3000.089966666667,8,3054.10525,NA,NA,NA,96,0,1,3307,3207,FALSE,0.9071938211873803,0.9823138762708544,NA,0.9354817482590168,TRUE,FALSE,ICOS,FLX,v1.3,FLX_CR-AqC_FLUXNET_2009-2016_v1.3_r1.zip,yRjv2loTLxMX5_elU4L2aqKw
CR-Fsc,30,1835.0328666666667,4,1656.3625,NA,NA,NA,48,0,1,1824,NA,FALSE,1.006048720760234,1.1078691208395908,NA,NA,TRUE,FALSE,AmeriFlux,AMF,v1.3,AMF_CR-Fsc_FLUXNET_2015-2018_v1.3_r1.zip,10.17190/AMF/2571109
CZ-BK1,30,1223.8335333333334,17,1261.2171176470588,5,3.304,1191.8999999999999,204,5,0.9754901960784313,1013,1338.12,FALSE,1.2081278710102008,0.9703591207329404,1.026792124618956,0.9145917655616339,TRUE,FALSE,ICOS,ICOS,v1.3,ICOS_CZ-BK1_FLUXNET_2004-2025_v1.3_r1.zip,HH11awh469XrSeL0fO6WxYA4
CZ-BK2,30,1092.0189,7,1094.557142857143,40,2.868675,1046.0445,84,40,0.5238095238095238,1003,1316,FALSE,1.0887526420737788,0.9976810321199702,1.0439507114659081,0.8298015957446808,FALSE,FALSE,ICOS,EUF,v1.3,EUF_CZ-BK2_FLUXNET_2006-2012_v1.3_r1.zip,x40X4P6k4g30f_OFC6o4vHvJ
CZ-KrP,30,604.5559666666667,7,626.7767142857143,3,1.5736666666666665,582.784,84,3,0.9642857142857143,576,620,FALSE,1.0495763310185184,0.9645475859064566,1.0373585525111648,0.9750902688172043,TRUE,FALSE,ICOS,EUF,v1.3,EUF_CZ-KrP_FLUXNET_2014-2023_v1.3_r2.zip,cqH_ifs_P83CsahNQXGTp3Im
CZ-LnG,30,500.80443333333335,2,542.561,12,1.3669166666666666,500.831,24,12,0.5,647,0,FALSE,0.7740408552292632,0.9230380239887005,0.999946954827743,Inf,FALSE,FALSE,ICOS,EUF,v1.3,EUF_CZ-LnG_FLUXNET_2019-2024_v1.3_r1.zip,cezPci33oJjpbkjDF47P8YIK
CZ-Lnz,30,518.4126,6,521.0946666666666,1,1.661,617.892,72,1,0.9861111111111112,647,518.031,FALSE,0.8012559505409582,0.9948530145514187,0.8390019615078362,1.0007366354523186,TRUE,FALSE,ICOS,ICOS,v1.3,ICOS_CZ-Lnz_FLUXNET_2015-2025_v1.3_r1.zip,qtH0gyWH-yg0lP-HmC2lXv24
CZ-RAJ,30,660.3521000000001,9,664.8667777777778,NA,NA,NA,108,0,1,606,681,FALSE,1.0896899339933994,0.9932096505214663,NA,0.9696800293685757,TRUE,FALSE,ICOS,EUF,v1.3,EUF_CZ-RAJ_FLUXNET_2012-2024_v1.3_r1.zip,LlmTy3u9548FEMXEW59RiWpY
CZ-Stn,30,671.8468,11,667.8116363636364,5,1.6598,604.0152,132,5,0.9621212121212122,794,685,FALSE,0.8461546599496222,1.0060423679622235,1.1123011473883437,0.9807982481751826,TRUE,FALSE,ICOS,EUF,v1.3,EUF_CZ-Stn_FLUXNET_2010-2024_v1.3_r1.zip,CM9ZMyBcfqBoKkmLPUDwiyMo
CZ-wet,30,571.4314666666667,15,576.3324,12,1.4981666666666666,548.249,180,12,0.9333333333333333,632,603,FALSE,0.9041637130801687,0.9914963425041984,1.0422845580505695,0.9476475400773908,FALSE,FALSE,ICOS,ICOS,v1.3,ICOS_CZ-wet_FLUXNET_2006-2025_v1.3_r1.zip,ezclJdsSs31JZaOdM4gbLbIn
DE-Akm,30,2403.4020666666665,12,2435.146333333333,144,6.648916666666667,2435.146333333333,144,144,0,563,562,FALSE,4.26892018946122,0.9869641235797055,0.9869641235797055,4.276516132858838,FALSE,FALSE,ICOS,EUF,v1.3,EUF_DE-Akm_FLUXNET_2009-2024_v1.3_r2.zip,P8ryFkG8dw0RkoDJmqv06lnk
DE-Amv,30,750.4336333333333,NA,NA,NA,NA,NA,NA,NA,NA,773,835,FALSE,0.9708067701595515,NA,NA,0.8987229141716566,TRUE,FALSE,ICOS,ICOS,v1.3,ICOS_DE-Amv_FLUXNET_2023-2025_v1.3_r1.zip,D540Aaoeoyu95tgun4okCWUT
DE-Brs,30,669.0684,NA,NA,NA,NA,NA,NA,NA,NA,624,617.9,FALSE,1.072225,NA,NA,1.08281016345687,TRUE,FALSE,ICOS,ICOS,v1.3,ICOS_DE-Brs_FLUXNET_2023-2025_v1.3_r1.zip,6vn4QkbfvwSPJpiJvhtI7OcR
DE-Etn,30,4270.398866666666,NA,NA,NA,NA,NA,NA,NA,NA,1062,1190,FALSE,4.021091211550534,NA,NA,3.588570476190476,TRUE,FALSE,ICOS,EUF,v1.3,EUF_DE-Etn_FLUXNET_2024-2024_v1.3_r1.zip,timq13anOgu_cC9YrhwCaa1K
DE-Fen,30,1042.6085333333333,NA,NA,NA,NA,NA,NA,NA,NA,1131,1081,FALSE,0.9218466254052461,NA,NA,0.9644852297255627,TRUE,FALSE,ICOS,ICOS,v1.3,ICOS_DE-Fen_FLUXNET_2023-2025_v1.3_r1.zip,eETzHZHUPeVJNjSa3fM24SeW
DE-Geb,30,611.8403,1,529.735,11,1.5238181818181817,555.5389090909091,12,11,0.08333333333333337,500,534,FALSE,1.2236806,1.1549931569558363,1.1013455403172807,1.145768352059925,TRUE,FALSE,ICOS,ICOS,v1.3,ICOS_DE-Geb_FLUXNET_2020-2024_v1.3_r1.zip,jFkfMT_3ZahqoODz-R82VeUG
DE-Gri,30,913.0325333333334,17,921.8405882352941,NA,NA,NA,204,0,1,790,NA,FALSE,1.1557373839662448,0.990445143103514,NA,NA,TRUE,FALSE,ICOS,ICOS,v1.3,ICOS_DE-Gri_FLUXNET_2004-2025_v1.3_r1.zip,X0926p0IGvNrpp1IJMw0tdUd
DE-GsB,30,516.6206666666667,6,500.5713333333333,NA,NA,NA,72,0,1,505,581,FALSE,1.0230112211221123,1.0320620304532022,NA,0.8891921973608721,TRUE,FALSE,ICOS,ICOS,v1.3,ICOS_DE-GsB_FLUXNET_2015-2025_v1.3_r1.zip,NY1UuClNrkeU0UUXUUoECmLZ
DE-Gwg,30,1172.6761999999999,NA,NA,NA,NA,NA,NA,NA,NA,1331,1616,FALSE,0.8810489857250187,NA,NA,0.7256659653465346,TRUE,FALSE,ICOS,ICOS,v1.3,ICOS_DE-Gwg_FLUXNET_2023-2025_v1.3_r1.zip,S17epXE0dyBL-CiW8bGF9CNu
DE-Hai,30,729.2309333333334,21,717.236,10,2.0616,751.0440000000001,252,10,0.9603174603174603,865,744,FALSE,0.8430415414258189,1.0167238305569344,0.9709563398859897,0.9801491039426524,TRUE,FALSE,ICOS,ICOS,v1.3,ICOS_DE-Hai_FLUXNET_2000-2025_v1.3_r1.zip,VsQ1NTQTcEO5zRyfZjrBtkQa
DE-Har,30,594.0937666666666,1,465.056,NA,NA,NA,12,0,1,797,641,FALSE,0.745412505227938,1.27746715807702,NA,0.9268233489339573,TRUE,FALSE,ICOS,ICOS,v1.3,ICOS_DE-Har_FLUXNET_2020-2025_v1.3_r1.zip,AG7-cp4Sxh0AESZmLri2F-At
DE-Hdn,30,2464.5783333333334,1,2259.168,12,6.172166666666667,2259.168,12,12,0,559,NA,FALSE,4.4089057841383426,1.0909230005618586,1.0909230005618586,NA,FALSE,FALSE,ICOS,EUF,v1.3,EUF_DE-Hdn_FLUXNET_2020-2023_v1.3_r1.zip,6L5koGxrPosquldCoKHd45Q8
DE-HoH,30,494.7356666666667,6,468.0973333333334,NA,NA,NA,72,0,1,572,563,FALSE,0.8649224941724942,1.0569076801690815,NA,0.8787489638839551,TRUE,FALSE,ICOS,ICOS,v1.3,ICOS_DE-HoH_FLUXNET_2015-2025_v1.3_r1.zip,tfW10G3Do0hp0cimfI4XrgSd
DE-Hte,30,607.5053,10,615.3076,NA,NA,NA,120,0,1,584,645,FALSE,1.040248801369863,0.9873196755573961,NA,0.9418686821705426,TRUE,FALSE,ICOS,EUF,v1.3,EUF_DE-Hte_FLUXNET_2009-2018_v1.3_r2.zip,zbIc22jMQSru_HymYjw5kWC-
DE-Hzd,30,3285.0614666666665,NA,NA,NA,NA,NA,NA,NA,NA,759,877,FALSE,4.328144224857268,NA,NA,3.7457941467122766,TRUE,FALSE,ICOS,ICOS,v1.3,ICOS_DE-Hzd_FLUXNET_2010-2025_v1.3_r1.zip,0bxipd79PBLdqj1HiB_ghXvT
DE-Kli,30,785.4598666666667,3,584.976,2,0.8845000000000001,324.96,36,2,0.9444444444444444,826,756,FALSE,0.9509199354317999,1.342721524757711,2.417097078614804,1.038968077601411,TRUE,FALSE,ICOS,ICOS,v1.3,ICOS_DE-Kli_FLUXNET_2018-2024_v1.3_r1.zip,ViYMPdxbY25optpqiQ7OVgXN
DE-Lkb,30,4786.6331666666665,5,4767.3366,60,13.012466666666667,4767.3366000000005,60,60,0,1332,1599,FALSE,3.593568443443443,1.0040476618887508,1.0040476618887506,2.993516677089848,FALSE,FALSE,ICOS,EUF,v1.3,EUF_DE-Lkb_FLUXNET_2009-2013_v1.3_r1.zip,VNA_ubq_zjZPgC8339cL7BwL
DE-Lnf,30,572.2909333333333,19,586.9763684210526,43,1.7224883720930233,628.1575813953489,228,43,0.8114035087719298,849,0,FALSE,0.674076482135846,0.9749812158073372,0.911062685993669,Inf,FALSE,FALSE,ICOS,EUF,v1.3,EUF_DE-Lnf_FLUXNET_2002-2024_v1.3_r1.zip,Iy6uj-QptZzaR9BFnqiv4hF6
DE-Msr,30,1160.6819666666668,1,1151.378,5,2.3644,855.78,12,5,0.5833333333333333,1146,1383,FALSE,1.0128114892379292,1.0080807229829534,1.3562854549845367,0.8392494335984575,TRUE,FALSE,ICOS,ICOS,v1.3,ICOS_DE-Msr_FLUXNET_2020-2025_v1.3_r1.zip,PSOHmMVaU1pPQSoGDVJRPW6y
DE-Obe,30,965.4549999999999,13,957.9663076923077,NA,NA,NA,156,0,1,809,981,FALSE,1.1933930778739184,1.0078172815135138,NA,0.9841539245667685,TRUE,FALSE,ICOS,EUF,v1.3,EUF_DE-Obe_FLUXNET_2008-2024_v1.3_r1.zip,mk-YBqXT0YwbluI9V726yD2d
DE-Rns,30,492.0482,NA,NA,NA,NA,NA,NA,NA,NA,655,645,FALSE,0.7512186259541985,NA,NA,0.7628654263565892,TRUE,FALSE,ICOS,EUF,v1.3,EUF_DE-Rns_FLUXNET_2021-2024_v1.3_r2.zip,ZOfRvdcakFBnrRQoiDMUEyds
DE-RuC,30,1153.0368666666666,8,1124.66275,13,2.8056923076923077,1024.6061538461538,96,13,0.8645833333333334,1131,1250,FALSE,1.0194844090775124,1.0252290001306317,1.125346419537313,0.9224294933333332,FALSE,FALSE,ICOS,EUF,v1.3,EUF_DE-RuC_FLUXNET_2013-2024_v1.3_r1.zip,MKtmPmXNZnCQc-p38RBQGATH
DE-RuM,30,507.6691333333333,9,497.09366666666665,8,1.4845,540.501,108,8,0.9259259259259259,719,750,FALSE,0.7060766805748725,1.021274595465241,0.9392566032871972,0.6768921777777778,TRUE,FALSE,ICOS,EUF,v1.3,EUF_DE-RuM_FLUXNET_2011-2019_v1.3_r1.zip,u8eIM1nL0KdiWr-MLixNMsMS
DE-RuR,30,884.6440333333334,10,857.4574,7,2.0365714285714285,741.8022857142857,120,7,0.9416666666666667,1066,1033,FALSE,0.8298724515322077,1.0317061038056623,1.1925604037220032,0.8563833817360439,TRUE,FALSE,ICOS,ICOS,v1.3,ICOS_DE-RuR_FLUXNET_2011-2025_v1.3_r1.zip,Vs7FI6NOiRl_VH7Wkclfl_3t
DE-RuS,30,571.5275666666666,10,551.9577,16,1.3615,498.08399999999995,120,16,0.8666666666666667,714,698,FALSE,0.800458776844071,1.0354553739655532,1.147452170048961,0.8188074021012416,FALSE,FALSE,ICOS,ICOS,v1.3,ICOS_DE-RuS_FLUXNET_2011-2024_v1.3_r1.zip,9m1zuO-nvw0zGnEdt0qo3Xzw
DE-RuW,30,1095.6656,10,1043.6379,4,2.7895,1026.339,120,4,0.9666666666666667,1152,1250,FALSE,0.9510986111111112,1.0498522523952034,1.067547467259843,0.8765324800000001,TRUE,FALSE,ICOS,ICOS,v1.3,ICOS_DE-Kli_FLUXNET_2004-2025_v1.3_r1.zip,mlrCmtpUu7ZzEbkvYEK1DpMg
DE-SbM,30,3300.8578333333335,NA,NA,NA,NA,NA,NA,NA,NA,1500,1136,FALSE,2.2005718888888888,NA,NA,2.9056847124413148,TRUE,FALSE,ICOS,EUF,v1.3,EUF_DE-SbM_FLUXNET_2023-2024_v1.3_r1.zip,JeVgt8rDc-YmluX84aD3xarU
DE-Seh,30,513.2817333333334,4,559.646,6,1.4903333333333333,540.266,48,6,0.875,714,693,FALSE,0.7188819794584501,0.9171542963468575,0.9500537389606849,0.7406662818662819,TRUE,FALSE,ICOS,EUF,v1.3,EUF_DE-Seh_FLUXNET_2007-2010_v1.3_r1.zip,CpSdf06dlgeBWeO1tSHFwc2D
DE-SfS,30,5251.853666666667,11,5117.1810000000005,132,13.968818181818182,5117.1810000000005,132,132,0,1115,1127,TRUE,4.710182660687593,1.026317745388851,1.026317745388851,4.660029872818693,FALSE,FALSE,ICOS,EUF,v1.3,EUF_DE-SfS_FLUXNET_2010-2020_v1.3_r1.zip,3wyudmvcaouNNJhVUFGNapGm
DE-Spw,30,2414.6585666666665,6,2613.9391666666666,72,7.126138888888889,2613.939166666667,72,72,0,553,558,FALSE,4.366471187462326,0.9237623420845996,0.9237623420845995,4.327345101553166,FALSE,FALSE,ICOS,EUF,v1.3,EUF_DE-Spw_FLUXNET_2010-2015_v1.3_r1.zip,gb2UwUz8CoKkqKzLApzvIDME
DE-Tha,30,804.5215333333333,25,806.2805999999999,11,1.4802727272727274,537.9370909090909,300,11,0.9633333333333334,737,829,FALSE,1.0916167345092718,0.9978182946896321,1.49556806349554,0.9704722959388822,TRUE,FALSE,ICOS,ICOS,v1.3,ICOS_DE-Tha_FLUXNET_1996-2025_v1.3_r1.zip,3LQRnWuwu9ngPJQCQu2r2DTy
DE-Zrk,30,2655.0587333333333,8,2561.820625,96,6.998385416666666,2561.820625,96,96,0,594,584,FALSE,4.469795847362514,1.0363952524323725,1.0363952524323725,4.546333447488585,FALSE,FALSE,ICOS,EUF,v1.3,EUF_DE-Zrk_FLUXNET_2013-2022_v1.3_r1.zip,2FbdCUZozMmOpJwWEN3plb49
DK-Eng,30,2593.9773666666665,4,2642.8187500000004,48,7.216875,2642.81875,48,48,0,606,NA,FALSE,4.280490704070407,0.9815192081056131,0.9815192081056132,NA,FALSE,FALSE,ICOS,EUF,v1.3,EUF_DK-Eng_FLUXNET_2005-2008_v1.3_r1.zip,AK-_MzK94ElJrWETR-czULE2
DK-Fou,30,721.6794333333333,1,647.1510000000001,NA,NA,NA,12,0,1,714,NA,FALSE,1.0107555088702147,1.1151639004395162,NA,NA,TRUE,FALSE,ICOS,EUF,v1.3,EUF_DK-Fou_FLUXNET_2005-2005_v1.3_r1.zip,-2GoD8_IvjHfXvvW0-AkljOu
DK-Gds,30,918.4582666666666,1,1016.7629999999999,6,2.9135,1051.3120000000001,12,6,0.5,795,883,FALSE,1.1552934171907756,0.9033159808791889,0.8736305365739824,1.0401565873914684,TRUE,FALSE,ICOS,ICOS,v1.3,ICOS_DK-Gds_FLUXNET_2020-2022_v1.3_r1.zip,vDQDn0hIxnz9gRAIc3duWbUE
DK-RCW,30,451.0605,NA,NA,NA,NA,NA,NA,NA,NA,606,729.4,FALSE,0.7443242574257426,NA,NA,0.6183993693446669,TRUE,FALSE,ICOS,ICOS,v1.3,ICOS_DK-RCW_FLUXNET_2023-2025_v1.3_r1.zip,n7btzoKSWqU_0YyN9omZcsdh
DK-Skj,30,779.0029666666667,1,1034.1530000000002,7,2.597,942.2348571428571,12,7,0.41666666666666663,813,809,FALSE,0.9581832308323084,0.7532763204928734,0.8267609298904954,0.9629208487845077,TRUE,FALSE,ICOS,ICOS,v1.3,ICOS_DK-Skj_FLUXNET_2020-2022_v1.3_r1.zip,JPkhq8xhlXF20Cijd7pHUd-T
DK-Sor,30,775.8816333333333,25,819.50636,13,1.617846153846154,589.3735384615385,300,13,0.9566666666666667,613,640,FALSE,1.2657122892876562,0.9467670675958308,1.3164514229102364,1.2123150520833332,FALSE,FALSE,ICOS,ICOS,v1.3,ICOS_DK-Sor_FLUXNET_1996-2024_v1.3_r1.zip,lwXfRUVQCnuq5OcIe-F6tpib
DK-Vng,30,886.9529,1,967.089,9,2.698888888888889,981.5026666666668,12,9,0.25,822,961,FALSE,1.0790181265206813,0.9171367888581092,0.9036683547811721,0.9229478668054111,TRUE,FALSE,ICOS,ICOS,v1.3,ICOS_DK-Vng_FLUXNET_2020-2023_v1.3_r1.zip,SdbEo5oQOf__w-zjUCIB3EOL
EE-Pts,30,579.7667666666667,NA,NA,NA,NA,NA,NA,NA,NA,684,870.5,FALSE,0.847612231968811,NA,NA,0.6660158146659009,TRUE,FALSE,ICOS,EUF,v1.3,EUF_EE-Pts_FLUXNET_2022-2024_v1.3_r1.zip,j8jcyOzfXuBoZFKfMcbX5HQb
EE-Rng,30,697.6556666666667,NA,NA,NA,NA,NA,NA,NA,NA,647,107.1,FALSE,1.0782931478619269,NA,NA,6.514058512293807,TRUE,FALSE,ICOS,EUF,v1.3,EUF_EE-Rng_FLUXNET_2023-2024_v1.3_r1.zip,bokdUcMa7H-mSuOKeMR3mYiK
EE-Stg,30,2750.2968333333333,5,2762.335,60,7.563766666666667,2762.335,60,60,0,659,675,FALSE,4.17343980778958,0.9956420323144489,0.9956420323144489,4.0745138271604935,FALSE,FALSE,ICOS,EUF,v1.3,EUF_EE-Stg_FLUXNET_2016-2024_v1.3_r1.zip,C4Y455t1rGorFhBAkA5CiOXw
ES-Abr,30,372.7431666666667,6,337.9531666666667,10,0.8148,298.734,72,10,0.8611111111111112,559,NA,FALSE,0.6668035181872392,1.1029432579169007,1.2477426964010347,NA,TRUE,FALSE,ICOS,EUF,v1.3,EUF_ES-Abr_FLUXNET_2015-2020_v1.3_r1.zip,9_zyiamtBTthobX1dZHj5Z_G
ES-Agu,30,265.89203333333336,15,267.09246666666667,41,0.723390243902439,263.97804878048777,180,41,0.7722222222222223,254,0,FALSE,1.0468190288713912,0.9955055515106255,1.0072505443603652,Inf,FALSE,FALSE,ICOS,EUF,v1.3,EUF_ES-Agu_FLUXNET_2006-2024_v1.3_r1.zip,smUITWSfoJ6VoyqONgDBxTSn
ES-Amo,30,240.4131,13,250.38123076923077,35,0.7089428571428572,259.1094857142857,156,35,0.7756410256410257,219,0,FALSE,1.0977767123287672,0.9601881868756443,0.9278436848317402,Inf,FALSE,FALSE,ICOS,EUF,v1.3,EUF_ES-Amo_FLUXNET_2007-2019_v1.3_r1.zip,O6rek4-yeo_2LQrvCqM88Xvf
ES-Cnd,30,2141.2092333333335,7,2094.8314285714287,84,5.764714285714286,2094.8314285714287,84,84,0,368,474,FALSE,5.818503351449276,1.0221391583730115,1.0221391583730115,4.517319057665261,FALSE,FALSE,ICOS,EUF,v1.3,EUF_ES-Cnd_FLUXNET_2014-2021_v1.3_r1.zip,ak3chQKBZovcC1AIpPf0aaJw
ES-Crg,30,471.4329333333333,NA,NA,NA,NA,NA,NA,NA,NA,410,550,FALSE,1.1498364227642277,NA,NA,0.8571507878787878,TRUE,FALSE,ICOS,EUF,v1.3,EUF_ES-Crg_FLUXNET_2021-2024_v1.3_r1.zip,OuvCtRGBok2ZxUrKwXIP5LDY
ES-Dnn,30,1910.7018333333333,NA,NA,NA,NA,NA,NA,NA,NA,505,548.6,FALSE,3.78356798679868,NA,NA,3.4828688175963056,TRUE,FALSE,ICOS,EUF,v1.3,EUF_ES-Dnn_FLUXNET_2024-2024_v1.3_r1.zip,dnuv1IF5YfwR9HAxV7HJCIcx
ES-FtD,30,1910.7018333333333,NA,NA,NA,NA,NA,NA,NA,NA,511,548.6,FALSE,3.7391425309849966,NA,NA,3.4828688175963056,TRUE,FALSE,ICOS,EUF,v1.3,EUF_ES-FtD_FLUXNET_2021-2024_v1.3_r1.zip,XVdkuBOyHTuezFce92fJHego
ES-Gdn,30,2141.2092333333335,7,2094.8314285714287,84,5.764714285714286,2094.8314285714287,84,84,0,368,471,FALSE,5.818503351449276,1.0221391583730115,1.0221391583730115,4.546091790516631,FALSE,FALSE,ICOS,EUF,v1.3,EUF_ES-Gdn_FLUXNET_2014-2021_v1.3_r1.zip,EhJy8Xkd_vyJfhWOz3TNnFg-
ES-HdD,30,347.63956666666667,NA,NA,NA,NA,NA,NA,NA,NA,580,400,FALSE,0.5993785632183908,NA,NA,0.8690989166666667,TRUE,FALSE,ICOS,EUF,v1.3,EUF_ES-HdD_FLUXNET_2024-2024_v1.3_r1.zip,w-KQ8NQ2IIyy_hF0LeeyY5EY
ES-HeB,30,226.37313333333333,2,276.7105,1,2.262,841.4639999999999,24,1,0.9583333333333334,339,332,FALSE,0.667767354965585,0.8180865320735329,0.2690229568149479,0.6818467871485944,TRUE,FALSE,ICOS,EUF,v1.3,EUF_ES-HeB_FLUXNET_2019-2024_v1.3_r1.zip,K1e9bqWUrsIlqHjlDzbl2VzM
ES-Hen,30,196.6684,2,251.729,NA,NA,NA,24,0,1,329,332,FALSE,0.597776291793313,0.7812703343675141,NA,0.5923746987951807,TRUE,FALSE,ICOS,EUF,v1.3,EUF_ES-Hen_FLUXNET_2019-2024_v1.3_r1.zip,MFHVWXPN9W_gfpI8fA4UtBVf
ES-LJu,30,540.1769666666667,17,591.0045294117647,30,1.5909,580.3844,204,30,0.8529411764705882,527,400,FALSE,1.0250037318153067,0.9139980148786889,0.9307227531730119,1.3504424166666666,FALSE,FALSE,ICOS,EUF,v1.3,EUF_ES-LJu_FLUXNET_2004-2024_v1.3_r1.zip,TWomFhgjVCGRurmVpcaHcRD5
ES-LM1,30,695.5762,7,649.9458571428571,2,6.231,2202.804,84,2,0.9761904761904762,465,700,FALSE,1.4958627956989248,1.0702063754321514,0.3157685386443823,0.9936802857142857,TRUE,FALSE,ICOS,EUF,v1.3,EUF_ES-LM1_FLUXNET_2014-2024_v1.3_r1.zip,9c9e--DRFTTyhtl6c0lcA3O6
ES-LM2,30,673.2625666666667,7,615.299,2,6.031000000000001,2132.094,84,2,0.9761904761904762,465,700,FALSE,1.447876487455197,1.0942039019511922,0.31577527382313664,0.9618036666666666,TRUE,FALSE,ICOS,EUF,v1.3,EUF_ES-LM2_FLUXNET_2014-2024_v1.3_r1.zip,CgWe1iCQaO3oYYxgSMEe1BSq
ES-LMa,30,723.3152666666666,1,614.5530000000001,NA,NA,NA,12,0,1,465,670,FALSE,1.5555167025089605,1.1769778467710132,NA,1.0795750248756217,TRUE,FALSE,ICOS,ICOS,v1.3,ICOS_ES-LMa_FLUXNET_2020-2025_v1.3_r1.zip,WHuC_WF5n_uhQMHgTWaBSmrr
ES-LgS,30,468.6667,3,526.9609999999999,2,1.7334999999999998,598.3439999999999,36,2,0.9444444444444444,760,NA,FALSE,0.6166667105263158,0.889376443418014,0.7832730001470727,NA,TRUE,FALSE,ICOS,EUF,v1.3,EUF_ES-LgS_FLUXNET_2007-2009_v1.3_r1.zip,39o6NThdN0JnaIr99K8pvny2
ES-Ln2,30,2328.583633333333,1,3238.2930000000006,12,8.879,3238.293,12,12,0,787,NA,FALSE,2.958810207539178,0.7190774995756507,0.7190774995756508,NA,FALSE,FALSE,ICOS,EUF,v1.3,EUF_ES-Ln2_FLUXNET_2009-2009_v1.3_r1.zip,g9leg2h8KqvlcEUVuisiJFd9
ES-Mcd,30,366.7046666666667,3,483.47499999999997,7,1.224,437.78914285714285,36,7,0.8055555555555556,427,470,FALSE,0.858793130366901,0.7584769981212405,0.837628508266428,0.780222695035461,TRUE,FALSE,ICOS,EUF,v1.3,EUF_ES-Mcd_FLUXNET_2018-2024_v1.3_r1.zip,jyX3FQLrXu_wjllntwoO10IQ
ES-MtB,30,1910.7018333333333,NA,NA,NA,NA,NA,NA,NA,NA,500,548.6,FALSE,3.8214036666666664,NA,NA,3.4828688175963056,TRUE,FALSE,ICOS,EUF,v1.3,EUF_ES-MtB_FLUXNET_2021-2024_v1.3_r1.zip,fZRunEwzLwhz0ZYzshuo9-cS
ES-MtN,30,1910.7018333333333,NA,NA,NA,NA,NA,NA,NA,NA,507,548.6,FALSE,3.7686426692965154,NA,NA,3.4828688175963056,TRUE,FALSE,ICOS,EUF,v1.3,EUF_ES-MtN_FLUXNET_2024-2024_v1.3_r1.zip,lJTi2ztBm4QTcyuhsB4tcap1
ES-Mzn,30,2128.8712666666665,NA,NA,NA,NA,NA,NA,NA,NA,424,512,FALSE,5.020922798742138,NA,NA,4.157951692708333,TRUE,FALSE,ICOS,EUF,v1.3,EUF_ES-Mzn_FLUXNET_2023-2024_v1.3_r1.zip,HPlYEFEhMzxWYOTC7Ch8Ku5a
ES-Pdu,30,2328.583633333333,4,1968.998,48,5.4308958333333335,1968.998,48,48,0,456,NA,FALSE,5.106543055555555,1.182623666115117,1.182623666115117,NA,FALSE,FALSE,ICOS,EUF,v1.3,EUF_ES-Pdu_FLUXNET_2014-2017_v1.3_r1.zip,2ymbZLqZeToLY29BAzHOvpA4
ES-Pzb,30,502.4209,1,478.322,8,1.100125,404.1105,12,8,0.33333333333333337,571,500,FALSE,0.8798964973730298,1.0503821693336288,1.2432760346489389,1.0048418000000001,TRUE,FALSE,ICOS,EUF,v1.3,EUF_ES-Pzb_FLUXNET_2020-2024_v1.3_r1.zip,7xwSGufRWY7Duyrf11N282pK
ES-Srn,30,2009.6956666666667,NA,NA,NA,NA,NA,NA,NA,NA,421,476,FALSE,4.7736239113222485,NA,NA,4.222049719887956,TRUE,FALSE,ICOS,EUF,v1.3,EUF_ES-Srn_FLUXNET_2023-2024_v1.3_r1.zip,zeJEF_Ad4wJIKY-U5orJ3sKQ
ES-TzM,30,1359.1763666666666,1,1521.853,12,4.141666666666667,1521.853,12,12,0,403,314,FALSE,3.372646071133168,0.893106211090471,0.893106211090471,4.328587154989384,FALSE,FALSE,ICOS,EUF,v1.3,EUF_ES-TzM_FLUXNET_2020-2024_v1.3_r1.zip,gu5gauPM7ynjb6T28S4OY_sW
ES-VDA,30,771.4939,NA,NA,NA,NA,NA,NA,NA,NA,974,700,FALSE,0.7920881930184805,NA,NA,1.102134142857143,TRUE,FALSE,ICOS,EUF,v1.3,EUF_ES-VDA_FLUXNET_2022-2024_v1.3_r1.zip,mLCP7JnLuR2woC45y23wPdGC
ES-Yst,30,398.3828,2,448.321,2,2.1174999999999997,767.184,24,2,0.9166666666666666,451,530,FALSE,0.8833321507760532,0.8886106160541218,0.5192793384637844,0.7516656603773585,TRUE,FALSE,ICOS,EUF,v1.3,EUF_ES-Yst_FLUXNET_2019-2024_v1.3_r2.zip,sHycwsOK158vpmp0rDH1ujPO
FI-Ant,30,431.3066333333333,NA,NA,NA,NA,NA,NA,NA,NA,607,612,FALSE,0.7105545853926414,NA,NA,0.7047494008714597,TRUE,FALSE,ICOS,ICOS,v1.3,ICOS_FI-Ant_FLUXNET_2022-2022_v1.3_r1.zip,WfnJvocMuoIL6hVB8mRB3XxS
