site_id,n_years_era5,map_era5,n_years_pf_all,map_pf_allmonths,n_months_qc0,map_pf_qc0_monthly_mean,map_pf_qc0_annualized,n_months_total,n_qc0,frac_filled,bio12_mm,badm_map_mm,excluded,ratio_to_bio12,ratio_to_pf_allmonths,ratio_to_pf_qc0,ratio_to_badm_map,too_few_qc0_months,implausible_raw,data_hub,product_source_network,oneflux_code_version,fluxnet_product_name,product_id
AU-ASM,30,311.54563333333334,11,349.6976363636364,8,1.448875,523.0845,132,8,0.9393939393939394,366,NA,FALSE,0.851217577413479,0.8909000260138152,0.595593318734035,NA,TRUE,FALSE,TERN,TERN,v1.3,TERN_AU-ASM_FLUXNET_2010-2025_v1.3_r1.zip,https://dx.doi.org/10.25901/azz4-x655
AU-Ade,30,1611.3440666666665,3,1781.1446666666668,17,3.783764705882353,1388.6068235294117,36,17,0.5277777777777778,1409,NA,FALSE,1.1436082801040925,0.9046677099408357,1.160403390911709,NA,FALSE,FALSE,TERN,TERN,v1.3,TERN_AU-Ade_FLUXNET_2007-2009_v1.3_r1.zip,https://dx.doi.org/10.25901/bwf9-br18
AU-Boy,30,508.7504333333333,4,473.23699999999997,11,2.024909090909091,725.9967272727272,48,11,0.7708333333333334,469,NA,FALSE,1.0847557213930348,1.075043653250556,0.7007613315896074,NA,TRUE,FALSE,TERN,TERN,v1.3,TERN_AU-Boy_FLUXNET_2017-2025_v1.3_r1.zip,https://dx.doi.org/10.25901/qhwv-0j21
AU-Col,30,2023.5442333333333,3,1967.2136666666668,36,5.383388888888889,1967.2136666666665,36,36,0,767,NA,FALSE,2.638258452846588,1.0286346966885989,1.028634696688599,NA,FALSE,FALSE,TERN,TERN,v1.3,TERN_AU-Col_FLUXNET_2017-2019_v1.3_r1.zip,https://dx.doi.org/10.25901/ade1-p928
AU-Cow,30,3341.9243666666666,12,3795.233833333333,26,8.280115384615385,3018.7993846153845,144,26,0.8194444444444444,3105,NA,FALSE,1.0763041438539989,0.8805582247172035,1.107037580469247,NA,FALSE,FALSE,TERN,TERN,v1.3,TERN_AU-Cow_FLUXNET_2009-2025_v1.3_r1.zip,https://dx.doi.org/10.25901/5j6g-mj24
AU-Cpr,30,256.2216666666667,11,257.85663636363637,8,0.79125,281.403,132,8,0.9393939393939394,268,NA,FALSE,0.9560509950248757,0.9936593848425759,0.9105150501830708,NA,TRUE,FALSE,TERN,TERN,v1.3,TERN_AU-Cpr_FLUXNET_2010-2025_v1.3_r1.zip,https://dx.doi.org/10.25901/braj-w973
AU-Ctr,30,3882.7596333333336,9,4401.414222222223,4,28.715500000000002,10539.525000000001,108,4,0.962962962962963,3102,NA,FALSE,1.2516955620030088,0.8821618319243248,0.36839986938057767,NA,TRUE,FALSE,TERN,TERN,v1.3,TERN_AU-Ctr_FLUXNET_2010-2018_v1.3_r1.zip,https://dx.doi.org/10.25901/4zh8-9y75
AU-Cum,30,839.5806,7,856.5587142857142,NA,NA,NA,84,0,1,843,NA,FALSE,0.9959437722419929,0.9801786917784471,NA,NA,TRUE,FALSE,TERN,TERN,v1.3,TERN_AU-Cum_FLUXNET_2014-2025_v1.3_r1.zip,https://dx.doi.org/10.25901/gjm4-9020
AU-DaP,30,1249.5877,6,1363.1076666666665,17,3.3512941176470585,1205.136,72,17,0.7638888888888888,1174,NA,FALSE,1.0643847529812607,0.9167197357606627,1.0368852146147822,NA,FALSE,FALSE,TERN,TERN,v1.3,TERN_AU-DaP_FLUXNET_2008-2013_v1.3_r1.zip,https://dx.doi.org/10.25901/v6n6-x925
AU-DaS,30,1165.4386333333332,14,1188.6539285714287,33,2.5914848484848485,931.1178181818182,168,33,0.8035714285714286,1140,NA,FALSE,1.0223145906432747,0.9804692562906039,1.2516553872946716,NA,FALSE,FALSE,TERN,TERN,v1.3,TERN_AU-DaS_FLUXNET_2007-2025_v1.3_r1.zip,https://dx.doi.org/10.25901/nkbt-pa39
AU-Dry,30,868.1355333333333,12,830.5955,37,2.679648648648649,977.4989189189189,144,37,0.7430555555555556,854,NA,FALSE,1.0165521467603436,1.0451965286753098,0.8881191748973617,NA,FALSE,FALSE,TERN,TERN,v1.3,TERN_AU-Dry_FLUXNET_2009-2025_v1.3_r1.zip,https://dx.doi.org/10.25901/mt7s-d941
AU-Emr,30,650.5638666666666,3,642.9153333333333,5,2.263,830.2296,36,5,0.8611111111111112,628,NA,FALSE,1.0359297239915073,1.0118966416521409,0.7835951243688091,NA,TRUE,FALSE,TERN,TERN,v1.3,TERN_AU-Emr_FLUXNET_2011-2013_v1.3_r1.zip,https://dx.doi.org/10.25901/trb3-6033
AU-Fle,30,560.8474,NA,NA,NA,NA,NA,NA,NA,NA,664,NA,FALSE,0.8446496987951807,NA,NA,NA,TRUE,FALSE,TERN,TERN,v1.3,TERN_AU-Fle_FLUXNET_2022-2025_v1.3_r1.zip,https://dx.doi.org/10.25901/wrhr-ey86
AU-Fog,30,5851.212966666667,3,6376.227666666667,36,17.5105,6376.227666666666,36,36,0,1466,NA,TRUE,3.991277603456117,0.9176606094627634,0.9176606094627635,NA,FALSE,FALSE,TERN,TERN,v1.3,TERN_AU-Fog_FLUXNET_2006-2008_v1.3_r1.zip,https://dx.doi.org/10.25901/dvrw-kd19
AU-GWW,30,340.5570666666667,8,314.53450000000004,NA,NA,NA,96,0,1,264,NA,FALSE,1.2899888888888889,1.0827335846041266,NA,NA,TRUE,FALSE,TERN,TERN,v1.3,TERN_AU-GWW_FLUXNET_2013-2025_v1.3_r1.zip,https://dx.doi.org/10.25901/683k-7e46
AU-Gin,30,623.8964333333333,10,614.5762,10,1.9526000000000001,716.7372,120,10,0.9166666666666666,699,NA,FALSE,0.892555698617072,1.0151653014440412,0.8704674925946823,NA,TRUE,FALSE,TERN,TERN,v1.3,TERN_AU-Gin_FLUXNET_2011-2025_v1.3_r1.zip,https://dx.doi.org/10.25901/sbym-ad50
AU-How,30,1675.7837333333332,19,1640.2048421052632,12,6.070083333333333,2191.7400000000002,228,12,0.9473684210526316,1647,NA,FALSE,1.0174764622546042,1.0216917364921343,0.7645905688326777,NA,FALSE,FALSE,TERN,TERN,v1.3,TERN_AU-How_FLUXNET_2002-2025_v1.3_r1.zip,https://dx.doi.org/10.25901/8p4w-xa85
AU-Lit,30,1649.2909333333332,6,1532.474,5,6.618,2390.6376,72,5,0.9305555555555556,1585,NA,FALSE,1.0405621030494216,1.076227677163419,0.6898958392243698,NA,TRUE,FALSE,TERN,TERN,v1.3,TERN_AU-Lit_FLUXNET_2015-2025_v1.3_r1.zip,https://dx.doi.org/10.25901/4vb1-tr22
AU-Lon,30,277.08093333333335,3,203.79799999999997,9,0.5452222222222223,198.88399999999996,36,9,0.75,419,NA,FALSE,0.6612910103420844,1.359586126131431,1.39317860327293,NA,TRUE,FALSE,TERN,TERN,v1.3,TERN_AU-Lon_FLUXNET_2018-2024_v1.3_r1.zip,https://dx.doi.org/10.25901/cdf2-d144
AU-Lox,30,143.38846666666666,2,124.20599999999999,13,0.32984615384615384,120.41261538461538,24,13,0.45833333333333337,277,NA,FALSE,0.5176478941034898,1.154440740919655,1.1908093367847137,NA,FALSE,FALSE,TERN,TERN,v1.3,TERN_AU-Lox_FLUXNET_2008-2009_v1.3_r1.zip,https://dx.doi.org/10.25901/4xcf-9v74
AU-MvA,30,560.3472,NA,NA,NA,NA,NA,NA,NA,NA,626,NA,FALSE,0.8951233226837061,NA,NA,NA,TRUE,FALSE,TERN,TERN,v1.3,TERN_AU-MvA_FLUXNET_2023-2024_v1.3_r1.zip,https://dx.doi.org/10.25901/wcq3-1613
AU-MvB,30,593.9288333333334,NA,NA,NA,NA,NA,NA,NA,NA,620,NA,FALSE,0.9579497311827958,NA,NA,NA,TRUE,FALSE,TERN,TERN,v1.3,TERN_AU-MvB_FLUXNET_2024-2024_v1.3_r1.zip,https://dx.doi.org/10.25901/pf5h-1t18
AU-Otw,30,719.6304666666666,4,723.48325,7,1.7385714285714284,639.7439999999999,48,7,0.8541666666666666,876,NA,FALSE,0.8214959665144597,0.9946746751450937,1.124872553187942,NA,TRUE,FALSE,TERN,TERN,v1.3,TERN_AU-Otw_FLUXNET_2007-2010_v1.3_r1.zip,https://dx.doi.org/10.25901/gjjp-c297
AU-RDF,30,999.6309,3,1064.9089999999999,14,2.9851428571428573,1074.8519999999999,36,14,0.6111111111111112,955,NA,FALSE,1.0467339267015707,0.9387007716152274,0.9300172488863584,NA,FALSE,FALSE,TERN,TERN,v1.3,TERN_AU-RDF_FLUXNET_2011-2013_v1.3_r1.zip,https://dx.doi.org/10.25901/q42b-r648
AU-Rgf,30,585.0512333333334,6,504.7096666666667,12,1.3870833333333334,509.66200000000003,72,12,0.8333333333333334,456,NA,FALSE,1.283007090643275,1.1591837287311715,1.1479200594380852,NA,FALSE,FALSE,TERN,TERN,v1.3,TERN_AU-Rgf_FLUXNET_2015-2025_v1.3_r1.zip,https://dx.doi.org/10.25901/rs7z-7y12
AU-Rig,30,465.1422333333333,7,482.3398571428571,8,1.57325,579.8309999999999,84,8,0.9047619047619048,618,NA,FALSE,0.7526573354908306,0.9643454225172391,0.8022031132059745,NA,TRUE,FALSE,TERN,TERN,v1.3,TERN_AU-Rig_FLUXNET_2011-2017_v1.3_r1.zip,https://dx.doi.org/10.25901/nvg6-hr60
