site_id,year,computed_from_mm,official_yy,ratio,abs_diff,status
AU-Fog,1981,5654.589,5654.591,1.0000003536950255,0.0020000000004074536,ok
AU-Fog,1982,5417.396000000001,5417.344,0.999990401292429,0.05200000000058935,ok
AU-Fog,1983,5410.9929999999995,5410.97,0.9999957493938729,0.02299999999922875,ok
AU-Fog,1984,7113.445999999999,7113.453,1.0000009840518929,0.007000000001426088,ok
AU-Fog,1985,5130.936000000001,5130.893,0.9999916194628036,0.0430000000005748,ok
AU-Fog,1986,5090.7080000000005,5090.767,1.0000115897435091,0.058999999999286956,ok
AU-Fog,1987,5180.856000000001,5180.864,1.0000015441463725,0.00799999999890133,ok
AU-Fog,1988,5528.969999999999,5529.041,1.0000128414514822,0.07100000000082218,ok
AU-Fog,1989,5156.718000000001,5156.673,0.9999912735193196,0.045000000000982254,ok
AU-Fog,1990,4621.024999999999,4621.025,1.0000000000000002,9.094947017729282e-13,ok
AU-Fog,1991,5015.229000000001,5015.16,0.9999862419044073,0.06900000000132422,ok
AU-Fog,1992,4516.115000000001,4516.089,0.9999942428392544,0.026000000000749424,ok
AU-Fog,1993,4632.192999999999,4632.174,0.9999958982710783,0.018999999999323336,ok
AU-Fog,1994,4988.130999999999,4988.133,1.0000004009517793,0.0020000000004074536,ok
AU-Fog,1995,7550.357000000002,7550.36,1.0000003973322054,0.0029999999978826963,ok
AU-Fog,1996,5961.143,5961.173,1.0000050325919039,0.02999999999974534,ok
AU-Fog,1997,6912.612,6912.616,1.0000005786524688,0.0039999999999054126,ok
AU-Fog,1998,6295.945,6295.897,0.9999923760452164,0.047999999999774445,ok
AU-Fog,1999,7728.4710000000005,7728.435,0.9999953418988051,0.03600000000005821,ok
AU-Fog,2000,7528.1669999999995,7528.15,0.999997741814176,0.016999999999825377,ok
AU-Fog,2001,5979.853999999999,5979.847,0.9999988294028584,0.006999999999607098,ok
AU-Fog,2002,4035.139,4035.062,0.9999809176338162,0.07700000000022555,ok
AU-Fog,2003,6374.638999999999,6374.674,1.000005490506992,0.035000000000763976,ok
AU-Fog,2004,5777.377000000001,5777.336,0.9999929033538921,0.04100000000107684,ok
AU-Fog,2005,4037.7879999999996,4037.808,1.0000049532070532,0.020000000000436557,ok
AU-Fog,2006,5837.598,5837.588,0.9999982869666599,0.010000000000218279,ok
AU-Fog,2007,7184.5019999999995,7184.517,1.0000020878273819,0.015000000000327418,ok
AU-Fog,2008,6106.583,6106.539,0.9999927946611059,0.04399999999986903,ok
AU-Fog,2009,5556.725000000001,5556.713,0.9999978404545841,0.012000000001535227,ok
AU-Fog,2010,6738.596000000001,6738.645,1.0000072715443988,0.04899999999906868,ok
AU-Fog,2011,9916.161000000002,9916.116,0.9999954619534716,0.04500000000189175,ok
AU-Fog,2012,4906.269,4906.267,0.9999995923582664,0.0020000000004074536,ok
AU-Fog,2013,4918.689,4918.687,0.9999995933875876,0.0020000000004074536,ok
AU-Fog,2014,5726.677,5726.625,0.9999909196904244,0.05199999999967986,ok
AU-Fog,2015,5965.701999999999,5965.689,0.9999978208767386,0.01299999999901047,ok
AU-Fog,2016,4640.23,4640.201,0.9999937503097908,0.028999999999541615,ok
AU-Fog,2017,6109.093,6109.116,1.0000037648796638,0.023000000000138243,ok
AU-Fog,2018,5517.762,5517.747,0.9999972815065239,0.014999999999417923,ok
AU-Fog,2019,3637.982,3637.951,0.9999914787923635,0.03099999999994907,ok
AU-Fog,2020,5440.66,5440.618,0.9999922803483402,0.04199999999946158,ok
AU-Fog,2021,6227.759000000001,6227.795,1.000005780570507,0.03599999999914871,ok
AU-Fog,2022,6011.378,6011.334,0.9999926805467898,0.04399999999986903,ok
AU-Fog,2023,4889.084000000001,4889.066,0.9999963183287501,0.0180000000009386,ok
AU-Fog,2024,6745.932999999999,6745.915,0.9999973317256488,0.01799999999911961,ok
AU-Fog,2025,7934.356,7934.364,1.0000010082733872,0.007999999999810825,ok
BR-Ji3,1981,7354.152999999999,7354.13,0.9999968725154346,0.02299999999922875,ok
BR-Ji3,1982,6326.767,6326.774,1.0000011064102725,0.007000000000516593,ok
BR-Ji3,1983,6790.489,6790.473,0.9999976437632107,0.01599999999962165,ok
BR-Ji3,1984,6840.732999999998,6840.725,0.9999988305346813,0.007999999997991836,ok
BR-Ji3,1985,7559.031,7559.048,1.000002248965509,0.016999999999825377,ok
BR-Ji3,1986,6706.245,6706.313,1.0000101398025274,0.068000000000211,ok
BR-Ji3,1987,6544.61,6544.611,1.0000001527974929,0.0010000000002037268,ok
BR-Ji3,1988,7042.061999999999,7042.034,0.9999960238918658,0.027999999999337888,ok
BR-Ji3,1989,7744.093,7744.145,1.000006714795393,0.05200000000058935,ok
BR-Ji3,1990,6837.557000000002,6837.544,0.9999980987361419,0.013000000001738954,ok
BR-Ji3,1991,6807.231000000001,6807.29,1.0000086672539832,0.058999999999286956,ok
BR-Ji3,1992,6871.944999999999,6871.96,1.0000021827881336,0.015000000001236913,ok
BR-Ji3,1993,6953.544999999999,6953.561,1.0000023009846057,0.016000000000531145,ok
BR-Ji3,1994,7360.389999999999,7360.463,1.0000099179527173,0.07300000000032014,ok
BR-Ji3,1995,6751.198,6751.161,0.9999945194912073,0.037000000000261934,ok
BR-Ji3,1996,6366.212999999999,6366.213,1.0000000000000002,9.094947017729282e-13,ok
BR-Ji3,1997,7251.091999999999,7251.102,1.0000013791026237,0.010000000001127773,ok
BR-Ji3,1998,6432.4800000000005,6432.537,1.000008861279009,0.056999999999789,ok
BR-Ji3,1999,6572.115,6572.126,1.0000016737382107,0.011000000000422006,ok
BR-Ji3,2000,6236.896,6236.911,1.0000024050425085,0.015000000000327418,ok
BR-Ji3,2001,6558.1179999999995,6558.087,0.9999952730341236,0.030999999999039574,ok
BR-Ji3,2002,6521.018,6520.997,0.9999967796439145,0.02099999999973079,ok
BR-Ji3,2003,6663.809000000002,6663.786,0.999996548520523,0.023000000001957233,ok
BR-Ji3,2004,7036.492000000001,7036.519,1.0000038371393016,0.02699999999913416,ok
BR-Ji3,2005,6204.2880000000005,6204.318,1.0000048353654762,0.02999999999974534,ok
BR-Ji3,2006,6644.209000000001,6644.216,1.000001053549038,0.006999999999607098,ok
BR-Ji3,2007,6266.0470000000005,6266.066,1.000003032214728,0.018999999999323336,ok
BR-Ji3,2008,6733.733,6733.685,0.9999928717102387,0.047999999999774445,ok
BR-Ji3,2009,6960.884999999999,6960.883,0.9999997126802125,0.001999999999497959,ok
BR-Ji3,2010,6038.878999999999,6038.802,0.999987249289148,0.07699999999931606,ok
BR-Ji3,2011,7323.504,7323.493,0.9999984979867561,0.01099999999951251,ok
BR-Ji3,2012,7793.865,7793.887,1.0000028227330087,0.021999999999934516,ok
BR-Ji3,2013,8382.235,8382.248,1.0000015508990143,0.01299999999901047,ok
BR-Ji3,2014,8081.499000000001,8081.502,1.0000003712182604,0.0029999999997016857,ok
BR-Ji3,2015,7102.6900000000005,7102.671,0.9999973249571641,0.01900000000023283,ok
BR-Ji3,2016,7694.006000000001,7694.016,1.0000012997130492,0.00999999999839929,ok
BR-Ji3,2017,6809.75,6809.753,1.000000440544807,0.0029999999997016857,ok
BR-Ji3,2018,7084.376,7084.408,1.000004516982159,0.032000000000152795,ok
BR-Ji3,2019,6312.9349999999995,6312.926,0.9999985743556683,0.008999999999105057,ok
BR-Ji3,2020,6579.1900000000005,6579.187,0.9999995440168166,0.0030000000006111804,ok
BR-Ji3,2021,8139.216999999999,8139.258,1.000005037339587,0.04100000000107684,ok
BR-Ji3,2022,6523.698999999999,6523.686,0.9999980072655101,0.01299999999901047,ok
BR-Ji3,2023,5466.523999999999,5466.45,0.9999864630613531,0.07399999999961437,ok
BR-Ji3,2024,5510.426,5510.401,0.9999954631456804,0.025000000000545697,ok
BR-Ji3,2025,5907.277,5907.223,0.9999908587323736,0.05400000000008731,ok
BR-SM1,1981,4482.693,4482.715,1.0000049077641497,0.021999999999934516,ok
BR-SM1,1982,6495.446,6495.428,0.9999972288277048,0.018000000000029104,ok
BR-SM1,1983,6813.796,6813.831,1.0000051366374925,0.03499999999985448,ok
BR-SM1,1984,7645.4400000000005,7645.428,0.9999984304369662,0.012000000000625732,ok
BR-SM1,1985,6185.4839999999995,6185.481,0.9999995149934913,0.0029999999997016857,ok
BR-SM1,1986,6131.979,6131.928,0.9999916829460765,0.051000000000385626,ok
BR-SM1,1987,7178.864,7178.874,1.0000013929780533,0.010000000000218279,ok
BR-SM1,1988,4541.1990000000005,4541.227,1.0000061657725194,0.027999999999337888,ok
BR-SM1,1989,4511.986,4512.003,1.0000037677421871,0.016999999999825377,ok
