model,term,Estimate,Std..Error,t.value,Pr...t..
all,(Intercept),1.1612086930864784,0.04821341214530251,24.08476482823704,3.298432825884283e-92
all,frac_filled,-1.409763837163253,0.06423454219892005,-21.947129829267386,2.15231687879327e-80
jpf,(Intercept),1.3649245397538972,0.03528423513867244,38.6836935642656,1.8238815069923106e-39
jpf,frac_filled,-1.449761832938524,0.07098699381959252,-20.422921931628377,3.308141908817069e-26
non_jpf,(Intercept),1.1090839859277575,0.055876516261285564,19.848839192864894,8.812426334255614e-68
non_jpf,frac_filled,-1.3574868506755933,0.07266965515092318,-18.68024346415724,1.0019866062843275e-61
