site_id,submitting_network,presence_status,years_of_data,years_full_year,years_partial_year,latency_years,n_invited_authors
US-Rwf,AMF,verified,10,8,2,3,4
US-Rws,AMF,verified,10,8,2,3,4
US-SD1,AMF,verified,3,1,2,1,4
US-SD2,AMF,verified,3,1,2,1,4
US-SHC,AMF,verified,4,2,2,6,2
US-SP1,AMF,verified,21,18,3,6,6
US-SRC,AMF,verified,7,4,3,12,3
US-SRG,AMF,verified,18,17,1,1,7
US-SRM,AMF,verified,22,22,0,1,8
US-SRS,AMF,verified,8,7,1,8,3
US-SSH,AMF,verified,6,3,3,5,3
US-Sag,AMF,verified,1,0,1,30,2
US-Seg,AMF,verified,19,19,0,1,7
US-Ses,AMF,verified,19,19,0,1,7
US-Sne,AMF,verified,5,4,1,6,2
US-Snf,AMF,verified,3,1,2,6,2
US-Srr,AMF,verified,4,2,2,9,2
US-StJ,AMF,verified,6,5,1,6,3
US-Sta,AMF,verified,5,1,4,17,2
US-TKs,AMF,verified,8,5,3,1,5
US-TLR,AMF,verified,1,0,1,2,4
US-Ton,AMF,verified,25,24,1,1,8
US-Tw1,AMF,verified,13,11,2,3,5
US-Tw2,AMF,verified,2,0,2,13,2
US-Tw3,AMF,verified,6,4,2,8,3
US-Tw4,AMF,verified,12,11,1,2,6
US-Tw5,AMF,verified,2,1,1,7,2
US-Twt,AMF,verified,9,7,2,9,3
US-UC1,AMF,verified,6,5,1,2,5
US-UC2,AMF,verified,6,5,1,2,5
US-UMd,AMF,verified,19,16,3,1,7
US-UTB,AMF,verified,3,1,2,3,3
US-UTD,AMF,verified,2,0,2,2,4
US-UTE,AMF,verified,2,0,2,1,4
US-UTJ,AMF,verified,2,0,2,1,4
US-UTW,AMF,verified,4,2,2,2,4
US-Uaf,AMF,verified,23,22,1,1,8
US-UiA,AMF,verified,10,7,3,2,5
US-UiB,AMF,verified,17,12,5,2,7
US-UiC,AMF,verified,17,15,2,2,7
US-UiD,AMF,verified,10,7,3,2,5
US-UiE,AMF,verified,7,6,1,2,5
US-UiF,AMF,verified,6,5,1,3,4
US-UiG,AMF,verified,6,5,1,3,4
US-VT1,AMF,verified,3,1,2,1,4
US-VT2,AMF,verified,3,1,2,1,4
US-Vcm,AMF,verified,19,17,2,1,7
US-Vcp,AMF,verified,19,17,2,1,7
US-WCr,AMF,verified,24,20,4,1,8
US-WPT,AMF,verified,3,3,0,13,2
US-WT1,AMF,verified,2,1,1,2,4
US-Whs,AMF,verified,19,18,1,1,7
US-Wjs,AMF,verified,19,17,2,1,7
US-YK1,AMF,verified,7,3,4,1,5
US-YK2,AMF,verified,7,2,5,1,5
US-ZF2,AMF,verified,2,1,1,1,4
US-xAB,AMF,verified,6,4,2,2,5
US-xAE,AMF,verified,6,6,0,2,5
US-xBA,AMF,verified,6,4,2,2,5
US-xBL,AMF,verified,6,4,2,2,5
US-xBN,AMF,verified,6,5,1,2,5
US-xBR,AMF,verified,6,5,1,2,5
US-xCL,AMF,verified,6,6,0,2,5
US-xCP,AMF,verified,6,4,2,2,5
US-xDC,AMF,verified,6,6,0,2,5
US-xDJ,AMF,verified,6,6,0,2,5
US-xDL,AMF,verified,6,4,2,2,5
US-xDS,AMF,verified,6,4,2,2,5
US-xGR,AMF,verified,6,5,1,2,5
US-xHE,AMF,verified,6,4,2,2,5
US-xJE,AMF,verified,6,5,1,2,5
US-xJR,AMF,verified,6,6,0,2,5
US-xKZ,AMF,verified,6,6,0,2,5
US-xLE,AMF,verified,6,4,2,2,5
US-xMB,AMF,verified,6,4,2,2,5
US-xML,AMF,verified,6,6,0,2,5
US-xNG,AMF,verified,6,4,2,2,5
US-xNQ,AMF,verified,6,4,2,2,5
US-xNW,AMF,verified,6,2,4,2,5
US-xPU,AMF,verified,6,3,3,2,5
US-xRM,AMF,verified,6,5,1,2,5
US-xRN,AMF,verified,6,6,0,2,5
US-xSB,AMF,verified,6,4,2,2,5
US-xSC,AMF,verified,6,4,2,2,5
US-xSE,AMF,verified,6,5,1,2,5
US-xSJ,AMF,verified,6,4,2,2,5
US-xSL,AMF,verified,6,5,1,2,5
US-xSP,AMF,verified,6,6,0,2,5
US-xSR,AMF,verified,6,6,0,2,5
US-xST,AMF,verified,6,5,1,2,5
US-xTE,AMF,verified,6,6,0,2,5
US-xTL,AMF,verified,6,5,1,2,5
US-xTR,AMF,verified,6,6,0,2,5
US-xUK,AMF,verified,6,5,1,2,5
US-xUN,AMF,verified,6,6,0,2,5
US-xWD,AMF,verified,6,6,0,2,5
US-xWR,AMF,verified,6,6,0,2,5
US-xYE,AMF,verified,6,3,3,2,5
VU-Coc,FLX,verified,4,2,2,22,2
ZA-BfK,SAEON,verified,5,4,1,2,4
ZA-BfS,SAEON,verified,5,2,3,2,4
ZA-Jks,SAEON,verified,1,1,0,2,4
ZA-Spk,SAEON,verified,2,1,1,2,4
ZA-Uby,SAEON,verified,2,1,1,2,4
ZM-Mon,EUF,verified,3,1,2,17,2
